,Acceleration in X,Acceleration in Y,Accel in z,Angular Velocity in x,Angular Velocity in y,Angular Velocity in z,,,Time in ms
1.67608E+18,-0.953125,-0.145996094,0.120117188,0.557251908,-0.335877863,6.557251908,0,0,2042510.08
1.67608E+18,-0.952148438,-0.140625,0.136230469,0.267175573,0.076335878,6.687022901,0,0,2042530.048
1.67608E+18,-0.938964844,-0.086669922,0.162597656,0.122137405,0.435114504,6.885496183,0,0,2042540.032
1.67608E+18,-0.928222656,-0.005615234,0.141845703,0.236641221,0.732824427,7.167938931,0,0,2042540.032
1.67608E+18,-0.913085938,0.016113281,0.144042969,0.496183206,0.916030534,7.435114504,0,0,2042550.016
1.67608E+18,-0.91015625,0.047363281,0.118896484,0.809160305,1.129770992,7.496183206,0,0,2103450.112
1.67608E+18,-0.915771484,0.078369141,0.070556641,1.221374046,1.404580153,7.763358779,0,0,2103470.08
1.67608E+18,-0.910400391,0.015136719,0.026367188,1.389312977,1.687022901,7.969465649,0,0,2103480.064
1.67608E+18,-0.920166016,-0.046630859,-0.058105469,1.351145038,1.816793893,8.312977099,0,0,2103480.064
1.67608E+18,-0.936767578,-0.007568359,-0.078857422,1.122137405,1.854961832,8.564885496,0,0,2103480.064
1.67608E+18,-0.939697266,-0.022705078,-0.103271484,0.969465649,1.938931298,8.992366412,0,0,2103559.936
1.67608E+18,-0.958740234,-0.060302734,-0.120117188,0.854961832,1.969465649,9.503816794,0,0,2163389.952
1.67608E+18,-0.967041016,-0.127441406,-0.163574219,0.633587786,1.992366412,10.20610687,0,0,2163409.92
1.67608E+18,-0.948242188,-0.210693359,-0.207763672,0.358778626,1.946564885,11.08396947,0,0,2163430.144
1.67608E+18,-0.965576172,-0.234863281,-0.173583984,-0.007633588,2.007633588,12.13740458,0,0,2163440.128
1.67608E+18,-0.987548828,-0.265625,-0.166992188,-0.404580153,2.183206107,13.27480916,0,0,2163460.096
1.67608E+18,-1.040283203,-0.305419922,-0.104248047,-0.763358779,2.381679389,14.35877863,0,0,2163480.064
1.67608E+18,-1.0859375,-0.3828125,-0.018066406,-1.015267176,2.519083969,15.18320611,0,0,2223980.032
1.67608E+18,-1.810302734,-0.740234375,-0.072021484,-1.442748092,3.129770992,14.77862595,0,0,2224000
