%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28
1.67608E+18,0,77457,1,-1.692814708,0.911731899,0.522977054,16,-0.542117,-0.840834379,0.905915499,17,-3.13399291,0.264218152,1.877264738,18,6.508299828,0.583158791,-2.936522484,20,-0.710966945,0.955956995,1.35520947,21,-4.228455544,-0.501135468,-0.476854742,22,-0.701208532,-0.237166256,0.783322334
1.67608E+18,0,77457,1,-1.942406416,0.828073025,0.700619221,16,0.481079459,-1.551805973,0.405890614,17,-3.766577005,0.035514329,2.119361639,18,7.33856535,0.507249177,-3.228264332,20,-1.117714643,0.87984705,1.339975476,21,-3.882118464,-0.425098032,-0.414884895,22,-1.375185013,-0.436968684,1.056160808
1.67608E+18,0,77457,1,-2.744649887,0.084982857,1.158965826,16,-3.051714659,3.194190741,2.045282364,17,-3.647303581,-0.449706703,2.149311543,18,8.232740402,1.381637812,-3.697874784,20,-3.654334784,0.543784678,0.614337385,21,-2.410480499,-0.295117676,0.259110987,22,-0.790192425,-0.549525499,1.811387777
1.67608E+18,0,77457,1,-3.33476162,-0.176421508,1.420293689,16,-3.903324127,3.97806859,2.609615326,17,1.724934697,1.336239696,3.638604164,18,10.76506615,-2.705260277,0.425765067,20,-2.725387573,0.34084487,0.752136111,21,-4.045608044,-0.450888395,0.3366597,22,-0.846906364,-0.098820791,1.741355658
1.67608E+18,0,77457,1,-3.643738747,-0.101247534,1.763089061,16,-3.988628387,2.74610281,2.413092375,17,-2.036067009,-3.498524904,1.47605896,18,15.59308052,-5.564688683,0.648681581,20,-3.99984169,-0.040759876,0.199391797,21,-3.334400892,-0.711297512,0.324199408,22,-1.088659048,-0.2783342,1.956153989
1.67608E+18,0,77457,1,-3.955559731,-0.22990492,1.996153712,16,-5.919542789,2.52536726,3.149422646,17,0.571645439,3.93228054,-3.779340267,18,8.559303284,1.917576909,0.190384105,20,-4.219658852,-0.680738389,0.105182476,21,-3.697464228,-0.588892579,0.227571025,22,-1.319608688,-0.826130211,2.666764021
1.67608E+18,0,77457,1,-4.47079277,-1.108475566,2.127469063,16,-8.37185955,0.882539153,3.9056499,17,3.88769412,2.908632755,-3.346482038,18,6.892220974,1.699329734,-5.695568085,20,-4.241483212,-0.997960269,0.279430151,21,-3.90157938,-0.831566095,0.254550606,22,-1.817075849,-0.657860041,2.520573616
1.67608E+18,0,77457,1,-4.581050396,-1.341644645,2.205199003,16,-10.48488903,-0.182391495,4.308215618,17,2.673740149,-6.504011154,7.703306198,18,10.27138519,6.331344128,-8.260819435,20,-3.47107029,-0.188950956,0.903793991,21,-4.46654892,-1.027118921,0.380228907,22,-2.334858418,-1.127594709,3.059370041
1.67608E+18,0,77457,1,-4.929897308,-1.194928765,2.308303118,16,-9.737512589,-1.165508628,3.0774827,17,1.062451482,-2.115824938,7.429186344,18,-0.582463622,3.594241142,26.44784355,20,-3.813426256,0.429938793,1.114539504,21,-5.247200966,-1.563018918,0.413592368,22,-2.709612608,-0.93693459,2.796274424
1.67608E+18,0,77457,1,-4.192965031,-1.334702373,2.051823854,16,-9.746022224,-1.12147367,2.126440048,17,3.763139248,-3.623042345,1.416878343,18,8.15749073,4.234383583,1.328960657,20,-4.32593298,1.408031106,1.327058196,21,-5.694189072,-1.980766177,0.2445613,22,-3.810262442,-1.608499765,3.526459455
