%time,Acceleration in X,Acceleration in Y,Acceleration in Y,Angular Velocity in X,Angular Velocity in Y,Angular Velocity in Z,field.state,field.swing_time,Time in ms
1.68E+18,-0.941650391,-0.078125,0.031494141,0.65648855,-0.167938931,5.603053435,0,0,0
1.68E+18,-0.953369141,-0.081787109,-0.000976563,0.580152672,0.022900763,5.641221374,0,0,0.019968
1.68E+18,-0.953857422,-0.079589844,-0.000244141,0.526717557,0.190839695,5.618320611,0,0,0.019968
1.68E+18,-0.937744141,0.001220703,0.001708984,0.72519084,0.34351145,5.625954198,0,0,0.04992
1.68E+18,-0.950927734,-0.038574219,-0.004394531,1,0.511450382,5.549618321,0,0,0.140032
1.68E+18,-0.939941406,-0.052490234,-0.01953125,1.091603053,0.702290076,5.503816794,0,0,47.47008
1.68E+18,-0.954345703,-0.041259766,-0.052490234,1.160305344,0.86259542,5.503816794,0,0,47.480064
1.68E+18,-0.944824219,-0.0390625,-0.055419922,1.076335878,0.954198473,5.664122137,0,0,47.559936
1.68E+18,-0.947998047,-0.042724609,-0.053222656,1.045801527,1.045801527,5.755725191,0,0,47.56992
1.68E+18,-0.944335938,-0.028808594,-0.078125,1.015267176,0.961832061,5.847328244,0,0,47.56992
1.68E+18,-0.962158203,-0.024169922,-0.092529297,1.061068702,0.93129771,5.946564885,0,0,105.360128
1.68E+18,-0.959472656,-0.057128906,-0.084716797,1.030534351,0.908396947,6.221374046,0,0,105.420032
1.68E+18,-0.958251953,-0.069580078,-0.096191406,0.969465649,0.870229008,6.419847328,0,0,105.44
1.68E+18,-0.955810547,-0.069091797,-0.092285156,1,0.923664122,6.679389313,0,0,105.449984
1.68E+18,-0.979980469,-0.059570313,-0.071777344,1.20610687,1.022900763,7.022900763,0,0,105.449984
1.68E+18,-0.971679688,-0.104492188,-0.060791016,1.427480916,1.152671756,7.351145038,0,0,105.459968
1.68E+18,-0.977783203,-0.160644531,-0.041503906,1.633587786,1.183206107,5.93129771,0,0,156.679936
1.68E+18,-0.954345703,-0.209228516,-0.035644531,1.694656489,1.236641221,8.778625954,0,0,156.710144
1.68E+18,-0.989257813,-0.303955078,-0.029785156,1.419847328,1.290076336,9.786259542,0,0,156.75008
1.68E+18,-1.001953125,-0.295654297,-0.042724609,1.27480916,1.34351145,10.83206107,0,0,156.760064
1.68E+18,-1.003417969,-0.336181641,-0.075683594,1.328244275,1.351145038,11.86259542,0,0,156.819968
1.68E+18,-1.038330078,-0.347412109,-0.091064453,1.511450382,1.312977099,12.95419847,0,0,214.220032
1.68E+18,-1.079833984,-0.396972656,-0.094482422,1.572519084,1.34351145,13.96946565,0,0,214.249984
1.68E+18,-1.168701172,-0.392822266,-0.061279297,1.847328244,1.419847328,14.99236641,0,0,214.249984
1.68E+18,-1.369140625,-0.273681641,0.282958984,3.251908397,1.022900763,16.11450382,0,0,214.310144
1.68E+18,-1.779296875,-0.982666016,0.226318359,3.061068702,1.93129771,17.03053435,0,0,214.320128
1.68E+18,-1.399658203,-0.967041016,-0.056152344,2.076335878,2.381679389,18.57251908,0,0,214.380032
1.68E+18,-1.303710938,-0.767333984,-0.087402344,2.564885496,2.152671756,20.24427481,0,0,260.029952
1.68E+18,-1.357177734,-0.789550781,-0.087158203,2.893129771,2.045801527,22.55725191,0,0,260.04992
1.68E+18,-1.478271484,-1.169433594,-0.055419922,3.86259542,2.129770992,24.87022901,0,0,260.070144
1.68E+18,-1.571533203,-1.142333984,-0.116699219,0.763358779,2.34351145,26.96946565,0,0,260.11008
1.68E+18,-1.642333984,-0.955566406,-0.12109375,0.022900763,2.526717557,28.19847328,0,0,318.390016
1.68E+18,-1.639892578,-0.862548828,-0.133544922,0.045801527,2.503816794,29.18320611,0,0,318.4
1.68E+18,-1.777099609,-0.623046875,-0.008789063,0.687022901,2.633587786,30.03816794,0,0,318.4
1.68E+18,-1.877441406,-0.518554688,0.047363281,1.618320611,2.79389313,30.70992366,0,0,318.44992
1.68E+18,2,-0.360595703,0.038085938,2.27480916,2.770992366,30.71755725,0,0,318.459904
1.68E+18,-1.964111328,-0.616210938,0.073730469,1.396946565,2.992366412,29.96183206,0,0,318.470144
1.68E+18,-1.806396484,-0.638427734,0.015136719,0.244274809,3.458015267,28.78625954,0,0,365.159936
1.68E+18,-1.618408203,-0.219970703,0.056640625,-0.114503817,3.679389313,27.83206107,0,0,365.179904
1.68E+18,-1.55078125,0.353515625,0.087890625,0.984732824,4.076335878,26.17557252,0,0,365.190144
1.68E+18,2,0.531738281,0.291503906,0.770992366,4.938931298,20.89312977,0,0,365.200128
1.68E+18,-1.248291016,0.118896484,0.317871094,-6.259541985,6.496183206,12.47328244,0,0,365.210112
1.68E+18,0.514648438,1.999938965,-0.48046875,-2.106870229,3.229007634,21.2519084,0,0,413.360128
1.68E+18,-1.961669922,-0.314697266,1.314453125,5.786259542,6.702290076,3.610687023,0,0,413.39008
1.68E+18,-1.209716797,-1.164794922,1.038574219,-6.923664122,9.419847328,-3.34351145,0,0,413.400064
1.68E+18,-0.561767578,-0.318115234,0.055664063,-6.167938931,7.923664122,-3.160305344,0,0,413.400064
1.68E+18,-0.463134766,-0.300292969,-0.043701172,-3.083969466,9.748091603,-6.358778626,0,0,413.430016
1.68E+18,-0.073974609,-0.451660156,-0.03125,-5.786259542,9.458015267,-7.381679389,0,0,478.599936
