%time,field.mx,field.my,field.fz,Time (ms)
1.67608E+18,-42,3,-188.16,-124.859904
1.67608E+18,-40,5,-192.08,-124.829952
1.67608E+18,-37,8,-190.12,-124.819968
1.67608E+18,-39,9,-192.08,-124.809984
1.67608E+18,-36,11,-192.08,-124.780032
1.67608E+18,-37,11,-194.04,-78.899968
1.67608E+18,-34,13,-194.04,-78.88
1.67608E+18,-30,13,-192.08,-78.83008
1.67608E+18,-28,13,-192.08,-78.81984
1.67608E+18,-26,15,-194.04,-78.789888
1.67608E+18,-23,16,-192.08,-31.640064
1.67608E+18,-24,18,-194.04,-31.620096
1.67608E+18,-23,21,-192.08,-31.609856
1.67608E+18,-25,21,-192.08,-31.599872
1.67608E+18,-24,24,-194.04,-31.589888
1.67608E+18,-24,25,-192.08,-31.549952
1.67608E+18,-26,26,-192.08,14.650112
1.67608E+18,-29,27,-194.04,14.67008
1.67608E+18,-30,30,-192.08,14.680064
1.67608E+18,-33,32,-194.04,14.690048
1.67608E+18,-34,32,-194.04,14.690048
1.67608E+18,-37,34,-196,60.20992
1.67608E+18,-37,35,-196,60.230144
1.67608E+18,-38,35,-196,60.250112
1.67608E+18,-38,37,-196,60.27008
1.67608E+18,-39,37,-196,60.290048
1.67608E+18,-61,55,-207.76,147.180032
1.67608E+18,-76,68,-211.68,198.249984
1.67608E+18,-46,49,-196,198.269952
1.67608E+18,-35,41,-192.08,198.28992
1.67608E+18,-39,58,-178.36,198.30016
1.67608E+18,-50,74,-148.96,198.360064
1.67608E+18,-64,61,-105.84,198.360064
1.67608E+18,-24,23,-11.76,198.4
1.67608E+18,51,12,99.96,198.4
1.67608E+18,136,15,205.8,198.459904
1.67608E+18,193,50,254.8,198.480128
1.67608E+18,213,54,292.04,244.100096
1.67608E+18,200,36,323.4,244.11008
1.67608E+18,189,-4,360.64,244.11008
1.67608E+18,187,-41,390.04,244.120064
1.67608E+18,197,-34,421.4,244.16
1.67608E+18,208,19,448.84,289.220096
1.67608E+18,238,36,491.96,289.240064
1.67608E+18,279,50,527.24,334.889984
1.67608E+18,315,87,544.88,334.899968
1.67608E+18,338,134,550.76,334.909952
1.67608E+18,356,188,544.88,390.429952
1.67608E+18,364,241,540.96,390.44992
1.67608E+18,373,284,537.04,390.459904
1.67608E+18,388,313,529.2,390.470144
1.67608E+18,416,341,517.44,390.470144
1.67608E+18,425,357,501.76,390.51008
1.67608E+18,418,373,474.32,390.520064
1.67608E+18,404,393,433.16,390.550016
1.67608E+18,393,406,407.68,390.56
1.67608E+18,382,416,386.12,390.599936
1.67608E+18,376,431,368.48,444.780032
1.67608E+18,373,451,354.76,444.809984
1.67608E+18,367,471,344.96,444.819968
1.67608E+18,362,497,335.16,444.819968
1.67608E+18,360,524,335.16,444.870144
1.67608E+18,357,553,333.2,444.890112
1.67608E+18,356,580,339.08,502.749952
1.67608E+18,356,611,343,502.779904
1.67608E+18,360,645,352.8,502.779904
1.67608E+18,363,683,360.64,502.840064
1.67608E+18,364,723,366.52,502.88
1.67608E+18,368,767,374.36,550.170112
1.67608E+18,370,814,376.32,550.19008
1.67608E+18,374,859,382.2,550.200064
1.67608E+18,381,908,382.2,550.220032
1.67608E+18,389,956,378.28,550.24
1.67608E+18,397,1001,372.4,550.249984
1.67608E+18,405,1048,366.52,595.559936
1.67608E+18,410,1099,352.8,595.600128
1.67608E+18,413,1152,329.28,595.620096
1.67608E+18,415,1206,301.84,595.63008
1.67608E+18,416,1255,270.48,595.68
1.67608E+18,417,1297,239.12,643.300096
1.67608E+18,432,1332,207.76,643.330048
1.67608E+18,454,1358,194.04,643.330048
1.67608E+18,448,1396,174.44,643.340032
1.67608E+18,435,1388,170.52,643.350016
1.67608E+18,419,1346,166.6,688.329984
1.67608E+18,400,1289,152.88,688.390144
1.67608E+18,366,1202,131.32,688.400128
1.67608E+18,319,1090,101.92,688.43008
1.67608E+18,262,971,58.8,688.460032
1.67608E+18,207,831,13.72,736.48
1.67608E+18,160,673,-25.48,736.489984
1.67608E+18,121,520,-60.76,736.519936
1.67608E+18,91,379,-90.16,736.54016
1.67608E+18,54,255,-121.52,736.570112
1.67608E+18,13,135,-143.08,791.800064
1.67608E+18,-28,27,-150.92,791.810048
1.67608E+18,-48,-42,-166.6,791.830016
1.67608E+18,-43,-12,-184.24,791.830016
1.67608E+18,-36,-193,-154.84,791.869952
1.67608E+18,-58,-131,-172.48,791.88992
1.67608E+18,-43,-23,-176.4,848.550144
1.67608E+18,-47,-52,-172.48,848.600064
1.67608E+18,-31,-19,-168.56,848.630016
1.67608E+18,-33,1,-166.6,848.679936
1.67608E+18,-27,-5,-164.64,848.710144
1.67608E+18,-25,-4,-162.68,921.979904
1.67608E+18,-35,-1,-168.56,969.990144
1.67608E+18,-38,-13,-172.48,970.010112
1.67608E+18,-48,-21,-174.44,970.03008
1.67608E+18,-48,-5,-176.4,970.040064
1.67608E+18,-48,0,-176.4,970.050048
1.67608E+18,-48,1,-178.36,970.099968
1.67608E+18,-45,4,-178.36,970.099968
1.67608E+18,-46,5,-178.36,970.160128
1.67608E+18,-47,9,-182.28,970.170112
1.67608E+18,-50,10,-182.28,1017.289984
1.67608E+18,-51,13,-184.24,1017.309952
1.67608E+18,-53,16,-184.24,1017.319936
1.67608E+18,-54,19,-188.16,1017.360128
1.67608E+18,-56,24,-192.08,1017.380096
1.67608E+18,-55,29,-194.04,1017.39008
1.67608E+18,-51,31,-194.04,1017.410048
1.67608E+18,-43,33,-194.04,1070.690048
1.67608E+18,-39,35,-196,1141.939968
1.67608E+18,-39,36,-199.92,1141.96992
1.67608E+18,-34,39,-199.92,1141.96992
1.67608E+18,-28,40,-203.84,1141.98016
