%time,field.mx,field.my,field.fz,
1.67608E+18,155,391,33.32,198.320128
1.67608E+18,147,393,9.8,198.340096
1.67608E+18,137,384,-3.92,245.530112
1.67608E+18,131,369,-13.72,245.570048
1.67608E+18,123,349,-27.44,245.690112
1.67608E+18,112,325,-45.08,245.71008
1.67608E+18,96,297,-58.8,245.720064
1.67608E+18,80,266,-72.52,245.730048
1.67608E+18,67,233,-90.16,245.730048
1.67608E+18,53,198,-107.8,245.750016
1.67608E+18,39,160,-121.52,291.810048
1.67608E+18,25,121,-133.28,291.830016
1.67608E+18,9,87,-147,291.84
1.67608E+18,-7,56,-158.76,291.85024
1.67608E+18,-17,31,-162.68,291.860224
1.67608E+18,-23,17,-170.52,342.62016
1.67608E+18,-27,8,-178.36,400.070144
1.67608E+18,-32,7,-182.28,400.090112
1.67608E+18,-34,8,-188.16,400.100096
1.67608E+18,-33,7,-190.12,400.100096
1.67608E+18,-27,-1,-188.16,400.16
1.67608E+18,-25,-7,-182.28,400.200192
1.67608E+18,-29,-11,-184.24,400.210176
1.67608E+18,-35,-12,-188.16,400.22016
1.67608E+18,-50,-11,-192.08,400.250112
1.67608E+18,-47,4,-192.08,400.280064
1.67608E+18,-45,6,-192.08,400.310016
1.67608E+18,-44,3,-192.08,400.360192
1.67608E+18,-40,-6,-188.16,446.24
1.67608E+18,-33,-9,-186.2,446.390016
1.67608E+18,-31,-6,-188.16,446.4
1.67608E+18,-32,-6,-188.16,446.430208
1.67608E+18,-36,-5,-190.12,446.430208
1.67608E+18,-42,-6,-194.04,491.960064
1.67608E+18,-44,-3,-192.08,491.980032
1.67608E+18,-45,-1,-194.04,491.990016
1.67608E+18,-41,0,-192.08,492
1.67608E+18,-39,-2,-192.08,492.009984
1.67608E+18,-36,-1,-192.08,539.010048
1.67608E+18,-34,0,-192.08,539.030016
1.67608E+18,-33,1,-192.08,539.049984
1.67608E+18,-34,1,-194.04,539.060224
1.67608E+18,-33,3,-196,539.060224
1.67608E+18,-32,4,-194.04,539.080192
1.67608E+18,-31,4,-197.96,589.140224
1.67608E+18,-29,4,-196,648.360192
1.67608E+18,-25,7,-196,648.38016
1.67608E+18,-25,7,-197.96,648.400128
1.67608E+18,-22,9,-197.96,648.410112
1.67608E+18,-21,11,-197.96,648.410112
1.67608E+18,-20,15,-196,648.460032
1.67608E+18,-21,16,-199.92,648.470016
1.67608E+18,-22,18,-197.96,648.520192
1.67608E+18,-22,21,-196,696.54016
1.67608E+18,-23,23,-197.96,696.570112
1.67608E+18,-26,25,-199.92,696.570112
1.67608E+18,-27,27,-197.96,696.59008
1.67608E+18,-29,30,-199.92,696.59008
1.67608E+18,-31,31,-199.92,740.630016
1.67608E+18,-30,34,-199.92,740.649984
1.67608E+18,-33,35,-201.88,740.649984
1.67608E+18,-33,36,-201.88,740.660224
1.67608E+18,-37,37,-201.88,788.980224
1.67608E+18,-36,39,-201.88,789.000192
1.67608E+18,-38,50,-203.84,789.000192
1.67608E+18,-50,91,-201.88,789.010176
1.67608E+18,-40,65,-174.44,789.010176
1.67608E+18,-66,47,-166.6,789.040128
1.67608E+18,-94,9,-133.28,834.180096
1.67608E+18,-93,-7,-88.2,834.200064
1.67608E+18,-65,14,-29.4,834.220032
1.67608E+18,-12,22,39.2,834.230016
1.67608E+18,37,21,111.72,834.260224
1.67608E+18,80,-3,166.6,883.510016
1.67608E+18,109,-34,207.76,883.53024
1.67608E+18,121,-69,243.04,883.570176
1.67608E+18,125,-88,280.28,883.58016
1.67608E+18,136,-81,313.6,945.400064
1.67608E+18,164,-68,350.84,945.520128
1.67608E+18,205,-68,401.8,945.540096
1.67608E+18,263,-59,462.56,945.570048
1.67608E+18,320,-40,517.44,945.580032
1.67608E+18,361,-11,558.6,1006.130176
1.67608E+18,384,46,580.16,1006.14016
1.67608E+18,412,100,593.88,1006.170112
1.67608E+18,446,136,617.4,1006.220032
1.67608E+18,475,164,635.04,1055.590144
1.67608E+18,493,191,644.84,1055.610112
1.67608E+18,502,217,635.04,1055.620096
1.67608E+18,514,242,617.4,1055.670016
1.67608E+18,511,260,597.8,1120.11008
1.67608E+18,495,278,560.56,1174.46016
1.67608E+18,479,300,523.32,1174.480128
1.67608E+18,458,322,490,1174.490112
1.67608E+18,440,339,460.6,1174.490112
1.67608E+18,427,355,435.12,1174.530048
1.67608E+18,416,374,411.6,1174.600192
1.67608E+18,409,394,397.88,1174.610176
