%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time,
1.67608E+18,-1.085693359,-0.036132813,-0.069580078,4.839694656,0.687022901,3.488549618,0,0,0
1.67608E+18,-1.010742188,-0.063964844,0.017089844,4.564885496,0.152671756,2.122137405,0,0,0.030208
1.67608E+18,-0.923339844,0.019287109,-0.065429688,4.748091603,-0.030534351,1.06870229,0,0,0.030208
1.67608E+18,-0.793945313,0.02734375,-0.033203125,4.961832061,-0.267175573,0.160305344,0,0,0.040192
1.67608E+18,-0.71484375,0.010009766,-0.130371094,5.641221374,-0.259541985,-0.755725191,0,0,0.06016
1.67608E+18,-0.666503906,0.122558594,-0.165039063,6.946564885,0.076335878,-0.038167939,0,0,0.090112
1.67608E+18,-0.761230469,0.062988281,-0.103271484,8.045801527,0.13740458,-3.633587786,0,0,56.940032
1.67608E+18,-0.759277344,-0.043212891,-0.150390625,8.290076336,-0.038167939,-5.374045802,0,0,56.96
1.67608E+18,-0.708496094,-0.009033203,-0.210693359,9.389312977,-0.160305344,-6.755725191,0,0,56.97024
1.67608E+18,-0.645263672,-0.025634766,-0.209228516,9.961832061,-0.358778626,-7.809160305,0,0,57.02016
1.67608E+18,-0.559814453,-0.042480469,-0.146728516,10.52671756,-1.114503817,-8.877862595,0,0,57.030144
1.67608E+18,-0.572753906,-0.141601563,-0.120117188,10.38931298,-1.763358779,-10.20610687,0,0,115.290112
1.67608E+18,-0.625732422,-0.277832031,-0.114257813,9.809160305,-2.20610687,-11.58015267,0,0,115.330048
1.67608E+18,-0.641357422,-0.311767578,-0.101074219,8.93129771,-2.770992366,-12.59541985,0,0,115.340032
1.67608E+18,-0.676757813,-0.310546875,-0.163330078,8.282442748,-3.213740458,-13.40458015,0,0,115.350016
1.67608E+18,-0.694580078,-0.294921875,-0.161376953,7.549618321,-3.664122137,-14.27480916,0,0,115.369984
1.67608E+18,-0.707763672,-0.32421875,-0.215820313,6.809160305,-4.083969466,-15.15267176,0,0,115.390208
1.67608E+18,-0.698730469,-0.387939453,-0.249755859,5.86259542,-4.633587786,-15.86259542,0,0,167.730176
1.67608E+18,-0.690185547,-0.405273438,-0.262939453,4.984732824,-5.198473282,-16.3129771,0,0,167.760128
1.67608E+18,-0.6796875,-0.452392578,-0.236816406,3.732824427,-6.030534351,-16.64122137,0,0,167.780096
1.67608E+18,-0.701416016,-0.472412109,-0.245117188,2.847328244,-6.465648855,-16.80916031,0,0,167.810048
1.67608E+18,-0.763916016,-0.499755859,-0.236083984,0.72519084,-7.27480916,-16.99236641,0,0,167.830016
1.67608E+18,-0.780273438,-0.491455078,-0.244140625,0.061068702,-7.435114504,-16.98473282,0,0,217.030144
1.67608E+18,-0.803466797,-0.5078125,-0.233398438,-0.702290076,-7.557251908,-16.97709924,0,0,217.060096
1.67608E+18,-0.860595703,-0.527099609,-0.227050781,-1.79389313,-7.58778626,-16.83206107,0,0,217.07008
1.67608E+18,-0.902832031,-0.523681641,-0.223144531,-2.763358779,-7.473282443,-16.6259542,0,0,217.080064
1.67608E+18,-0.959228516,-0.522460938,-0.223144531,-3.610687023,-7.175572519,-16.32061069,0,0,217.100032
1.67608E+18,-1.001220703,-0.524902344,-0.192138672,-4.450381679,-6.770992366,-15.9389313,0,0,276.969984
1.67608E+18,-1.046386719,-0.517822266,-0.186767578,-5.114503817,-6.213740458,-15.41221374,0,0,276.980224
1.67608E+18,-1.064453125,-0.508056641,-0.186523438,-5.65648855,-5.572519084,-14.79389313,0,0,276.990208
1.67608E+18,-1.074707031,-0.492919922,-0.165283203,-6.091603053,-4.900763359,-14.12977099,0,0,277.000192
1.67608E+18,-1.085449219,-0.469238281,-0.166992188,-6.312977099,-4.20610687,-13.4351145,0,0,277.010176
1.67608E+18,-1.103271484,-0.429931641,-0.172851563,-6.366412214,-3.519083969,-12.69465649,0,0,277.030144
1.67608E+18,-1.095703125,-0.407958984,-0.161621094,-6.190839695,-2.809160305,-11.83969466,0,0,321.680128
1.67608E+18,-1.079589844,-0.373779297,-0.155517578,-5.824427481,-2.20610687,-10.97709924,0,0,321.690112
1.67608E+18,-1.055175781,-0.311279297,-0.164306641,-5.183206107,-1.633587786,-10,0,0,321.700096
1.67608E+18,-1.044921875,-0.270751953,-0.171386719,-4.358778626,-1.190839695,-8.984732824,0,0,321.71008
1.67608E+18,-1.030029297,-0.248046875,-0.152587891,-3.473282443,-0.854961832,-7.93129771,0,0,321.750016
1.67608E+18,-1.022949219,-0.245361328,-0.137695313,-2.625954198,-0.580152672,-6.72519084,0,0,368.420096
1.67608E+18,-1.011230469,-0.23828125,-0.110595703,-1.816793893,-0.358778626,-5.358778626,0,0,368.440064
1.67608E+18,-1.007080078,-0.215576172,-0.095947266,-1.030534351,-0.259541985,-5.809160305,0,0,368.460032
1.67608E+18,-1.015380859,-0.188964844,-0.073486328,-0.366412214,-0.259541985,-2.290076336,0,0,368.470016
1.67608E+18,-1.007324219,-0.150390625,-0.031494141,0.229007634,-0.351145038,-0.641221374,0,0,416.38016
1.67608E+18,-1.006347656,-0.109375,0.019042969,0.717557252,-0.633587786,1.496183206,0,0,416.400128
1.67608E+18,-0.995605469,-0.031494141,0.05859375,0.954198473,-0.977099237,2.648854962,0,0,416.410112
1.67608E+18,-0.985107422,0.029785156,0.087890625,1.465648855,-1.503816794,4.488549618,0,0,416.420096
1.67608E+18,-0.974121094,0.044433594,0.117431641,1.732824427,-2.778625954,5.41221374,0,0,416.440064
1.67608E+18,-1.455566406,-0.686523438,0.059814453,0.488549618,-0.839694656,5.786259542,0,0,463.550208
1.67608E+18,-1.403808594,0.031738281,0.164306641,0.305343511,-1.145038168,6.679389313,0,0,463.570176
1.67608E+18,-1.017089844,-0.540527344,0.002441406,-1.86259542,-0.786259542,9.435114504,0,0,463.600128
1.67608E+18,-1.382568359,-0.443847656,0.061523438,-1.381679389,1.65648855,11.48854962,0,0,463.600128
1.67608E+18,-1.262207031,-0.098388672,-0.44140625,-1.557251908,1.702290076,12.96946565,0,0,463.640064
1.67608E+18,-1.103759766,0.265625,-0.240966797,-0.312977099,2.183206107,11.24427481,0,0,508.300032
1.67608E+18,-1.074707031,-0.561279297,-0.386230469,-1.801526718,1.511450382,11.16793893,0,0,508.440064
1.67608E+18,-1.097900391,-0.572021484,-0.250244141,-2.175572519,0.893129771,10.96183206,0,0,508.460032
1.67608E+18,-0.6875,-0.734863281,-0.020996094,-3.328244275,-0.671755725,11.45038168,0,0,508.460032
1.67608E+18,-0.974121094,-0.389404297,0.011474609,-3.625954198,-1.503816794,11.44274809,0,0,554.24
1.67608E+18,-0.771728516,-0.093261719,0.078857422,-2.839694656,-1.954198473,11.19083969,0,0,554.270208
1.67608E+18,-1.200683594,0.705566406,0.037841797,0.839694656,-1.015267176,10.64885496,0,0,554.270208
1.67608E+18,-1.225341797,0.875976563,0.007324219,4.580152672,0.244274809,9.312977099,0,0,554.280192
1.67608E+18,-1.012939453,0.512207031,-0.022460938,6.564885496,0.885496183,8.473282443,0,0,554.330112
1.67608E+18,-0.88671875,-0.076904297,-0.311279297,5.748091603,0.916030534,8.13740458,0,0,632.820224
1.67608E+18,-0.879882813,-0.411132813,-0.126464844,2.610687023,0.091603053,8.13740458,0,0,632.840192
1.67608E+18,-0.912841797,-0.310058594,-0.129882813,-1.198473282,-0.954198473,7.946564885,0,0,632.840192
1.67608E+18,-0.999267578,0.057373047,-0.065429688,-2.450381679,-1.419847328,7.824427481,0,0,632.850176
1.67608E+18,-1.067382813,0.14453125,0.021240234,-2.65648855,-1.030534351,6.824427481,0,0,632.850176
1.67608E+18,-0.968017578,0.275878906,0.052978516,-3.893129771,-1.106870229,5.511450382,0,0,632.86016
1.67608E+18,-1.001953125,-0.075439453,-0.005126953,-0.847328244,0.053435115,4.282442748,0,0,632.870144
1.67608E+18,-1.026855469,-0.06640625,0.060546875,-0.114503817,0.480916031,4.267175573,0,0,632.870144
1.67608E+18,-1.014160156,-0.198730469,0.033935547,0.053435115,0.641221374,4.618320611,0,0,681.780224
1.67608E+18,-0.984375,-0.302734375,0.017822266,-0.183206107,0.381679389,4.984732824,0,0,681.810176
1.67608E+18,-0.774414063,-0.333740234,0.107910156,-1.190839695,-0.603053435,4.961832061,0,0,681.82016
1.67608E+18,-0.993896484,-0.095458984,0.055175781,-0.893129771,-0.732824427,4.908396947,0,0,681.840128
1.67608E+18,-0.956054688,-0.149902344,0.190673828,-0.526717557,-0.633587786,5.076335878,0,0,681.850112
1.67608E+18,-0.977783203,-0.045166016,0.080810547,-1.86259542,-0.305343511,5.015267176,0,0,743.15008
1.67608E+18,-0.937744141,-0.154052734,0.051757813,0.557251908,-0.007633588,4.610687023,0,0,743.160064
