%time,field.mx,field.my,field.fz,
1.67607E+18,167,165,395.92,-324.57984
1.67607E+18,171,166,399.84,-324.559872
1.67607E+18,171,167,401.8,-324.519936
1.67607E+18,172,168,405.72,-324.509952
1.67607E+18,174,169,407.68,-267.699968
1.67607E+18,177,170,411.6,-267.68
1.67607E+18,182,171,419.44,-267.649792
1.67607E+18,188,172,425.32,-267.639808
1.67607E+18,194,172,433.16,-216.620032
1.67607E+18,199,173,441,-216.599808
1.67607E+18,204,173,448.84,-216.589824
1.67607E+18,207,174,452.76,-216.569856
1.67607E+18,207,174,456.68,-216.549888
1.67607E+18,207,174,460.6,-167.670016
1.67607E+18,205,174,460.6,-167.649792
1.67607E+18,202,174,458.64,-167.649792
1.67607E+18,200,176,458.64,-167.61984
1.67607E+18,197,176,454.72,-103.109888
1.67607E+18,194,176,448.84,-103.079936
1.67607E+18,191,175,442.96,-103.059968
1.67607E+18,190,175,441,-103.059968
1.67607E+18,187,174,431.2,-103.04
1.67607E+18,186,173,427.28,-45.48992
1.67607E+18,185,171,421.4,-45.459968
1.67607E+18,183,169,413.56,-45.44
1.67607E+18,181,167,407.68,-45.430016
1.67607E+18,178,166,397.88,-45.420032
1.67607E+18,172,163,388.08,-45.409792
1.67607E+18,167,162,376.32,-45.37984
1.67607E+18,159,159,362.6,-45.359872
1.67607E+18,149,156,344.96,-45.339904
1.67607E+18,141,155,329.28,0.230144
1.67607E+18,131,151,313.6,0.240128
1.67607E+18,120,146,294,0.240128
1.67607E+18,105,142,270.48,0.290048
1.67607E+18,91,137,246.96,0.339968
1.67607E+18,78,129,225.4,46.099968
1.67607E+18,71,125,199.92,46.130176
1.67607E+18,72,125,178.36,46.170112
1.67607E+18,70,122,156.8,46.220032
1.67607E+18,62,116,135.24,46.230016
1.67607E+18,51,110,113.68,99.910144
1.67607E+18,44,110,94.08,99.910144
1.67607E+18,34,111,70.56,99.930112
1.67607E+18,23,109,58.8,99.990016
1.67607E+18,9,106,45.08,100
1.67607E+18,-1,103,39.2,100.040192
1.67607E+18,-8,94,35.28,160.890112
1.67607E+18,-10,80,29.4,160.900096
1.67607E+18,-12,61,25.48,160.920064
1.67607E+18,-15,43,19.6,160.96
1.67607E+18,-19,26,19.6,160.969984
1.67607E+18,-24,15,15.68,221.380096
1.67607E+18,-28,6,11.76,221.400064
1.67607E+18,-27,4,9.8,221.410048
1.67607E+18,-27,3,5.88,221.449984
1.67607E+18,-27,2,5.88,286.089984
1.67607E+18,-29,-2,9.8,286.130176
1.67607E+18,-32,-8,13.72,286.180096
1.67607E+18,-39,-34,19.6,286.180096
1.67607E+18,-39,-31,11.76,339.369984
1.67607E+18,-26,2,3.92,339.390208
1.67607E+18,-34,-6,1.96,339.410176
1.67607E+18,-39,-14,1.96,339.47008
1.67607E+18,-31,-6,5.88,339.480064
1.67607E+18,-33,-8,7.84,339.500032
1.67607E+18,-35,-11,3.92,387.080192
1.67607E+18,-33,-8,3.92,387.090176
1.67607E+18,-30,-8,5.88,387.130112
1.67607E+18,-32,-9,5.88,387.170048
1.67607E+18,-28,-6,3.92,445.990144
1.67607E+18,-29,-6,1.96,446.010112
1.67607E+18,-29,-5,3.92,446.020096
1.67607E+18,-28,-4,3.92,446.070016
1.67607E+18,-25,-1,5.88,446.070016
1.67607E+18,-24,-1,3.92,446.110208
1.67607E+18,-23,0,3.92,549.55008
1.67607E+18,-23,0,3.92,549.580032
1.67607E+18,-23,0,3.92,549.580032
1.67607E+18,-21,2,3.92,549.640192
1.67607E+18,-21,2,3.92,549.670144
1.67607E+18,-21,3,3.92,549.690112
1.67607E+18,-21,4,1.96,549.71008
1.67607E+18,-22,4,1.96,681.780224
1.67607E+18,-23,4,-1.96,681.790208
1.67607E+18,-23,5,0,681.830144
1.67607E+18,-22,6,0,681.840128
1.67607E+18,-20,7,1.96,681.850112
1.67607E+18,-22,7,0,681.929984
1.67607E+18,-22,7,1.96,681.98016
1.67607E+18,-21,7,1.96,682.03008
1.67607E+18,-20,7,1.96,682.040064
1.67607E+18,-19,9,0,682.110208
1.67607E+18,-20,8,0,682.160128
1.67607E+18,-19,8,1.96,682.160128
1.67607E+18,-19,10,0,682.210048
1.67607E+18,-20,9,0,682.230016
1.67607E+18,-19,11,0,682.24
1.67607E+18,-18,12,0,682.30016
1.67607E+18,-20,11,0,813.090048
1.67607E+18,-19,12,1.96,813.100032
1.67607E+18,-20,10,0,813.160192
1.67607E+18,-20,10,0,813.170176
1.67607E+18,-21,9,1.96,813.200128
1.67607E+18,-20,9,3.92,813.210112
1.67607E+18,-22,8,0,813.220096
1.67607E+18,-23,6,3.92,813.250048
