%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time,Time ms
1.67607E+18,-0.775634766,-0.317871094,-0.246826172,-0.251908397,-3.618320611,-6.908396947,0,0,0
1.67607E+18,-0.852050781,-0.302734375,-0.215087891,-2.236641221,-4.435114504,-7.770992366,0,0,0.030208
1.67607E+18,-0.848388672,-0.301513672,-0.205078125,-3.122137405,-4.595419847,-7.977099237,0,0,0.040192
1.67607E+18,-0.853759766,-0.301025391,-0.221191406,-3.625954198,-4.778625954,-8.152671756,0,0,0.050176
1.67607E+18,-0.853515625,-0.306152344,-0.227050781,-4.351145038,-4.938931298,-8.351145038,0,0,0.080128
1.67607E+18,-0.853271484,-0.299316406,-0.221679688,-5.236641221,-5.114503817,-8.58778626,0,0,0.150016
1.67607E+18,-0.85546875,-0.290527344,-0.205810547,-6.022900763,-5.251908397,-8.740458015,0,0,46.010112
1.67607E+18,-0.853027344,-0.274414063,-0.1953125,-6.709923664,-5.351145038,-8.938931298,0,0,46.050048
1.67607E+18,-0.868652344,-0.262939453,-0.189697266,-7.267175573,-5.419847328,-9.061068702,0,0,46.08
1.67607E+18,-0.885253906,-0.245361328,-0.182861328,-7.740458015,-5.480916031,-9.190839695,0,0,46.110208
1.67607E+18,-0.881347656,-0.234130859,-0.170410156,-8.083969466,-5.496183206,-9.34351145,0,0,99.750144
1.67607E+18,-0.908691406,-0.220214844,-0.168212891,-8.320610687,-5.511450382,-9.419847328,0,0,99.770112
1.67607E+18,-0.926269531,-0.209472656,-0.155761719,-8.534351145,-5.442748092,-9.465648855,0,0,99.79008
1.67607E+18,-0.935546875,-0.20703125,-0.145751953,-8.633587786,-5.366412214,-9.465648855,0,0,99.810048
1.67607E+18,-0.929931641,-0.191650391,-0.139892578,-8.65648855,-5.236641221,-9.503816794,0,0,99.820032
1.67607E+18,-0.923095703,-0.170410156,-0.132568359,-8.541984733,-5.129770992,-9.541984733,0,0,160.70016
1.67607E+18,-0.928466797,-0.1640625,-0.135253906,-8.396946565,-5,-9.541984733,0,0,160.720128
1.67607E+18,-0.926513672,-0.141113281,-0.137207031,-8.083969466,-4.854961832,-9.519083969,0,0,160.720128
1.67607E+18,-0.932373047,-0.133300781,-0.135009766,-7.702290076,-4.72519084,-9.473282443,0,0,160.730112
1.67607E+18,-0.932128906,-0.120117188,-0.137207031,-7.20610687,-4.549618321,-9.427480916,0,0,160.740096
1.67607E+18,-0.946533203,-0.118164063,-0.121826172,-6.72519084,-4.374045802,-9.358778626,0,0,160.770048
1.67607E+18,-0.951416016,-0.119384766,-0.1171875,-6.190839695,-4.183206107,-9.236641221,0,0,221.18016
1.67607E+18,-0.968261719,-0.127929688,-0.120361328,-5.618320611,-3.977099237,-9.091603053,0,0,221.200128
1.67607E+18,-0.983642578,-0.127441406,-0.114257813,-5.038167939,-3.79389313,-8.908396947,0,0,221.210112
1.67607E+18,-0.987792969,-0.134765625,-0.098876953,-4.458015267,-3.557251908,-8.687022901,0,0,221.220096
1.67607E+18,-0.977539063,-0.142578125,-0.110595703,-3.900763359,-3.335877863,-8.427480916,0,0,221.23008
1.67607E+18,-0.971435547,-0.145019531,-0.114746094,-3.297709924,-3.129770992,-8.114503817,0,0,221.28
1.67607E+18,-0.961425781,-0.147216797,-0.113037109,-2.694656489,-2.946564885,-7.763358779,0,0,285.950208
1.67607E+18,-0.943847656,-0.159912109,-0.117919922,-2.091603053,-2.748091603,-7.351145038,0,0,285.970176
1.67607E+18,-0.932861328,-0.179931641,-0.125,-1.511450382,-2.572519084,-6.832061069,0,0,286.020096
1.67607E+18,-0.924316406,-0.193603516,-0.133789063,-0.984732824,-2.442748092,-6.366412214,0,0,286.040064
1.67607E+18,-0.930419922,-0.221435547,-0.133300781,-0.503816794,-2.312977099,-5.763358779,0,0,286.040064
1.67607E+18,-0.934814453,-0.238525391,-0.13671875,-0.145038168,-2.183206107,-5.053435115,0,0,286.050048
1.67607E+18,-0.936767578,-0.27734375,-0.133544922,0.030534351,-2.076335878,-4.404580153,0,0,339.090176
1.67607E+18,-0.912841797,-0.300048828,-0.137695313,0.038167939,-1.977099237,-3.694656489,0,0,339.120128
1.67607E+18,-0.908203125,-0.341308594,-0.148925781,-0.122137405,-1.946564885,-2.992366412,0,0,339.160064
1.67607E+18,-0.909179688,-0.370849609,-0.156982422,-0.511450382,-1.946564885,-2.305343511,0,0,339.230208
1.67607E+18,-0.911621094,-0.380126953,-0.170410156,-1.022900763,-1.984732824,-1.633587786,0,0,339.230208
1.67607E+18,-0.911621094,-0.382080078,-0.170654297,-1.641221374,-2.06870229,-0.984732824,0,0,339.31008
1.67607E+18,-0.918945313,-0.377441406,-0.164550781,-2.282442748,-2.099236641,-0.366412214,0,0,386.899968
1.67607E+18,-0.921630859,-0.373046875,-0.167724609,-2.908396947,-2.152671756,0.221374046,0,0,386.920192
1.67607E+18,-0.916015625,-0.361328125,-0.176757813,-3.442748092,-2.183206107,0.801526718,0,0,386.930176
1.67607E+18,-0.935791016,-0.345214844,-0.165283203,-3.877862595,-2.221374046,1.389312977,0,0,386.950144
1.67607E+18,-0.922851563,-0.322509766,-0.16796875,-4.114503817,-2.251908397,1.908396947,0,0,387.010048
1.67607E+18,-0.936279297,-0.288085938,-0.155761719,-4.259541985,-2.229007634,2.335877863,0,0,445.850112
1.67607E+18,-0.949462891,-0.2578125,-0.150634766,-4.27480916,-2.221374046,2.717557252,0,0,445.880064
1.67607E+18,-0.941162109,-0.238769531,-0.142578125,-4.183206107,-2.160305344,3.007633588,0,0,445.900032
1.67607E+18,-0.945800781,-0.221923828,-0.131103516,-3.969465649,-2.061068702,3.282442748,0,0,445.910016
