%time,field.mx,field.my,field.fz
1676072638803230900,-24.0,7.0,-188.16
1676072638803246700,-23.0,7.0,-188.16
1676072638803283500,-22.0,8.0,-186.2
1676072638803296500,-24.0,9.0,-194.04
1676072638803313500,-24.0,9.0,-192.07999999999998
1676072638852263900,-21.0,10.0,-197.96
1676072638852295500,-23.0,9.0,-196.0
1676072638852348100,-25.0,8.0,-190.12
1676072638852359500,-20.0,11.0,-197.96
1676072638898076400,-20.0,12.0,-190.12
1676072638898100200,-20.0,11.0,-196.0
1676072638898110300,-21.0,10.0,-197.96
1676072638898128100,-21.0,10.0,-197.96
1676072638948300900,-20.0,11.0,-196.0
1676072638948324300,-21.0,10.0,-197.96
1676072638948358000,-24.0,9.0,-194.04
1676072638948365600,-25.0,8.0,-188.16
1676072638948376300,-23.0,10.0,-196.0
1676072639011481500,-21.0,11.0,-194.04
1676072639011508400,-20.0,11.0,-194.04
1676072639011520100,-20.0,12.0,-192.07999999999998
1676072639011550000,-25.0,9.0,-194.04
1676072639011554200,-21.0,11.0,-197.96
1676072639068031900,-22.0,11.0,-197.96
1676072639068060800,-21.0,11.0,-197.96
1676072639068083800,-22.0,11.0,-196.0
1676072639068119700,-23.0,9.0,-188.16
1676072639068146600,-25.0,9.0,-188.16
1676072639068190200,-25.0,9.0,-192.07999999999998
1676072639068228400,-25.0,8.0,-190.12
1676072639068238500,-24.0,9.0,-188.16
1676072639068313700,-23.0,10.0,-196.0
1676072639112968300,-20.0,11.0,-197.96
1676072639112989100,-24.0,9.0,-192.07999999999998
1676072639113001800,-21.0,11.0,-197.96
1676072639113009800,-22.0,10.0,-196.0
1676072639160526400,-24.0,9.0,-194.04
1676072639160550600,-24.0,9.0,-194.04
1676072639160560700,-24.0,8.0,-190.12
1676072639160570900,-24.0,8.0,-188.16
1676072639160591000,-21.0,10.0,-196.0
1676072639160609300,-20.0,10.0,-188.16
1676072639210318200,-23.0,8.0,-188.16
1676072639269669600,-22.0,8.0,-186.2
1676072639269739200,-20.0,12.0,-192.07999999999998
1676072639269745200,-20.0,10.0,-190.12
1676072639269755100,-22.0,9.0,-196.0
1676072639269760700,-22.0,10.0,-196.0
1676072639269779800,-23.0,9.0,-194.04
1676072639269786200,-24.0,8.0,-194.04
1676072639269837900,-24.0,8.0,-190.12
1676072639269847800,-24.0,8.0,-188.16
1676072639316829100,-20.0,10.0,-196.0
1676072639316847400,-19.0,11.0,-190.12
1676072639316858800,-19.0,11.0,-190.12
1676072639316863900,-19.0,10.0,-194.04
1676072639378589000,-20.0,10.0,-197.96
1676072639378596200,-20.0,10.0,-194.04
1676072639378629500,-20.0,10.0,-196.0
1676072639378679600,-21.0,10.0,-197.96
1676072639425519700,-22.0,9.0,-196.0
1676072639425537100,-24.0,7.0,-188.16
1676072639425552400,-24.0,8.0,-192.07999999999998
1676072639425557300,-22.0,10.0,-194.04
1676072639425565700,-23.0,9.0,-194.04
1676072639470333900,-20.0,12.0,-194.04
1676072639470354700,-19.0,12.0,-190.12
1676072639470379500,-19.0,10.0,-186.2
1676072639470394700,-18.0,12.0,-188.16
1676072639519792100,-19.0,12.0,-192.07999999999998
