%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque,field.PF_cmd,field.EV_cmd,field.theta_cmd,field.alpha_cmd,field.PF_curr,field.EV_curr,field.CPU0,field.CPU1,field.CPU2,field.CPU3,field.t,field.valid
1689263090665626700,0,0,142,-142,3000,3000,6.186175957747326e-16,10.0,0.0,0.0,0.0,0.0,62.5,50.0,33.29999923706055,0.0,63090.48046875,1.0
1689263090665632300,0,0,142,-142,3000,3000,6.186175957747326e-16,10.0,0.0,0.0,0.0,0.0,62.5,50.0,33.29999923706055,0.0,63090.4921875,1.0
1689263090665637100,0,0,142,-142,3000,3000,6.186175957747326e-16,10.0,0.0,0.0,0.0,0.0,62.5,50.0,33.29999923706055,0.0,63090.50390625,1.0
1689263090665639500,0,0,142,-142,3000,3000,6.186175957747326e-16,10.0,0.0,0.0,0.0,0.0,62.5,50.0,33.29999923706055,0.0,63090.51171875,1.0
1689263090665646400,0,0,142,-142,3000,3000,6.186175957747326e-16,10.0,0.0,0.0,0.0,0.0,62.5,50.0,33.29999923706055,0.0,63090.5234375,1.0
1689263090665649600,0,0,142,-142,3000,3000,6.186175957747326e-16,10.0,0.0,0.0,0.0,0.0,62.5,50.0,33.29999923706055,0.0,63090.53125,1.0
1689263090665651600,0,0,142,-142,3000,3000,6.186175957747326e-16,10.0,0.0,0.0,0.0,0.0,58.79999923706055,0.0,22.200000762939453,0.0,63090.54296875,1.0
1689263090665653600,0,0,142,-142,3000,3000,6.186175957747326e-16,10.0,0.0,0.0,0.0,0.0,58.79999923706055,0.0,22.200000762939453,0.0,63090.55078125,1.0
1689263090665699700,0,0,142,-142,3000,3000,6.186175957747326e-16,10.0,0.0,0.0,0.0,0.0,58.79999923706055,0.0,22.200000762939453,0.0,63090.5625,1.0
1689263090665701500,0,0,142,-142,3000,3000,6.186175957747326e-16,10.0,0.0,0.0,0.0,0.0,58.79999923706055,0.0,22.200000762939453,0.0,63090.57421875,1.0
1689263090665781100,0,0,142,-142,3000,3000,6.186175957747326e-16,10.0,0.0,0.0,0.0,0.0,58.79999923706055,0.0,22.200000762939453,0.0,63090.58203125,1.0
1689263090721012300,0,0,142,-142,3000,3000,6.186175957747326e-16,10.0,0.0,0.0,0.0,0.0,58.79999923706055,0.0,22.200000762939453,0.0,63090.59375,1.0
1689263090721023000,0,0,142,-142,3000,3000,6.186175957747326e-16,10.0,0.0,0.0,0.0,0.0,58.79999923706055,0.0,22.200000762939453,0.0,63090.6015625,1.0
1689263090721040100,0,0,142,-142,3000,3000,6.186175957747326e-16,10.0,0.0,0.0,0.0,0.0,58.79999923706055,0.0,22.200000762939453,0.0,63090.61328125,1.0
1689263090721105500,0,0,142,-142,3000,3000,6.186175957747326e-16,10.0,0.0,0.0,0.0,0.0,58.79999923706055,0.0,22.200000762939453,0.0,63090.62109375,1.0
1689263090721163100,0,0,142,-142,3000,3000,6.186175957747326e-16,10.0,0.0,0.0,0.0,0.0,58.79999923706055,0.0,22.200000762939453,0.0,63090.6328125,1.0
