%time,field.mx,field.my,field.fz,field.t
1689263543477330400,-11.0,108.0,45.08,63543.343998909
1689263543477358400,-11.0,108.0,45.08,63543.354434490204
1689263543477388400,-10.0,108.0,45.08,63543.36476922035
1689263543477392400,-9.0,106.0,45.08,63543.37524652481
1689263543477431900,-9.0,106.0,43.12,63543.385637283325
1689263543477434600,-8.0,105.0,45.08,63543.39611339569
1689263543546011300,-7.0,105.0,45.08,63543.40654373169
1689263543546051500,-8.0,104.0,43.12,63543.41711473465
1689263543546056600,-7.0,104.0,45.08,63543.42763710022
1689263543546101700,-8.0,104.0,43.12,63543.43821001053
1689263543546107100,-8.0,104.0,45.08,63543.4487016201
1689263543602069500,-9.0,105.0,45.08,63543.45912218094
1689263543602074000,-10.0,104.0,43.12,63543.46960520744
1689263543602122000,-10.0,104.0,45.08,63543.48013710976
1689263543602141100,-11.0,105.0,43.12,63543.490638017654
1689263543602172900,-11.0,105.0,47.04,63543.50123786926
1689263543602178100,-11.0,106.0,47.04,63543.511677742004
1689263543661255500,-12.0,105.0,47.04,63543.52211141586
1689263543661259300,-12.0,107.0,47.04,63543.53280496597
1689263543661302100,-11.0,107.0,47.04,63543.54327392578
1689263543661304600,-12.0,107.0,49.0,63543.55364012718
1689263543661343900,-11.0,107.0,47.04,63543.56404232979
1689263543661370800,-10.0,107.0,50.96,63543.57444238663
1689263543735007500,-11.0,108.0,49.0,63543.58488559723
1689263543735018200,-10.0,109.0,50.96,63543.595277547836
1689263543735023800,-11.0,109.0,50.96,63543.60575008392
1689263543735028300,-10.0,109.0,50.96,63543.61629772186
1689263543735072100,-10.0,110.0,50.96,63543.62697291374
1689263543790934200,-11.0,110.0,50.96,63543.640469789505
1689263543790953900,-10.0,109.0,52.92,63543.65256977081
1689263543790957300,-11.0,110.0,52.92,63543.66321468353
1689263543790969800,-12.0,109.0,50.96,63543.673684835434
1689263543790972000,-12.0,109.0,50.96,63543.684134721756
1689263543791023500,-11.0,110.0,50.96,63543.69460916519
1689263543845462000,-10.0,110.0,52.92,63543.70502901077
1689263543845464200,-11.0,111.0,50.96,63543.7155110836
1689263543845466900,-10.0,110.0,50.96,63543.72610902786
1689263543845505400,-10.0,110.0,50.96,63543.73681592941
1689263543845516500,-10.0,109.0,50.96,63543.747453927994
1689263543845520700,-9.0,110.0,50.96,63543.75797581673
1689263543909620000,-8.0,109.0,50.96,63543.76900219917
1689263543909626400,-9.0,109.0,49.0,63543.77950668335
1689263543909628500,-8.0,109.0,50.96,63543.79000520706
1689263543909630600,-7.0,111.0,50.96,63543.800543785095
1689263543909632000,-7.0,110.0,50.96,63543.81103134155
1689263543909633300,-7.0,110.0,49.0,63543.82154726982
1689263543974291600,-6.0,109.0,50.96,63543.832010746
1689263543974295000,-6.0,110.0,50.96,63543.842552661896
1689263543974322900,-6.0,109.0,50.96,63543.85313105583
1689263543974369300,-7.0,110.0,52.92,63543.86364150047
1689263543974396000,-8.0,110.0,52.92,63543.87423682213
1689263543974403900,-8.0,111.0,52.92,63543.88476276398
1689263544043041900,-9.0,110.0,52.92,63543.89527630806
1689263544043062400,-9.0,111.0,52.92,63543.90575647354
1689263544043081600,-9.0,111.0,54.879999999999995,63543.916536808014
1689263544043114500,-10.0,112.0,54.879999999999995,63543.927218198776
1689263544043134800,-9.0,112.0,58.8,63543.937947273254
1689263544043149600,-9.0,112.0,58.8,63543.94850516319
1689263544093415100,-8.0,112.0,58.8,63543.95903491974
1689263544093480000,-6.0,114.0,64.67999999999999,63543.96953320503
1689263544093497600,-4.0,115.0,64.67999999999999,63543.98019552231
1689263544093577500,-1.0,117.0,68.6,63543.99071455002
1689263544093597400,1.0,119.0,70.56,63544.001269340515
1689263544153376800,2.0,120.0,72.52,63544.01221728325
1689263544153378400,3.0,121.0,76.44,63544.02310466766
1689263544153379900,3.0,122.0,78.4,63544.033541440964
1689263544153381400,3.0,122.0,80.36,63544.04400229454
1689263544153383000,3.0,122.0,80.36,63544.054537534714
1689263544153390900,2.0,122.0,80.36,63544.064959049225
1689263544221210600,1.0,123.0,82.32,63544.075380563736
1689263544221241900,0.0,123.0,82.32,63544.08588171005
1689263544221250600,0.0,123.0,84.28,63544.09649205208
