%time,field.mx,field.my,field.fz,field.t
1689263602257852900,-5.0,97.0,119.56,63602.12193322182
1689263602258041900,-7.0,97.0,119.56,63602.13262081146
1689263602258071500,-7.0,96.0,121.52,63602.14317011833
1689263602258130000,-8.0,97.0,123.48,63602.15391254425
1689263602258134600,-9.0,97.0,125.44,63602.164694070816
1689263602317816400,-11.0,98.0,125.44,63602.17519187927
1689263602317827900,-11.0,99.0,129.35999999999999,63602.1859960556
1689263602317838600,-12.0,102.0,129.35999999999999,63602.19719910622
1689263602317841900,-13.0,104.0,133.28,63602.20791196823
1689263602317859700,-14.0,105.0,133.28,63602.221099853516
1689263602317881100,-14.0,107.0,137.2,63602.231924533844
1689263602377921100,-16.0,108.0,139.16,63602.242445230484
1689263602377934600,-16.0,109.0,141.12,63602.25317335129
1689263602377938100,-17.0,109.0,141.12,63602.2636756897
1689263602377941800,-17.0,112.0,143.07999999999998,63602.27418923378
1689263602377944800,-18.0,112.0,143.07999999999998,63602.284677267075
1689263602442100300,-17.0,114.0,145.04,63602.2951939106
1689263602442118100,-19.0,114.0,143.07999999999998,63602.30638027191
1689263602442128500,-18.0,116.0,145.04,63602.31757545471
1689263602442134200,-18.0,115.0,145.04,63602.32813358307
1689263602442175500,-19.0,116.0,145.04,63602.33888840675
1689263602442177800,-18.0,116.0,147.0,63602.34942650795
1689263602502088700,-20.0,116.0,147.0,63602.359937906265
1689263602502103200,-19.0,117.0,147.0,63602.37076807022
1689263602502181000,-20.0,116.0,148.96,63602.381358623505
1689263602502183200,-19.0,117.0,148.96,63602.391899585724
1689263602502318900,-18.0,117.0,150.92,63602.40266633034
1689263602502334300,-19.0,117.0,150.92,63602.41318798065
1689263602561993300,-17.0,117.0,152.88,63602.42368602753
1689263602562003500,-18.0,117.0,150.92,63602.43420767784
1689263602562005100,-17.0,118.0,150.92,63602.44492006302
1689263602562013400,-16.0,118.0,148.96,63602.45542883873
1689263602562034400,-15.0,119.0,150.92,63602.46614408493
1689263602562073700,-15.0,119.0,150.92,63602.476746320724
1689263602625888400,-13.0,120.0,150.92,63602.48768544197
1689263602625920900,-12.0,121.0,150.92,63602.49851369858
1689263602625932600,-11.0,122.0,148.96,63602.50925374031
1689263602625951400,-9.0,123.0,150.92,63602.52010178566
1689263602625962000,-8.0,123.0,152.88,63602.53064370155
