%time,field.mx,field.my,field.fz,field.t
1689263724274686300,30.0,121.0,158.76,63724.13495850563
1689263724274698800,31.0,124.0,158.76,63724.14578962326
1689263724274709100,30.0,125.0,158.76,63724.15623521805
1689263724274722000,29.0,127.0,156.8,63724.16680932045
1689263724274726100,27.0,129.0,152.88,63724.17723631859
1689263724335004900,26.0,131.0,152.88,63724.1877310276
1689263724335015400,23.0,133.0,150.92,63724.19818520546
1689263724335022200,21.0,135.0,150.92,63724.20870375633
1689263724335025000,18.0,137.0,150.92,63724.2192401886
1689263724335027300,15.0,137.0,147.0,63724.22975683212
1689263724335038500,12.0,137.0,147.0,63724.240350961685
1689263724383396800,11.0,137.0,145.04,63724.253930568695
1689263724383416200,8.0,137.0,147.0,63724.26441884041
1689263724383420600,8.0,138.0,145.04,63724.27496242523
1689263724383424600,7.0,138.0,143.07999999999998,63724.28540587425
1689263724383453800,8.0,140.0,145.04,63724.295889377594
1689263724442917000,9.0,141.0,143.07999999999998,63724.306265830994
1689263724442936700,12.0,142.0,143.07999999999998,63724.31675171852
1689263724442941500,13.0,143.0,141.12,63724.327209711075
1689263724442964000,15.0,142.0,141.12,63724.337673187256
1689263724442982500,18.0,142.0,143.07999999999998,63724.348024606705
1689263724503064100,19.0,140.0,141.12,63724.35850071907
1689263724503080300,20.0,139.0,141.12,63724.36902594566
1689263724503090800,21.0,140.0,141.12,63724.37949705124
1689263724503100600,19.0,140.0,139.16,63724.390014886856
1689263724503118000,18.0,139.0,139.16,63724.40072464943
1689263724503122900,17.0,138.0,139.16,63724.4112508297
1689263724562810200,16.0,137.0,137.2,63724.42192149162
1689263724562823700,15.0,136.0,137.2,63724.4324324131
1689263724562832000,13.0,135.0,137.2,63724.442768096924
1689263724562854000,10.0,135.0,135.24,63724.45327067375
1689263724562865000,8.0,135.0,135.24,63724.46375489235
1689263724562869100,6.0,134.0,133.28,63724.4742269516
1689263724625543000,5.0,133.0,135.24,63724.48648023605
1689263724625553100,5.0,133.0,133.28,63724.49699497223
1689263724625554700,5.0,133.0,133.28,63724.50751256943
1689263724625557300,5.0,132.0,133.28,63724.518022060394
1689263724625568800,7.0,132.0,135.24,63724.52848672867
1689263724625576900,8.0,132.0,133.28,63724.53919148445
1689263724671227200,8.0,133.0,133.28,63724.549597263336
1689263724671234400,9.0,133.0,131.32,63724.560086488724
1689263724671271100,10.0,133.0,129.35999999999999,63724.57068657875
1689263724671278200,10.0,132.0,129.35999999999999,63724.581162691116
1689263724717825300,10.0,132.0,129.35999999999999,63724.5917403698
1689263724717840600,11.0,132.0,129.35999999999999,63724.60227918625
