%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque,field.PF_cmd,field.EV_cmd,field.theta_cmd,field.alpha_cmd,field.PF_curr,field.EV_curr,field.CPU0,field.CPU1,field.CPU2,field.CPU3,field.t,field.valid
1689263724058986600,0,0,992,709,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,58.79999923706055,20.0,0.0,0.0,63723.9140625,1.0
1689263724058994200,0,0,992,709,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,58.79999923706055,20.0,0.0,0.0,63723.921875,1.0
1689263724058996700,0,0,992,709,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,58.79999923706055,20.0,0.0,0.0,63723.93359375,1.0
1689263724058998300,0,0,992,709,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,58.79999923706055,20.0,0.0,0.0,63723.94140625,1.0
1689263724058999800,0,0,992,709,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,60.0,25.0,20.0,0.0,63723.953125,1.0
1689263724059001400,0,0,992,709,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,60.0,25.0,20.0,0.0,63723.9609375,1.0
1689263724059004900,0,0,992,709,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,60.0,25.0,20.0,0.0,63723.97265625,1.0
1689263724116553300,0,0,992,709,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,60.0,25.0,20.0,0.0,63723.98046875,1.0
1689263724116571600,0,0,992,709,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,60.0,25.0,20.0,0.0,63723.9921875,1.0
1689263724116580400,0,0,992,709,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,60.0,25.0,20.0,0.0,63724.00390625,1.0
1689263724116651800,0,0,992,709,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,60.0,25.0,20.0,0.0,63724.01171875,1.0
1689263724116730400,0,0,992,709,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,60.0,25.0,20.0,0.0,63724.0234375,1.0
