%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque,field.PF_cmd,field.EV_cmd,field.theta_cmd,field.alpha_cmd,field.PF_curr,field.EV_curr,field.CPU0,field.CPU1,field.CPU2,field.CPU3,field.t,field.valid
1689263214697996800,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,12.5,0.0,11.100000381469727,0.0,63214.57421875,1.0
1689263214698034200,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,12.5,0.0,11.100000381469727,0.0,63214.58203125,1.0
1689263214698037900,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,12.5,0.0,11.100000381469727,0.0,63214.59375,1.0
1689263214698145400,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,12.5,0.0,11.100000381469727,0.0,63214.6015625,1.0
1689263214698195600,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,12.5,0.0,11.100000381469727,0.0,63214.61328125,1.0
1689263214698198400,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,12.5,0.0,11.100000381469727,0.0,63214.62109375,1.0
1689263214757913500,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,12.5,0.0,11.100000381469727,0.0,63214.6328125,1.0
1689263214757928200,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,12.5,0.0,11.100000381469727,0.0,63214.640625,1.0
1689263214757932000,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,12.5,0.0,11.100000381469727,0.0,63214.65234375,1.0
1689263214758113100,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,14.300000190734863,25.0,11.100000381469727,0.0,63214.6640625,1.0
1689263214758146100,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,14.300000190734863,25.0,11.100000381469727,0.0,63214.671875,1.0
1689263214758168200,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,14.300000190734863,25.0,11.100000381469727,0.0,63214.68359375,1.0
1689263214805784000,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,14.300000190734863,25.0,11.100000381469727,0.0,63214.69140625,1.0
1689263214805792600,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,14.300000190734863,25.0,11.100000381469727,0.0,63214.703125,1.0
1689263214805798900,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,14.300000190734863,25.0,11.100000381469727,0.0,63214.7109375,1.0
1689263214805861400,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,14.300000190734863,25.0,11.100000381469727,0.0,63214.72265625,1.0
1689263214805876600,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,14.300000190734863,25.0,11.100000381469727,0.0,63214.73046875,1.0
1689263214866639000,0,0,425,142,3000,3000,6.186175957747326e-16,-10.0,0.0,0.0,0.0,0.0,14.300000190734863,25.0,11.100000381469727,0.0,63214.7421875,1.0
