%time,field.mx,field.my,field.fz,field.t
1689263665798624700,5.0,66.0,103.88,63665.66736078262
1689263665798628400,5.0,66.0,103.88,63665.67819428444
1689263665798630000,6.0,66.0,103.88,63665.68896436691
1689263665798631700,6.0,66.0,103.88,63665.699776649475
1689263665798633800,6.0,66.0,103.88,63665.71065926552
1689263665858445000,6.0,66.0,99.96,63665.72144794464
1689263665858455300,6.0,66.0,103.88,63665.732377290726
1689263665858458900,5.0,66.0,103.88,63665.74303293228
1689263665858460900,5.0,65.0,103.88,63665.7539460659
1689263665858585900,5.0,66.0,101.92,63665.764671087265
1689263665918641900,4.0,66.0,101.92,63665.775515556335
1689263665918738200,4.0,66.0,101.92,63665.7864279747
1689263665918853300,5.0,66.0,103.88,63665.79720520973
1689263665918877200,4.0,66.0,103.88,63665.8079533577
1689263665918903600,5.0,66.0,101.92,63665.81880569458
1689263665918914900,5.0,66.0,103.88,63665.82970762253
1689263665982593300,5.0,66.0,103.88,63665.84064245224
1689263665982601700,5.0,67.0,105.84,63665.851675748825
1689263665982615400,5.0,67.0,105.84,63665.862547159195
1689263665982623500,5.0,67.0,105.84,63665.873453617096
1689263665982626600,5.0,67.0,105.84,63665.88465595245
1689263665982633200,4.0,67.0,103.88,63665.89554190636
1689263666038547900,5.0,68.0,105.84,63665.90628147125
1689263666038556100,5.0,68.0,105.84,63665.91716194153
1689263666038557500,4.0,67.0,105.84,63665.92817759514
1689263666038558800,5.0,67.0,105.84,63665.938957452774
1689263666038560100,5.0,67.0,105.84,63665.94990873337
1689263666102644700,5.0,67.0,105.84,63665.961240291595
1689263666102659300,5.0,67.0,103.88,63665.976861953735
1689263666102663100,5.0,67.0,105.84,63665.992372751236
1689263666102779800,6.0,67.0,105.84,63666.00321888924
1689263666102819600,6.0,68.0,105.84,63666.01429057121
1689263666162657500,7.0,67.0,107.8,63666.02515363693
1689263666162672700,7.0,67.0,107.8,63666.035680532455
1689263666162680000,7.0,67.0,107.8,63666.04674911499
1689263666162812600,7.0,67.0,107.8,63666.05770659447
1689263666162842600,7.0,68.0,107.8,63666.068633556366
1689263666222535400,6.0,67.0,107.8,63666.07946872711
1689263666222553600,6.0,66.0,107.8,63666.09041905403
1689263666222557800,6.0,66.0,107.8,63666.10137009621
1689263666222571300,6.0,67.0,109.75999999999999,63666.11197113991
1689263666222573300,6.0,66.0,109.75999999999999,63666.12311339378
1689263666222579500,6.0,66.0,109.75999999999999,63666.1337659359
1689263666282553200,6.0,67.0,109.75999999999999,63666.144676446915
1689263666282561700,6.0,67.0,109.75999999999999,63666.155217409134
1689263666282562900,6.0,67.0,109.75999999999999,63666.166118621826
1689263666282567400,7.0,67.0,111.72,63666.17685627937
1689263666282602900,7.0,67.0,111.72,63666.18845510483
1689263666346519400,7.0,67.0,111.72,63666.1996679306
