%time,field.mx,field.my,field.fz,field.t
1689262995115847800,63.0,186.0,219.51999999999998,62994.995472192764
1689262995115864000,63.0,186.0,221.48,62995.006019830704
1689262995115868200,63.0,185.0,217.56,62995.01653957367
1689262995115870100,62.0,184.0,217.56,62995.027327775955
1689262995115871700,62.0,184.0,215.6,62995.03806519508
1689262995255629000,61.0,183.0,215.6,62995.048783779144
1689262995255644300,62.0,183.0,215.6,62995.05958509445
1689262995255709900,62.0,183.0,213.64,62995.07027053833
1689262995255711800,62.0,183.0,213.64,62995.0807800293
1689262995255714400,61.0,182.0,211.68,62995.09127616882
1689262995255730100,61.0,182.0,211.68,62995.10177898407
1689262995255748900,61.0,181.0,211.68,62995.11228132248
1689262995255750500,61.0,182.0,211.68,62995.12297797203
1689262995255752000,61.0,182.0,209.72,62995.133526563644
1689262995255753600,60.0,182.0,211.68,62995.14429950714
1689262995255775800,60.0,182.0,209.72,62995.155230522156
1689262995255790000,60.0,182.0,209.72,62995.1657705307
1689262995377574300,60.0,182.0,209.72,62995.177703619
1689262995377575800,60.0,182.0,209.72,62995.18875360489
1689262995377579200,60.0,182.0,209.72,62995.19927573204
1689262995377580600,61.0,182.0,209.72,62995.20977663994
1689262995377586200,61.0,183.0,209.72,62995.22031760216
1689262995377587600,61.0,182.0,207.76,62995.23103308678
1689262995377617400,60.0,181.0,207.76,62995.24152302742
1689262995377638600,60.0,181.0,209.72,62995.252015829086
1689262995377644000,61.0,181.0,207.76,62995.2625412941
1689262995377653200,59.0,181.0,207.76,62995.274094581604
1689262995377671700,58.0,181.0,207.76,62995.28526711464
1689262995377681500,59.0,180.0,207.76,62995.29627895355
1689262995504713600,59.0,181.0,207.76,62995.307245492935
1689262995504790100,59.0,181.0,207.76,62995.31800889969
1689262995504803200,60.0,182.0,207.76,62995.32875871658
1689262995504806500,62.0,182.0,207.76,62995.33951210976
1689262995504808200,61.0,181.0,207.76,62995.35028004646
1689262995504816700,62.0,181.0,207.76,62995.36107754707
1689262995504823500,63.0,182.0,211.68,62995.371952056885
1689262995504874400,63.0,182.0,211.68,62995.38253903389
1689262995504876300,64.0,182.0,213.64,62995.393340826035
1689262995504883200,64.0,183.0,215.6,62995.40419125557
1689262995504885500,65.0,183.0,215.6,62995.414766550064
1689262995504984600,65.0,185.0,219.51999999999998,62995.42553806305
1689262995640009700,67.0,185.0,221.48,62995.43642258644
1689262995640015800,70.0,187.0,225.4,62995.447275877
1689262995640018900,76.0,188.0,231.28,62995.45807886124
1689262995640146200,79.0,191.0,237.16,62995.46893286705
1689262995640166500,83.0,192.0,239.12,62995.479531764984
1689262995640168700,87.0,195.0,245.0,62995.49043369293
1689262995640171200,91.0,197.0,250.88,62995.5010099411
1689262995640173000,92.0,199.0,252.84,62995.51177239418
1689262995640294100,94.0,200.0,254.79999999999998,62995.52274227142
1689262995640312800,97.0,202.0,260.68,62995.5335392952
1689262995640317900,98.0,205.0,264.6,62995.544271469116
1689262995640319600,100.0,206.0,266.56,62995.55503320694
1689262995640321100,101.0,207.0,270.48,62995.56585812569
1689262995777492900,101.0,208.0,274.4,62995.57653045654
1689262995777495800,102.0,209.0,278.32,62995.58744645119
1689262995777505000,102.0,209.0,278.32,62995.598027944565
1689262995777510100,104.0,210.0,282.24,62995.60883116722
1689262995777531100,103.0,210.0,280.28,62995.6196873188
1689262995777533900,104.0,210.0,284.2,62995.630274772644
1689262995777556200,106.0,210.0,284.2,62995.64112186432
1689262995777559600,107.0,211.0,284.2,62995.651750564575
1689262995777561800,110.0,211.0,282.24,62995.66244363785
1689262995777571600,113.0,212.0,284.2,62995.6730132103
1689262995777574900,116.0,214.0,282.24,62995.68377017975
1689262995777586400,118.0,216.0,282.24,62995.69451999664
1689262995777589100,121.0,218.0,280.28,62995.7054400444
1689262995911919400,124.0,220.0,278.32,62995.71603560448
1689262995911921300,128.0,223.0,280.28,62995.72683978081
1689262995911939500,129.0,226.0,276.36,62995.73770546913
1689262995911944200,131.0,230.0,276.36,62995.74827718735
1689262995911946800,131.0,232.0,272.44,62995.75917959213
1689262995911961500,131.0,235.0,270.48,62995.76977610588
1689262995911973700,131.0,239.0,268.52,62995.780537605286
1689262995911977800,132.0,241.0,266.56,62995.79136180878
1689262995912003000,133.0,244.0,262.64,62995.80221605301
1689262995912011000,136.0,246.0,258.71999999999997,62995.81295180321
1689262995912026700,137.0,248.0,254.79999999999998,62995.823526620865
1689262995912029800,136.0,250.0,246.96,62995.83446097374
1689262996043771800,134.0,253.0,239.12,62995.84543919563
1689262996043774200,130.0,256.0,229.32,62995.85602355003
1689262996043781000,126.0,256.0,215.6,62995.86696124077
1689262996043785400,120.0,256.0,203.84,62995.87752747536
1689262996043806200,114.0,254.0,190.12,62995.88817739487
1689262996043808800,104.0,252.0,174.44,62995.89877152443
1689262996043811100,95.0,249.0,158.76,62995.90953016281
1689262996043829400,85.0,247.0,143.07999999999998,62995.9202837944
1689262996043833000,76.0,243.0,127.39999999999999,62995.93104982376
1689262996043848700,67.0,237.0,113.67999999999999,62995.9417116642
1689262996043853000,63.0,233.0,99.96,62995.952283620834
1689262996043855300,59.0,223.0,92.12,62995.96302437782
1689262996043882500,56.0,208.0,90.16,62995.97376227379
1689262996131939700,51.0,191.0,84.28,62995.98461937904
1689262996131941600,45.0,171.0,78.4,62995.995460510254
1689262996131943500,39.0,153.0,74.48,62996.00605344772
1689262996131945000,34.0,138.0,70.56,62996.01724743843
1689262996131946400,29.0,126.0,64.67999999999999,62996.027784347534
1689262996131947900,26.0,114.0,60.76,62996.0385966301
1689262996131949500,24.0,99.0,56.839999999999996,62996.04946398735
1689262996131950900,23.0,86.0,54.879999999999995,62996.06003189087
1689262996300307400,21.0,70.0,49.0,62996.0707886219
1689262996300310000,19.0,54.0,47.04,62996.081605911255
1689262996300330800,15.0,38.0,45.08,62996.09249019623
1689262996300370700,12.0,22.0,45.08,62996.10333585739
1689262996300381600,8.0,5.0,41.16,62996.11402082443
1689262996300400200,4.0,-10.0,39.2,62996.124604940414
1689262996300410000,1.0,-18.0,35.28,62996.13544797897
1689262996300451100,-4.0,-20.0,31.36,62996.146030664444
1689262996300454200,-5.0,-21.0,29.4,62996.15700173378
1689262996300485900,-1.0,-32.0,31.36,62996.16777062416
1689262996300488800,-5.0,-35.0,29.4,62996.178538799286
1689262996300530500,-16.0,-34.0,29.4,62996.18945026398
1689262996300533100,-19.0,-26.0,27.439999999999998,62996.20003390312
1689262996300558200,-11.0,-24.0,27.439999999999998,62996.2109503746
1689262996300560400,-5.0,-24.0,27.439999999999998,62996.22153186798
1689262996300593500,-8.0,-21.0,27.439999999999998,62996.2323474884
1689262996408812100,-12.0,-21.0,27.439999999999998,62996.24324679375
1689262996408926800,-14.0,-21.0,23.52,62996.254019498825
1689262996408928400,-14.0,-21.0,23.52,62996.26477789879
1689262996408952500,-11.0,-20.0,23.52,62996.27553534508
1689262996408963200,-11.0,-19.0,25.48,62996.28631067276
1689262996408966600,-14.0,-18.0,21.56,62996.297525167465
1689262996408969800,-15.0,-16.0,21.56,62996.309532642365
1689262996408971400,-14.0,-15.0,21.56,62996.320536613464
1689262996409178300,-14.0,-13.0,21.56,62996.33129954338
1689262996590223600,-16.0,-13.0,19.6,62996.342114925385
1689262996590227300,-16.0,-11.0,19.6,62996.35279965401
1689262996590233100,-17.0,-9.0,19.6,62996.36358523369
1689262996590238700,-17.0,-9.0,19.6,62996.37442326546
1689262996590241000,-16.0,-7.0,19.6,62996.385781764984
1689262996590243100,-16.0,-6.0,19.6,62996.39662384987
1689262996590255900,-15.0,-6.0,17.64,62996.40777873993
1689262996590264600,-15.0,-5.0,15.68,62996.41854047775
1689262996590270500,-14.0,-4.0,15.68,62996.42969727516
1689262996590279500,-13.0,-3.0,17.64,62996.440519332886
1689262996590288700,-11.0,-3.0,15.68,62996.45129299164
1689262996590327000,-9.0,-3.0,15.68,62996.462101221085
1689262996590376900,-9.0,-2.0,15.68,62996.47277498245
1689262996590391700,-10.0,-1.0,15.68,62996.48361992836
1689262996590395900,-10.0,1.0,15.68,62996.49445271492
1689262996590411600,-9.0,2.0,15.68,62996.505016326904
1689262996716915200,-8.0,3.0,15.68,62996.51600384712
1689262996717129500,-8.0,4.0,17.64,62996.52697253227
1689262996717134600,-8.0,5.0,15.68,62996.53753066063
1689262996717153800,-8.0,6.0,15.68,62996.5482916832
1689262996717172900,-9.0,8.0,15.68,62996.55910205841
1689262996717174900,-10.0,8.0,15.68,62996.56997346878
1689262996717179300,-11.0,8.0,15.68,62996.58058619499
1689262996717564700,-11.0,8.0,15.68,62996.59149622917
1689262996717582500,-9.0,8.0,17.64,62996.60244035721
1689262996717586500,-8.0,7.0,17.64,62996.61302447319
1689262996717588100,-6.0,7.0,17.64,62996.623775720596
1689262996717590600,-6.0,6.0,15.68,62996.634540081024
1689262996717592200,-5.0,5.0,17.64,62996.64520096779
1689262996899175500,-5.0,5.0,15.68,62996.65592956543
1689262996899177300,-5.0,5.0,17.64,62996.66653728485
