%time,field.mx,field.my,field.fz,field.t
1689262917429560200,62.0,249.0,196.0,62917.30897188187
1689262917429574100,63.0,249.0,197.96,62917.31951379776
1689262917429577300,62.0,249.0,197.96,62917.330541849136
1689262917429579300,61.0,249.0,197.96,62917.34117484093
1689262917429625200,62.0,249.0,196.0,62917.35172653198
1689262917486840500,62.0,249.0,197.96,62917.36237668991
1689262917486857000,62.0,249.0,197.96,62917.37325787544
1689262917486866600,62.0,249.0,196.0,62917.38389325142
1689262917486870100,63.0,249.0,197.96,62917.39446020126
1689262917486871500,62.0,250.0,197.96,62917.40505671501
1689262917486883300,62.0,250.0,196.0,62917.415865421295
1689262917546989700,63.0,250.0,197.96,62917.42649412155
1689262917547007100,63.0,250.0,197.96,62917.437190294266
1689262917547012100,63.0,250.0,197.96,62917.4477853775
1689262917547014900,63.0,251.0,199.92,62917.45842671394
1689262917547155900,63.0,250.0,197.96,62917.469168663025
1689262917606732000,62.0,250.0,197.96,62917.48039627075
1689262917606770300,62.0,251.0,197.96,62917.490944862366
1689262917606773400,62.0,251.0,197.96,62917.50147271156
1689262917606794300,63.0,251.0,197.96,62917.51206088066
1689262917606835600,63.0,251.0,197.96,62917.52269458771
1689262917606935600,62.0,251.0,197.96,62917.53323793411
1689262917670795500,63.0,251.0,197.96,62917.54391789436
1689262917670814000,63.0,251.0,197.96,62917.554475307465
1689262917670831900,64.0,251.0,197.96,62917.56695508957
1689262917670833500,63.0,251.0,197.96,62917.57761192322
1689262917670850000,63.0,251.0,196.0,62917.58816623688
1689262917670851900,64.0,251.0,199.92,62917.59869837761
1689262917730758000,65.0,251.0,199.92,62917.609206438065
1689262917730773100,64.0,251.0,197.96,62917.61969971657
1689262917730777400,64.0,251.0,197.96,62917.630214214325
1689262917730785700,64.0,252.0,197.96,62917.640704870224
1689262917730821200,64.0,251.0,197.96,62917.651201963425
1689262917730876200,64.0,251.0,197.96,62917.66276669502
1689262917789454800,64.0,252.0,197.96,62917.67462801933
1689262917789474500,63.0,252.0,199.92,62917.68519902229
1689262917789479300,62.0,252.0,197.96,62917.69573426247
1689262917789481600,63.0,253.0,197.96,62917.70636963844
1689262917789524100,62.0,252.0,196.0,62917.71699309349
1689262917850808600,63.0,252.0,199.92,62917.72765135765
1689262917850827600,63.0,252.0,197.96,62917.738198041916
1689262917850876300,63.0,252.0,197.96,62917.7486948967
1689262917850921500,63.0,251.0,197.96,62917.76165676117
1689262917850931900,64.0,252.0,197.96,62917.77246570587
1689262917850999100,63.0,251.0,197.96,62917.78299617767
1689262917914796800,63.0,252.0,196.0,62917.79364776611
1689262917914821000,63.0,252.0,197.96,62917.804255247116
1689262917914831900,63.0,251.0,197.96,62917.814965724945
1689262917914839500,62.0,251.0,196.0,62917.82564496994
1689262917914843400,61.0,251.0,194.04,62917.83621621132
1689262917914874700,62.0,251.0,196.0,62917.84677863121
1689262917974465700,62.0,250.0,196.0,62917.85899019241
1689262917974482300,61.0,251.0,194.04,62917.870168209076
1689262917974491700,62.0,251.0,196.0,62917.88070011139
1689262917974495000,62.0,250.0,196.0,62917.89125108719
1689262917974655000,62.0,250.0,194.04,62917.901886701584
1689262918035705200,63.0,250.0,196.0,62917.9124789238
1689262918035722700,63.0,250.0,196.0,62917.92297935486
1689262918035732400,63.0,250.0,196.0,62917.93366646767
1689262918035736600,62.0,249.0,196.0,62917.94422841072
1689262918035739000,62.0,249.0,192.07999999999998,62917.957020998
1689262918035746800,62.0,250.0,194.04,62917.96771097183
1689262918097558000,62.0,249.0,194.04,62917.97820186615
1689262918097581600,60.0,249.0,192.07999999999998,62917.9887111187
1689262918097586600,60.0,248.0,192.07999999999998,62917.99924635887
1689262918097665000,60.0,249.0,194.04,62918.00979304314
1689262918097706600,60.0,249.0,192.07999999999998,62918.02040600777
1689262918097711300,60.0,249.0,194.04,62918.0309677124
1689262918157440100,60.0,249.0,194.04,62918.04161930084
1689262918157456200,59.0,249.0,194.04,62918.05398774147
1689262918157460300,59.0,249.0,194.04,62918.06462717056
