%time,field.mx,field.my,field.fz,field.t
1689262743209046000,-5.0,-4.0,-23.52,62743.06801247597
1689262743209047500,-5.0,-3.0,-21.56,62743.07961463928
1689262743209067500,-4.0,-5.0,-21.56,62743.09002947807
1689262743209070500,-4.0,-5.0,-23.52,62743.10048007965
1689262743209072600,-4.0,-5.0,-23.52,62743.110921144485
1689262743209109400,-4.0,-4.0,-23.52,62743.12129020691
1689262743209112800,-5.0,-4.0,-23.52,62743.13177084923
1689262743209230500,-4.0,-3.0,-23.52,62743.14223599434
1689262743281360300,-5.0,-5.0,-23.52,62743.15271496773
1689262743281365100,-4.0,-4.0,-21.56,62743.16342878342
1689262743281368900,-4.0,-4.0,-23.52,62743.173783540726
1689262743281383400,-4.0,-5.0,-21.56,62743.18468308449
1689262743281464300,-5.0,-5.0,-23.52,62743.195075035095
1689262743281466100,-5.0,-4.0,-23.52,62743.20551729202
1689262743281467500,-5.0,-4.0,-23.52,62743.216030836105
1689262743328841600,-4.0,-3.0,-23.52,62743.22661566734
1689262743328855600,-3.0,-3.0,-21.56,62743.23712992668
1689262743328918500,-3.0,-4.0,-21.56,62743.247530937195
1689262743328928700,-4.0,-5.0,-23.52,62743.25837087631
1689262743437340400,-3.0,-4.0,-21.56,62743.26887702942
1689262743437344500,-5.0,-4.0,-23.52,62743.27952957153
1689262743437346000,-4.0,-3.0,-23.52,62743.28998923302
1689262743437359200,-4.0,-4.0,-21.56,62743.30050754547
1689262743437364600,-4.0,-4.0,-23.52,62743.3111076355
1689262743437371800,-4.0,-3.0,-23.52,62743.32151937485
1689262743506229600,-3.0,-4.0,-21.56,62743.33199477196
1689262743506349300,-4.0,-4.0,-23.52,62743.34238767624
1689262743506365600,-5.0,-4.0,-23.52,62743.35336470604
1689262743506370300,-5.0,-4.0,-23.52,62743.36377620697
1689262743506371800,-4.0,-4.0,-23.52,62743.37461781502
1689262743506382200,-4.0,-4.0,-23.52,62743.385033369064
1689262743506394400,-4.0,-3.0,-21.56,62743.39550280571
1689262743506477400,-3.0,-4.0,-21.56,62743.40603065491
1689262743506492800,-4.0,-4.0,-21.56,62743.41660809517
1689262743506511300,-4.0,-4.0,-23.52,62743.427122592926
1689262743599829200,-4.0,-4.0,-21.56,62743.43752861023
1689262743599851700,-4.0,-4.0,-23.52,62743.44795703888
1689262743599878300,-3.0,-3.0,-23.52,62743.4584312439
1689262743599881900,-4.0,-4.0,-23.52,62743.46908426285
1689262743600080100,-5.0,-5.0,-23.52,62743.47977542877
1689262743600085700,-4.0,-4.0,-23.52,62743.490245342255
1689262743600089900,-4.0,-4.0,-21.56,62743.50070810318
1689262743600094000,-4.0,-5.0,-17.64,62743.511113882065
1689262743600096200,-4.0,-5.0,-7.84,62743.52151179314
1689262743664903100,-4.0,-5.0,-9.8,62743.53193616867
1689262743664916500,-4.0,-5.0,-7.84,62743.54252576828
1689262743664918400,-4.0,-5.0,-9.8,62743.55327129364
1689262743664919800,-4.0,-4.0,-7.84,62743.56369924545
1689262743664921100,-4.0,-5.0,-9.8,62743.57550430298
1689262743664955200,-3.0,-4.0,-9.8,62743.58588433266
1689262743729857100,-4.0,-4.0,-9.8,62743.59633874893
1689262743729860300,-4.0,-5.0,-7.84,62743.60682344437
1689262743729862000,-4.0,-5.0,-9.8,62743.617284059525
1689262743729877700,-4.0,-5.0,-9.8,62743.627747774124
1689262743729879500,-4.0,-4.0,-9.8,62743.63812637329
1689262743729881000,-3.0,-4.0,-9.8,62743.64854001999
1689262743729884200,-4.0,-4.0,-7.84,62743.658990859985
1689262743798558900,-4.0,-5.0,-9.8,62743.669501543045
1689262743798564300,-4.0,-5.0,-9.8,62743.680006980896
1689262743798625800,-4.0,-4.0,-9.8,62743.6904399395
1689262743798628200,-4.0,-4.0,-9.8,62743.70103907585
1689262743798632900,-4.0,-4.0,-9.8,62743.71212100983
1689262743798647700,-4.0,-4.0,-9.8,62743.72276139259
1689262743857113300,-5.0,-5.0,-9.8,62743.733478307724
1689262743857134800,-4.0,-4.0,-9.8,62743.74435400963
1689262743857176500,-4.0,-5.0,-7.84,62743.754796266556
1689262743857180100,-4.0,-5.0,-9.8,62743.765244722366
1689262743857181600,-4.0,-5.0,-7.84,62743.77562665939
1689262743857201500,-5.0,-5.0,-9.8,62743.78603410721
1689262743935312200,-5.0,-4.0,-7.84,62743.79649448395
1689262743935323600,-4.0,-5.0,-7.84,62743.807202100754
1689262743935340300,-4.0,-5.0,-9.8,62743.817789793015
1689262743935351300,-4.0,-4.0,-7.84,62743.82836008072
1689262743935369900,-4.0,-5.0,-9.8,62743.83878850937
1689262743935378800,-4.0,-4.0,-9.8,62743.8492436409
1689262743935396600,-3.0,-4.0,-7.84,62743.859634160995
1689262743992889200,-4.0,-4.0,-9.8,62743.87052822113
1689262743992946500,-5.0,-5.0,-9.8,62743.88111495972
1689262743992975100,-4.0,-4.0,-9.8,62743.89161491394
1689262743992988300,-4.0,-5.0,-9.8,62743.902020931244
1689262743992993000,-4.0,-5.0,-9.8,62743.91252350807
1689262743993075400,-4.0,-4.0,-9.8,62743.92325806618
1689262744062532200,-5.0,-5.0,-9.8,62743.933693647385
1689262744062552200,-4.0,-4.0,-9.8,62743.94462299347
1689262744062631700,-3.0,-5.0,-7.84,62743.955045223236
1689262744062665600,-4.0,-5.0,-7.84,62743.965499162674
1689262744062670300,-4.0,-4.0,-9.8,62743.97627902031
1689262744062680500,-4.0,-4.0,-7.84,62743.9868183136
1689262744121698200,-4.0,-4.0,-9.8,62743.997276067734
1689262744121703300,-3.0,-3.0,-7.84,62744.00774526596
1689262744121705600,-3.0,-5.0,-7.84,62744.01827979088
1689262744121709600,-3.0,-3.0,-7.84,62744.02872848511
1689262744121730200,-4.0,-4.0,-9.8,62744.03944039345
1689262744121769200,-3.0,-4.0,-7.84,62744.0500292778
1689262744217930800,-4.0,-3.0,-9.8,62744.060458660126
1689262744217934700,-4.0,-5.0,-9.8,62744.07079935074
1689262744217936900,-4.0,-5.0,-9.8,62744.08128666878
1689262744218128400,-4.0,-4.0,-7.84,62744.09185671806
1689262744218130500,-4.0,-5.0,-7.84,62744.102276325226
1689262744218137300,-4.0,-5.0,-9.8,62744.11319732666
1689262744218201100,-4.0,-4.0,-9.8,62744.1235435009
1689262744218218100,-4.0,-4.0,-11.76,62744.134197711945
1689262744218229600,-4.0,-5.0,-7.84,62744.14473295212
1689262744274093000,-5.0,-5.0,-7.84,62744.155129909515
