%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque,field.PF_cmd,field.EV_cmd,field.theta_cmd,field.alpha_cmd,field.PF_curr,field.EV_curr,field.CPU0,field.CPU1,field.CPU2,field.CPU3,field.t,field.valid
1689262742965000900,0,0,-142,-142,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,33.29999923706055,66.69999694824219,22.200000762939453,0.0,62742.8515625,1.0
1689262742965159400,0,0,-142,-142,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,33.29999923706055,66.69999694824219,22.200000762939453,0.0,62742.86328125,1.0
1689262742965239800,0,0,-142,-142,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,12.5,64.30000305175781,40.0,0.0,62742.87109375,1.0
1689262742965243900,0,0,-142,-142,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,12.5,64.30000305175781,40.0,0.0,62742.8828125,1.0
1689262742965245800,0,0,-142,-142,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,12.5,64.30000305175781,40.0,0.0,62742.890625,1.0
1689262742965261700,0,0,-142,-142,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,12.5,64.30000305175781,40.0,0.0,62742.90234375,1.0
1689262743063071300,0,0,-142,-142,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,12.5,64.30000305175781,40.0,0.0,62742.9140625,1.0
1689262743063092500,0,0,-142,-142,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,12.5,64.30000305175781,40.0,0.0,62742.921875,1.0
1689262743063114400,0,0,-142,-142,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,12.5,64.30000305175781,40.0,0.0,62742.93359375,1.0
1689262743063136100,0,0,-142,-142,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,12.5,64.30000305175781,40.0,0.0,62742.94140625,1.0
1689262743063138300,0,0,-142,-142,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,12.5,64.30000305175781,40.0,0.0,62742.953125,1.0
1689262743063153500,0,0,-142,-142,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,12.5,64.30000305175781,40.0,0.0,62742.9609375,1.0
1689262743063161100,0,0,-142,-142,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,0.0,62742.97265625,1.0
1689262743063230600,0,0,-142,-142,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,0.0,62742.98046875,1.0
