%time,field.mx,field.my,field.fz,field.t
1678468228060612300,69.0,78.0,209.72,1678468224.8687692
1678468228060700200,69.0,78.0,209.72,1678468224.8792725
1678468228060707000,69.0,78.0,207.76,1678468224.889562
1678468228060710400,69.0,78.0,209.72,1678468224.899827
1678468228060729500,69.0,78.0,205.79999999999998,1678468224.9101832
1678468228060732900,70.0,79.0,209.72,1678468224.9204738
1678468228060737100,69.0,79.0,209.72,1678468224.9307375
1678468228060740700,68.0,78.0,205.79999999999998,1678468224.9410627
1678468228060745400,68.0,78.0,207.76,1678468224.9513679
1678468228060756800,69.0,79.0,209.72,1678468224.9616656
1678468228060762200,69.0,78.0,209.72,1678468224.9720473
1678468228060765100,70.0,78.0,211.68,1678468224.9823694
1678468228060768400,69.0,77.0,209.72,1678468224.9926658
1678468228060827000,70.0,78.0,211.68,1678468225.0029442
1678468228060831400,69.0,78.0,207.76,1678468225.0131989
1678468228060845100,70.0,79.0,209.72,1678468225.023533
1678468228060885900,70.0,79.0,209.72,1678468225.033842
1678468228060891700,70.0,78.0,207.76,1678468225.044117
1678468228060897200,70.0,79.0,209.72,1678468225.0544178
1678468228060902200,71.0,80.0,211.68,1678468225.0647054
1678468228060912100,71.0,80.0,211.68,1678468225.075109
1678468228060921500,71.0,80.0,211.68,1678468225.085416
1678468228060925800,72.0,79.0,211.68,1678468225.0957117
1678468228060940300,72.0,78.0,211.68,1678468225.1059773
1678468228060944400,69.0,77.0,209.72,1678468225.1162882
1678468228060948700,70.0,78.0,209.72,1678468225.1267567
1678468228060952600,70.0,79.0,209.72,1678468225.1370313
1678468228060959300,69.0,78.0,207.76,1678468225.147322
1678468228060963900,68.0,77.0,207.76,1678468225.1575844
1678468228060970500,68.0,77.0,209.72,1678468225.167853
1678468228060974400,68.0,77.0,209.72,1678468225.1781528
1678468228060979100,68.0,77.0,209.72,1678468225.1884713
1678468228060989600,68.0,77.0,209.72,1678468225.1988127
1678468228060995000,68.0,79.0,209.72,1678468225.209097
1678468228060998200,67.0,78.0,207.76,1678468225.2193546
1678468228061001600,69.0,79.0,209.72,1678468225.2296176
1678468228061008800,68.0,78.0,209.72,1678468225.2399452
1678468228061014200,68.0,78.0,209.72,1678468225.25032
1678468228061017600,69.0,78.0,213.64,1678468225.2606082
1678468228061021100,68.0,78.0,211.68,1678468225.2709274
1678468228061024000,68.0,78.0,211.68,1678468225.2812264
1678468228061027200,68.0,77.0,211.68,1678468225.2914782
1678468228061033700,67.0,76.0,211.68,1678468225.301774
1678468228061042400,67.0,75.0,207.76,1678468225.3120768
1678468228061120200,66.0,74.0,207.76,1678468225.3223624
1678468228061147900,68.0,75.0,211.68,1678468225.332653
1678468228061157100,67.0,74.0,211.68,1678468225.342894
1678468228061170900,68.0,73.0,209.72,1678468225.3531234
1678468228061174700,68.0,75.0,211.68,1678468225.3634758
1678468228061177900,70.0,75.0,211.68,1678468225.3737411
1678468228061200600,71.0,76.0,211.68,1678468225.3840451
1678468228061228400,70.0,76.0,209.72,1678468225.3943408
1678468228061267600,68.0,76.0,209.72,1678468225.4046564
1678468228061273700,70.0,76.0,211.68,1678468225.414928
1678468228061556900,70.0,76.0,211.68,1678468225.4252396
1678468228173504600,70.0,76.0,211.68,1678468225.4355528
1678468228173548900,69.0,76.0,211.68,1678468225.4458396
1678468228173559500,68.0,76.0,209.72,1678468225.456095
1678468228173564600,67.0,75.0,209.72,1678468225.4663894
1678468228173594700,66.0,75.0,207.76,1678468225.476665
1678468228173901600,66.0,75.0,207.76,1678468225.4869595
1678468228173915000,66.0,75.0,209.72,1678468225.497246
1678468228173950800,65.0,74.0,207.76,1678468225.507507
