%time,field.mx,field.my,field.fz,field.t
1678468297106764000,69.0,115.0,117.6,1678468294.054858
1678468297106768700,68.0,115.0,113.67999999999999,1678468294.0652795
1678468297106772300,68.0,115.0,117.6,1678468294.0756426
1678468297106779800,67.0,115.0,113.67999999999999,1678468294.085993
1678468297106782900,68.0,114.0,117.6,1678468294.096358
1678468297106785900,66.0,115.0,113.67999999999999,1678468294.1067448
1678468297106788900,67.0,114.0,115.64,1678468294.1171312
1678468297106792800,65.0,114.0,113.67999999999999,1678468294.127534
1678468297106796000,66.0,114.0,115.64,1678468294.1379352
1678468297106799600,65.0,115.0,111.72,1678468294.1497438
1678468297106803000,64.0,114.0,115.64,1678468294.1601956
1678468297106826900,64.0,114.0,111.72,1678468294.170575
1678468297106837300,63.0,113.0,113.67999999999999,1678468294.1809525
1678468297106871400,64.0,115.0,111.72,1678468294.1913526
1678468297106879800,62.0,114.0,111.72,1678468294.2017367
1678468297106886000,63.0,115.0,111.72,1678468294.212148
1678468297106893400,62.0,114.0,109.75999999999999,1678468294.2225134
1678468297106899000,63.0,114.0,109.75999999999999,1678468294.232872
1678468297106920100,64.0,116.0,107.8,1678468294.2432344
1678468297106932000,63.0,114.0,107.8,1678468294.2536345
1678468297106955800,64.0,115.0,107.8,1678468294.264059
1678468297106966400,65.0,114.0,107.8,1678468294.2744582
1678468297106983100,64.0,113.0,107.8,1678468294.2848878
1678468297106991100,66.0,113.0,105.84,1678468294.2953093
1678468297107001600,64.0,112.0,103.88,1678468294.3058226
1678468297107007000,66.0,112.0,103.88,1678468294.3162448
1678468297107012700,64.0,111.0,103.88,1678468294.3266883
1678468297107017800,65.0,111.0,103.88,1678468294.3370967
1678468297107022600,64.0,110.0,99.96,1678468294.3474967
1678468297107029000,65.0,111.0,99.96,1678468294.3579013
1678468297107063300,63.0,108.0,98.0,1678468294.3682778
1678468297107076300,63.0,108.0,96.03999999999999,1678468294.3786385
1678468297107081900,63.0,107.0,98.0,1678468294.389344
1678468297107086500,61.0,106.0,96.03999999999999,1678468294.3997576
1678468297107089700,62.0,106.0,98.0,1678468294.4101975
1678468297193503700,60.0,106.0,94.08,1678468294.420495
1678468297193539300,61.0,107.0,94.08,1678468294.4308095
1678468297193550400,60.0,106.0,94.08,1678468294.4410903
1678468297193579800,61.0,105.0,96.03999999999999,1678468294.4513993
1678468297193588100,60.0,105.0,92.12,1678468294.4620268
1678468297193704100,61.0,105.0,94.08,1678468294.47232
1678468297193726200,61.0,104.0,94.08,1678468294.4826047
1678468297193858800,60.0,104.0,90.16,1678468294.4928737
1678468297194092800,62.0,104.0,92.12,1678468294.5031877
1678468297194113500,59.0,103.0,90.16,1678468294.5134585
1678468297194147000,61.0,104.0,90.16,1678468294.5237262
1678468297194168400,61.0,103.0,90.16,1678468294.5340245
1678468297194192300,61.0,104.0,90.16,1678468294.5443137
1678468297194203200,60.0,102.0,90.16,1678468294.554601
1678468297194248100,60.0,102.0,90.16,1678468294.5649111
1678468297194587700,59.0,101.0,90.16,1678468294.575176
1678468297194645400,61.0,102.0,90.16,1678468294.5854027
1678468297194682300,60.0,101.0,86.24,1678468294.595636
1678468297298680000,61.0,101.0,90.16,1678468294.6059349
1678468297298733400,60.0,101.0,88.2,1678468294.6162124
1678468297298745900,61.0,101.0,90.16,1678468294.626441
1678468297298755700,61.0,101.0,86.24,1678468294.636701
1678468297298762700,60.0,100.0,88.2,1678468294.6471543
1678468297298838000,61.0,102.0,88.2,1678468294.6574047
1678468297298945500,60.0,100.0,90.16,1678468294.667643
1678468297299066800,61.0,101.0,88.2,1678468294.6778717
1678468297299081300,60.0,101.0,88.2,1678468294.688098
1678468297375419800,61.0,102.0,90.16,1678468294.6983836
1678468297375500800,59.0,101.0,88.2,1678468294.7086253
1678468297375512900,60.0,103.0,90.16,1678468294.7190936
1678468297375558300,59.0,101.0,90.16,1678468294.7294004
1678468297375567200,59.0,101.0,90.16,1678468294.7398787
1678468297375595200,60.0,103.0,90.16,1678468294.7501726
1678468297375630600,58.0,101.0,90.16,1678468294.7604096
1678468297375639700,60.0,102.0,92.12,1678468294.7707303
1678468297375998200,59.0,103.0,90.16,1678468294.7809765
1678468297454202600,59.0,102.0,92.12,1678468294.7912645
1678468297454248300,60.0,103.0,90.16,1678468294.8015347
1678468297454257900,58.0,102.0,92.12,1678468294.8117583
1678468297454263000,60.0,104.0,90.16,1678468294.822007
1678468297454285200,59.0,102.0,92.12,1678468294.8322735
1678468297454454700,60.0,103.0,92.12,1678468294.842548
1678468297454514900,58.0,103.0,90.16,1678468294.852844
1678468297529551800,60.0,103.0,94.08,1678468294.8631442
1678468297529811800,58.0,103.0,88.2,1678468294.8734508
1678468297529860600,59.0,104.0,92.12,1678468294.8836782
1678468297529914500,57.0,103.0,90.16,1678468294.8939588
1678468297529955500,60.0,103.0,92.12,1678468294.9042222
1678468297530152500,57.0,103.0,90.16,1678468294.9144816
1678468297530471400,59.0,103.0,92.12,1678468294.924779
1678468297610290700,57.0,102.0,88.2,1678468294.9351082
1678468297611115300,57.0,101.0,90.16,1678468294.9454184
1678468297611383300,58.0,103.0,88.2,1678468294.9557157
1678468297611419100,58.0,102.0,90.16,1678468294.9660535
1678468297611449500,58.0,103.0,88.2,1678468294.976361
1678468297611460800,59.0,102.0,88.2,1678468294.9867754
1678468297611467300,56.0,101.0,88.2,1678468294.9970245
1678468297611486100,58.0,103.0,88.2,1678468295.0072925
1678468297703791600,57.0,101.0,86.24,1678468295.017586
1678468297703802000,58.0,102.0,88.2,1678468295.0278718
1678468297703806700,57.0,101.0,86.24,1678468295.0381625
1678468297703819800,57.0,101.0,88.2,1678468295.048445
1678468297703824600,58.0,101.0,86.24,1678468295.0587177
1678468297703872900,60.0,101.0,90.16,1678468295.0690036
1678468297703958600,58.0,100.0,88.2,1678468295.079324
1678468297704009200,59.0,101.0,90.16,1678468295.0896618
1678468297819119300,58.0,100.0,88.2,1678468295.0999563
1678468297819133700,58.0,100.0,86.24,1678468295.1102698
1678468297819138900,59.0,101.0,90.16,1678468295.1205518
1678468297819646900,59.0,101.0,90.16,1678468295.1308188
1678468297819687100,58.0,100.0,86.24,1678468295.1411004
1678468297819690600,56.0,100.0,88.2,1678468295.1513748
1678468297819738700,57.0,101.0,88.2,1678468295.1616333
1678468297820056300,57.0,99.0,88.2,1678468295.1719549
1678468297820066200,57.0,100.0,88.2,1678468295.1822605
1678468297820072500,57.0,98.0,90.16,1678468295.1925256
1678468297820077700,57.0,98.0,86.24,1678468295.2028022
1678468297820272700,58.0,98.0,90.16,1678468295.2130468
1678468297939863900,58.0,98.0,88.2,1678468295.2232976
1678468297939916300,57.0,98.0,88.2,1678468295.2335782
1678468297939930200,57.0,97.0,88.2,1678468295.2438393
1678468297939952200,57.0,97.0,86.24,1678468295.2541144
1678468297940024800,59.0,97.0,90.16,1678468295.264384
1678468297940069200,57.0,97.0,88.2,1678468295.274672
1678468297940137900,59.0,98.0,90.16,1678468295.2849693
