%time,field.mx,field.my,field.fz,field.t
1678467431969441200,159.0,76.0,239.12,1678467428.2889903
1678467431969462000,162.0,76.0,239.12,1678467428.299651
1678467431969465500,158.0,75.0,235.2,1678467428.31006
1678467431969468200,157.0,75.0,235.2,1678467428.320447
1678467431969472700,157.0,75.0,235.2,1678467428.3308866
1678467431969475300,156.0,74.0,235.2,1678467428.34131
1678467431969477800,157.0,74.0,235.2,1678467428.351627
1678467431969480500,155.0,75.0,231.28,1678467428.3619123
1678467431969483300,154.0,74.0,231.28,1678467428.372178
1678467431969485800,153.0,75.0,231.28,1678467428.3824797
1678467431969488400,153.0,75.0,233.24,1678467428.3927171
1678467431969490900,152.0,75.0,233.24,1678467428.402978
1678467431969493400,154.0,76.0,229.32,1678467428.4132643
1678467431969499400,153.0,75.0,227.35999999999999,1678467428.4235306
1678467431969506600,150.0,74.0,231.28,1678467428.4337742
1678467431969509800,152.0,74.0,233.24,1678467428.4440393
1678467431969575800,151.0,74.0,227.35999999999999,1678467428.4543161
1678467431969592900,150.0,73.0,229.32,1678467428.4645884
1678467431969603500,150.0,73.0,231.28,1678467428.474845
1678467431969607400,152.0,75.0,231.28,1678467428.4850996
1678467431969618600,150.0,74.0,227.35999999999999,1678467428.4953618
1678467431969621600,151.0,73.0,231.28,1678467428.5056098
1678467431969626900,151.0,74.0,231.28,1678467428.5158398
1678467431969633100,150.0,74.0,227.35999999999999,1678467428.526081
1678467431969636200,150.0,74.0,225.4,1678467428.5363257
1678467431969646900,149.0,73.0,229.32,1678467428.546599
1678467431969649200,152.0,74.0,231.28,1678467428.5568476
1678467431969651900,152.0,75.0,231.28,1678467428.5671065
1678467431969654200,151.0,74.0,227.35999999999999,1678467428.5773637
1678467431969657400,149.0,74.0,229.32,1678467428.5876522
1678467431969661500,149.0,74.0,233.24,1678467428.5979214
1678467431969663900,150.0,74.0,229.32,1678467428.6081936
1678467431969667400,149.0,74.0,231.28,1678467428.6184628
1678467431969669900,150.0,74.0,233.24,1678467428.6287313
1678467431969672200,150.0,74.0,233.24,1678467428.6389854
1678467431969674600,151.0,74.0,233.24,1678467428.6492245
1678467431969676900,153.0,76.0,235.2,1678467428.6594903
1678467431969679300,153.0,76.0,235.2,1678467428.6697187
1678467431969682100,153.0,75.0,233.24,1678467428.679971
1678467431969724900,152.0,74.0,233.24,1678467428.690327
1678467431969748200,152.0,74.0,235.2,1678467428.7006006
1678467431969755700,153.0,75.0,235.2,1678467428.7109084
1678467431969772600,153.0,76.0,237.16,1678467428.721189
1678467431969783300,154.0,76.0,239.12,1678467428.7314734
1678467431969788500,154.0,76.0,237.16,1678467428.7417703
1678467431969804500,153.0,74.0,241.07999999999998,1678467428.7525234
1678467431969811700,153.0,74.0,241.07999999999998,1678467428.7627966
1678467431969817900,155.0,74.0,243.04,1678467428.7730873
1678467431969823100,156.0,75.0,245.0,1678467428.783311
1678467431969832500,158.0,77.0,245.0,1678467428.7935963
1678467431969842300,156.0,75.0,245.0,1678467428.8038542
1678467431969866500,157.0,75.0,245.0,1678467428.8140821
1678467431969874600,157.0,76.0,246.96,1678467428.8243582
1678467431969920400,160.0,76.0,250.88,1678467428.834604
1678467431969946300,162.0,78.0,248.92,1678467428.8448856
1678467431969962900,159.0,76.0,248.92,1678467428.8551395
1678467431969998600,160.0,76.0,250.88,1678467428.865417
1678467431970005600,162.0,76.0,250.88,1678467428.8757007
1678467431970010500,163.0,78.0,248.92,1678467428.885932
1678467431970013500,161.0,77.0,246.96,1678467428.8962443
1678467431970016200,160.0,76.0,250.88,1678467428.9065468
1678467431970018800,163.0,77.0,250.88,1678467428.9167752
1678467431970021400,163.0,77.0,250.88,1678467428.9270473
1678467431970023900,164.0,78.0,248.92,1678467428.9372687
1678467431970026700,163.0,77.0,248.92,1678467428.9475613
1678467431970029400,163.0,76.0,246.96,1678467428.9578402
1678467431970038500,163.0,76.0,246.96,1678467428.9680681
1678467431970041100,162.0,75.0,248.92,1678467428.978292
1678467431970043800,162.0,75.0,248.92,1678467428.988534
1678467431970046200,163.0,77.0,245.0,1678467428.9988875
1678467431970050100,162.0,76.0,246.96,1678467429.0092514
1678467431970054700,162.0,76.0,246.96,1678467429.0195105
1678467431970057500,162.0,76.0,248.92,1678467429.0297503
1678467431970060100,163.0,75.0,248.92,1678467429.0399973
1678467431970062600,164.0,77.0,246.96,1678467429.05032
1678467431970068100,165.0,77.0,243.04,1678467429.060592
1678467431970070500,162.0,76.0,243.04,1678467429.0709133
1678467431970072900,162.0,75.0,246.96,1678467429.0812638
1678467431970075900,163.0,75.0,246.96,1678467429.0915732
1678467431970078300,163.0,75.0,245.0,1678467429.101925
1678467431970080900,164.0,75.0,245.0,1678467429.1122665
1678467431970113300,164.0,75.0,245.0,1678467429.1225593
1678467431970134900,165.0,75.0,245.0,1678467429.1328678
1678467431970142800,165.0,75.0,246.96,1678467429.1432173
1678467431970147700,169.0,76.0,246.96,1678467429.1536653
1678467431970151600,168.0,76.0,248.92,1678467429.1640754
1678467431970155200,168.0,77.0,246.96,1678467429.1743941
1678467431970161900,167.0,77.0,246.96,1678467429.1847098
1678467431970200300,168.0,77.0,246.96,1678467429.1951377
1678467431970214000,167.0,76.0,245.0,1678467429.205529
1678467431970220200,168.0,77.0,246.96,1678467429.2159042
1678467431970225900,167.0,76.0,245.0,1678467429.2262068
1678467431970245400,166.0,75.0,245.0,1678467429.2365909
1678467431970266100,167.0,75.0,248.92,1678467429.247017
1678467431970274500,166.0,75.0,248.92,1678467429.2574065
1678467431970281300,167.0,76.0,248.92,1678467429.267719
1678467431970286700,167.0,76.0,248.92,1678467429.2780373
1678467431970293300,167.0,78.0,246.96,1678467429.2883413
1678467431970302900,167.0,77.0,248.92,1678467429.298647
1678467431970323400,166.0,78.0,246.96,1678467429.308947
