%time,field.mx,field.my,field.fz,field.t
1678467493999431400,202.0,119.0,292.04,1678467491.3330874
1678467493999436100,206.0,122.0,290.08,1678467491.3434112
1678467493999507500,204.0,119.0,290.08,1678467491.3536956
1678467493999533900,206.0,121.0,292.04,1678467491.3639953
1678467493999544100,205.0,119.0,292.04,1678467491.3745334
1678467493999551200,207.0,121.0,292.04,1678467491.3848279
1678467493999725800,207.0,120.0,294.0,1678467491.3951373
1678467493999738000,206.0,119.0,292.04,1678467491.4054089
1678467494000728800,208.0,120.0,290.08,1678467491.4156647
1678467494096127300,206.0,118.0,292.04,1678467491.4259381
1678467494096173200,209.0,120.0,292.04,1678467491.4362798
1678467494096203500,207.0,118.0,288.12,1678467491.4467638
1678467494096215700,209.0,118.0,292.04,1678467491.457105
1678467494096235600,206.0,117.0,292.04,1678467491.467397
1678467494096281900,208.0,117.0,292.04,1678467491.47767
1678467494096310300,208.0,118.0,286.15999999999997,1678467491.487949
1678467494167852400,209.0,117.0,292.04,1678467491.498256
1678467494167910800,206.0,116.0,290.08,1678467491.508558
1678467494167925300,207.0,117.0,288.12,1678467491.5188317
1678467494167946200,208.0,116.0,288.12,1678467491.5290906
1678467494167969900,209.0,116.0,286.15999999999997,1678467491.5394216
1678467494167975000,207.0,115.0,292.04,1678467491.5497131
1678467494167978500,207.0,114.0,303.8,1678467491.5600069
1678467494167981700,207.0,114.0,299.88,1678467491.5703633
1678467494167997500,207.0,113.0,301.84,1678467491.5806398
1678467494168004800,207.0,113.0,303.8,1678467491.59089
1678467494222872300,207.0,113.0,299.88,1678467491.601155
1678467494222894500,208.0,112.0,303.8,1678467491.6114676
1678467494222903800,208.0,113.0,301.84,1678467491.6217446
1678467494222952700,208.0,112.0,305.76,1678467491.6320279
1678467494222971500,210.0,113.0,301.84,1678467491.6423247
1678467494223027700,208.0,112.0,303.8,1678467491.6528158
1678467494299574500,211.0,113.0,305.76,1678467491.6631227
1678467494299637100,209.0,112.0,303.8,1678467491.67342
1678467494299652600,211.0,113.0,305.76,1678467491.6838288
1678467494299657900,209.0,112.0,301.84,1678467491.6941245
1678467494299666200,211.0,112.0,305.76,1678467491.7045064
1678467494299677500,208.0,112.0,303.8,1678467491.7148168
1678467494299740800,209.0,113.0,301.84,1678467491.7251008
1678467494379564300,211.0,113.0,303.8,1678467491.735378
1678467494379634900,208.0,111.0,301.84,1678467491.745673
1678467494379666200,210.0,111.0,303.8,1678467491.7559705
1678467494379749700,208.0,108.0,303.8,1678467491.7662969
1678467494379813900,209.0,108.0,299.88,1678467491.776639
1678467494379832100,206.0,107.0,301.84,1678467491.7869267
1678467494379841000,208.0,109.0,303.8,1678467491.7971888
