%time,field.mx,field.my,field.fz,field.t
1678467590015789300,154.0,189.0,241.07999999999998,1678467587.0968666
1678467590015793900,154.0,189.0,241.07999999999998,1678467587.1071782
1678467590015797500,155.0,189.0,243.04,1678467587.117473
1678467590015810100,155.0,190.0,243.04,1678467587.1277544
1678467590015871300,154.0,189.0,243.04,1678467587.1380055
1678467590015881000,154.0,189.0,243.04,1678467587.1482658
1678467590015900100,155.0,189.0,241.07999999999998,1678467587.1585586
1678467590015912200,156.0,189.0,241.07999999999998,1678467587.1688461
1678467590015923600,154.0,189.0,241.07999999999998,1678467587.1791463
1678467590015927600,155.0,189.0,239.12,1678467587.1894462
1678467590015930800,156.0,189.0,241.07999999999998,1678467587.2000234
1678467590015934300,157.0,189.0,243.04,1678467587.2103631
1678467590015937400,158.0,189.0,245.0,1678467587.2206094
1678467590015965400,159.0,190.0,243.04,1678467587.2308886
1678467590015992500,159.0,190.0,245.0,1678467587.241206
1678467590016000300,159.0,191.0,245.0,1678467587.251883
1678467590016005300,158.0,192.0,248.92,1678467587.2621934
1678467590016009700,156.0,194.0,245.0,1678467587.2724793
1678467590016040700,155.0,195.0,246.96,1678467587.282783
1678467590016057600,155.0,195.0,246.96,1678467587.293074
1678467590016090400,156.0,195.0,248.92,1678467587.303331
1678467590016109900,158.0,195.0,250.88,1678467587.3144345
1678467590016114300,161.0,195.0,252.84,1678467587.3246737
1678467590016141300,160.0,195.0,250.88,1678467587.334905
1678467590016190300,161.0,196.0,248.92,1678467587.3451834
1678467590016202400,161.0,196.0,248.92,1678467587.3554137
1678467590016210600,160.0,196.0,248.92,1678467587.365644
1678467590016218800,160.0,194.0,250.88,1678467587.3759134
1678467590016230900,161.0,194.0,248.92,1678467587.3862174
1678467590016260600,162.0,195.0,248.92,1678467587.396496
1678467590016282200,162.0,195.0,248.92,1678467587.4067419
1678467590016292700,162.0,195.0,248.92,1678467587.4169993
1678467590016299800,164.0,197.0,250.88,1678467587.427256
1678467590016382400,165.0,197.0,250.88,1678467587.437523
1678467590104797400,164.0,197.0,248.92,1678467587.447815
1678467590104825300,164.0,198.0,250.88,1678467587.4581044
1678467590104851500,166.0,198.0,252.84,1678467587.4684079
1678467590104877800,165.0,197.0,254.79999999999998,1678467587.4786904
1678467590105038600,164.0,197.0,252.84,1678467587.488964
1678467590105083200,163.0,197.0,252.84,1678467587.4991975
1678467590105087800,162.0,198.0,252.84,1678467587.5094483
1678467590183445600,163.0,199.0,250.88,1678467587.5198767
1678467590183505100,163.0,200.0,252.84,1678467587.530331
1678467590183519300,163.0,200.0,252.84,1678467587.5406318
1678467590183526700,164.0,200.0,254.79999999999998,1678467587.5509224
1678467590183538400,165.0,200.0,254.79999999999998,1678467587.561179
1678467590183596400,166.0,199.0,254.79999999999998,1678467587.5714915
1678467590183609400,163.0,198.0,256.76,1678467587.5817637
1678467590183674200,164.0,199.0,254.79999999999998,1678467587.592057
1678467590257205600,164.0,200.0,252.84,1678467587.602358
1678467590257268700,163.0,200.0,254.79999999999998,1678467587.6126723
1678467590257299600,164.0,201.0,252.84,1678467587.6229463
1678467590257367700,165.0,202.0,252.84,1678467587.6332264
1678467590257380400,165.0,202.0,252.84,1678467587.643494
1678467590257408700,166.0,201.0,256.76,1678467587.6537404
1678467590257532400,163.0,201.0,254.79999999999998,1678467587.6640155
1678467590257556900,166.0,202.0,256.76,1678467587.6743112
1678467590257583100,165.0,201.0,258.71999999999997,1678467587.6845598
1678467590343438600,165.0,201.0,258.71999999999997,1678467587.6948013
1678467590343482200,164.0,200.0,256.76,1678467587.7050502
1678467590343513100,165.0,201.0,254.79999999999998,1678467587.7152886
1678467590343522700,165.0,201.0,254.79999999999998,1678467587.725921
1678467590343550200,165.0,201.0,252.84,1678467587.736344
1678467590343560600,166.0,202.0,254.79999999999998,1678467587.74661
1678467590343567900,164.0,201.0,256.76,1678467587.7568464
1678467590343754000,162.0,201.0,254.79999999999998,1678467587.7670817
1678467590395228600,162.0,201.0,252.84,1678467587.7777114
1678467590395284000,163.0,201.0,250.88,1678467587.788022
1678467590395298400,165.0,201.0,250.88,1678467587.798272
1678467590395363800,167.0,201.0,254.79999999999998,1678467587.8085394
1678467590395400000,168.0,201.0,254.79999999999998,1678467587.818799
1678467590395461700,166.0,200.0,250.88,1678467587.829042
1678467590492006400,167.0,200.0,254.79999999999998,1678467587.8393612
1678467590492090900,166.0,200.0,250.88,1678467587.8496737
1678467590492104200,166.0,200.0,250.88,1678467587.859936
1678467590492147100,166.0,200.0,250.88,1678467587.8702636
1678467590492157400,167.0,200.0,252.84,1678467587.8805218
1678467590492324000,166.0,198.0,254.79999999999998,1678467587.8907952
1678467590588656900,165.0,198.0,254.79999999999998,1678467587.9010544
1678467590588684700,163.0,199.0,250.88,1678467587.9113233
1678467590588703500,163.0,199.0,250.88,1678467587.9218137
1678467590588789100,165.0,200.0,250.88,1678467587.9320822
1678467590588814000,165.0,198.0,252.84,1678467587.9423351
1678467590588836700,163.0,198.0,252.84,1678467587.9525526
1678467590588846600,162.0,197.0,252.84,1678467587.9627776
1678467590588893800,163.0,197.0,250.88,1678467587.973057
1678467590588906000,163.0,197.0,252.84,1678467587.9833553
1678467590589023400,163.0,197.0,250.88,1678467587.993588
1678467590589036400,162.0,197.0,250.88,1678467588.0038328
1678467590716648100,163.0,197.0,248.92,1678467588.0142214
1678467590716687000,162.0,197.0,248.92,1678467588.0244946
1678467590716706100,163.0,198.0,250.88,1678467588.034716
1678467590716746600,162.0,196.0,250.88,1678467588.0449524
1678467590716773900,161.0,196.0,246.96,1678467588.0551972
1678467590716784600,162.0,196.0,246.96,1678467588.0654216
1678467590716938600,160.0,195.0,248.92,1678467588.0756977
1678467590716958500,160.0,195.0,246.96,1678467588.085964
1678467590716994400,161.0,196.0,246.96,1678467588.0961947
1678467590808173500,161.0,196.0,248.92,1678467588.106458
1678467590808199300,161.0,196.0,246.96,1678467588.1167312
1678467590808205000,162.0,196.0,248.92,1678467588.1270301
1678467590808232900,159.0,193.0,248.92,1678467588.1374404
1678467590808250100,161.0,194.0,246.96,1678467588.1476762
1678467590808327100,162.0,195.0,248.92,1678467588.1579187
1678467590808341300,163.0,193.0,248.92,1678467588.1681674
1678467590808756400,160.0,192.0,248.92,1678467588.1784341
1678467590808769600,160.0,192.0,245.0,1678467588.1887105
1678467590808773500,162.0,193.0,246.96,1678467588.1989563
1678467590808784300,160.0,191.0,248.92,1678467588.2095044
1678467590808916800,158.0,191.0,246.96,1678467588.2199502
1678467590933992000,160.0,192.0,245.0,1678467588.2304292
1678467590934015500,160.0,192.0,246.96,1678467588.2408886
1678467590934019700,160.0,191.0,246.96,1678467588.251322
1678467590934023000,158.0,190.0,248.92,1678467588.2615793
1678467590934030600,158.0,189.0,246.96,1678467588.2718573
1678467590934034200,159.0,190.0,246.96,1678467588.2821238
1678467590934039100,156.0,189.0,245.0,1678467588.2924056
1678467590934042300,156.0,189.0,243.04,1678467588.302663
1678467590934046700,156.0,188.0,241.07999999999998,1678467588.3129177
1678467590934054400,155.0,187.0,243.04,1678467588.3233862
1678467590934057300,155.0,187.0,243.04,1678467588.3336432
1678467590934060600,154.0,186.0,241.07999999999998,1678467588.3439019
1678467591022795100,154.0,186.0,241.07999999999998,1678467588.3541548
1678467591022835300,154.0,185.0,239.12,1678467588.3644447
1678467591022844900,154.0,185.0,237.16,1678467588.3746874
1678467591022852800,156.0,186.0,239.12,1678467588.3849475
1678467591022917200,155.0,184.0,239.12,1678467588.395375
1678467591022948300,154.0,184.0,239.12,1678467588.4056325
1678467591022952400,152.0,183.0,237.16,1678467588.4160945
1678467591023295300,153.0,183.0,235.2,1678467588.4265337
1678467591135421900,153.0,183.0,233.24,1678467588.4369648
1678467591135470600,153.0,184.0,235.2,1678467588.4474254
1678467591135502800,153.0,183.0,233.24,1678467588.4576676
1678467591135535600,153.0,182.0,235.2,1678467588.4681125
1678467591135543700,151.0,181.0,233.24,1678467588.4785361
1678467591135549100,151.0,182.0,231.28,1678467588.4887779
1678467591135554300,150.0,182.0,233.24,1678467588.499359
1678467591135617700,151.0,182.0,233.24,1678467588.5097976
1678467591135710100,152.0,182.0,235.2,1678467588.5200562
1678467591135776300,152.0,184.0,233.24,1678467588.5305755
1678467591199507900,152.0,183.0,233.24,1678467588.5408459
1678467591199546500,153.0,184.0,231.28,1678467588.551286
1678467591199568800,153.0,185.0,233.24,1678467588.5617294
1678467591199576400,152.0,184.0,235.2,1678467588.572153
1678467591199582800,152.0,185.0,235.2,1678467588.5825708
1678467591199664600,153.0,185.0,233.24,1678467588.5930748
1678467591199752700,154.0,187.0,237.16,1678467588.6033382
1678467591199839700,155.0,185.0,237.16,1678467588.613613
1678467591200016300,153.0,186.0,235.2,1678467588.6238797
1678467591260225600,155.0,187.0,235.2,1678467588.6343126
1678467591260315100,156.0,186.0,239.12,1678467588.6445868
1678467591260332400,152.0,185.0,239.12,1678467588.6554122
1678467591260560100,153.0,186.0,237.16,1678467588.6656775
1678467591260820800,155.0,187.0,237.16,1678467588.6759331
1678467591260828200,155.0,187.0,239.12,1678467588.6862311
1678467591347324800,155.0,187.0,237.16,1678467588.6965616
1678467591347377000,156.0,187.0,241.07999999999998,1678467588.7068524
1678467591347384700,153.0,187.0,239.12,1678467588.717116
1678467591347392900,155.0,187.0,237.16,1678467588.727593
1678467591347466600,157.0,189.0,241.07999999999998,1678467588.7378614
1678467591347517100,158.0,189.0,243.04,1678467588.7481549
1678467591347522600,157.0,190.0,243.04,1678467588.7584372
1678467591421735700,158.0,189.0,245.0,1678467588.768732
1678467591421755900,155.0,189.0,243.04,1678467588.7790277
1678467591421855100,155.0,190.0,243.04,1678467588.7899702
1678467591421889700,157.0,192.0,245.0,1678467588.8003886
1678467591421913900,155.0,191.0,243.04,1678467588.81068
1678467591421977900,157.0,192.0,241.07999999999998,1678467588.8209848
1678467591422125900,157.0,192.0,241.07999999999998,1678467588.8312812
1678467591422134500,156.0,192.0,243.04,1678467588.8415806
1678467591422236600,157.0,193.0,241.07999999999998,1678467588.8520644
1678467591533987200,158.0,194.0,245.0,1678467588.8623533
1678467591534026700,156.0,192.0,245.0,1678467588.8726504
1678467591534035500,157.0,193.0,245.0,1678467588.8829618
1678467591534057300,158.0,193.0,243.04,1678467588.8932638
1678467591534097500,160.0,193.0,246.96,1678467588.9035501
1678467591534119300,157.0,193.0,245.0,1678467588.9138398
1678467591616333700,157.0,193.0,245.0,1678467588.9241464
1678467591616398900,157.0,194.0,245.0,1678467588.9344532
1678467591616409000,158.0,195.0,243.04,1678467588.944726
1678467591616424800,158.0,195.0,246.96,1678467588.9550273
1678467591616433300,158.0,195.0,245.0,1678467588.965451
1678467591616439400,159.0,197.0,245.0,1678467588.9757202
1678467591616776700,160.0,197.0,246.96,1678467588.9861338
1678467591616797600,158.0,196.0,246.96,1678467588.996394
1678467591616813400,158.0,196.0,248.92,1678467589.0066397
1678467591616831600,158.0,197.0,245.0,1678467589.016927
