%time,field.mx,field.my,field.fz,field.t
1678466802280723300,125.0,70.0,166.6,1678466799.5279822
1678466802280727400,129.0,73.0,164.64,1678466799.5382886
1678466802280788100,128.0,71.0,170.52,1678466799.5485525
1678466802280812300,127.0,71.0,164.64,1678466799.5588582
1678466802280833200,127.0,71.0,164.64,1678466799.5691848
1678466802280893600,126.0,70.0,168.56,1678466799.5794706
1678466802280912500,125.0,72.0,164.64,1678466799.589771
1678466802280918100,128.0,73.0,168.56,1678466799.600155
1678466802280923200,126.0,72.0,170.52,1678466799.6104515
1678466802280927100,124.0,72.0,168.56,1678466799.620699
1678466802280934400,126.0,71.0,170.52,1678466799.6310263
1678466802280938900,127.0,71.0,166.6,1678466799.6413062
1678466802280942800,131.0,72.0,162.68,1678466799.6516078
1678466802280965600,133.0,72.0,170.52,1678466799.6618946
1678466802280969800,130.0,72.0,166.6,1678466799.6721652
1678466802280973100,132.0,75.0,166.6,1678466799.682474
1678466802280996600,128.0,72.0,168.56,1678466799.6927443
1678466802281009200,129.0,73.0,162.68,1678466799.70303
1678466802281016600,131.0,74.0,166.6,1678466799.7132711
1678466802281086700,127.0,72.0,166.6,1678466799.723508
1678466802443240200,130.0,73.0,162.68,1678466799.7338655
1678466802443288300,131.0,73.0,168.56,1678466799.7442143
1678466802443324100,127.0,72.0,170.52,1678466799.754536
1678466802443334900,127.0,73.0,168.56,1678466799.7648323
1678466802443344600,129.0,74.0,170.52,1678466799.7751322
1678466802443353300,127.0,75.0,166.6,1678466799.7854722
1678466802443380600,131.0,76.0,166.6,1678466799.7957983
1678466802443391000,129.0,75.0,170.52,1678466799.8060803
1678466802443399500,128.0,74.0,170.52,1678466799.816345
1678466802443407300,131.0,76.0,164.64,1678466799.8266258
1678466802443454900,134.0,76.0,170.52,1678466799.836894
1678466802443501800,131.0,75.0,170.52,1678466799.847199
1678466802443607100,131.0,76.0,166.6,1678466799.8574808
1678466802443618300,132.0,77.0,164.64,1678466799.8677578
1678466802443676900,131.0,76.0,168.56,1678466799.8780444
1678466803075094800,130.0,77.0,162.68,1678466799.8883703
1678466803075124200,132.0,79.0,162.68,1678466799.8986642
1678466803075132700,129.0,76.0,168.56,1678466799.9089384
1678466803075136700,130.0,78.0,158.76,1678466799.9192162
1678466803075139600,128.0,76.0,166.6,1678466799.929499
1678466803075142300,125.0,75.0,164.64,1678466799.93979
1678466803075144800,128.0,77.0,158.76,1678466799.950214
1678466803075149200,129.0,77.0,158.76,1678466799.960542
1678466803075172700,130.0,78.0,164.64,1678466799.9708815
1678466803075300600,127.0,76.0,166.6,1678466799.981185
1678466803075332300,126.0,77.0,162.68,1678466799.9914534
1678466803075338400,127.0,78.0,160.72,1678466800.001754
1678466803075341000,128.0,79.0,158.76,1678466800.012112
1678466803075343200,126.0,78.0,164.64,1678466800.0224457
1678466803075364400,126.0,78.0,162.68,1678466800.0327857
1678466803075383300,127.0,79.0,158.76,1678466800.0431116
1678466803075393800,128.0,78.0,164.64,1678466800.05341
1678466803075398900,124.0,78.0,164.64,1678466800.0636697
1678466803075400900,124.0,78.0,160.72,1678466800.0739858
1678466803075403500,125.0,80.0,158.76,1678466800.0843256
1678466803075407500,126.0,80.0,158.76,1678466800.0946074
1678466803075496400,128.0,81.0,164.64,1678466800.1049185
1678466803075842000,124.0,78.0,164.64,1678466800.1154506
1678466803075874800,126.0,79.0,160.72,1678466800.1261647
1678466803075883100,130.0,81.0,164.64,1678466800.1364746
1678466803075890500,128.0,79.0,168.56,1678466800.14678
1678466803075894600,128.0,80.0,166.6,1678466800.1570704
1678466803075906600,132.0,83.0,168.56,1678466800.1673467
1678466803075918900,129.0,80.0,168.56,1678466800.1776505
1678466803075927100,129.0,81.0,166.6,1678466800.187958
1678466803075930200,131.0,83.0,164.64,1678466800.1982362
1678466803075932600,131.0,81.0,170.52,1678466800.208572
1678466803075939300,130.0,83.0,162.68,1678466800.2188604
1678466803075951500,131.0,84.0,162.68,1678466800.2291982
1678466803075963400,130.0,83.0,170.52,1678466800.2395005
1678466803076134100,128.0,83.0,166.6,1678466800.2498138
1678466803076140800,130.0,85.0,162.68,1678466800.2601917
1678466803076151200,127.0,84.0,166.6,1678466800.2704842
1678466803076395700,128.0,85.0,160.72,1678466800.280807
1678466803076466200,130.0,86.0,166.6,1678466800.2911108
1678466803076529500,126.0,83.0,164.64,1678466800.3013732
1678466803076564500,129.0,85.0,160.72,1678466800.3116348
1678466803076572700,129.0,82.0,166.6,1678466800.3223896
1678466803076576100,128.0,83.0,162.68,1678466800.3327053
1678466803076578600,131.0,84.0,160.72,1678466800.342987
1678466803076580800,132.0,83.0,168.56,1678466800.3532476
1678466803076634700,129.0,84.0,162.68,1678466800.3635478
1678466803076641200,132.0,87.0,166.6,1678466800.373849
1678466803076687600,129.0,85.0,166.6,1678466800.3841314
1678466803076709700,129.0,86.0,162.68,1678466800.394446
1678466803076722600,131.0,88.0,166.6,1678466800.4047287
1678466803076731600,127.0,86.0,162.68,1678466800.4150326
1678466803076972900,130.0,88.0,164.64,1678466800.4253438
1678466803076995700,126.0,85.0,164.64,1678466800.435643
1678466803077030800,129.0,87.0,162.68,1678466800.4460115
1678466803077104700,129.0,87.0,160.72,1678466800.4566514
1678466803159780600,131.0,87.0,166.6,1678466800.4673243
1678466803159887800,128.0,86.0,162.68,1678466800.4776773
1678466803159902500,131.0,88.0,160.72,1678466800.4880216
1678466803159947700,132.0,87.0,168.56,1678466800.4983242
1678466803159993600,132.0,89.0,164.64,1678466800.5086224
1678466803160006000,131.0,87.0,168.56,1678466800.5189352
1678466803160020400,131.0,88.0,162.68,1678466800.5295124
1678466803160100300,133.0,90.0,168.56,1678466800.5398214
1678466803473445900,128.0,88.0,166.6,1678466800.5501888
1678466803473478500,130.0,90.0,162.68,1678466800.5605614
1678466803473488700,132.0,90.0,168.56,1678466800.5709596
1678466803473496200,129.0,90.0,164.64,1678466800.581259
1678466803473508000,132.0,92.0,164.64,1678466800.591569
1678466803473532700,129.0,90.0,170.52,1678466800.6018639
1678466803473675800,131.0,92.0,162.68,1678466800.6121724
1678466803473702500,129.0,90.0,170.52,1678466800.6225288
1678466803473718200,130.0,92.0,166.6,1678466800.6328402
1678466803473736000,132.0,94.0,166.6,1678466800.6431544
1678466803473744300,130.0,92.0,170.52,1678466800.6534822
1678466803473761200,130.0,93.0,166.6,1678466800.6640801
1678466803473768800,132.0,94.0,164.64,1678466800.6744163
1678466803473791900,133.0,95.0,172.48,1678466800.6847208
1678466803473805500,131.0,95.0,168.56,1678466800.6950235
1678466803473899300,135.0,96.0,170.52,1678466800.7053297
1678466803473905700,130.0,94.0,168.56,1678466800.7156587
1678466803473922100,132.0,95.0,164.64,1678466800.7259643
1678466803473936200,131.0,94.0,170.52,1678466800.736281
1678466803473945900,131.0,96.0,162.68,1678466800.7466142
1678466803474276400,132.0,97.0,162.68,1678466800.75692
1678466803474286000,132.0,97.0,162.68,1678466800.767267
1678466803665170100,135.0,96.0,168.56,1678466800.7776167
1678466803665215800,134.0,96.0,166.6,1678466800.787934
1678466803665221500,138.0,98.0,162.68,1678466800.7982774
1678466803665226400,138.0,97.0,170.52,1678466800.8086216
1678466803665234400,137.0,98.0,164.64,1678466800.81896
1678466803665239100,140.0,100.0,170.52,1678466800.829314
1678466803665245400,136.0,99.0,166.6,1678466800.839612
1678466803665250100,139.0,101.0,164.64,1678466800.850067
1678466803665254700,137.0,100.0,172.48,1678466800.8604338
1678466803665259400,136.0,101.0,166.6,1678466800.8707237
1678466803665263800,139.0,103.0,168.56,1678466800.8810287
1678466803665269000,133.0,100.0,168.56,1678466800.8913305
1678466803665273600,134.0,102.0,160.72,1678466800.9016237
1678466803665279200,131.0,101.0,166.6,1678466800.9119503
1678466803665381300,131.0,102.0,158.76,1678466800.9222584
1678466803667067700,133.0,104.0,162.68,1678466800.9325678
1678466803667770400,130.0,101.0,162.68,1678466800.9428396
1678466803667800400,132.0,101.0,158.76,1678466800.9531677
1678466803667807700,134.0,102.0,156.8,1678466800.9635513
1678466803667814600,136.0,101.0,162.68,1678466800.9738634
1678466803667825500,133.0,101.0,156.8,1678466800.9841712
1678466803667833000,136.0,104.0,156.8,1678466800.9944553
1678466803667843400,136.0,103.0,158.76,1678466801.0048046
1678466803667850000,134.0,104.0,152.88,1678466801.015143
1678466803667856600,134.0,103.0,158.76,1678466801.0254264
1678466803667878500,133.0,105.0,152.88,1678466801.0357032
1678466803667885600,136.0,106.0,156.8,1678466801.0459986
1678466803667892800,131.0,104.0,156.8,1678466801.0563033
1678466803667899700,134.0,107.0,150.92,1678466801.0666106
1678466803667910800,131.0,105.0,156.8,1678466801.0769246
1678466803668983100,131.0,106.0,150.92,1678466801.0872061
1678466803978863400,133.0,108.0,150.92,1678466801.0975795
1678466803978880000,130.0,106.0,152.88,1678466801.107987
1678466803978900000,132.0,108.0,148.96,1678466801.1183608
1678466803978913200,135.0,108.0,156.8,1678466801.12872
1678466803978920300,132.0,107.0,152.88,1678466801.1394832
1678466803978924000,135.0,108.0,150.92,1678466801.149857
1678466803978926700,131.0,105.0,154.84,1678466801.1602767
1678466803978933800,131.0,108.0,145.04,1678466801.1705492
1678466803978981300,127.0,108.0,150.92,1678466801.1808643
1678466803979005300,125.0,109.0,147.0,1678466801.1911693
1678466803979029300,128.0,112.0,145.04,1678466801.201535
1678466803979051200,126.0,109.0,148.96,1678466801.2117946
1678466803979074900,132.0,110.0,145.04,1678466801.222075
1678466803979081400,132.0,107.0,152.88,1678466801.232586
1678466803979087900,132.0,108.0,150.92,1678466801.2428617
1678466804305546100,137.0,110.0,152.88,1678466801.2531672
1678466804305565500,134.0,110.0,154.84,1678466801.2634735
1678466804305569500,134.0,113.0,148.96,1678466801.273719
1678466804305573000,133.0,114.0,148.96,1678466801.2839947
1678466804305581100,134.0,114.0,147.0,1678466801.2942908
1678466804305584500,133.0,113.0,154.84,1678466801.3045805
1678466804305614800,132.0,114.0,148.96,1678466801.3148785
1678466804305630500,129.0,112.0,154.84,1678466801.325141
1678466804305651200,131.0,114.0,148.96,1678466801.3354015
1678466804305661600,131.0,114.0,156.8,1678466801.3457427
1678466804305664900,129.0,115.0,154.84,1678466801.35609
1678466804305668200,133.0,118.0,150.92,1678466801.366366
1678466804305682100,132.0,116.0,158.76,1678466801.3766446
1678466804305688200,134.0,118.0,152.88,1678466801.3869288
1678466804305706600,137.0,119.0,158.76,1678466801.3972628
1678466804305761400,134.0,118.0,154.84,1678466801.4075315
1678466804306119100,137.0,119.0,160.72,1678466801.4177935
1678466804306242900,135.0,119.0,156.8,1678466801.428064
1678466804306264600,137.0,120.0,162.68,1678466801.438337
1678466804306278900,134.0,121.0,158.76,1678466801.4486444
1678466804306323200,136.0,123.0,156.8,1678466801.4589076
1678466804306331200,136.0,122.0,164.64,1678466801.4691877
1678466804306340400,136.0,124.0,160.72,1678466801.4795253
1678466804306346900,139.0,124.0,166.6,1678466801.489839
1678466804306547400,137.0,124.0,166.6,1678466801.500166
1678466804306571900,137.0,124.0,166.6,1678466801.5104904
1678466804306588600,141.0,127.0,168.56,1678466801.520819
1678466804306596600,138.0,126.0,166.6,1678466801.5311317
1678466804306602700,141.0,128.0,168.56,1678466801.5415406
1678466804306607600,139.0,126.0,172.48,1678466801.5518909
1678466804306612800,140.0,128.0,166.6,1678466801.5622292
