%time,field.mx,field.my,field.fz,field.t
1678466970680682400,51.0,126.0,84.28,1678466968.0375705
1678466970680730500,52.0,128.0,86.24,1678466968.0482366
1678466970680758100,51.0,129.0,88.2,1678466968.0587826
1678466970680774700,48.0,126.0,90.16,1678466968.0694392
1678466970680839700,48.0,128.0,84.28,1678466968.0798588
1678466970680858900,50.0,129.0,90.16,1678466968.0902941
1678466970680970200,46.0,127.0,88.2,1678466968.1005707
1678466970756384300,48.0,129.0,86.24,1678466968.1108766
1678466970756415300,46.0,126.0,88.2,1678466968.1211548
1678466970756422800,47.0,127.0,82.32,1678466968.13145
1678466970756479500,48.0,126.0,86.24,1678466968.141734
1678466970756493700,46.0,125.0,80.36,1678466968.152
1678466970756512200,47.0,125.0,80.36,1678466968.1623363
1678466970756560000,48.0,124.0,86.24,1678466968.1727397
1678466970756571700,47.0,124.0,80.36,1678466968.1831431
1678466970756578800,51.0,126.0,82.32,1678466968.1934187
1678466970840823600,50.0,124.0,78.4,1678466968.203713
1678466970840853800,50.0,123.0,78.4,1678466968.214011
1678466970840861700,53.0,123.0,84.28,1678466968.2243185
1678466970840891900,49.0,123.0,82.32,1678466968.2346342
1678466970840949700,53.0,126.0,82.32,1678466968.2449198
1678466970840959800,54.0,126.0,82.32,1678466968.2552528
1678466970841024800,49.0,124.0,80.36,1678466968.2655222
1678466970841060500,52.0,126.0,82.32,1678466968.275811
1678466970841114500,49.0,124.0,82.32,1678466968.2860832
1678466970966135500,49.0,125.0,82.32,1678466968.296387
1678466970966166400,50.0,126.0,80.36,1678466968.306714
1678466970966215500,53.0,129.0,84.28,1678466968.317012
1678466970966257800,50.0,127.0,84.28,1678466968.3272753
1678466970966272200,53.0,130.0,82.32,1678466968.3375144
1678466970966278400,55.0,130.0,88.2,1678466968.3478475
1678466970966780200,56.0,131.0,88.2,1678466968.3581142
1678466970966926600,54.0,131.0,86.24,1678466968.3684042
1678466971270851100,58.0,134.0,88.2,1678466968.3786879
1678466971270877200,56.0,132.0,92.12,1678466968.3890033
1678466971270912600,59.0,133.0,90.16,1678466968.3993046
1678466971270945300,58.0,133.0,92.12,1678466968.4096556
1678466971270962700,56.0,133.0,90.16,1678466968.420039
1678466971270966600,58.0,134.0,88.2,1678466968.4304807
1678466971270970600,60.0,134.0,92.12,1678466968.4408803
1678466971271000500,61.0,134.0,94.08,1678466968.4512515
1678466971271050400,59.0,133.0,90.16,1678466968.461624
1678466971271074200,61.0,135.0,92.12,1678466968.4720092
1678466971271096700,61.0,133.0,96.03999999999999,1678466968.4823647
1678466971271113600,60.0,133.0,96.03999999999999,1678466968.492729
1678466971271145600,61.0,135.0,94.08,1678466968.5031245
1678466971271166600,65.0,136.0,98.0,1678466968.5135005
1678466971271199100,63.0,136.0,98.0,1678466968.5238903
1678466971271251300,66.0,138.0,98.0,1678466968.5342636
1678466971271266600,65.0,137.0,103.88,1678466968.5446558
1678466971271401100,66.0,138.0,105.84,1678466968.5549726
1678466971365880000,69.0,141.0,101.92,1678466968.5653899
1678466971365927800,72.0,143.0,109.75999999999999,1678466968.5758185
1678466971365957400,69.0,141.0,111.72,1678466968.5862021
1678466971365968500,72.0,144.0,109.75999999999999,1678466968.5965867
1678466971366042700,73.0,144.0,117.6,1678466968.6069605
1678466971366066800,69.0,144.0,115.64,1678466968.6173902
1678466971366090400,71.0,147.0,117.6,1678466968.6277573
1678466971366117200,68.0,146.0,119.56,1678466968.638118
1678466971366144200,65.0,145.0,119.56,1678466968.6484995
1678466971366165000,67.0,148.0,117.6,1678466968.6589592
1678466971366229200,63.0,145.0,121.52,1678466968.6696658
1678466971366329800,66.0,148.0,119.56,1678466968.6800222
1678466971366343400,63.0,144.0,119.56,1678466968.6904619
1678466971366352500,64.0,144.0,119.56,1678466968.700795
1678466971366411400,68.0,144.0,121.52,1678466968.7111657
1678466971366485000,67.0,142.0,115.64,1678466968.7214797
1678466971366498000,72.0,143.0,119.56,1678466968.7317786
1678466971366618100,71.0,142.0,115.64,1678466968.7421632
1678466971366637700,73.0,142.0,113.67999999999999,1678466968.7525063
1678466971366715600,75.0,142.0,117.6,1678466968.7628927
1678466971366741100,73.0,141.0,113.67999999999999,1678466968.773221
1678466971366783500,75.0,142.0,109.75999999999999,1678466968.7835927
1678466971366789100,77.0,143.0,109.75999999999999,1678466968.7939754
1678466971444547200,77.0,142.0,113.67999999999999,1678466968.8044074
1678466971444579400,75.0,140.0,113.67999999999999,1678466968.814801
1678466971444612700,76.0,141.0,107.8,1678466968.8251328
1678466971444627200,79.0,143.0,111.72,1678466968.8354602
1678466971444672200,76.0,141.0,111.72,1678466968.8458288
1678466971444724300,76.0,141.0,109.75999999999999,1678466968.8562145
1678466971444761800,76.0,141.0,109.75999999999999,1678466968.8666
1678466971444802300,79.0,143.0,109.75999999999999,1678466968.8769236
1678466971512288400,75.0,140.0,109.75999999999999,1678466968.8875148
1678466971512328300,78.0,142.0,111.72,1678466968.8979466
1678466971512352100,77.0,140.0,113.67999999999999,1678466968.908338
1678466971512483500,74.0,139.0,111.72,1678466968.9187174
1678466971512546300,77.0,139.0,113.67999999999999,1678466968.9292247
1678466971512566800,74.0,139.0,113.67999999999999,1678466968.9397423
1678466971512575300,74.0,139.0,111.72,1678466968.9501283
