%time,field.mx,field.my,field.fz,field.t
1678467018459407500,81.0,158.0,123.48,1678467015.6261854
1678467018459411800,84.0,160.0,119.56,1678467015.636499
1678467018459415400,83.0,159.0,123.48,1678467015.6467786
1678467018459418600,85.0,161.0,117.6,1678467015.6570702
1678467018459422000,82.0,160.0,119.56,1678467015.6674006
1678467018459425300,85.0,161.0,121.52,1678467015.677735
1678467018459428300,81.0,160.0,117.6,1678467015.6880262
1678467018459432200,81.0,160.0,121.52,1678467015.698337
1678467018459435600,80.0,162.0,117.6,1678467015.7086613
1678467018459438600,77.0,161.0,121.52,1678467015.7189867
1678467018459442300,79.0,164.0,121.52,1678467015.7295222
1678467018459445600,77.0,162.0,119.56,1678467015.7400134
1678467018459448600,78.0,162.0,125.44,1678467015.7505682
1678467018459463700,77.0,163.0,119.56,1678467015.7608802
1678467018459493300,75.0,162.0,123.48,1678467015.7711728
1678467018459497200,77.0,165.0,123.48,1678467015.7814665
1678467018459509800,73.0,163.0,123.48,1678467015.7917726
1678467018459520300,73.0,163.0,127.39999999999999,1678467015.8020751
1678467018459525300,73.0,165.0,121.52,1678467015.8123746
1678467018459529300,72.0,163.0,125.44,1678467015.822687
1678467018459532600,70.0,163.0,123.48,1678467015.8330774
1678467018459536900,70.0,162.0,125.44,1678467015.8434145
1678467018459541000,73.0,164.0,123.48,1678467015.8537228
1678467018572072600,70.0,161.0,123.48,1678467015.8640196
1678467018572105100,74.0,163.0,123.48,1678467015.874356
1678467018572145400,71.0,160.0,121.52,1678467015.8846679
1678467018572159400,75.0,160.0,123.48,1678467015.8949943
1678467018572166700,76.0,160.0,119.56,1678467015.905343
1678467018572581800,76.0,158.0,121.52,1678467015.9156716
1678467018572619200,78.0,159.0,117.6,1678467015.9259918
1678467018572733200,77.0,156.0,121.52,1678467015.9364843
1678467018572981300,79.0,158.0,115.64,1678467015.9468913
1678467018658920400,78.0,156.0,119.56,1678467015.957318
1678467018659080700,82.0,158.0,121.52,1678467015.9677095
1678467018659198400,80.0,156.0,121.52,1678467015.9780803
1678467018659207900,84.0,157.0,123.48,1678467015.9884577
1678467018659245700,82.0,157.0,117.6,1678467015.9988678
1678467018659262800,81.0,156.0,123.48,1678467016.0095356
1678467018659400100,84.0,158.0,125.44,1678467016.0198407
1678467018659415700,83.0,158.0,121.52,1678467016.0302186
1678467018659443300,81.0,158.0,121.52,1678467016.04063
1678467018659448800,81.0,157.0,125.44,1678467016.0511973
1678467018659528300,81.0,158.0,115.64,1678467016.0615325
1678467018659539400,81.0,158.0,107.8,1678467016.0718675
1678467018659559800,82.0,160.0,111.72,1678467016.0825975
1678467018659602200,80.0,158.0,109.75999999999999,1678467016.093251
1678467018791162800,79.0,157.0,111.72,1678467016.1036546
1678467018791211600,82.0,158.0,115.64,1678467016.113992
1678467018791248500,81.0,159.0,107.8,1678467016.12435
1678467018791256500,79.0,158.0,111.72,1678467016.1347258
1678467018791274500,83.0,160.0,113.67999999999999,1678467016.1451263
1678467018791289200,80.0,159.0,111.72,1678467016.1555035
1678467018791328500,81.0,159.0,113.67999999999999,1678467016.1659346
1678467018791332800,83.0,160.0,113.67999999999999,1678467016.1763082
1678467018791889400,82.0,160.0,113.67999999999999,1678467016.186665
1678467018791922100,82.0,162.0,109.75999999999999,1678467016.196973
1678467018792173700,80.0,161.0,111.72,1678467016.2073174
1678467018792185800,83.0,164.0,113.67999999999999,1678467016.2176702
1678467018952257900,82.0,163.0,109.75999999999999,1678467016.2279553
1678467018952284100,82.0,164.0,113.67999999999999,1678467016.238357
1678467018952324700,78.0,161.0,111.72,1678467016.2487557
1678467018952352200,78.0,161.0,115.64,1678467016.259245
1678467018952383900,78.0,162.0,109.75999999999999,1678467016.2696273
1678467018952395300,75.0,161.0,111.72,1678467016.279967
1678467018952410200,76.0,162.0,113.67999999999999,1678467016.290455
1678467018952417900,77.0,163.0,107.8,1678467016.3007944
1678467018952425900,77.0,162.0,115.64,1678467016.3111885
1678467018952480500,76.0,162.0,111.72,1678467016.321543
1678467019137579000,79.0,164.0,113.67999999999999,1678467016.3318772
1678467019137621000,77.0,162.0,113.67999999999999,1678467016.3422966
1678467019137636300,79.0,161.0,117.6,1678467016.352706
1678467019137661800,77.0,162.0,111.72,1678467016.3631082
1678467019137673300,75.0,159.0,117.6,1678467016.3734896
1678467019137679300,77.0,160.0,111.72,1678467016.383937
1678467019137954500,74.0,157.0,115.64,1678467016.3943224
1678467019138086000,78.0,158.0,117.6,1678467016.4047065
1678467019138093000,76.0,157.0,113.67999999999999,1678467016.4150777
1678467019138118100,77.0,158.0,111.72,1678467016.4254458
1678467019138165500,79.0,158.0,113.67999999999999,1678467016.4358454
1678467019138267900,78.0,157.0,113.67999999999999,1678467016.4462276
1678467019138275300,80.0,158.0,117.6,1678467016.4565942
1678467019138283500,82.0,160.0,113.67999999999999,1678467016.4669447
1678467019138289800,81.0,159.0,111.72,1678467016.4773118
1678467019138304100,82.0,158.0,111.72,1678467016.4877
1678467019138310400,80.0,157.0,115.64,1678467016.4981143
1678467019138324800,83.0,157.0,115.64,1678467016.5084581
1678467019138336400,82.0,158.0,109.75999999999999,1678467016.518795
1678467019138361400,80.0,156.0,115.64,1678467016.529439
1678467019138375900,82.0,159.0,111.72,1678467016.539881
1678467019138404300,80.0,158.0,111.72,1678467016.5502138
1678467019138410600,80.0,157.0,115.64,1678467016.5605512
1678467019138413400,81.0,158.0,111.72,1678467016.570921
1678467019138423200,79.0,157.0,115.64,1678467016.5813646
1678467019218773200,82.0,159.0,113.67999999999999,1678467016.5917165
1678467019218826100,80.0,157.0,117.6,1678467016.6020818
1678467019218854200,83.0,158.0,119.56,1678467016.6124847
1678467019219051500,81.0,158.0,115.64,1678467016.6228857
1678467019219200900,82.0,160.0,117.6,1678467016.6333005
1678467019219344500,80.0,159.0,113.67999999999999,1678467016.643685
1678467019297741900,79.0,158.0,117.6,1678467016.6540465
1678467019297776400,81.0,159.0,119.56,1678467016.6644363
1678467019297787300,80.0,159.0,115.64,1678467016.6748261
1678467019297789700,79.0,160.0,115.64,1678467016.6851747
1678467019297802300,78.0,159.0,117.6,1678467016.6955075
1678467019297808500,82.0,161.0,117.6,1678467016.7058482
1678467019297812000,80.0,161.0,111.72,1678467016.716201
1678467019297815900,81.0,162.0,115.64,1678467016.7266107
1678467019298015400,79.0,160.0,113.67999999999999,1678467016.7369719
1678467019298113400,78.0,159.0,117.6,1678467016.7473578
1678467019382105300,81.0,162.0,115.64,1678467016.7576988
1678467019382124800,79.0,161.0,113.67999999999999,1678467016.768058
1678467019382130400,79.0,161.0,117.6,1678467016.7786858
1678467019382133900,81.0,163.0,111.72,1678467016.789612
1678467019382137100,79.0,162.0,117.6,1678467016.8003776
1678467019382142400,82.0,164.0,117.6,1678467016.8107712
1678467019382146900,80.0,164.0,115.64,1678467016.8210952
1678467019697826400,81.0,163.0,119.56,1678467016.8315032
1678467019697846900,81.0,165.0,115.64,1678467016.8418047
1678467019697872000,79.0,164.0,117.6,1678467016.852091
1678467019697881600,81.0,165.0,119.56,1678467016.862372
1678467019697885200,80.0,166.0,113.67999999999999,1678467016.872699
1678467019697895400,80.0,166.0,115.64,1678467016.8830423
1678467019697899900,78.0,164.0,117.6,1678467016.8933074
1678467019697915200,78.0,164.0,117.6,1678467016.9035783
1678467019697922900,81.0,166.0,115.64,1678467016.9138594
1678467019697927600,79.0,164.0,115.64,1678467016.924199
1678467019697933700,82.0,166.0,117.6,1678467016.9344826
1678467019697936800,81.0,166.0,113.67999999999999,1678467016.9447606
1678467019697939600,80.0,165.0,117.6,1678467016.955021
1678467019697948900,83.0,168.0,117.6,1678467016.9652913
1678467019697957400,80.0,166.0,117.6,1678467016.9756005
1678467019765667300,80.0,166.0,119.56,1678467016.9859312
1678467019765718900,82.0,168.0,119.56,1678467016.9962902
1678467019765772000,80.0,168.0,111.72,1678467017.006564
1678467019765787800,78.0,168.0,113.67999999999999,1678467017.0168984
1678467019765808100,79.0,168.0,117.6,1678467017.0271893
1678467019765840000,80.0,170.0,115.64,1678467017.0374453
1678467019765844500,80.0,169.0,111.72,1678467017.0477257
1678467019765895000,79.0,168.0,115.64,1678467017.0579946
1678467019765964400,82.0,168.0,119.56,1678467017.0682895
1678467019766002100,79.0,167.0,117.6,1678467017.0785775
1678467019766030300,83.0,168.0,117.6,1678467017.088862
1678467019766036200,83.0,170.0,113.67999999999999,1678467017.0991213
1678467019766048600,80.0,168.0,115.64,1678467017.109381
1678467019766133500,82.0,169.0,117.6,1678467017.1196694
1678467019766156000,80.0,169.0,111.72,1678467017.1299431
1678467019766182500,78.0,167.0,115.64,1678467017.1403198
1678467019766203500,78.0,167.0,115.64,1678467017.1506488
1678467019766212100,82.0,169.0,115.64,1678467017.16098
1678467019766281900,81.0,169.0,113.67999999999999,1678467017.1713295
1678467019766385900,79.0,168.0,115.64,1678467017.1816866
1678467019766402200,82.0,169.0,115.64,1678467017.1919732
1678467019766405800,83.0,172.0,113.67999999999999,1678467017.2022696
1678467019852440600,80.0,169.0,113.67999999999999,1678467017.212918
1678467019852483900,81.0,170.0,111.72,1678467017.2232049
1678467019852499200,81.0,170.0,113.67999999999999,1678467017.233476
1678467019852505600,84.0,171.0,115.64,1678467017.2438092
1678467019852510500,83.0,172.0,109.75999999999999,1678467017.2540789
1678467019852515000,81.0,171.0,111.72,1678467017.2644253
1678467019852520400,82.0,170.0,115.64,1678467017.2747571
1678467019852525600,83.0,173.0,111.72,1678467017.2850714
1678467019852600000,81.0,171.0,113.67999999999999,1678467017.2954006
1678467019935158800,85.0,174.0,115.64,1678467017.305666
1678467019935202200,82.0,171.0,113.67999999999999,1678467017.3160179
1678467019935234600,84.0,174.0,113.67999999999999,1678467017.326342
1678467019935239900,81.0,172.0,113.67999999999999,1678467017.3366508
1678467019935243600,81.0,172.0,115.64,1678467017.3469815
1678467019935356600,82.0,174.0,109.75999999999999,1678467017.3573072
1678467020027346400,79.0,173.0,113.67999999999999,1678467017.367673
1678467020027388100,83.0,176.0,113.67999999999999,1678467017.3779914
1678467020027408800,80.0,173.0,115.64,1678467017.3882825
1678467020027416100,83.0,173.0,117.6,1678467017.3985684
1678467020027419700,82.0,174.0,111.72,1678467017.4090328
1678467020027475900,83.0,176.0,117.6,1678467017.4193892
1678467020027483600,84.0,176.0,117.6,1678467017.4297051
1678467020027488100,82.0,174.0,113.67999999999999,1678467017.440007
1678467020027492100,85.0,174.0,119.56,1678467017.4503422
1678467020027497500,84.0,176.0,111.72,1678467017.4606464
1678467020113027200,82.0,173.0,117.6,1678467017.470939
1678467020113149200,84.0,175.0,115.64,1678467017.4812503
1678467020113180800,82.0,175.0,109.75999999999999,1678467017.4915419
1678467020113188000,80.0,174.0,111.72,1678467017.501833
1678467020113194900,83.0,175.0,111.72,1678467017.5121977
1678467020113201500,81.0,175.0,105.84,1678467017.5225327
1678467020113242500,80.0,174.0,107.8,1678467017.5328019
1678467020113399900,81.0,173.0,109.75999999999999,1678467017.5430667
1678467020113688400,83.0,176.0,107.8,1678467017.5533848
1678467020189489200,81.0,174.0,105.84,1678467017.563679
1678467020189601800,83.0,174.0,109.75999999999999,1678467017.5739954
1678467020189621100,84.0,176.0,107.8,1678467017.584306
1678467020189624800,82.0,175.0,105.84,1678467017.5946975
1678467020189628600,82.0,175.0,107.8,1678467017.6050441
1678467020189670400,84.0,176.0,111.72,1678467017.615382
1678467020189873100,83.0,178.0,107.8,1678467017.6257207
1678467020273573000,81.0,177.0,111.72,1678467017.6360223
1678467020273601200,83.0,179.0,113.67999999999999,1678467017.646369
1678467020273638200,80.0,178.0,109.75999999999999,1678467017.6567104
1678467020273718200,82.0,180.0,111.72,1678467017.6669784
1678467020273750000,81.0,179.0,113.67999999999999,1678467017.6772516
1678467020273763900,79.0,180.0,107.8,1678467017.6876378
1678467020273769600,77.0,179.0,111.72,1678467017.6979558
1678467020273773300,77.0,179.0,113.67999999999999,1678467017.7082996
1678467020350311100,80.0,180.0,109.75999999999999,1678467017.7185822
1678467020350340300,81.0,180.0,115.64,1678467017.7289183
1678467020350345300,80.0,180.0,109.75999999999999,1678467017.7391753
1678467020350349100,80.0,179.0,115.64,1678467017.7495823
1678467020350354600,84.0,180.0,117.6,1678467017.7598937
1678467020350379900,81.0,180.0,115.64,1678467017.770153
1678467020350479700,85.0,181.0,117.6,1678467017.780518
1678467020350576300,86.0,183.0,113.67999999999999,1678467017.790854
1678467020433181000,83.0,182.0,113.67999999999999,1678467017.8012104
1678467020433211600,85.0,184.0,117.6,1678467017.8115485
1678467020433218000,80.0,184.0,113.67999999999999,1678467017.821812
1678467020433222000,79.0,184.0,117.6,1678467017.8321426
1678467020433295200,82.0,187.0,115.64,1678467017.8424828
1678467020433361500,80.0,186.0,113.67999999999999,1678467017.8527668
1678467020433427700,79.0,185.0,115.64,1678467017.863054
1678467020433510700,81.0,184.0,121.52,1678467017.873309
1678467020598412300,83.0,186.0,115.64,1678467017.8836172
1678467020598459800,81.0,184.0,117.6,1678467017.893924
1678467020598467900,85.0,186.0,121.52,1678467017.9042556
1678467020598472600,83.0,186.0,117.6,1678467017.9145918
1678467020598485000,85.0,186.0,121.52,1678467017.9249313
1678467020598515000,84.0,186.0,113.67999999999999,1678467017.9352646
1678467020598527700,82.0,184.0,117.6,1678467017.9455602
1678467020598532100,83.0,184.0,119.56,1678467017.9558856
1678467020598535900,85.0,186.0,115.64,1678467017.9662018
1678467020598539200,83.0,185.0,115.64,1678467017.9764752
1678467020598550600,83.0,184.0,119.56,1678467017.9867504
1678467020598589000,86.0,185.0,119.56,1678467017.997067
1678467020598592600,86.0,187.0,115.64,1678467018.0073946
1678467020598610200,84.0,186.0,117.6,1678467018.017729
1678467020598637200,87.0,188.0,117.6,1678467018.028041
1678467020667184900,84.0,186.0,115.64,1678467018.0383315
1678467020667202800,84.0,186.0,119.56,1678467018.0486872
1678467020667350600,85.0,187.0,115.64,1678467018.0589528
1678467020667360300,83.0,185.0,119.56,1678467018.069234
1678467020667433000,85.0,186.0,119.56,1678467018.0795972
1678467020667472300,84.0,187.0,113.67999999999999,1678467018.0899248
1678467020667482600,81.0,185.0,119.56,1678467018.1002982
1678467020667489600,84.0,188.0,117.6,1678467018.1106515
1678467020756689900,82.0,185.0,119.56,1678467018.1210175
1678467020756719600,84.0,188.0,117.6,1678467018.1313703
1678467020756738000,81.0,186.0,117.6,1678467018.1416807
1678467020756754000,85.0,187.0,119.56,1678467018.1520627
1678467020756760800,82.0,186.0,115.64,1678467018.1623397
1678467020756783700,81.0,186.0,119.56,1678467018.172596
1678467020756801000,84.0,188.0,121.52,1678467018.1829505
1678467020836241400,83.0,188.0,115.64,1678467018.1933198
1678467020836264700,81.0,187.0,119.56,1678467018.203593
1678467020836280300,84.0,189.0,119.56,1678467018.21391
1678467020836308800,83.0,188.0,117.6,1678467018.2242155
1678467020836398000,81.0,187.0,121.52,1678467018.234492
1678467020836419100,86.0,190.0,123.48,1678467018.244793
1678467020836484500,84.0,189.0,119.56,1678467018.255116
1678467020836495400,83.0,188.0,123.48,1678467018.2654297
1678467020836506600,84.0,187.0,125.44,1678467018.275748
1678467020945366400,86.0,189.0,125.44,1678467018.2861748
1678467020945405200,85.0,188.0,121.52,1678467018.2965243
1678467020945434700,83.0,187.0,127.39999999999999,1678467018.3068118
1678467020945514500,86.0,189.0,123.48,1678467018.3171406
1678467020945563100,83.0,186.0,125.44,1678467018.327393
1678467020945718800,83.0,186.0,127.39999999999999,1678467018.3376968
1678467020945889600,87.0,187.0,127.39999999999999,1678467018.3480508
1678467020945936600,87.0,188.0,127.39999999999999,1678467018.3583333
1678467020946128000,85.0,186.0,125.44,1678467018.3686037
1678467020946269600,84.0,185.0,129.35999999999999,1678467018.3788865
1678467021056062300,87.0,186.0,129.35999999999999,1678467018.389214
1678467021056089500,88.0,188.0,129.35999999999999,1678467018.3995059
1678467021056094200,87.0,187.0,127.39999999999999,1678467018.4097693
1678467021056099100,86.0,185.0,129.35999999999999,1678467018.4201431
1678467021056105700,88.0,186.0,131.32,1678467018.430489
1678467021056110900,88.0,187.0,127.39999999999999,1678467018.4408507
1678467021056156200,86.0,186.0,127.39999999999999,1678467018.4511836
1678467021056161400,86.0,185.0,131.32,1678467018.4615045
1678467021056165700,86.0,185.0,131.32,1678467018.4717681
1678467021056169100,87.0,185.0,133.28,1678467018.482046
1678467021056175600,89.0,188.0,131.32,1678467018.4924014
1678467021127371800,87.0,187.0,127.39999999999999,1678467018.5027585
1678467021127407500,87.0,186.0,133.28,1678467018.5130537
1678467021127420500,89.0,188.0,129.35999999999999,1678467018.5233243
1678467021127441300,87.0,186.0,125.44,1678467018.5336242
1678467021127466700,89.0,186.0,135.24,1678467018.5440156
1678467021127537100,86.0,184.0,143.07999999999998,1678467018.5543308
1678467021127579900,89.0,184.0,145.04,1678467018.5646427
1678467021214260800,88.0,185.0,141.12,1678467018.574976
1678467021214290400,87.0,184.0,139.16,1678467018.585318
1678467021214295600,86.0,184.0,143.07999999999998,1678467018.5956657
1678467021214372000,86.0,184.0,141.12,1678467018.6059399
1678467021214388800,89.0,186.0,141.12,1678467018.616321
1678467021214546100,88.0,185.0,137.2,1678467018.626749
1678467021214716600,87.0,184.0,139.16,1678467018.6370916
1678467021214742500,86.0,183.0,141.12,1678467018.6473851
1678467021286195300,88.0,184.0,137.2,1678467018.6577163
1678467021286223800,87.0,182.0,143.07999999999998,1678467018.6680193
1678467021286231700,88.0,182.0,141.12,1678467018.6783235
1678467021286289900,87.0,183.0,139.16,1678467018.6886003
1678467021286334100,86.0,182.0,135.24,1678467018.6989481
1678467021286339400,85.0,180.0,139.16,1678467018.7091923
1678467021286350800,86.0,181.0,137.2,1678467018.7194834
1678467021382958400,84.0,179.0,131.32,1678467018.7299063
1678467021382995300,82.0,177.0,135.24,1678467018.7402804
1678467021383026100,85.0,177.0,137.2,1678467018.7506082
1678467021383224600,82.0,176.0,133.28,1678467018.760933
1678467021383275000,83.0,176.0,135.24,1678467018.7712002
1678467021383293200,85.0,178.0,135.24,1678467018.7815518
1678467021383702200,84.0,177.0,129.35999999999999,1678467018.7918842
1678467021384248000,82.0,175.0,129.35999999999999,1678467018.8022006
1678467021506730000,82.0,174.0,133.28,1678467018.8125842
1678467021506770100,85.0,175.0,133.28,1678467018.8230069
1678467021506801300,84.0,176.0,127.39999999999999,1678467018.833355
1678467021506829100,81.0,174.0,131.32,1678467018.84374
1678467021506851000,83.0,175.0,129.35999999999999,1678467018.8541243
1678467021506861900,84.0,176.0,129.35999999999999,1678467018.8644679
1678467021506877100,82.0,174.0,127.39999999999999,1678467018.874861
1678467021506885400,81.0,173.0,129.35999999999999,1678467018.8852081
1678467021506959400,84.0,173.0,131.32,1678467018.8955789
1678467021671870000,81.0,172.0,129.35999999999999,1678467018.9059248
1678467021671913600,80.0,172.0,129.35999999999999,1678467018.916276
1678467021671928800,83.0,172.0,131.32,1678467018.9266362
1678467021671936400,83.0,174.0,127.39999999999999,1678467018.9369874
1678467021671951700,81.0,172.0,123.48,1678467018.9473617
1678467021672068100,80.0,170.0,127.39999999999999,1678467018.9576936
1678467021672193100,80.0,170.0,127.39999999999999,1678467018.968048
1678467021672215900,82.0,169.0,129.35999999999999,1678467018.9784834
1678467021672226900,83.0,169.0,129.35999999999999,1678467018.98889
1678467021672231800,82.0,170.0,123.48,1678467018.9992812
1678467021672267400,79.0,167.0,125.44,1678467019.0096707
1678467021672314300,81.0,167.0,127.39999999999999,1678467019.0200248
1678467021672365200,83.0,168.0,127.39999999999999,1678467019.030467
1678467021672372400,81.0,168.0,121.52,1678467019.0408127
1678467021842823300,79.0,167.0,123.48,1678467019.0511706
1678467021842898100,81.0,166.0,127.39999999999999,1678467019.0615938
1678467021842957400,82.0,168.0,125.44,1678467019.0720212
1678467021843101700,82.0,168.0,125.44,1678467019.082362
1678467021843262600,81.0,167.0,121.52,1678467019.0927348
1678467021843280700,78.0,166.0,125.44,1678467019.1031106
1678467021843285600,81.0,167.0,121.52,1678467019.113452
1678467021843630800,79.0,166.0,125.44,1678467019.1238925
1678467021843642500,80.0,165.0,127.39999999999999,1678467019.1342998
1678467021843652500,81.0,168.0,125.44,1678467019.1447184
1678467021843657300,78.0,165.0,125.44,1678467019.1550891
1678467021843662400,78.0,165.0,125.44,1678467019.1655319
1678467021843667400,78.0,165.0,127.39999999999999,1678467019.175871
1678467021843690500,79.0,165.0,127.39999999999999,1678467019.186193
1678467021843793300,81.0,166.0,127.39999999999999,1678467019.196496
1678467021844312500,79.0,166.0,123.48,1678467019.2067816
1678467021844327500,78.0,165.0,121.52,1678467019.2171812
1678467021844344500,77.0,164.0,123.48,1678467019.2275746
1678467021844351700,79.0,164.0,127.39999999999999,1678467019.237948
1678467021929698900,80.0,166.0,123.48,1678467019.2483387
1678467021929828400,79.0,165.0,119.56,1678467019.2587368
1678467021929844900,77.0,164.0,121.52,1678467019.2691278
1678467021929851500,77.0,163.0,123.48,1678467019.279475
1678467021929863400,80.0,166.0,123.48,1678467019.2898366
1678467021929879000,77.0,163.0,119.56,1678467019.3001907
1678467021929910900,80.0,163.0,123.48,1678467019.3105474
1678467021929933600,81.0,164.0,121.52,1678467019.3209164
1678467021930364200,79.0,163.0,117.6,1678467019.3313704
1678467021930374300,77.0,161.0,119.56,1678467019.3419304
1678467021930585100,79.0,161.0,121.52,1678467019.352298
1678467021930806300,79.0,162.0,115.64,1678467019.3626657
1678467021930956900,77.0,161.0,115.64,1678467019.3730102
1678467022001937900,78.0,162.0,103.88,1678467019.3833632
1678467022001974300,78.0,162.0,107.8,1678467019.3937192
1678467022001984500,78.0,162.0,107.8,1678467019.4040537
1678467022001996100,82.0,163.0,109.75999999999999,1678467019.4144664
1678467022002078500,80.0,164.0,101.92,1678467019.424911
1678467022002170900,78.0,163.0,105.84,1678467019.43522
1678467022002208600,79.0,163.0,109.75999999999999,1678467019.4455404
1678467022071613300,81.0,164.0,109.75999999999999,1678467019.456306
1678467022071661300,81.0,166.0,107.8,1678467019.4666572
1678467022071822600,78.0,164.0,105.84,1678467019.477007
1678467022071871500,77.0,164.0,107.8,1678467019.4873297
1678467022071915700,80.0,165.0,109.75999999999999,1678467019.497658
1678467022071923900,77.0,165.0,103.88,1678467019.508102
1678467022071960300,76.0,163.0,107.8,1678467019.5184312
1678467022175542700,78.0,166.0,105.84,1678467019.5287795
1678467022175585500,77.0,165.0,101.92,1678467019.539135
1678467022175596500,75.0,163.0,101.92,1678467019.549502
1678467022175601600,78.0,164.0,105.84,1678467019.559939
1678467022175605500,78.0,164.0,101.92,1678467019.5704324
1678467022175641600,75.0,163.0,103.88,1678467019.5809093
1678467022175670500,77.0,163.0,105.84,1678467019.591343
1678467022175680300,78.0,163.0,105.84,1678467019.601692
1678467022175713300,77.0,164.0,101.92,1678467019.6120336
1678467022260069100,76.0,163.0,103.88,1678467019.6223862
1678467022260112900,79.0,164.0,107.8,1678467019.6327293
1678467022260140000,79.0,163.0,107.8,1678467019.6431308
1678467022260147900,78.0,162.0,109.75999999999999,1678467019.6538079
1678467022260439500,81.0,164.0,105.84,1678467019.6642776
1678467022260446500,80.0,163.0,105.84,1678467019.6748776
1678467022260673300,79.0,162.0,109.75999999999999,1678467019.6854324
1678467022260998400,82.0,164.0,109.75999999999999,1678467019.6958709
1678467022355035700,80.0,162.0,107.8,1678467019.706691
1678467022355064800,80.0,162.0,109.75999999999999,1678467019.7173977
1678467022355162400,79.0,162.0,109.75999999999999,1678467019.728016
1678467022355191400,80.0,162.0,111.72,1678467019.7385757
1678467022355218800,81.0,162.0,111.72,1678467019.749242
1678467022355269800,83.0,162.0,111.72,1678467019.7598372
1678467022355276400,82.0,164.0,107.8,1678467019.7705007
1678467022355282900,81.0,163.0,105.84,1678467019.7810528
1678467022355291700,80.0,163.0,107.8,1678467019.7916722
1678467022493365600,79.0,162.0,111.72,1678467019.8022735
1678467022493411600,80.0,162.0,111.72,1678467019.812869
1678467022493439200,82.0,162.0,111.72,1678467019.8234856
1678467022493449100,83.0,163.0,113.67999999999999,1678467019.8340435
1678467022493452900,81.0,162.0,107.8,1678467019.8446329
1678467022493456400,80.0,162.0,109.75999999999999,1678467019.855296
1678467022493595500,83.0,164.0,111.72,1678467019.8658552
1678467022592254700,83.0,162.0,113.67999999999999,1678467019.8763864
1678467022592299900,81.0,163.0,107.8,1678467019.886971
1678467022592312100,81.0,163.0,107.8,1678467019.8975933
1678467022592317300,79.0,162.0,109.75999999999999,1678467019.9081457
1678467022592322600,80.0,162.0,111.72,1678467019.9186747
1678467022592327500,82.0,162.0,111.72,1678467019.929266
1678467022592408100,82.0,163.0,111.72,1678467019.9398406
1678467022592643600,82.0,162.0,111.72,1678467019.95054
1678467022592710700,80.0,162.0,105.84,1678467019.9610982
1678467022592719200,79.0,162.0,107.8,1678467019.9716406
1678467022592730700,78.0,161.0,109.75999999999999,1678467019.9822388
1678467022592738000,78.0,160.0,111.72,1678467019.99293
