%time,field.mx,field.my,field.fz,field.t
1678310877737944500,3.0,-13.0,7.84,1678310877.578287
1678310877737968100,2.0,-14.0,15.68,1678310877.5885558
1678310877737977400,3.0,-14.0,21.56,1678310877.5987828
1678310877738007500,3.0,-14.0,23.52,1678310877.608996
1678310877738017000,3.0,-13.0,19.6,1678310877.619196
1678310877806235500,3.0,-14.0,23.52,1678310877.6294198
1678310877806248300,2.0,-14.0,21.56,1678310877.6396286
1678310877806252700,3.0,-13.0,19.6,1678310877.649825
1678310877806259800,2.0,-14.0,19.6,1678310877.660039
1678310877806263700,2.0,-13.0,19.6,1678310877.6702654
1678310877806267100,3.0,-13.0,19.6,1678310877.6804776
1678310877806271100,3.0,-14.0,23.52,1678310877.690688
1678310877870797800,2.0,-14.0,23.52,1678310877.701171
1678310877870802200,3.0,-14.0,23.52,1678310877.7113721
1678310877870805500,3.0,-13.0,19.6,1678310877.7215858
1678310877870824800,4.0,-12.0,21.56,1678310877.7317948
1678310877870832900,2.0,-14.0,23.52,1678310877.741996
1678310877870836400,2.0,-14.0,21.56,1678310877.7522054
1678310877937744200,2.0,-14.0,21.56,1678310877.7624042
1678310877937776000,4.0,-12.0,23.52,1678310877.772612
1678310877937807200,4.0,-13.0,23.52,1678310877.782876
1678310877937811700,3.0,-14.0,23.52,1678310877.7930782
1678310877937815000,2.0,-14.0,21.56,1678310877.8032727
1678310877937825500,5.0,-13.0,23.52,1678310877.8134618
1678310877937867300,4.0,-12.0,23.52,1678310877.8236601
1678310878098808500,4.0,-14.0,23.52,1678310877.8338718
1678310878098832200,4.0,-14.0,23.52,1678310877.8671458
1678310878611434300,3.0,-12.0,23.52,1678310877.9111238
1678310878611454000,2.0,-14.0,23.52,1678310877.9217262
1678310878611458100,2.0,-14.0,21.56,1678310877.9322345
1678310878611462100,4.0,-12.0,19.6,1678310877.942741
1678310878611465600,4.0,-12.0,23.52,1678310877.9532075
1678310878611469400,3.0,-13.0,19.6,1678310877.963693
1678310878611473400,2.0,-14.0,21.56,1678310877.9742012
1678310878611478200,2.0,-14.0,21.56,1678310877.9846697
1678310878611482900,3.0,-12.0,21.56,1678310877.99514
1678310878611486300,3.0,-14.0,23.52,1678310878.005614
1678310878611489800,2.0,-14.0,21.56,1678310878.016113
1678310878611494200,4.0,-13.0,19.6,1678310878.026562
1678310878611497700,4.0,-12.0,23.52,1678310878.0370567
1678310878611501300,3.0,-14.0,23.52,1678310878.0474923
1678310878642801300,2.0,-14.0,23.52,1678310878.057941
1678310878642804700,2.0,-14.0,23.52,1678310878.068459
1678310878642813300,2.0,-14.0,21.56,1678310878.0789359
1678310878642817200,4.0,-12.0,21.56,1678310878.0893848
1678310878642820600,2.0,-14.0,23.52,1678310878.0998704
1678310878642827700,2.0,-13.0,19.6,1678310878.110346
1678310878642831400,2.0,-13.0,19.6,1678310878.1211703
1678310878643673400,3.0,-14.0,23.52,1678310878.1317246
1678310878643679300,2.0,-14.0,21.56,1678310878.1422427
1678310878643684100,3.0,-13.0,19.6,1678310878.152748
1678310878643688700,2.0,-14.0,23.52,1678310878.1632676
1678310878643696400,2.0,-13.0,21.56,1678310878.1737454
1678310878643701700,4.0,-12.0,21.56,1678310878.1842012
1678310878643706000,4.0,-13.0,23.52,1678310878.194686
1678310878643710500,3.0,-14.0,23.52,1678310878.2051852
1678310878643713700,3.0,-14.0,23.52,1678310878.215651
1678310878643720200,2.0,-14.0,21.56,1678310878.2261038
1678310878643723500,3.0,-13.0,19.6,1678310878.2365985
1678310878643726600,4.0,-13.0,23.52,1678310878.247072
1678310878643730200,2.0,-14.0,23.52,1678310878.2575774
1678310878643733200,4.0,-12.0,21.56,1678310878.2680676
1678310878643736600,3.0,-14.0,23.52,1678310878.2785788
1678310878643741800,3.0,-14.0,23.52,1678310878.2890215
1678310878643745200,2.0,-14.0,21.56,1678310878.2994928
1678310878644181200,3.0,-13.0,19.6,1678310878.3100057
1678310878644210200,2.0,-14.0,23.52,1678310878.3204925
1678310879501663600,2.0,-14.0,21.56,1678310878.331293
1678310879501666400,3.0,-13.0,21.56,1678310878.3415022
1678310879501669200,2.0,-14.0,21.56,1678310878.3517442
1678310879501671900,2.0,-14.0,23.52,1678310878.362075
1678310879501674700,3.0,-13.0,19.6,1678310878.3723536
1678310879501677200,4.0,-14.0,23.52,1678310878.382595
1678310879501679700,2.0,-14.0,21.56,1678310878.392916
1678310879501681900,3.0,-13.0,19.6,1678310878.4031963
1678310879501685000,4.0,-13.0,23.52,1678310878.413464
1678310879501687500,2.0,-14.0,23.52,1678310878.42371
1678310879501689900,3.0,-14.0,23.52,1678310878.4470427
1678310879501692700,2.0,-14.0,23.52,1678310878.4960332
1678310879501695000,2.0,-14.0,23.52,1678310878.5066195
1678310879501697400,4.0,-12.0,21.56,1678310878.5171702
1678310879501699800,2.0,-13.0,15.68,1678310878.5276523
1678310879501702400,3.0,-12.0,9.8,1678310878.53816
1678310879522151000,4.0,-14.0,13.719999999999999,1678310878.548637
1678310879522160900,3.0,-13.0,7.84,1678310878.5591831
1678310879522163800,4.0,-13.0,11.76,1678310878.5696564
1678310879522166300,2.0,-14.0,11.76,1678310878.580135
1678310879522169000,2.0,-14.0,11.76,1678310878.5906153
1678310879522171400,2.0,-14.0,9.8,1678310878.6014905
1678310879522176400,4.0,-12.0,9.8,1678310878.6119413
1678310879522179600,4.0,-14.0,11.76,1678310878.6224048
1678310879522182300,2.0,-14.0,9.8,1678310878.633011
1678310879522184700,3.0,-14.0,11.76,1678310878.6434708
1678310879522187000,2.0,-14.0,9.8,1678310878.6539998
1678310879522189200,2.0,-13.0,9.8,1678310878.6646235
1678310879522191500,2.0,-14.0,9.8,1678310878.6751094
1678310879522193900,3.0,-13.0,7.84,1678310878.6855834
1678310879522200900,4.0,-12.0,11.76,1678310878.6961377
1678310879522203500,2.0,-14.0,11.76,1678310878.7066407
1678310879522206000,3.0,-14.0,7.84,1678310878.7171583
1678310879522208200,4.0,-12.0,9.8,1678310878.730053
1678310879522210500,2.0,-14.0,11.76,1678310878.7403796
1678310879522212800,2.0,-14.0,11.76,1678310878.7506552
1678310879522215600,2.0,-14.0,11.76,1678310878.7609484
1678310879522220300,3.0,-13.0,7.84,1678310878.7713037
1678310879522222700,2.0,-14.0,11.76,1678310878.7816308
1678310879522225200,2.0,-13.0,7.84,1678310878.7919717
1678310879522227600,3.0,-13.0,7.84,1678310878.802361
1678310879522229900,4.0,-14.0,11.76,1678310878.8127623
1678310879522232700,4.0,-13.0,11.76,1678310878.8229902
1678310879522235700,4.0,-12.0,11.76,1678310878.8332288
1678310879522238600,4.0,-12.0,9.8,1678310878.8435364
1678310879522241100,2.0,-14.0,9.8,1678310878.8538494
1678310879522245800,4.0,-12.0,11.76,1678310878.8641353
1678310879522248200,2.0,-14.0,9.8,1678310878.8744195
1678310879522251300,2.0,-14.0,7.84,1678310878.8847184
1678310879522253900,2.0,-14.0,7.84,1678310878.895094
1678310879522256900,4.0,-12.0,9.8,1678310878.905385
1678310879522259700,2.0,-14.0,9.8,1678310878.9156587
1678310879522265400,3.0,-13.0,7.84,1678310878.9260635
1678310879522268500,5.0,-13.0,11.76,1678310878.9365377
1678310879522271600,4.0,-14.0,11.76,1678310878.9470022
1678310879522277900,2.0,-14.0,9.8,1678310878.957272
1678310879522281600,4.0,-12.0,11.76,1678310878.9675672
1678310879522284200,2.0,-14.0,9.8,1678310878.9778876
1678310879522286800,2.0,-13.0,7.84,1678310878.9885402
1678310879522289300,3.0,-13.0,7.84,1678310878.998857
1678310879522292400,3.0,-14.0,11.76,1678310879.00912
1678310879522295000,2.0,-14.0,9.8,1678310879.0194058
1678310879522297600,4.0,-12.0,9.8,1678310879.0296915
