%time,field.mx,field.my,field.fz,field.t
1678313420839363900,17.0,44.0,49.0,1678313420.6054893
1678313420839416800,18.0,43.0,49.0,1678313420.6157224
1678313420839462600,19.0,43.0,49.0,1678313420.626031
1678313420839468500,21.0,42.0,52.92,1678313420.636255
1678313420839472300,21.0,43.0,52.92,1678313420.6465127
1678313420907483000,22.0,44.0,52.92,1678313420.6567514
1678313420907531700,22.0,45.0,54.879999999999995,1678313420.666977
1678313420907570500,22.0,45.0,56.839999999999996,1678313420.6771924
1678313420907591300,21.0,45.0,56.839999999999996,1678313420.6874266
1678313420907603600,23.0,47.0,60.76,1678313420.6977992
1678313420907620300,21.0,47.0,62.72,1678313420.7080765
1678313420907709100,23.0,49.0,64.67999999999999,1678313420.7183897
1678313420963024400,24.0,51.0,68.6,1678313420.72865
1678313420963047700,27.0,53.0,74.48,1678313420.738907
1678313420963080800,28.0,54.0,76.44,1678313420.7491481
1678313420963092400,29.0,55.0,78.4,1678313420.759458
1678313420963139100,28.0,55.0,80.36,1678313420.7698314
1678313421033263900,25.0,55.0,80.36,1678313420.780206
1678313421033318800,24.0,56.0,78.4,1678313420.7906086
1678313421033350300,23.0,55.0,78.4,1678313420.8009782
1678313421033371200,20.0,55.0,74.48,1678313420.8112252
1678313421033391000,20.0,56.0,72.52,1678313420.8214722
1678313421033441100,19.0,54.0,72.52,1678313420.8317225
1678313421033465100,17.0,53.0,68.6,1678313420.8419964
1678313421086946600,17.0,54.0,66.64,1678313420.8522651
1678313421086986700,17.0,52.0,66.64,1678313420.8625119
1678313421087040700,16.0,52.0,64.67999999999999,1678313420.872739
1678313421087061300,17.0,52.0,64.67999999999999,1678313420.8829663
1678313421087073000,19.0,51.0,64.67999999999999,1678313420.8931928
1678313421087122600,19.0,51.0,62.72,1678313420.9034398
1678313421154286800,21.0,51.0,62.72,1678313420.9136817
1678313421154327800,20.0,50.0,60.76,1678313420.9239352
1678313421154343600,21.0,50.0,60.76,1678313420.934169
1678313421154379400,20.0,49.0,58.8,1678313420.944437
1678313421154418200,21.0,50.0,58.8,1678313420.954785
1678313421154435800,22.0,50.0,56.839999999999996,1678313420.9650455
1678313421220603100,21.0,51.0,54.879999999999995,1678313420.9813917
1678313421220658700,21.0,52.0,54.879999999999995,1678313420.9919941
1678313421220708100,20.0,51.0,56.839999999999996,1678313421.0023851
1678313421220728800,19.0,51.0,52.92,1678313421.0128076
1678313421220766000,19.0,51.0,52.92,1678313421.0231907
1678313421286317900,17.0,49.0,50.96,1678313421.0335956
1678313421286358300,17.0,49.0,49.0,1678313421.043982
1678313421286369500,16.0,48.0,49.0,1678313421.0543625
1678313421286395300,14.0,47.0,47.04,1678313421.0647142
1678313421286453400,15.0,47.0,47.04,1678313421.0750437
1678313421286459600,14.0,47.0,49.0,1678313421.0853686
1678313421335114000,14.0,46.0,47.04,1678313421.095724
1678313421335187100,14.0,46.0,47.04,1678313421.1060624
1678313421335215000,14.0,46.0,47.04,1678313421.1163943
1678313421335243500,16.0,46.0,49.0,1678313421.1267292
1678313421335256000,15.0,45.0,49.0,1678313421.1371195
1678313421335283100,15.0,45.0,49.0,1678313421.1474762
1678313421395241200,16.0,46.0,50.96,1678313421.1578205
1678313421395285900,16.0,47.0,54.879999999999995,1678313421.168186
1678313421395301400,15.0,48.0,56.839999999999996,1678313421.178557
1678313421395307800,14.0,50.0,58.8,1678313421.189147
1678313421395424800,16.0,54.0,64.67999999999999,1678313421.1994486
1678313421395451800,15.0,58.0,68.6,1678313421.2097034
1678313421470953300,17.0,64.0,78.4,1678313421.2199697
1678313421471001400,18.0,66.0,84.28,1678313421.230248
1678313421471030500,19.0,71.0,90.16,1678313421.24051
1678313421471050000,19.0,72.0,92.12,1678313421.2507732
