%time,field.mx,field.my,field.fz,field.t
1678313471137948700,27.0,51.0,52.92,1678313470.7107897
1678313471137989800,27.0,52.0,50.96,1678313470.7215304
1678313471138002100,28.0,52.0,52.92,1678313470.73189
1678313471138069100,26.0,51.0,52.92,1678313470.742241
1678313471138075200,24.0,50.0,50.96,1678313470.7525508
1678313471138121100,24.0,50.0,50.96,1678313470.7628582
1678313471138143400,24.0,50.0,49.0,1678313470.7732089
1678313471138203800,23.0,50.0,49.0,1678313470.7835746
1678313471138236100,23.0,51.0,50.96,1678313470.7938936
1678313471138240600,23.0,50.0,50.96,1678313470.8042097
1678313471138304800,23.0,51.0,49.0,1678313470.8145409
1678313471138317000,23.0,51.0,50.96,1678313470.8248763
1678313471138395500,24.0,50.0,50.96,1678313470.8353546
1678313471138524100,24.0,49.0,50.96,1678313470.8456826
1678313471138551900,24.0,49.0,50.96,1678313470.8560817
1678313471138564200,25.0,49.0,50.96,1678313470.8664188
1678313471138570400,25.0,49.0,50.96,1678313470.876747
1678313471138574100,24.0,48.0,50.96,1678313470.8870661
1678313471138622200,23.0,48.0,49.0,1678313470.897463
1678313471138633700,24.0,49.0,47.04,1678313470.9077845
1678313471138672600,23.0,49.0,49.0,1678313470.9181435
1678313472163900300,23.0,49.0,49.0,1678313470.9284542
1678313472163954500,23.0,48.0,49.0,1678313470.9387777
1678313472164042500,22.0,48.0,49.0,1678313470.949093
1678313472164074000,22.0,47.0,47.04,1678313470.959411
1678313472164080200,23.0,48.0,49.0,1678313470.9698179
1678313472164083700,23.0,47.0,49.0,1678313470.980214
1678313472164086900,22.0,47.0,49.0,1678313470.9906023
1678313472164093900,22.0,47.0,47.04,1678313471.0011353
1678313472164098100,22.0,47.0,47.04,1678313471.0115414
1678313472164103900,23.0,47.0,50.96,1678313471.0219367
1678313472164273300,23.0,47.0,60.76,1678313471.0323129
1678313472164344900,22.0,46.0,58.8,1678313471.042676
1678313472164365500,22.0,46.0,56.839999999999996,1678313471.0530398
1678313472164467500,22.0,45.0,56.839999999999996,1678313471.0634365
1678313472164546300,23.0,45.0,58.8,1678313471.0738158
1678313472164849600,22.0,44.0,54.879999999999995,1678313471.0841851
1678313472164860800,22.0,45.0,54.879999999999995,1678313471.0945675
1678313472164884700,22.0,43.0,56.839999999999996,1678313471.104956
1678313472165014200,22.0,43.0,54.879999999999995,1678313471.1153617
1678313472165093500,22.0,43.0,54.879999999999995,1678313471.1257396
1678313472165104600,21.0,43.0,52.92,1678313471.136101
1678313472165268300,22.0,43.0,54.879999999999995,1678313471.1464727
1678313472165460000,21.0,43.0,54.879999999999995,1678313471.156846
1678313472165595900,22.0,42.0,52.92,1678313471.167326
1678313472165627300,23.0,44.0,54.879999999999995,1678313471.17773
1678313472165635000,22.0,42.0,54.879999999999995,1678313471.1881278
1678313472165654700,22.0,43.0,52.92,1678313471.1985123
1678313472165677200,23.0,43.0,54.879999999999995,1678313471.2089276
1678313472165936400,23.0,43.0,54.879999999999995,1678313471.2193234
1678313472165946900,22.0,43.0,52.92,1678313471.2296896
1678313472165951300,21.0,43.0,50.96,1678313471.2401664
1678313472165955400,22.0,43.0,52.92,1678313471.2505407
1678313472165959800,22.0,42.0,52.92,1678313471.2612152
1678313472165964100,22.0,42.0,52.92,1678313471.2715797
1678313472166019000,20.0,41.0,50.96,1678313471.281957
1678313472166032000,21.0,42.0,52.92,1678313471.2923715
1678313472166038600,21.0,41.0,52.92,1678313471.302755
1678313472166229300,21.0,41.0,50.96,1678313471.3131576
1678313472166268500,20.0,42.0,50.96,1678313471.323529
1678313472166544400,20.0,41.0,50.96,1678313471.3338928
1678313472166597200,20.0,41.0,50.96,1678313471.3443844
1678313472166601200,21.0,41.0,50.96,1678313471.354791
1678313472166604900,20.0,41.0,50.96,1678313471.3651786
1678313472166719900,21.0,41.0,50.96,1678313471.3755832
1678313472166939900,22.0,41.0,50.96,1678313471.3859713
1678313472166958600,20.0,40.0,50.96,1678313471.3963597
1678313472166967900,20.0,40.0,49.0,1678313471.406775
1678313472166989400,21.0,41.0,50.96,1678313471.4171727
1678313472167007600,19.0,40.0,50.96,1678313471.4275517
1678313472167027400,19.0,40.0,49.0,1678313471.4379425
1678313472167328800,19.0,40.0,49.0,1678313471.4483302
1678313472167339300,19.0,41.0,49.0,1678313471.4587877
1678313472167622800,20.0,41.0,50.96,1678313471.469177
1678313472168189600,19.0,40.0,50.96,1678313471.4795485
1678313472168202000,18.0,41.0,49.0,1678313471.4900508
1678313472168206700,18.0,40.0,49.0,1678313471.5004814
1678313472168235300,19.0,41.0,50.96,1678313471.5109138
1678313472168247300,19.0,41.0,49.0,1678313471.5212867
1678313472168259800,18.0,41.0,49.0,1678313471.5316432
1678313472168266400,18.0,41.0,49.0,1678313471.5420682
1678313472168279000,19.0,41.0,50.96,1678313471.552465
1678313472168379400,19.0,41.0,50.96,1678313471.5628307
1678313472168421200,19.0,41.0,50.96,1678313471.5731804
1678313472168429700,20.0,41.0,50.96,1678313471.5835621
1678313472168435200,19.0,41.0,50.96,1678313471.5939488
1678313472168439700,20.0,42.0,49.0,1678313471.6044173
1678313472168459400,20.0,41.0,50.96,1678313471.6148014
1678313472168492800,19.0,41.0,50.96,1678313471.6252253
1678313472168510200,19.0,42.0,49.0,1678313471.6358302
1678313472168521700,20.0,43.0,50.96,1678313471.6462574
1678313472168547700,20.0,42.0,50.96,1678313471.6566699
1678313472168628600,21.0,43.0,50.96,1678313471.6670203
1678313472168649800,22.0,42.0,50.96,1678313471.6774578
1678313472168681700,21.0,41.0,50.96,1678313471.687835
1678313472168685600,20.0,41.0,50.96,1678313471.6982422
1678313472168689500,20.0,41.0,50.96,1678313471.7086287
1678313472168693500,21.0,41.0,52.92,1678313471.7190113
1678313472168704800,21.0,42.0,50.96,1678313471.7293675
1678313472168721800,21.0,42.0,54.879999999999995,1678313471.739724
1678313472168726200,21.0,43.0,52.92,1678313471.7501292
1678313472168729700,21.0,43.0,52.92,1678313471.7605033
1678313472168733500,22.0,43.0,54.879999999999995,1678313471.7708697
1678313472168739500,20.0,43.0,54.879999999999995,1678313471.781261
1678313472168766100,21.0,44.0,54.879999999999995,1678313471.7921765
1678313472168774600,21.0,44.0,58.8,1678313471.8025784
1678313472168779200,22.0,45.0,56.839999999999996,1678313471.8129609
1678313472168783600,22.0,44.0,58.8,1678313471.8233166
1678313472168795600,22.0,44.0,56.839999999999996,1678313471.8336897
1678313472168800400,23.0,44.0,60.76,1678313471.8440886
1678313472168804200,22.0,45.0,60.76,1678313471.8544621
1678313472168807800,22.0,45.0,60.76,1678313471.8648093
1678313472168832000,22.0,44.0,60.76,1678313471.8751638
1678313472168842500,23.0,44.0,62.72,1678313471.885546
1678313472168847500,22.0,44.0,62.72,1678313471.895967
1678313472168851500,22.0,45.0,62.72,1678313471.9063334
1678313472168855900,23.0,44.0,64.67999999999999,1678313471.9167085
1678313472168911600,23.0,45.0,62.72,1678313471.9271364
1678313472168964200,24.0,45.0,64.67999999999999,1678313471.937599
1678313472169194400,25.0,45.0,64.67999999999999,1678313471.9480226
1678313472169394800,24.0,45.0,64.67999999999999,1678313471.958411
1678313472177946000,25.0,46.0,66.64,1678313471.9687726
1678313472178755600,25.0,46.0,66.64,1678313471.9791682
1678313472416375300,25.0,46.0,64.67999999999999,1678313471.9895823
1678313472416408700,25.0,47.0,64.67999999999999,1678313472.0013096
1678313472416442800,25.0,46.0,66.64,1678313472.011586
1678313472416463700,24.0,47.0,66.64,1678313472.0220814
1678313472416475300,25.0,45.0,64.67999999999999,1678313472.0325632
1678313472416484400,24.0,45.0,64.67999999999999,1678313472.0430357
1678313472416493400,24.0,44.0,64.67999999999999,1678313472.0534592
1678313472416527400,24.0,44.0,64.67999999999999,1678313472.063851
1678313472416562900,24.0,44.0,64.67999999999999,1678313472.074386
1678313472416653800,23.0,43.0,62.72,1678313472.0849736
1678313472416679900,23.0,43.0,62.72,1678313472.0953932
1678313472416862900,23.0,42.0,62.72,1678313472.105783
1678313472417071400,23.0,41.0,60.76,1678313472.1161704
1678313472417131200,23.0,41.0,62.72,1678313472.126554
1678313472417217200,23.0,41.0,60.76,1678313472.1369617
1678313472417230900,23.0,40.0,60.76,1678313472.1474295
1678313472516245300,23.0,40.0,58.8,1678313472.1578224
1678313472516356300,24.0,41.0,58.8,1678313472.1682734
1678313472516399500,24.0,41.0,60.76,1678313472.1786644
1678313472516412900,23.0,41.0,58.8,1678313472.1890898
1678313472516427400,24.0,41.0,60.76,1678313472.1994927
1678313472516434300,25.0,41.0,60.76,1678313472.2098646
1678313472516484700,25.0,41.0,60.76,1678313472.2215724
1678313472516545400,25.0,40.0,60.76,1678313472.2327466
1678313472516551000,23.0,41.0,58.8,1678313472.24315
1678313472516555800,23.0,41.0,60.76,1678313472.2535238
1678313472516575200,23.0,41.0,58.8,1678313472.263885
1678313472516580400,22.0,41.0,58.8,1678313472.2742429
1678313472516919500,20.0,40.0,58.8,1678313472.2846482
1678313472516925000,20.0,41.0,58.8,1678313472.2950478
1678313472516999400,20.0,40.0,58.8,1678313472.3055036
1678313472517151500,20.0,40.0,56.839999999999996,1678313472.3158965
1678313472680683300,20.0,39.0,56.839999999999996,1678313472.3263059
1678313472680706600,19.0,39.0,56.839999999999996,1678313472.3367305
1678313472680753900,19.0,39.0,54.879999999999995,1678313472.3471777
1678313472681083000,20.0,39.0,54.879999999999995,1678313472.3575478
1678313472681158600,21.0,39.0,54.879999999999995,1678313472.3679106
1678313472681296500,21.0,38.0,54.879999999999995,1678313472.3783665
1678313472681658100,21.0,37.0,54.879999999999995,1678313472.3887734
1678313472681677000,21.0,38.0,54.879999999999995,1678313472.399168
1678313472681685100,22.0,39.0,54.879999999999995,1678313472.4095483
1678313472681714300,21.0,38.0,54.879999999999995,1678313472.419926
1678313472681732700,21.0,38.0,54.879999999999995,1678313472.4303315
1678313472682008500,21.0,38.0,54.879999999999995,1678313472.440716
1678313472682028500,20.0,38.0,54.879999999999995,1678313472.4513552
1678313472682034500,21.0,39.0,56.839999999999996,1678313472.4617147
1678313472682068400,20.0,39.0,54.879999999999995,1678313472.4720788
1678313472682076200,20.0,38.0,54.879999999999995,1678313472.4824948
1678313473033617900,19.0,38.0,54.879999999999995,1678313472.4928756
1678313473033634200,19.0,38.0,54.879999999999995,1678313472.5032904
1678313473033749600,18.0,38.0,52.92,1678313472.513708
1678313473033768800,17.0,38.0,50.96,1678313472.524114
1678313473033803300,18.0,38.0,52.92,1678313472.5345116
1678313473033816900,18.0,37.0,50.96,1678313472.544893
1678313473033825500,17.0,37.0,50.96,1678313472.5552537
1678313473033828500,18.0,37.0,49.0,1678313472.565609
1678313473033831300,19.0,37.0,50.96,1678313472.5760138
1678313473034033300,19.0,37.0,50.96,1678313472.586404
1678313473034051900,19.0,37.0,49.0,1678313472.5967863
1678313473034061000,20.0,38.0,50.96,1678313472.6071703
1678313473034063700,20.0,37.0,50.96,1678313472.617588
1678313473034068200,20.0,38.0,50.96,1678313472.6279914
1678313473034071200,20.0,37.0,52.92,1678313472.6383781
1678313473034081600,18.0,37.0,50.96,1678313472.6487753
1678313473034104500,18.0,37.0,50.96,1678313472.659138
1678313473034106700,17.0,38.0,49.0,1678313472.6694922
1678313473034113100,17.0,38.0,49.0,1678313472.679869
1678313473034115700,16.0,37.0,50.96,1678313472.6902416
1678313473034118900,17.0,37.0,50.96,1678313472.700621
1678313473034124200,15.0,37.0,49.0,1678313472.7111337
1678313473034136900,16.0,37.0,49.0,1678313472.7215674
1678313473034153000,17.0,37.0,50.96,1678313472.7319202
1678313473034199500,17.0,37.0,49.0,1678313472.7422836
1678313473034205100,17.0,38.0,49.0,1678313472.7526367
1678313473034256400,16.0,38.0,49.0,1678313472.7630002
1678313473034272200,18.0,38.0,50.96,1678313472.7733834
1678313473034274600,17.0,37.0,49.0,1678313472.7837586
1678313473034309500,16.0,37.0,49.0,1678313472.794135
1678313473034377200,16.0,38.0,49.0,1678313472.8045607
1678313473034643100,16.0,37.0,49.0,1678313472.8149652
1678313473180178200,15.0,37.0,47.04,1678313472.8253756
1678313473180222100,16.0,38.0,47.04,1678313472.8357933
1678313473180264500,16.0,37.0,47.04,1678313472.8461826
1678313473180268100,15.0,37.0,47.04,1678313472.8565552
1678313473180337300,15.0,36.0,47.04,1678313472.8669543
1678313473180344800,16.0,37.0,45.08,1678313472.8774192
1678313473180349800,17.0,36.0,49.0,1678313472.8878412
1678313473180429300,17.0,36.0,47.04,1678313472.8982236
1678313473180440500,18.0,37.0,47.04,1678313472.9086003
1678313473180445100,19.0,38.0,49.0,1678313472.9190142
1678313473180479200,18.0,37.0,49.0,1678313472.9293802
1678313473180506000,19.0,38.0,47.04,1678313472.939738
1678313473180539600,19.0,39.0,47.04,1678313472.9501045
1678313473180606700,19.0,39.0,49.0,1678313472.9604566
1678313473180616800,19.0,39.0,50.96,1678313472.9709044
1678313473180622200,18.0,39.0,49.0,1678313472.9813547
1678313473180766600,18.0,39.0,49.0,1678313472.9917316
1678313473450550700,17.0,39.0,49.0,1678313473.002117
1678313473450569600,17.0,40.0,49.0,1678313473.0127277
1678313473450576500,17.0,39.0,50.96,1678313473.0231118
1678313473450599200,16.0,39.0,49.0,1678313473.03346
1678313473450637300,17.0,39.0,50.96,1678313473.0438743
1678313473450652400,19.0,39.0,50.96,1678313473.0542266
1678313473450660800,19.0,39.0,50.96,1678313473.0646183
1678313473450663900,20.0,39.0,52.92,1678313473.074973
1678313473450676500,20.0,38.0,52.92,1678313473.0853488
1678313473450686600,20.0,39.0,50.96,1678313473.0957105
1678313473450691200,20.0,40.0,52.92,1678313473.106203
1678313473450700300,21.0,40.0,52.92,1678313473.11674
1678313473450705600,19.0,40.0,52.92,1678313473.1272888
1678313473450708700,20.0,41.0,50.96,1678313473.137761
1678313473450710800,20.0,41.0,54.879999999999995,1678313473.1482785
1678313473450727000,19.0,42.0,54.879999999999995,1678313473.1590114
1678313473531742400,19.0,43.0,54.879999999999995,1678313473.1695201
1678313473531759700,19.0,42.0,54.879999999999995,1678313473.180049
1678313473531762100,18.0,42.0,54.879999999999995,1678313473.190554
1678313473531766600,18.0,43.0,52.92,1678313473.2012095
1678313473531778700,18.0,44.0,54.879999999999995,1678313473.2117362
1678313473531813800,18.0,43.0,54.879999999999995,1678313473.2222476
1678313473531839600,19.0,45.0,54.879999999999995,1678313473.2327068
1678313473531874500,19.0,44.0,56.839999999999996,1678313473.2431946
1678313473531889400,18.0,43.0,56.839999999999996,1678313473.2536705
1678313473531899200,20.0,44.0,56.839999999999996,1678313473.2642007
1678313473531908600,20.0,43.0,56.839999999999996,1678313473.2746677
1678313473531915300,20.0,44.0,54.879999999999995,1678313473.2851596
1678313473531918500,21.0,44.0,56.839999999999996,1678313473.2956414
1678313473531926600,20.0,43.0,56.839999999999996,1678313473.3061907
1678313473532355500,20.0,45.0,56.839999999999996,1678313473.316697
1678313473532361700,21.0,45.0,56.839999999999996,1678313473.3271587
1678313473532368300,19.0,44.0,56.839999999999996,1678313473.3376524
1678313473703114700,19.0,44.0,54.879999999999995,1678313473.3481758
1678313473703146400,19.0,44.0,54.879999999999995,1678313473.3587298
1678313473703160000,20.0,45.0,56.839999999999996,1678313473.3692434
1678313473703165100,18.0,45.0,54.879999999999995,1678313473.379724
1678313473703168400,18.0,45.0,54.879999999999995,1678313473.390231
1678313473703170700,18.0,45.0,56.839999999999996,1678313473.401331
1678313473703172600,18.0,45.0,56.839999999999996,1678313473.411866
1678313473703175000,17.0,45.0,54.879999999999995,1678313473.4223678
1678313473703249300,18.0,47.0,54.879999999999995,1678313473.432835
1678313473703251500,18.0,45.0,54.879999999999995,1678313473.4433293
1678313473703257800,17.0,45.0,52.92,1678313473.4538565
1678313473703259700,18.0,46.0,54.879999999999995,1678313473.464345
1678313473703535300,18.0,44.0,54.879999999999995,1678313473.4748387
1678313473703822100,16.0,44.0,52.92,1678313473.4853263
1678313473704037700,18.0,45.0,52.92,1678313473.4958112
1678313473704442100,18.0,44.0,52.92,1678313473.5064304
1678313473952353300,17.0,44.0,52.92,1678313473.5171833
1678313473952483000,17.0,45.0,50.96,1678313473.527893
1678313473952500000,17.0,44.0,50.96,1678313473.5385985
1678313473952504500,17.0,45.0,50.96,1678313473.5490475
1678313473952509300,18.0,45.0,52.92,1678313473.5594668
1678313473952513700,17.0,45.0,52.92,1678313473.5698652
1678313473952525100,18.0,45.0,52.92,1678313473.5802844
1678313473952551000,18.0,45.0,52.92,1678313473.5906727
1678313473952960800,18.0,46.0,52.92,1678313473.6014535
1678313473952975800,17.0,45.0,52.92,1678313473.6118875
1678313473952985600,17.0,46.0,52.92,1678313473.6222718
1678313473952993600,17.0,46.0,52.92,1678313473.632639
1678313473953002900,16.0,46.0,50.96,1678313473.643024
1678313473953005700,16.0,47.0,52.92,1678313473.653416
1678313473953008000,16.0,45.0,50.96,1678313473.6637862
1678313473953010000,14.0,45.0,49.0,1678313473.67415
1678313473953019800,15.0,44.0,49.0,1678313473.6845229
1678313474046040600,13.0,44.0,45.08,1678313473.694932
1678313474046069500,14.0,44.0,47.04,1678313473.7053304
1678313474046078000,13.0,42.0,45.08,1678313473.7157035
1678313474046088400,13.0,42.0,45.08,1678313473.7260752
1678313474046103900,12.0,42.0,43.12,1678313473.7364454
1678313474046110700,13.0,43.0,45.08,1678313473.7468553
1678313474046112700,14.0,42.0,45.08,1678313473.7574313
1678313474046115500,13.0,41.0,43.12,1678313473.7678015
1678313474046117300,14.0,42.0,43.12,1678313473.778198
1678313474046119100,15.0,42.0,45.08,1678313473.7885797
1678313474046121100,14.0,42.0,43.12,1678313473.7989864
1678313474046123000,15.0,43.0,45.08,1678313473.8093622
1678313474046272600,15.0,43.0,47.04,1678313473.8197308
1678313474046279800,15.0,45.0,45.08,1678313473.8302007
1678313474046297300,15.0,44.0,47.04,1678313473.8405945
1678313474046307400,15.0,45.0,45.08,1678313473.851467
1678313474475287900,13.0,45.0,45.08,1678313473.8618324
1678313474475306700,13.0,45.0,47.04,1678313473.8722174
1678313474475309200,13.0,45.0,47.04,1678313473.8825963
1678313474475311900,13.0,45.0,47.04,1678313473.8929949
1678313474475314500,13.0,46.0,47.04,1678313473.9033756
1678313474475316700,13.0,45.0,47.04,1678313473.9137425
1678313474475320300,11.0,44.0,47.04,1678313473.924115
1678313474475322400,12.0,44.0,47.04,1678313473.9344811
1678313474475324300,12.0,45.0,47.04,1678313473.944884
1678313474475326200,12.0,43.0,47.04,1678313473.9552493
1678313474475328500,11.0,43.0,45.08,1678313473.965604
1678313474475332200,12.0,43.0,47.04,1678313473.9759603
1678313474475334300,11.0,43.0,45.08,1678313473.9863744
1678313474475336100,12.0,45.0,47.04,1678313473.996786
1678313474475340200,12.0,43.0,47.04,1678313474.0071664
1678313474475342000,13.0,45.0,47.04,1678313474.0175438
1678313474475343900,13.0,44.0,47.04,1678313474.0279846
1678313474570329600,12.0,44.0,45.08,1678313474.038531
1678313474570344900,13.0,44.0,45.08,1678313474.0490668
1678313474570349400,12.0,45.0,45.08,1678313474.0594172
1678313474570351700,11.0,44.0,45.08,1678313474.0697799
1678313474570374500,12.0,45.0,45.08,1678313474.0801563
1678313474570381900,11.0,44.0,45.08,1678313474.0907116
1678313474570384700,11.0,44.0,43.12,1678313474.1015494
1678313474570389000,12.0,44.0,45.08,1678313474.112046
1678313474570391300,10.0,44.0,43.12,1678313474.1225452
1678313474570393100,12.0,45.0,45.08,1678313474.1330857
1678313474570394900,11.0,44.0,43.12,1678313474.14362
1678313474570396600,12.0,45.0,43.12,1678313474.154094
1678313474570398400,11.0,43.0,45.08,1678313474.1645617
1678313474570400500,12.0,44.0,45.08,1678313474.1751375
1678313474570403900,11.0,44.0,45.08,1678313474.1856804
1678313474570406000,12.0,43.0,45.08,1678313474.1961596
1678313474570412300,12.0,44.0,43.12,1678313474.2066529
1678313474570414200,12.0,42.0,45.08,1678313474.2171774
1678313474570416100,13.0,43.0,45.08,1678313474.2276998
1678313474570418100,12.0,43.0,43.12,1678313474.2382848
1678313474570420000,13.0,42.0,45.08,1678313474.248814
1678313474570422000,13.0,44.0,45.08,1678313474.259279
1678313474570425900,14.0,43.0,43.12,1678313474.269771
1678313474570427900,15.0,43.0,45.08,1678313474.2803192
1678313474570429700,15.0,43.0,47.04,1678313474.2910848
1678313474570431900,16.0,44.0,47.04,1678313474.3015785
1678313474570435700,17.0,45.0,49.0,1678313474.3120582
1678313474570438200,17.0,44.0,50.96,1678313474.322548
1678313474570440700,17.0,44.0,50.96,1678313474.33308
1678313474570442700,17.0,45.0,50.96,1678313474.3435948
1678313474570444700,19.0,47.0,54.879999999999995,1678313474.3540769
1678313474570475500,20.0,47.0,58.8,1678313474.364546
1678313474740505800,22.0,48.0,60.76,1678313474.3750312
1678313474740520300,23.0,50.0,62.72,1678313474.3855984
1678313474740523500,24.0,51.0,66.64,1678313474.3961267
1678313474740526300,26.0,53.0,68.6,1678313474.4066522
1678313474740529000,29.0,54.0,74.48,1678313474.4171486
1678313474740532700,30.0,56.0,76.44,1678313474.4277048
1678313474740538100,33.0,57.0,84.28,1678313474.4382293
1678313474740540900,35.0,59.0,86.24,1678313474.4487827
1678313474740543900,39.0,61.0,94.08,1678313474.4592512
1678313474740550600,41.0,63.0,98.0,1678313474.4697807
1678313474740576200,46.0,66.0,103.88,1678313474.4803386
1678313474740641500,48.0,67.0,109.75999999999999,1678313474.4911373
