%time,field.mx,field.my,field.fz,field.t
1678312619226278700,-4.0,-28.0,-54.879999999999995,1678312619.0133288
1678312619226304000,-2.0,-26.0,-52.92,1678312619.0235786
1678312619226327100,-4.0,-28.0,-52.92,1678312619.033837
1678312619226335100,-2.0,-26.0,-52.92,1678312619.0441787
1678312619226361000,-4.0,-28.0,-52.92,1678312619.0544043
1678312619226373200,-2.0,-26.0,-52.92,1678312619.0646574
1678312619293793200,-5.0,-27.0,-54.879999999999995,1678312619.0750291
1678312619293815800,-3.0,-26.0,-54.879999999999995,1678312619.0854254
1678312619293820400,-4.0,-27.0,-52.92,1678312619.09572
1678312619293891000,-2.0,-26.0,-52.92,1678312619.10598
1678312619293921800,-5.0,-27.0,-54.879999999999995,1678312619.1162086
1678312619293956500,-2.0,-26.0,-52.92,1678312619.1264546
1678312619354230300,-4.0,-28.0,-52.92,1678312619.1369054
1678312619354264800,-2.0,-27.0,-52.92,1678312619.1473444
1678312619354290700,-4.0,-27.0,-54.879999999999995,1678312619.1576004
1678312619354309000,-4.0,-28.0,-52.92,1678312619.1678433
1678312619354325700,-3.0,-27.0,-56.839999999999996,1678312619.178106
1678312619354355000,-3.0,-27.0,-54.879999999999995,1678312619.1883473
1678312619354378500,-4.0,-28.0,-52.92,1678312619.198585
1678312619416855400,-3.0,-27.0,-52.92,1678312619.2088397
1678312619416876100,-4.0,-28.0,-52.92,1678312619.2190619
1678312619416895600,-4.0,-28.0,-54.879999999999995,1678312619.2293966
1678312619416920200,-3.0,-28.0,-52.92,1678312619.2397466
1678312619416982700,-3.0,-27.0,-54.879999999999995,1678312619.250105
1678312619482265600,-4.0,-28.0,-52.92,1678312619.2605352
1678312619482303900,-4.0,-27.0,-54.879999999999995,1678312619.271062
1678312619482329300,-3.0,-27.0,-50.96,1678312619.2812657
1678312619482352800,-4.0,-28.0,-54.879999999999995,1678312619.2916915
1678312619482377200,-3.0,-28.0,-52.92,1678312619.302204
1678312619482381700,-2.0,-27.0,-52.92,1678312619.3126338
1678312619535326700,-4.0,-28.0,-54.879999999999995,1678312619.3230164
1678312619535369200,-2.0,-27.0,-52.92,1678312619.3334568
1678312619535386100,-3.0,-26.0,-52.92,1678312619.3438456
1678312619535389800,-4.0,-28.0,-54.879999999999995,1678312619.3543453
1678312619535399900,-3.0,-28.0,-50.96,1678312619.3647661
1678312619535452400,-3.0,-26.0,-52.92,1678312619.37532
1678312619598186800,-4.0,-28.0,-54.879999999999995,1678312619.385831
1678312619598238800,-4.0,-28.0,-52.92,1678312619.396335
1678312619598248000,-3.0,-26.0,-52.92,1678312619.4068098
1678312619598253100,-4.0,-28.0,-52.92,1678312619.4172974
1678312619598286900,-2.0,-27.0,-52.92,1678312619.4277189
1678312619598292600,-4.0,-28.0,-52.92,1678312619.4381394
1678312619658142400,-3.0,-27.0,-50.96,1678312619.4486277
1678312619658175900,-5.0,-28.0,-52.92,1678312619.4591184
1678312619658187500,-2.0,-26.0,-52.92,1678312619.4696121
1678312619658193400,-4.0,-28.0,-52.92,1678312619.4800756
1678312619658219900,-2.0,-27.0,-52.92,1678312619.490541
1678312619658259900,-4.0,-27.0,-54.879999999999995,1678312619.5010462
1678312619717879600,-4.0,-28.0,-52.92,1678312619.5115542
1678312619717919100,-3.0,-26.0,-52.92,1678312619.521983
1678312619717954100,-4.0,-28.0,-52.92,1678312619.5375812
1678312619717962200,-2.0,-26.0,-52.92,1678312619.5478592
1678312619717986200,-4.0,-27.0,-56.839999999999996,1678312619.5581806
1678312619796034200,-3.0,-27.0,-52.92,1678312619.5685258
1678312619796069000,-3.0,-27.0,-54.879999999999995,1678312619.5788658
1678312619796099300,-4.0,-28.0,-52.92,1678312619.589163
1678312619796130500,-2.0,-26.0,-52.92,1678312619.5994573
1678312619796172500,-4.0,-28.0,-52.92,1678312619.60974
1678312619796219400,-2.0,-26.0,-52.92,1678312619.6199985
1678312619858186100,-4.0,-27.0,-54.879999999999995,1678312619.6303027
1678312619858213000,-2.0,-27.0,-50.96,1678312619.6407053
1678312619858245500,-4.0,-28.0,-52.92,1678312619.6513429
1678312619858250400,-2.0,-27.0,-50.96,1678312619.6615884
1678312619858301300,-4.0,-27.0,-54.879999999999995,1678312619.671821
1678312619858312000,-4.0,-28.0,-52.92,1678312619.6820483
1678312619858316000,-4.0,-28.0,-54.879999999999995,1678312619.6925259
1678312619858337300,-3.0,-27.0,-50.96,1678312619.7029774
