%time,field.mx,field.my,field.fz,field.t
1678468361614359300,-6.0,-5.0,-127.39999999999999,1678468358.5542614
1678468361614387500,-8.0,-5.0,-131.32,1678468358.5645983
1678468361614438700,-7.0,-4.0,-131.32,1678468358.57487
1678468361614457900,-7.0,-4.0,-129.35999999999999,1678468358.5851474
1678468361614462300,-7.0,-3.0,-129.35999999999999,1678468358.5954437
1678468361614466100,-7.0,-3.0,-127.39999999999999,1678468358.605831
1678468361614469600,-8.0,-3.0,-129.35999999999999,1678468358.6161852
1678468361614473400,-8.0,-3.0,-127.39999999999999,1678468358.6265006
1678468361614477700,-8.0,-3.0,-127.39999999999999,1678468358.6368098
1678468361614620600,-8.0,-3.0,-127.39999999999999,1678468358.6471076
1678468361614659100,-8.0,-2.0,-129.35999999999999,1678468358.657474
1678468361614671200,-8.0,-2.0,-129.35999999999999,1678468358.667802
1678468361614746000,-8.0,-2.0,-129.35999999999999,1678468358.6780765
1678468361614760900,-8.0,-2.0,-129.35999999999999,1678468358.6883786
1678468361614771700,-8.0,-2.0,-129.35999999999999,1678468358.6986635
1678468361614777300,-7.0,-1.0,-127.39999999999999,1678468358.7093668
1678468361614791500,-7.0,0.0,-127.39999999999999,1678468358.7197127
1678468361614795200,-7.0,0.0,-129.35999999999999,1678468358.729995
1678468361614798800,-6.0,0.0,-127.39999999999999,1678468358.7405932
1678468361614802900,-6.0,-1.0,-127.39999999999999,1678468358.7510638
1678468361614806400,-8.0,-1.0,-127.39999999999999,1678468358.761389
1678468361614863000,-8.0,-1.0,-129.35999999999999,1678468358.771709
1678468361614896600,-6.0,0.0,-127.39999999999999,1678468358.7819946
1678468361614934300,-6.0,0.0,-127.39999999999999,1678468358.7923052
1678468361614997900,-7.0,-1.0,-127.39999999999999,1678468358.8026495
1678468361615003700,-8.0,-1.0,-129.35999999999999,1678468358.8129802
1678468361615007400,-7.0,-1.0,-131.32,1678468358.8232772
1678468361615011400,-7.0,-1.0,-131.32,1678468358.8338048
1678468361615015400,-7.0,0.0,-129.35999999999999,1678468358.8443127
1678468361615019100,-7.0,0.0,-129.35999999999999,1678468358.8546288
1678468361615023000,-9.0,-1.0,-129.35999999999999,1678468358.8649716
1678468361615221700,-8.0,-1.0,-131.32,1678468358.875321
1678468361656894900,-8.0,-1.0,-131.32,1678468358.885844
1678468361656919900,-9.0,-1.0,-131.32,1678468358.8963273
1678468361656946500,-8.0,-1.0,-129.35999999999999,1678468358.9066207
1678468361656956400,-7.0,-1.0,-127.39999999999999,1678468358.9171362
1678468361656965500,-8.0,0.0,-129.35999999999999,1678468358.9276295
1678468361656990200,-8.0,-1.0,-131.32,1678468358.9381192
1678468361656998800,-9.0,-1.0,-131.32,1678468358.948404
1678468361657003200,-9.0,-1.0,-129.35999999999999,1678468358.9587185
1678468361657021500,-9.0,-2.0,-131.32,1678468358.969047
1678468361657043700,-9.0,-1.0,-131.32,1678468358.9795175
1678468361657064900,-8.0,-1.0,-131.32,1678468358.9898221
1678468361657095200,-8.0,-1.0,-127.39999999999999,1678468359.0001636
1678468361657121800,-9.0,-2.0,-129.35999999999999,1678468359.010475
1678468361768098000,-9.0,-2.0,-131.32,1678468359.0207918
1678468361768121100,-9.0,-2.0,-129.35999999999999,1678468359.0311332
1678468361768125300,-9.0,-1.0,-129.35999999999999,1678468359.0414803
1678468361768129000,-8.0,-1.0,-129.35999999999999,1678468359.0519402
1678468361768135400,-8.0,-1.0,-127.39999999999999,1678468359.0623
1678468361768138900,-8.0,-2.0,-127.39999999999999,1678468359.072642
1678468361768146300,-8.0,-2.0,-129.35999999999999,1678468359.0832875
1678468361768150200,-9.0,-2.0,-127.39999999999999,1678468359.0936525
1678468361768154000,-9.0,-2.0,-129.35999999999999,1678468359.103985
1678468361768177700,-9.0,-2.0,-129.35999999999999,1678468359.1142955
1678468361768186700,-8.0,-2.0,-131.32,1678468359.1246266
1678468361768191100,-9.0,-2.0,-131.32,1678468359.135031
1678468361768195600,-9.0,-2.0,-129.35999999999999,1678468359.1454728
1678468361768218600,-8.0,-2.0,-127.39999999999999,1678468359.1558259
1678468361768299400,-8.0,-2.0,-127.39999999999999,1678468359.1662846
1678468361905665500,-9.0,-2.0,-129.35999999999999,1678468359.1766818
1678468361905736800,-8.0,-1.0,-131.32,1678468359.1871116
1678468361905763500,-8.0,-1.0,-129.35999999999999,1678468359.197486
1678468361905788600,-8.0,-1.0,-131.32,1678468359.207897
1678468361905806300,-7.0,0.0,-127.39999999999999,1678468359.2182543
1678468361905893600,-7.0,0.0,-127.39999999999999,1678468359.2286174
1678468361905909900,-7.0,-1.0,-127.39999999999999,1678468359.2389712
1678468361905937600,-7.0,0.0,-127.39999999999999,1678468359.2496023
1678468361905949100,-9.0,-2.0,-129.35999999999999,1678468359.2599328
1678468361905960200,-8.0,-1.0,-129.35999999999999,1678468359.270377
1678468361977810700,-8.0,-1.0,-131.32,1678468359.2806947
