%time,field.mx,field.my,field.fz,field.t
1678312672645915200,92.0,84.0,162.68,1678312672.4459713
1678312672645966900,92.0,85.0,160.72,1678312672.4562366
1678312672646037500,92.0,86.0,160.72,1678312672.4664848
1678312672646043600,93.0,87.0,156.8,1678312672.4767776
1678312672646415800,93.0,86.0,158.76,1678312672.4870217
1678312672748565600,91.0,86.0,154.84,1678312672.497335
1678312672748734100,90.0,87.0,152.88,1678312672.507618
1678312672748778100,91.0,88.0,152.88,1678312672.517892
1678312672748811600,90.0,87.0,152.88,1678312672.5281181
1678312672748827600,90.0,87.0,152.88,1678312672.538372
1678312672748884300,88.0,86.0,150.92,1678312672.5486152
1678312672748926200,88.0,85.0,152.88,1678312672.5588565
1678312672749013900,89.0,86.0,150.92,1678312672.5690727
1678312672913893600,86.0,84.0,148.96,1678312672.579299
1678312672913945800,85.0,85.0,148.96,1678312672.589591
1678312672913971900,86.0,85.0,147.0,1678312672.5998318
1678312672913984000,86.0,85.0,148.96,1678312672.6100717
1678312672913990600,85.0,85.0,147.0,1678312672.6203365
1678312672914014600,85.0,84.0,148.96,1678312672.6305757
1678312672914024800,87.0,86.0,148.96,1678312672.6410084
1678312672914050800,85.0,84.0,147.0,1678312672.6513002
1678312672914059800,85.0,85.0,145.04,1678312672.661528
1678312672914071300,86.0,85.0,148.96,1678312672.6717393
1678312672914078900,86.0,86.0,147.0,1678312672.6819644
1678312672914084700,85.0,85.0,148.96,1678312672.6921778
1678312672914089400,86.0,86.0,150.92,1678312672.7023895
1678312672914190500,86.0,87.0,148.96,1678312672.7126174
1678312672914283400,85.0,86.0,147.0,1678312672.722875
1678312672990769500,85.0,86.0,148.96,1678312672.7331462
1678312672990792000,86.0,87.0,147.0,1678312672.7434158
1678312672990796500,87.0,87.0,147.0,1678312672.7536533
1678312672990850200,87.0,87.0,148.96,1678312672.7638893
1678312672990880600,86.0,85.0,147.0,1678312672.774115
1678312672990884200,87.0,85.0,148.96,1678312672.7843816
1678312672990937500,87.0,85.0,147.0,1678312672.7946281
1678312672990942000,87.0,85.0,148.96,1678312672.8048446
1678312672990996400,89.0,86.0,150.92,1678312672.8150957
1678312672991070100,88.0,86.0,147.0,1678312672.8253405
1678312673055051000,87.0,86.0,150.92,1678312672.8355978
1678312673055105200,89.0,88.0,150.92,1678312672.8458529
1678312673055138700,88.0,87.0,150.92,1678312672.856073
1678312673055143400,87.0,86.0,150.92,1678312672.866297
1678312673055191600,90.0,87.0,152.88,1678312672.8765445
1678312673055213300,88.0,86.0,154.84,1678312672.8867977
1678312673055238000,89.0,88.0,154.84,1678312672.8971214
1678312673119879100,88.0,87.0,154.84,1678312672.9074378
1678312673119932300,89.0,87.0,156.8,1678312672.9176967
1678312673119950700,91.0,89.0,156.8,1678312672.927965
1678312673119962700,90.0,88.0,158.76,1678312672.9382067
1678312673119969800,91.0,88.0,158.76,1678312672.948463
1678312673120128200,90.0,87.0,158.76,1678312672.95871
1678312673181136900,92.0,87.0,158.76,1678312672.968981
1678312673181184800,90.0,86.0,156.8,1678312672.979281
1678312673181205700,91.0,88.0,156.8,1678312672.989559
1678312673181247100,90.0,87.0,156.8,1678312672.9997983
1678312673181273100,91.0,86.0,158.76,1678312673.0100965
1678312673181294500,90.0,86.0,154.84,1678312673.0203454
1678312673238743300,91.0,86.0,156.8,1678312673.0306227
1678312673238772000,90.0,85.0,158.76,1678312673.0411077
1678312673238779700,89.0,84.0,158.76,1678312673.0513492
1678312673238815300,90.0,85.0,158.76,1678312673.0616379
1678312673238850000,88.0,84.0,156.8,1678312673.071951
1678312673238971700,89.0,85.0,158.76,1678312673.0822554
1678312673314862900,88.0,83.0,156.8,1678312673.0925133
1678312673314905900,90.0,83.0,158.76,1678312673.1027792
1678312673314919000,90.0,84.0,158.76,1678312673.113064
1678312673314946000,89.0,83.0,154.84,1678312673.123383
1678312673315133200,90.0,82.0,158.76,1678312673.1336405
1678312673315165400,90.0,82.0,156.8,1678312673.14393
1678312673374997700,92.0,83.0,156.8,1678312673.1542113
1678312673375036000,90.0,82.0,156.8,1678312673.164473
1678312673375065600,90.0,81.0,158.76,1678312673.1747284
1678312673375092300,92.0,83.0,156.8,1678312673.1850214
1678312673375105000,90.0,81.0,156.8,1678312673.195283
1678312673375115100,90.0,81.0,158.76,1678312673.2055712
1678312673375148300,91.0,81.0,156.8,1678312673.2158644
1678312673482931900,93.0,81.0,160.72,1678312673.22614
1678312673482980100,92.0,81.0,160.72,1678312673.236434
1678312673483003200,92.0,81.0,160.72,1678312673.2467275
1678312673483020100,93.0,81.0,164.64,1678312673.256985
1678312673483054600,93.0,82.0,160.72,1678312673.2673542
1678312673483116200,91.0,81.0,164.64,1678312673.2776575
1678312673632550900,91.0,81.0,162.68,1678312673.2879422
1678312673632642700,92.0,81.0,162.68,1678312673.2982981
1678312673632658400,90.0,79.0,162.68,1678312673.3086414
1678312673632677600,89.0,79.0,156.8,1678312673.3189642
1678312673632691000,89.0,78.0,158.76,1678312673.3292608
1678312673632712800,91.0,79.0,158.76,1678312673.3394823
1678312673632726400,91.0,78.0,158.76,1678312673.3497074
1678312673632732500,90.0,76.0,160.72,1678312673.3599331
1678312673632750000,91.0,77.0,160.72,1678312673.370242
1678312673632793000,89.0,76.0,158.76,1678312673.3805296
