%time,field.mx,field.my,field.fz,field.t
1678312803697240100,52.0,55.0,103.88,1678312803.4784615
1678312803697282100,52.0,55.0,105.84,1678312803.4887564
1678312803697329100,51.0,56.0,103.88,1678312803.4990287
1678312803697356500,51.0,56.0,105.84,1678312803.5092957
1678312803697383400,49.0,55.0,103.88,1678312803.5195796
1678312803756390300,50.0,55.0,105.84,1678312803.529822
1678312803756438300,49.0,56.0,103.88,1678312803.5400565
1678312803756462700,49.0,55.0,103.88,1678312803.5502903
1678312803756474600,49.0,55.0,103.88,1678312803.5606616
1678312803756479800,51.0,56.0,105.84,1678312803.571231
1678312803756520200,50.0,55.0,103.88,1678312803.5815148
1678312803813639600,51.0,56.0,103.88,1678312803.5917826
1678312803813683600,51.0,55.0,103.88,1678312803.6020558
1678312803813706500,52.0,57.0,103.88,1678312803.6122963
1678312803813714900,50.0,56.0,103.88,1678312803.6225579
1678312803813740700,50.0,55.0,103.88,1678312803.6328187
1678312803813753700,51.0,56.0,103.88,1678312803.643105
1678312803880794500,51.0,55.0,105.84,1678312803.653431
1678312803880860300,51.0,56.0,103.88,1678312803.663707
1678312803880872400,51.0,55.0,105.84,1678312803.6739707
1678312803880948900,51.0,57.0,105.84,1678312803.6842186
1678312803881032100,51.0,55.0,105.84,1678312803.6944547
1678312803881094900,51.0,56.0,103.88,1678312803.7046843
1678312803942749000,51.0,55.0,105.84,1678312803.7149305
1678312803942815000,52.0,57.0,103.88,1678312803.7252424
1678312803942848600,51.0,56.0,105.84,1678312803.7355042
1678312803942903300,52.0,58.0,105.84,1678312803.7457528
1678312803942915900,51.0,56.0,105.84,1678312803.7560287
1678312803943004200,52.0,58.0,103.88,1678312803.7662864
1678312804156810300,50.0,56.0,103.88,1678312803.7765486
1678312804156865600,51.0,56.0,105.84,1678312803.7868464
1678312804156895800,51.0,56.0,103.88,1678312803.7971244
1678312804156942400,51.0,56.0,103.88,1678312803.8073742
1678312804156952500,50.0,56.0,101.92,1678312803.8176398
1678312804156963900,51.0,56.0,103.88,1678312803.8279011
1678312804156970700,49.0,55.0,101.92,1678312803.8381453
1678312804156984200,50.0,56.0,99.96,1678312803.8484008
1678312804157057200,49.0,55.0,101.92,1678312803.8586462
1678312804157083300,51.0,56.0,103.88,1678312803.869501
1678312804157092700,50.0,55.0,101.92,1678312803.8803508
1678312804157140000,51.0,56.0,99.96,1678312803.8906016
1678312804157154000,50.0,56.0,99.96,1678312803.9009583
1678312804157163800,50.0,55.0,101.92,1678312803.9112067
1678312804157224000,50.0,56.0,103.88,1678312803.9214725
1678312804157228100,49.0,56.0,101.92,1678312803.931702
1678312804157278900,50.0,57.0,103.88,1678312803.9419389
1678312804157323100,48.0,56.0,101.92,1678312803.9522336
1678312804271361400,48.0,56.0,101.92,1678312803.9624946
1678312804271400000,48.0,57.0,103.88,1678312803.9728186
1678312804271410000,50.0,58.0,103.88,1678312803.9830594
1678312804271417000,49.0,57.0,101.92,1678312803.9932992
1678312804271422800,51.0,58.0,103.88,1678312804.0035424
1678312804271458900,50.0,58.0,101.92,1678312804.0138135
1678312804271493900,51.0,58.0,103.88,1678312804.0240636
1678312804271524900,50.0,57.0,103.88,1678312804.034293
1678312804271719500,50.0,59.0,103.88,1678312804.0445282
1678312804271733800,49.0,58.0,103.88,1678312804.0547717
1678312804271740800,50.0,58.0,103.88,1678312804.0650542
1678312804326125300,50.0,59.0,103.88,1678312804.075351
1678312804326131700,50.0,59.0,105.84,1678312804.0856695
1678312804326411200,50.0,59.0,105.84,1678312804.0959458
1678312804326482300,52.0,59.0,107.8,1678312804.1062105
1678312804326490600,51.0,60.0,105.84,1678312804.1165187
1678312804326493600,52.0,59.0,107.8,1678312804.1268332
1678312804326566700,53.0,59.0,109.75999999999999,1678312804.1372402
1678312804326573700,51.0,60.0,107.8,1678312804.1488364
1678312804326639200,53.0,61.0,109.75999999999999,1678312804.1592762
1678312804384579500,52.0,62.0,109.75999999999999,1678312804.1696599
1678312804384616800,52.0,61.0,107.8,1678312804.179972
