%time,field.mx,field.my,field.fz,field.t
1677616065203521800,-7.0,8.0,-27.439999999999998,1677303877.985747
1677616065203562000,-6.0,8.0,-25.48,1677303877.995294
1677616065203574500,-6.0,8.0,-27.439999999999998,1677303878.0054898
1677616065203584600,-7.0,8.0,-25.48,1677303878.0152671
1677616065203590000,-6.0,9.0,-25.48,1677303878.025227
1677616065203602400,-6.0,8.0,-25.48,1677303878.0344977
1677616065269672400,-6.0,8.0,-25.48,1677303878.044372
1677616065269693800,-7.0,8.0,-27.439999999999998,1677303878.0538352
1677616065269698400,-7.0,7.0,-27.439999999999998,1677303878.063117
1677616065269707100,-7.0,8.0,-27.439999999999998,1677303878.072395
1677616065269818500,-6.0,8.0,-25.48,1677303878.081666
1677616065269850100,-7.0,8.0,-27.439999999999998,1677303878.0914104
1677616065269862900,-7.0,8.0,-27.439999999999998,1677303878.1006804
1677616065328103800,-6.0,9.0,-25.48,1677303878.1104698
1677616065328137800,-6.0,8.0,-27.439999999999998,1677303878.119741
1677616065328144500,-7.0,8.0,-27.439999999999998,1677303878.129011
1677616065328156300,-7.0,8.0,-27.439999999999998,1677303878.138235
1677616065328162400,-7.0,8.0,-25.48,1677303878.1475923
1677616065328168500,-6.0,8.0,-25.48,1677303878.156868
1677616065328257200,-6.0,8.0,-27.439999999999998,1677303878.166146
1677616065376120000,-6.0,8.0,-25.48,1677303878.1754787
1677616065376123800,-7.0,8.0,-25.48,1677303878.1847603
1677616065376127400,-7.0,8.0,-27.439999999999998,1677303878.1940215
1677616065376133000,-7.0,8.0,-27.439999999999998,1677303878.2032883
1677616065376136200,-7.0,8.0,-27.439999999999998,1677303878.2125916
1677616065438340300,-7.0,8.0,-27.439999999999998,1677303878.2218645
1677616065438345400,-7.0,9.0,-25.48,1677303878.2311454
1677616065438350600,-7.0,8.0,-25.48,1677303878.2403955
1677616065438367100,-7.0,7.0,-27.439999999999998,1677303878.249952
1677616065438372300,-7.0,8.0,-27.439999999999998,1677303878.2593381
1677616065438382000,-7.0,8.0,-27.439999999999998,1677303878.2687657
1677616065513298400,-7.0,7.0,-27.439999999999998,1677303878.2781978
1677616065513332200,-7.0,8.0,-25.48,1677303878.287606
1677616065513346400,-7.0,9.0,-27.439999999999998,1677303878.2969897
1677616065513355800,-7.0,8.0,-29.4,1677303878.3064265
1677616065513363200,-6.0,8.0,-25.48,1677303878.3158405
1677616065513373600,-7.0,8.0,-27.439999999999998,1677303878.3252468
1677616065513447500,-7.0,8.0,-27.439999999999998,1677303878.3346148
1677616065513498200,-7.0,8.0,-27.439999999999998,1677303878.3439977
1677616065561099400,-7.0,8.0,-25.48,1677303878.3533828
1677616065561117600,-6.0,9.0,-25.48,1677303878.3627715
1677616065561294200,-6.0,8.0,-25.48,1677303878.3722246
1677616065561309900,-6.0,8.0,-25.48,1677303878.381619
1677616065561314500,-7.0,8.0,-27.439999999999998,1677303878.3911827
1677616065611945900,-6.0,8.0,-25.48,1677303878.4006271
1677616065611972300,-7.0,8.0,-27.439999999999998,1677303878.410017
1677616065611976400,-7.0,8.0,-25.48,1677303878.419419
1677616065612008900,-6.0,8.0,-25.48,1677303878.428806
1677616065612057500,-6.0,8.0,-25.48,1677303878.4381988
1677616065612074200,-6.0,8.0,-25.48,1677303878.4476142
1677616065669222300,-6.0,8.0,-27.439999999999998,1677303878.4569929
1677616065669240700,-7.0,8.0,-27.439999999999998,1677303878.466379
1677616065669276100,-6.0,8.0,-25.48,1677303878.4758
1677616065669299900,-7.0,8.0,-25.48,1677303878.498469
1677616065733038500,-6.0,8.0,-25.48,1677303878.5082514
1677616065733069900,-7.0,8.0,-25.48,1677303878.5463326
1677616065733093400,-7.0,8.0,-27.439999999999998,1677303878.5580196
1677616065733099900,-7.0,8.0,-27.439999999999998,1677303878.5680256
1677616065801970000,-7.0,8.0,-27.439999999999998,1677303878.5780063
1677616065801976000,-7.0,7.0,-27.439999999999998,1677303878.5880022
1677616065801980400,-7.0,8.0,-25.48,1677303878.6004736
1677616065801983800,-6.0,8.0,-25.48,1677303878.6104598
1677616065801987300,-6.0,8.0,-25.48,1677303878.6204836
1677616065801990500,-6.0,8.0,-25.48,1677303878.6303937
1677616065858776900,-7.0,8.0,-25.48,1677303878.6405876
1677616065858795800,-7.0,8.0,-27.439999999999998,1677303878.65043
1677616065858803100,-6.0,9.0,-25.48,1677303878.6605196
1677616065858814900,-6.0,8.0,-25.48,1677303878.6702113
1677616065858820600,-7.0,8.0,-27.439999999999998,1677303878.680903
1677616065858827700,-6.0,8.0,-25.48,1677303878.690905
1677616065919490800,-7.0,7.0,-25.48,1677303878.7003834
1677616065919494500,-6.0,8.0,-25.48,1677303878.7103107
1677616065919497900,-6.0,8.0,-25.48,1677303878.7203138
