%time,field.mx,field.my,field.fz,field.t
1677616098045985600,-7.0,8.0,-29.4,1677303910.5004168
1677616098046629800,-6.0,8.0,-29.4,1677303910.509798
1677616098046636900,-6.0,8.0,-27.439999999999998,1677303910.5192184
1677616098046641300,-6.0,8.0,-29.4,1677303910.5286193
1677616098046644900,-7.0,8.0,-29.4,1677303910.5380344
1677616098046649400,-7.0,8.0,-29.4,1677303910.5474389
1677616098046654300,-7.0,8.0,-29.4,1677303910.556858
1677616098046657900,-7.0,8.0,-29.4,1677303910.5662932
1677616098046660700,-7.0,8.0,-29.4,1677303910.575699
1677616098046663900,-6.0,9.0,-29.4,1677303910.5851185
1677616098046951900,-6.0,8.0,-29.4,1677303910.5948186
1677616098046955900,-7.0,8.0,-29.4,1677303910.6042767
1677616098046961100,-6.0,8.0,-27.439999999999998,1677303910.6137085
1677616098046964300,-6.0,8.0,-29.4,1677303910.6231256
1677616098046969800,-6.0,8.0,-29.4,1677303910.632597
1677616098046973800,-6.0,8.0,-29.4,1677303910.6420162
1677616098046977100,-7.0,8.0,-29.4,1677303910.6514049
1677616098046980100,-7.0,8.0,-29.4,1677303910.6607924
1677616098046982800,-7.0,8.0,-29.4,1677303910.6704214
1677616098046998300,-6.0,8.0,-31.36,1677303910.6802473
1677616098047005900,-7.0,8.0,-29.4,1677303910.689724
1677616098047008900,-7.0,8.0,-29.4,1677303910.699126
1677616098047012000,-6.0,8.0,-29.4,1677303910.708564
1677616098047015000,-7.0,8.0,-27.439999999999998,1677303910.7179601
1677616098189154800,-6.0,8.0,-27.439999999999998,1677303910.7273922
1677616098189185100,-6.0,8.0,-27.439999999999998,1677303910.7368023
1677616098189189300,-6.0,8.0,-27.439999999999998,1677303910.7462254
1677616098189193100,-6.0,8.0,-29.4,1677303910.7556314
1677616098189196800,-7.0,8.0,-29.4,1677303910.765228
1677616098189205200,-6.0,9.0,-29.4,1677303910.7749412
1677616098189212200,-5.0,8.0,-27.439999999999998,1677303910.784639
1677616098189216700,-6.0,8.0,-27.439999999999998,1677303910.7943442
1677616098189220600,-7.0,8.0,-27.439999999999998,1677303910.803922
1677616098189226200,-6.0,8.0,-29.4,1677303910.813357
1677616098189229400,-7.0,8.0,-29.4,1677303910.8228374
1677616098189232600,-7.0,8.0,-29.4,1677303910.832302
1677616098189236000,-7.0,8.0,-29.4,1677303910.841758
1677616098189239200,-6.0,8.0,-27.439999999999998,1677303910.8511977
1677616098189243100,-6.0,8.0,-27.439999999999998,1677303910.8606582
1677616098189246400,-6.0,8.0,-27.439999999999998,1677303910.870108
1677616098189249500,-6.0,8.0,-29.4,1677303910.8797789
1677616098189252600,-6.0,7.0,-29.4,1677303910.8894768
1677616098189260100,-7.0,8.0,-31.36,1677303910.899183
1677616098189269300,-7.0,8.0,-29.4,1677303910.9086232
1677616098189276200,-6.0,8.0,-29.4,1677303910.9181347
1677616098189279500,-6.0,8.0,-29.4,1677303910.927834
1677616098189283300,-6.0,8.0,-29.4,1677303910.93754
1677616098189289700,-6.0,8.0,-29.4,1677303910.9472349
1677616098189293200,-6.0,9.0,-29.4,1677303910.956745
1677616098189296700,-6.0,8.0,-29.4,1677303910.9662354
1677616098189301000,-6.0,8.0,-29.4,1677303910.9757845
1677616098189304500,-6.0,8.0,-27.439999999999998,1677303910.9855504
1677616098189308200,-6.0,8.0,-29.4,1677303910.9952452
1677616098189312900,-6.0,8.0,-31.36,1677303911.0132303
1677616098326036000,-7.0,8.0,-29.4,1677303911.0230637
1677616098326106600,-6.0,8.0,-29.4,1677303911.063545
1677616098326179200,-7.0,8.0,-29.4,1677303911.073246
1677616098326186000,-6.0,8.0,-29.4,1677303911.083113
1677616098326252600,-6.0,8.0,-29.4,1677303911.0930333
1677616098326260100,-6.0,8.0,-29.4,1677303911.1135392
1677616098326265900,-6.0,8.0,-29.4,1677303911.123192
1677616098326275300,-7.0,8.0,-29.4,1677303911.1330304
1677616098326311700,-6.0,8.0,-31.36,1677303911.1428382
1677616098326318900,-6.0,8.0,-29.4,1677303911.1527033
1677616098470687900,-6.0,8.0,-29.4,1677303911.1635685
1677616098470705500,-7.0,8.0,-29.4,1677303911.1732342
1677616098470709500,-7.0,8.0,-29.4,1677303911.1830568
1677616098470714100,-6.0,8.0,-29.4,1677303911.1928492
1677616098470717800,-7.0,8.0,-31.36,1677303911.203024
1677616098470721600,-7.0,8.0,-29.4,1677303911.2132843
1677616098470725500,-6.0,8.0,-31.36,1677303911.2231288
1677616098470728800,-7.0,8.0,-29.4,1677303911.2330093
1677616098470732700,-6.0,8.0,-29.4,1677303911.242808
1677616098470736600,-6.0,8.0,-29.4,1677303911.2526822
1677616098470740400,-7.0,8.0,-31.36,1677303911.2628396
1677616098470744100,-7.0,8.0,-29.4,1677303911.272733
1677616098470748200,-7.0,8.0,-29.4,1677303911.282607
1677616098470757500,-7.0,8.0,-29.4,1677303911.292344
1677616098576380700,-7.0,8.0,-29.4,1677303911.3019958
1677616098576429800,-6.0,8.0,-29.4,1677303911.3119817
1677616098576444600,-7.0,8.0,-29.4,1677303911.321603
1677616098576451200,-7.0,7.0,-29.4,1677303911.3312423
1677616098576457500,-6.0,8.0,-29.4,1677303911.3408911
1677616098576466300,-7.0,7.0,-29.4,1677303911.3504634
1677616098576473100,-7.0,8.0,-29.4,1677303911.3601139
1677616098576479300,-7.0,8.0,-29.4,1677303911.369736
1677616098576485300,-6.0,8.0,-29.4,1677303911.3793535
1677616098576526000,-6.0,8.0,-29.4,1677303911.3890467
1677616098638408200,-7.0,7.0,-29.4,1677303911.4008496
1677616098638453700,-7.0,8.0,-29.4,1677303911.413427
1677616098638458300,-7.0,8.0,-29.4,1677303911.423039
1677616098638469900,-7.0,8.0,-29.4,1677303911.4324982
1677616098638474600,-7.0,8.0,-29.4,1677303911.4419456
1677616098638478800,-7.0,8.0,-29.4,1677303911.45139
1677616098638482400,-6.0,9.0,-29.4,1677303911.4608397
1677616098638501900,-6.0,8.0,-29.4,1677303911.4702928
1677616098700934100,-7.0,7.0,-29.4,1677303911.4797888
1677616098700961700,-7.0,8.0,-29.4,1677303911.4892695
1677616098700965800,-7.0,8.0,-29.4,1677303911.498793
1677616098700969600,-6.0,8.0,-29.4,1677303911.5082946
1677616098700973100,-6.0,9.0,-29.4,1677303911.517999
1677616098700976200,-7.0,7.0,-29.4,1677303911.5276964
1677616098701114900,-7.0,8.0,-29.4,1677303911.5373776
1677616098748657600,-7.0,8.0,-29.4,1677303911.5469189
1677616098748690200,-7.0,8.0,-29.4,1677303911.5563986
1677616098748695500,-7.0,8.0,-29.4,1677303911.5659044
1677616098748700300,-7.0,7.0,-29.4,1677303911.5754013
1677616098748706600,-6.0,8.0,-31.36,1677303911.5848954
1677616098809086200,-7.0,8.0,-31.36,1677303911.5953765
1677616098809115700,-6.0,8.0,-31.36,1677303911.6049066
1677616098809120300,-6.0,8.0,-29.4,1677303911.6143808
1677616098809241200,-6.0,8.0,-29.4,1677303911.6242964
1677616098809273000,-7.0,8.0,-29.4,1677303911.6338544
1677616098809291000,-7.0,8.0,-29.4,1677303911.6442142
1677616098870563700,-6.0,8.0,-31.36,1677303911.6540906
1677616098870583800,-7.0,8.0,-31.36,1677303911.664065
1677616098870586500,-7.0,8.0,-29.4,1677303911.6735516
1677616098870591200,-6.0,9.0,-29.4,1677303911.6832736
1677616098870593800,-7.0,7.0,-29.4,1677303911.6927855
1677616098870658700,-7.0,8.0,-29.4,1677303911.7025046
1677616098934040700,-6.0,8.0,-27.439999999999998,1677303911.7119331
1677616098934073600,-6.0,7.0,-27.439999999999998,1677303911.721395
1677616098934078200,-7.0,7.0,-29.4,1677303911.7308276
1677616098934082200,-6.0,8.0,-29.4,1677303911.740407
