%time,field.mx,field.my,field.fz,field.t
1678313055368681300,-21.0,4.0,-123.48,1678313055.1045532
1678313055368721300,-20.0,4.0,-123.48,1678313055.1147616
1678313055368743500,-20.0,4.0,-121.52,1678313055.125038
1678313055368781200,-19.0,4.0,-121.52,1678313055.1352534
1678313055368822300,-18.0,5.0,-121.52,1678313055.1454527
1678313055368832600,-18.0,3.0,-121.52,1678313055.1556425
1678313055368841500,-17.0,4.0,-119.56,1678313055.165847
1678313055368859100,-18.0,3.0,-121.52,1678313055.1760523
1678313055368882900,-18.0,3.0,-119.56,1678313055.18625
1678313055442904800,-17.0,5.0,-119.56,1678313055.1964693
1678313055442971800,-18.0,5.0,-119.56,1678313055.20669
1678313055442989900,-19.0,6.0,-119.56,1678313055.2169013
1678313055443058200,-20.0,10.0,-117.6,1678313055.2271507
1678313055443104800,-22.0,11.0,-123.48,1678313055.2373548
1678313055443111900,-23.0,13.0,-127.39999999999999,1678313055.247553
1678313055443145100,-18.0,17.0,-127.39999999999999,1678313055.2577689
1678313055495406900,-12.0,24.0,-127.39999999999999,1678313055.2680116
1678313055495473700,-8.0,28.0,-123.48,1678313055.278238
1678313055495511900,0.0,26.0,-119.56,1678313055.2884538
1678313055495526000,6.0,23.0,-111.72,1678313055.2986789
1678313055495557100,11.0,24.0,-105.84,1678313055.308893
1678313055495571900,15.0,26.0,-103.88,1678313055.3191068
1678313055587668400,17.0,29.0,-99.96,1678313055.3293312
1678313055587712400,20.0,37.0,-96.03999999999999,1678313055.3395586
1678313055587728100,27.0,41.0,-88.2,1678313055.3497698
1678313055587748200,31.0,43.0,-82.32,1678313055.359967
1678313055587846100,36.0,44.0,-74.48,1678313055.370177
1678313055587856100,39.0,41.0,-68.6,1678313055.3803809
1678313055587863200,43.0,37.0,-62.72,1678313055.3905785
1678313055587896800,45.0,35.0,-54.879999999999995,1678313055.4007664
1678313055587923500,46.0,35.0,-47.04,1678313055.4109783
1678313055647079900,41.0,36.0,-43.12,1678313055.4211957
1678313055647121400,38.0,39.0,-39.2,1678313055.4314027
1678313055647132100,33.0,44.0,-39.2,1678313055.4415843
1678313055647136200,32.0,49.0,-35.28,1678313055.4517727
1678313055647151100,27.0,53.0,-33.32,1678313055.4619632
1678313055647178700,24.0,53.0,-31.36,1678313055.472167
1678313055712710500,25.0,53.0,-27.439999999999998,1678313055.482371
1678313055712912600,28.0,51.0,-19.6,1678313055.492585
1678313055712925000,33.0,49.0,-15.68,1678313055.5028164
1678313055713610100,39.0,48.0,-9.8,1678313055.5131202
1678313055713654800,44.0,46.0,-1.96,1678313055.5233736
1678313055713784300,50.0,47.0,3.92,1678313055.533615
