%time,field.mx,field.my,field.fz,field.t
1678313112834318700,60.0,75.0,141.12,1678313112.481451
1678313112834374500,60.0,73.0,139.16,1678313112.4917061
1678313112834419300,61.0,72.0,139.16,1678313112.5022397
1678313112834454800,62.0,72.0,141.12,1678313112.5124886
1678313112834476700,60.0,72.0,143.07999999999998,1678313112.5227554
1678313112834526800,58.0,73.0,150.92,1678313112.5330448
1678313112834554500,57.0,73.0,150.92,1678313112.5432928
1678313112834587500,56.0,73.0,152.88,1678313112.55354
1678313112834592600,56.0,74.0,152.88,1678313112.5637927
1678313112834607400,57.0,74.0,154.84,1678313112.5740318
1678313112834612400,57.0,75.0,154.84,1678313112.5842762
1678313112834616400,56.0,75.0,154.84,1678313112.594542
1678313112834634200,56.0,75.0,156.8,1678313112.6048012
1678313112834654500,56.0,77.0,156.8,1678313112.6150334
1678313112834708300,55.0,76.0,156.8,1678313112.6253223
1678313112834738200,55.0,77.0,158.76,1678313112.635592
1678313112958670600,54.0,76.0,156.8,1678313112.6458654
1678313112958732500,54.0,77.0,156.8,1678313112.656162
1678313112958755800,54.0,75.0,156.8,1678313112.666455
1678313112958766700,55.0,75.0,156.8,1678313112.6767373
1678313112958775200,54.0,74.0,154.84,1678313112.6870065
1678313112958781600,54.0,71.0,152.88,1678313112.6973696
1678313112958789000,56.0,71.0,152.88,1678313112.707608
1678313112958796000,56.0,69.0,150.92,1678313112.7178555
1678313112958823900,57.0,68.0,148.96,1678313112.7280939
1678313112958836800,60.0,67.0,148.96,1678313112.7383444
1678313112958923200,60.0,67.0,147.0,1678313112.748599
1678313112959092200,60.0,65.0,145.04,1678313112.7588415
1678313112959135800,62.0,65.0,147.0,1678313112.7690725
1678313112959168300,63.0,65.0,148.96,1678313112.779309
1678313113169793000,64.0,65.0,148.96,1678313112.7895408
1678313113169833100,63.0,66.0,148.96,1678313112.799818
1678313113169873500,61.0,66.0,147.0,1678313112.810068
1678313113169881600,61.0,67.0,150.92,1678313112.8203206
1678313113169885700,59.0,67.0,148.96,1678313112.8306057
1678313113169911700,60.0,68.0,150.92,1678313112.840846
1678313113169920500,57.0,68.0,150.92,1678313112.8511355
1678313113169929000,58.0,68.0,152.88,1678313112.8613787
1678313113169934500,57.0,67.0,152.88,1678313112.8716388
1678313113169938100,57.0,67.0,156.8,1678313112.8819916
1678313113169941300,56.0,68.0,154.84,1678313112.8922176
1678313113169950400,55.0,67.0,152.88,1678313112.902499
1678313113169955500,55.0,66.0,154.84,1678313112.912717
1678313113169980600,55.0,66.0,152.88,1678313112.9229379
1678313113170051300,55.0,65.0,150.92,1678313112.933163
1678313113170067400,56.0,64.0,148.96,1678313112.9434004
1678313113170133900,56.0,63.0,150.92,1678313112.9536247
1678313113316864000,57.0,63.0,148.96,1678313112.9638689
1678313113316904000,57.0,62.0,148.96,1678313112.9741542
1678313113316912600,59.0,62.0,148.96,1678313112.984404
1678313113316918600,57.0,61.0,145.04,1678313112.9946713
1678313113316972400,58.0,62.0,145.04,1678313113.0049458
1678313113316987500,57.0,62.0,145.04,1678313113.015188
1678313113317015100,59.0,63.0,145.04,1678313113.0254278
1678313113317041300,59.0,62.0,145.04,1678313113.0356898
1678313113317050800,60.0,62.0,145.04,1678313113.0459807
1678313113317076100,59.0,62.0,147.0,1678313113.0562544
1678313113317094400,59.0,62.0,145.04,1678313113.0665412
1678313113317102300,58.0,62.0,148.96,1678313113.076844
1678313113317130800,58.0,64.0,150.92,1678313113.0871615
1678313113317155300,56.0,64.0,148.96,1678313113.0974927
1678313113317177800,57.0,65.0,152.88,1678313113.1078048
1678313113317211900,57.0,66.0,150.92,1678313113.1180642
1678313113317219900,56.0,66.0,154.84,1678313113.1283681
1678313113481936600,56.0,66.0,156.8,1678313113.1387146
1678313113482000000,58.0,68.0,156.8,1678313113.1490438
1678313113482014700,57.0,66.0,156.8,1678313113.1593878
