%time,field.mx,field.my,field.fz,field.t
1678470953590080400,-16.0,15.0,-27.439999999999998,1678470951.3554418
1678470953590126100,-16.0,16.0,-31.36,1678470951.3659925
1678470953590159700,-17.0,15.0,-31.36,1678470951.3765373
1678470953590166500,-17.0,14.0,-29.4,1678470951.3870459
1678470953590172000,-15.0,16.0,-29.4,1678470951.3975568
1678470953590177800,-16.0,15.0,-29.4,1678470951.4080844
1678470953590183200,-17.0,14.0,-31.36,1678470951.4186296
1678470953590187700,-17.0,13.0,-29.4,1678470951.429184
1678470953590193100,-17.0,13.0,-29.4,1678470951.439821
1678470953590197300,-17.0,13.0,-31.36,1678470951.450364
1678470953590202200,-17.0,13.0,-31.36,1678470951.4608932
1678470953590206800,-15.0,13.0,-29.4,1678470951.471367
1678470953590214400,-15.0,14.0,-29.4,1678470951.4818554
1678470953590232000,-16.0,14.0,-31.36,1678470951.4923456
1678470953590245400,-16.0,13.0,-31.36,1678470951.503025
1678470953590253800,-17.0,13.0,-31.36,1678470951.513534
1678470953590262800,-17.0,13.0,-29.4,1678470951.5240257
1678470953590267600,-15.0,13.0,-29.4,1678470951.534521
1678470953590282500,-15.0,14.0,-29.4,1678470951.545061
1678470953590287200,-15.0,14.0,-29.4,1678470951.555525
1678470953590295700,-15.0,14.0,-29.4,1678470951.5660992
1678470953590300000,-15.0,14.0,-29.4,1678470951.576565
1678470953590305500,-17.0,12.0,-33.32,1678470951.6088176
1678470953590311300,-16.0,13.0,-29.4,1678470951.619433
1678470953590315600,-17.0,12.0,-31.36,1678470951.6523397
1678470953590321100,-17.0,12.0,-31.36,1678470951.6632423
1678470953590334500,-16.0,12.0,-29.4,1678470951.673847
1678470953590337900,-15.0,12.0,-29.4,1678470951.6843777
1678470953590341200,-17.0,11.0,-31.36,1678470951.6949368
1678470953590344300,-16.0,12.0,-33.32,1678470951.7054815
1678470953590349000,-17.0,11.0,-31.36,1678470951.7160752
1678470953590361800,-17.0,11.0,-33.32,1678470951.726609
1678470953590375700,-17.0,11.0,-31.36,1678470951.7372434
1678470953590378600,-17.0,11.0,-33.32,1678470951.7477763
1678470953590381800,-17.0,11.0,-33.32,1678470951.7583857
1678470953590385100,-17.0,11.0,-33.32,1678470951.7689538
1678470953590388500,-17.0,11.0,-33.32,1678470951.7795005
1678470953590391600,-17.0,11.0,-33.32,1678470951.790149
1678470953590395700,-17.0,11.0,-31.36,1678470951.8007727
1678470953590400900,-17.0,11.0,-31.36,1678470951.8113751
1678470953590404300,-17.0,11.0,-31.36,1678470951.8219092
1678470953590409900,-17.0,11.0,-33.32,1678470951.8324487
1678470953590412900,-17.0,11.0,-31.36,1678470951.843278
1678470953590416400,-17.0,11.0,-35.28,1678470951.854056
1678470953590419200,-17.0,11.0,-35.28,1678470951.864635
1678470953590422500,-17.0,11.0,-35.28,1678470951.8751655
1678470953590425500,-17.0,12.0,-35.28,1678470951.8856986
1678470953590428300,-17.0,11.0,-31.36,1678470951.8962553
1678470953590431100,-17.0,11.0,-35.28,1678470951.9068556
1678470953590434100,-16.0,11.0,-35.28,1678470951.9174154
1678470953590440500,-17.0,11.0,-35.28,1678470951.9279964
1678470953590443300,-17.0,11.0,-33.32,1678470951.9385755
1678470953590457400,-17.0,11.0,-33.32,1678470951.9491239
1678470953590460500,-17.0,11.0,-33.32,1678470951.9597406
1678470953590465900,-17.0,11.0,-33.32,1678470951.9703605
1678470953590468700,-17.0,11.0,-35.28,1678470951.9808931
1678470953590471800,-17.0,11.0,-33.32,1678470951.9915059
1678470953590474900,-17.0,11.0,-35.28,1678470952.0021117
1678470953590478000,-15.0,12.0,-33.32,1678470952.0126472
1678470953590481700,-16.0,12.0,-33.32,1678470952.023365
1678470953590485500,-16.0,12.0,-33.32,1678470952.033897
1678470953590491300,-15.0,13.0,-33.32,1678470952.0444775
1678470953590494500,-14.0,12.0,-31.36,1678470952.0551198
1678470953590497400,-15.0,12.0,-31.36,1678470952.0656729
1678470953590500400,-15.0,13.0,-33.32,1678470952.0763087
1678470953590504800,-15.0,13.0,-33.32,1678470952.0870674
1678470953590507600,-15.0,14.0,-31.36,1678470952.0977788
1678470953590510500,-17.0,14.0,-33.32,1678470952.1083953
1678470953590514200,-17.0,14.0,-33.32,1678470952.1189659
1678470953590517700,-17.0,15.0,-35.28,1678470952.1295118
1678470953590527100,-17.0,16.0,-35.28,1678470952.140209
1678470953590530000,-15.0,17.0,-33.32,1678470952.1508067
1678470953590533000,-14.0,19.0,-33.32,1678470952.1613324
1678470953590536300,-15.0,20.0,-33.32,1678470952.1718483
1678470953590539300,-15.0,20.0,-33.32,1678470952.1824212
1678470953590542100,-15.0,21.0,-33.32,1678470952.193437
1678470953590545400,-16.0,22.0,-35.28,1678470952.20404
1678470953590551900,-17.0,22.0,-33.32,1678470952.2146273
1678470953590555100,-17.0,24.0,-37.24,1678470952.2251706
1678470953590558500,-17.0,25.0,-37.24,1678470952.2357392
1678470953590584500,-17.0,25.0,-37.24,1678470952.2463589
1678470953590592400,-16.0,27.0,-35.28,1678470952.25689
1678470953590596400,-16.0,27.0,-35.28,1678470952.2674248
1678470953590600400,-15.0,27.0,-33.32,1678470952.277955
1678470953590604400,-16.0,27.0,-35.28,1678470952.2885385
1678470953590613100,-15.0,27.0,-35.28,1678470952.299164
1678470953590618600,-17.0,27.0,-35.28,1678470952.3096976
1678470953590625900,-17.0,28.0,-37.24,1678470952.320318
1678470953590630300,-17.0,28.0,-35.28,1678470952.3308647
1678470953590633600,-17.0,28.0,-35.28,1678470952.3416228
1678470953590636700,-16.0,28.0,-35.28,1678470952.3521616
1678470953590640300,-16.0,28.0,-37.24,1678470952.3629017
1678470953590643200,-16.0,29.0,-39.2,1678470952.3734334
1678470953590646400,-17.0,29.0,-39.2,1678470952.3840334
1678470953590649400,-17.0,29.0,-39.2,1678470952.394664
1678470953590661100,-17.0,29.0,-39.2,1678470952.4052079
1678470953590673700,-15.0,30.0,-37.24,1678470952.41573
1678470953590681000,-17.0,29.0,-37.24,1678470952.426318
1678470953590684600,-17.0,29.0,-39.2,1678470952.4369485
1678470953590771600,-17.0,29.0,-39.2,1678470952.447554
1678470953683246800,-17.0,29.0,-39.2,1678470952.458089
1678470953683267700,-16.0,30.0,-41.16,1678470952.4686456
1678470953683279700,-15.0,30.0,-37.24,1678470952.4791842
1678470953683283400,-15.0,30.0,-37.24,1678470952.4897947
1678470953683296200,-15.0,30.0,-37.24,1678470952.5004902
1678470953683301000,-15.0,30.0,-39.2,1678470952.5110383
1678470953683304800,-15.0,29.0,-37.24,1678470952.52156
1678470953683308300,-17.0,29.0,-39.2,1678470952.5321012
1678470953683311500,-17.0,29.0,-39.2,1678470952.5429087
1678470953683315900,-17.0,29.0,-41.16,1678470952.5534985
1678470953683319200,-16.0,30.0,-41.16,1678470952.5640297
1678470953683323200,-15.0,31.0,-39.2,1678470952.5745776
1678470953683326400,-17.0,29.0,-39.2,1678470952.5851827
1678470953683335800,-17.0,29.0,-39.2,1678470952.5957723
1678470953683339300,-17.0,29.0,-41.16,1678470952.6062968
1678470953683342500,-16.0,31.0,-39.2,1678470952.6168146
1678470953683345600,-16.0,30.0,-41.16,1678470952.627392
1678470953683348500,-17.0,30.0,-39.2,1678470952.6380107
1678470953683354000,-16.0,30.0,-41.16,1678470952.6485875
1678470953683357200,-15.0,30.0,-39.2,1678470952.659126
1678470953683360200,-17.0,29.0,-39.2,1678470952.669653
1678470953683363200,-17.0,29.0,-41.16,1678470952.6802647
1678470953683370200,-16.0,30.0,-41.16,1678470952.6908395
1678470953683376100,-16.0,30.0,-39.2,1678470952.7013962
1678470953683380000,-16.0,31.0,-41.16,1678470952.7119622
1678470953683407100,-15.0,30.0,-39.2,1678470952.722506
1678470953683416000,-17.0,29.0,-39.2,1678470952.733375
1678470953683420800,-17.0,30.0,-39.2,1678470952.7439897
1678470953683444100,-17.0,29.0,-41.16,1678470952.7545774
1678470953683452500,-16.0,30.0,-43.12,1678470952.7651172
1678470953683456800,-16.0,31.0,-41.16,1678470952.7756648
1678470953683460000,-16.0,30.0,-39.2,1678470952.7862778
1678470953683466300,-15.0,31.0,-35.28,1678470952.7968655
1678470953683575200,-16.0,32.0,-27.439999999999998,1678470952.8073905
1678470953683580700,-16.0,31.0,-29.4,1678470952.8179643
1678470953683587700,-15.0,31.0,-25.48,1678470952.8286397
1678470953683627500,-16.0,30.0,-25.48,1678470952.8392234
1678470953683675100,-16.0,32.0,-29.4,1678470952.8497899
1678470953940845100,-16.0,32.0,-25.48,1678470952.8604043
1678470953940868400,-17.0,31.0,-29.4,1678470952.8710198
1678470953940873700,-16.0,32.0,-25.48,1678470952.8816957
1678470953940878400,-17.0,32.0,-29.4,1678470952.8922496
1678470953940883200,-17.0,32.0,-29.4,1678470952.903027
1678470953940887500,-16.0,33.0,-29.4,1678470952.9135695
1678470953940894600,-16.0,32.0,-25.48,1678470952.924126
1678470953942000500,-16.0,33.0,-25.48,1678470952.9347274
1678470953942047900,-17.0,34.0,-29.4,1678470952.9453597
1678470953942061700,-16.0,34.0,-25.48,1678470952.9558775
1678470953942069500,-17.0,35.0,-27.439999999999998,1678470952.9663951
1678470953942074900,-17.0,36.0,-27.439999999999998,1678470952.9770024
1678470953942080800,-16.0,36.0,-27.439999999999998,1678470952.987541
1678470953942094600,-18.0,36.0,-31.36,1678470952.9980884
1678470953942101200,-17.0,36.0,-31.36,1678470953.0086462
1678470953942107000,-16.0,38.0,-27.439999999999998,1678470953.0191722
1678470953942113600,-16.0,38.0,-27.439999999999998,1678470953.0297718
1678470953942119500,-17.0,38.0,-29.4,1678470953.0404475
1678470953942126000,-16.0,39.0,-27.439999999999998,1678470953.050979
