%time,field.mx,field.my,field.fz,field.t
1677611550770077900,-5.0,7.0,-3.92,1677299404.735293
1677611550770115700,-3.0,8.0,-3.92,1677299404.7447495
1677611550770134600,-3.0,8.0,-3.92,1677299404.754207
1677611550770147800,-5.0,8.0,-7.84,1677299404.7640254
1677611550770164800,-5.0,7.0,-3.92,1677299404.7734807
1677611550815417600,-4.0,8.0,-5.88,1677299404.7829444
1677611550815434700,-4.0,9.0,-5.88,1677299404.7926888
1677611550815439200,-5.0,7.0,-5.88,1677299404.8021514
1677611550815445400,-6.0,7.0,-5.88,1677299404.8116195
1677611550815528900,-4.0,7.0,-3.92,1677299404.8210888
1677611550864347800,-3.0,8.0,-3.92,1677299404.8315046
1677611550864380800,-4.0,9.0,-3.92,1677299404.8410056
1677611550864408800,-4.0,9.0,-5.88,1677299404.8504732
1677611550864415400,-6.0,7.0,-5.88,1677299404.86019
1677611550864443600,-4.0,7.0,-3.92,1677299404.869668
1677611550924449700,-5.0,8.0,-7.84,1677299404.8791373
1677611550924483000,-5.0,8.0,-7.84,1677299404.8887577
1677611550924509200,-6.0,7.0,-5.88,1677299404.8997
1677611550924565100,-5.0,7.0,-3.92,1677299404.9097335
1677611550924578900,-4.0,9.0,-3.92,1677299404.919559
1677611550973929500,-6.0,7.0,-5.88,1677299404.9308047
1677611550973966000,-5.0,8.0,-3.92,1677299404.942106
1677611550974001800,-4.0,9.0,-3.92,1677299404.9519134
1677611550974018800,-5.0,8.0,-7.84,1677299404.9617198
1677611550974027800,-5.0,8.0,-5.88,1677299404.9716845
1677611551026182000,-6.0,7.0,-5.88,1677299404.981543
1677611551026199100,-5.0,8.0,-7.84,1677299404.9913452
1677611551026232400,-6.0,7.0,-5.88,1677299405.0011322
1677611551026239900,-6.0,7.0,-5.88,1677299405.0109055
1677611551026246000,-6.0,7.0,-5.88,1677299405.0208476
1677611551026263900,-5.0,7.0,-5.88,1677299405.0306308
1677611551082610200,-5.0,7.0,-3.92,1677299405.0404122
1677611551082636400,-3.0,9.0,-3.92,1677299405.0503888
1677611551082644800,-5.0,8.0,-7.84,1677299405.0601747
1677611551082733300,-6.0,7.0,-5.88,1677299405.0703459
1677611551082748800,-6.0,7.0,-5.88,1677299405.0800743
1677611551082766400,-5.0,7.0,-7.84,1677299405.0902438
1677611551130123000,-5.0,7.0,-3.92,1677299405.1000035
1677611551130159500,-3.0,8.0,-3.92,1677299405.1099288
1677611551130198600,-4.0,8.0,-5.88,1677299405.1199262
1677611551130219000,-4.0,8.0,-5.88,1677299405.1298654
1677611551176721500,-4.0,8.0,-9.8,1677299405.1398244
1677611551176755400,-5.0,7.0,-7.84,1677299405.1497936
1677611551176767500,-6.0,7.0,-5.88,1677299405.1597378
1677611551176771200,-3.0,8.0,-3.92,1677299405.1690037
1677611551176791700,-3.0,8.0,-3.92,1677299405.1782484
1677611551237167900,-5.0,8.0,-7.84,1677299405.1874988
1677611551237203000,-5.0,7.0,-7.84,1677299405.196757
1677611551237213200,-5.0,7.0,-5.88,1677299405.2060952
1677611551237234400,-5.0,8.0,-7.84,1677299405.2154672
1677611551237243500,-4.0,9.0,-5.88,1677299405.2248008
1677611551237268400,-4.0,8.0,-7.84,1677299405.2341228
1677611551237309400,-6.0,7.0,-5.88,1677299405.2434947
1677611551288467500,-4.0,8.0,-3.92,1677299405.2527964
1677611551288519700,-4.0,7.0,-3.92,1677299405.2625804
1677611551288541100,-4.0,8.0,-3.92,1677299405.2719033
1677611551288551100,-5.0,8.0,-7.84,1677299405.2814167
1677611551351511800,-6.0,7.0,-5.88,1677299405.2908838
1677611551351531700,-6.0,7.0,-3.92,1677299405.3039114
1677611551351575300,-6.0,7.0,-5.88,1677299405.3136218
1677611551351643600,-6.0,7.0,-5.88,1677299405.3229082
1677611551351649800,-5.0,7.0,-5.88,1677299405.3327453
1677611551351739100,-5.0,7.0,-5.88,1677299405.3422146
1677611551351808800,-6.0,7.0,-5.88,1677299405.351687
1677611551409288000,-6.0,7.0,-5.88,1677299405.3611584
1677611551409305900,-5.0,7.0,-7.84,1677299405.3706293
1677611551409309200,-6.0,7.0,-5.88,1677299405.3801224
1677611551409356500,-5.0,7.0,-7.84,1677299405.3910615
1677611551409383500,-5.0,7.0,-5.88,1677299405.4005249
1677611551409436500,-5.0,8.0,-7.84,1677299405.409987
