%time,field.mx,field.my,field.fz,field.t
1678465085241051100,-12.0,-6.0,-21.56,1678465082.175155
1678465085241373300,-12.0,-6.0,-21.56,1678465082.185814
1678465085241381900,-14.0,-7.0,-19.6,1678465082.1965399
1678465085241403600,-9.0,-5.0,-23.52,1678465082.207319
1678465085241412200,-9.0,-5.0,-25.48,1678465082.2180016
1678465085241434100,-10.0,-5.0,-25.48,1678465082.2288318
1678465085241443900,-11.0,-6.0,-23.52,1678465082.239528
1678465085241450500,-11.0,-6.0,-23.52,1678465082.2502372
1678465085241460800,-12.0,-6.0,-21.56,1678465082.2610633
1678465085241471200,-11.0,-6.0,-23.52,1678465082.271747
1678465085241478100,-12.0,-6.0,-23.52,1678465082.2824824
1678465085241483000,-14.0,-8.0,-19.6,1678465082.2934504
1678465085241487900,-9.0,-4.0,-15.68,1678465082.3046944
1678465085241508800,-15.0,-8.0,-17.64,1678465082.3153932
1678465085241515500,-14.0,-8.0,-19.6,1678465082.3263192
1678465085241524500,-13.0,-7.0,-21.56,1678465082.3371856
1678465085241531500,-15.0,-8.0,-15.68,1678465082.3478186
1678465085241539100,-11.0,-6.0,-23.52,1678465082.3585346
1678465085241546300,-11.0,-6.0,-23.52,1678465082.3690236
1678465085241552200,-12.0,-6.0,-21.56,1678465082.3795273
1678465085241559800,-12.0,-6.0,-21.56,1678465082.391281
1678465085241568600,-12.0,-6.0,-21.56,1678465082.4017422
1678465085241575200,-12.0,-6.0,-21.56,1678465082.4122958
1678465085241580900,-12.0,-7.0,-21.56,1678465082.4227924
1678465085241592100,-14.0,-7.0,-19.6,1678465082.433147
1678465085241597500,-15.0,-8.0,-17.64,1678465082.4437666
1678465085241602000,-14.0,-7.0,-19.6,1678465082.4541674
1678465085241618800,-9.0,-5.0,-25.48,1678465082.4645715
1678465085241626900,-9.0,-5.0,-23.52,1678465082.474939
1678465085241642400,-10.0,-5.0,-23.52,1678465082.4853196
1678465085241651000,-9.0,-5.0,-25.48,1678465082.4957397
1678465085241661000,-11.0,-6.0,-23.52,1678465082.5060964
1678465085241666500,-14.0,-9.0,-11.76,1678465082.5164502
1678465085241671300,-11.0,-8.0,-9.8,1678465082.5268378
1678465085241676500,-9.0,-5.0,-13.719999999999999,1678465082.5377128
1678465085241683300,-9.0,-4.0,-15.68,1678465082.5480866
1678465085241688500,-9.0,-5.0,-21.56,1678465082.5584364
1678465085241695200,-16.0,-9.0,-13.719999999999999,1678465082.5689294
1678465085241706700,-15.0,-8.0,-15.68,1678465082.5793765
1678465085241712900,-15.0,-8.0,-15.68,1678465082.589736
1678465085241718100,-14.0,-8.0,-17.64,1678465082.6001964
1678465085241724200,-9.0,-5.0,-23.52,1678465082.6105802
1678465085241732500,-9.0,-5.0,-11.76,1678465082.6209557
