%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque
1677616065419737900,0,0,10000,10000,1500,1500
1677616065419757100,0,0,10000,10000,1500,1500
1677616065419761200,0,0,10000,10000,1500,1500
1677616065419767300,0,0,10000,10000,1500,1500
1677616065419771000,0,0,10000,10000,1500,1500
1677616065468381000,0,0,10000,10000,1500,1500
1677616065468403200,0,0,10000,10000,1500,1500
1677616065468406900,0,0,10000,10000,1500,1500
1677616065468412900,0,0,10000,10000,1500,1500
1677616065468445400,0,0,10000,10000,1500,1500
1677616065533663900,0,0,10000,10000,1500,1500
1677616065533703800,0,0,10000,10000,1500,1500
1677616065533715200,0,0,10000,10000,1500,1500
1677616065533732000,0,0,10000,10000,1500,1500
1677616065533747700,0,0,10000,10000,1500,1500
1677616065533885100,0,0,10000,10000,1500,1500
1677616065590618000,0,0,10000,10000,1500,1500
1677616065590659600,0,0,10000,10000,1500,1500
1677616065590671200,0,0,10000,10000,1500,1500
1677616065590678900,0,0,10000,10000,1500,1500
1677616065590689500,0,0,10000,10000,1500,1500
1677616065590695800,0,0,10000,10000,1500,1500
1677616065637585500,0,0,10000,10000,1500,1500
1677616065637631700,0,0,10000,10000,1500,1500
1677616065637641600,0,0,10000,10000,1500,1500
1677616065637650000,0,0,10000,10000,1500,1500
1677616065683757100,0,0,10000,10000,1500,1500
1677616065683805700,0,0,10000,10000,1500,1500
1677616065683830000,0,0,10000,10000,1500,1500
1677616065683841900,0,0,10000,10000,1500,1500
1677616065683853100,0,0,10000,10000,1500,1500
1677616065733077600,0,0,10000,10000,1500,1500
1677616065733083300,0,0,10000,10000,1500,1500
1677616065733088900,0,0,10000,10000,1500,1500
1677616065733094900,0,0,10000,10000,1500,1500
1677616065733111200,0,0,10000,10000,1500,1500
1677616065801999400,0,0,10000,10000,1500,1500
1677616065802002800,0,0,10000,10000,1500,1500
1677616065802005900,0,0,10000,10000,1500,1500
1677616065802010300,0,0,10000,10000,1500,1500
1677616065802017600,0,0,10000,10000,1500,1500
1677616065802039500,0,0,10000,10000,1500,1500
1677616065858874100,0,0,10000,10000,1500,1500
1677616065858888400,0,0,10000,10000,1500,1500
1677616065858895600,0,0,10000,10000,1500,1500
1677616065859071400,0,0,10000,10000,1500,1500
1677616065859081500,0,0,10000,10000,1500,1500
1677616065859087500,0,0,10000,10000,1500,1500
1677616065919522700,0,0,10000,10000,1500,1500
1677616065919526300,0,0,10000,10000,1500,1500
1677616065919529500,0,0,10000,10000,1500,1500
1677616065919532800,0,0,10000,10000,1500,1500
1677616065919538500,0,0,10000,10000,1500,1500
1677616065919541700,0,0,10000,10000,1500,1500
1677616065919565600,0,0,10000,10000,1500,1500
1677616065981645100,0,0,10000,10000,1500,1500
1677616065981649100,0,0,10000,10000,1500,1500
1677616065981652800,0,0,10000,10000,1500,1500
1677616065981656600,0,0,10000,10000,1500,1500
1677616065981667100,0,0,10000,10000,1500,1500
1677616065981673200,0,0,10000,10000,1500,1500
1677616066045715700,0,0,10000,10000,1500,1500
1677616066045730100,0,0,10000,10000,1500,1500
1677616066045735400,0,0,10000,10000,1500,1500
1677616066045740700,0,0,10000,10000,1500,1500
1677616066045748300,0,0,10000,10000,1500,1500
1677616066045759500,0,0,10000,10000,1500,1500
1677616066107232000,0,0,10000,10000,1500,1500
1677616066107236700,0,0,10000,10000,1500,1500
1677616066107242000,0,0,10000,10000,1500,1500
1677616066107251600,0,0,10000,10000,1500,1500
1677616066107257900,0,0,10000,10000,1500,1500
1677616066107262600,0,0,10000,10000,1500,1500
1677616066166969800,0,0,10000,10000,1500,1500
1677616066167051300,0,0,10000,10000,1500,1500
1677616066167087800,0,0,10000,10000,1500,1500
1677616066167092200,0,0,10000,10000,1500,1500
1677616066167101000,0,0,10000,10000,1500,1500
1677616066167168800,0,0,10000,10000,1500,1500
1677616066218445400,0,0,10000,10000,1500,1500
1677616066218467500,0,0,10000,10000,1500,1500
1677616066218472300,0,0,10000,10000,1500,1500
1677616066218476400,0,0,10000,10000,1500,1500
1677616066218498700,0,0,10000,10000,1500,1500
1677616066277958200,0,0,10000,10000,1500,1500
1677616066277962700,0,0,10000,10000,1500,1500
1677616066277966300,0,0,10000,10000,1500,1500
1677616066277969700,0,0,10000,10000,1500,1500
1677616066277978400,0,0,10000,10000,1500,1500
1677616066278025600,0,0,10000,10000,1500,1500
1677616066343256200,0,0,10000,10000,1500,1500
1677616066343261500,0,0,10000,10000,1500,1500
1677616066343265500,0,0,10000,10000,1500,1500
1677616066343331900,0,0,10000,10000,1500,1500
1677616066343384200,0,0,10000,10000,1500,1500
1677616066343392900,0,0,10000,10000,1500,1500
1677616066343399000,0,0,10000,10000,1500,1500
1677616066404249900,0,0,10000,10000,1500,1500
1677616066404273200,0,0,10000,10000,1500,1500
1677616066404281500,0,0,10000,10000,1500,1500
1677616066404289700,0,0,10000,10000,1500,1500
1677616066404299300,0,0,10000,10000,1500,1500
1677616066404306300,0,0,10000,10000,1500,1500
1677616066470074300,0,0,10000,10000,1500,1500
1677616066470081700,0,0,10000,10000,1500,1500
1677616066470104700,0,0,10000,10000,1500,1500
1677616066470110800,0,0,10000,10000,1500,1500
1677616066470122600,0,0,10000,10000,1500,1500
1677616066470132600,0,0,10000,10000,1500,1500
1677616066470138500,0,0,10000,10000,1500,1500
1677616066525935800,0,0,10000,10000,1500,1500
1677616066525942800,0,0,10000,10000,1500,1500
1677616066525950100,0,0,10000,10000,1500,1500
1677616066525956200,0,0,10000,10000,1500,1500
1677616066526104900,0,0,10000,10000,1500,1500
1677616066589013900,0,0,10000,10000,1500,1500
1677616066589055300,0,0,10000,10000,1500,1500
1677616066589076200,0,0,10000,10000,1500,1500
1677616066589103300,0,0,10000,10000,1500,1500
1677616066589112900,0,0,10000,10000,1500,1500
1677616066589118300,0,0,10000,10000,1500,1500
1677616066649842800,0,0,10000,10000,1500,1500
1677616066649865900,0,0,10000,10000,1500,1500
1677616066649872000,0,0,10000,10000,1500,1500
1677616066649888400,0,0,10000,10000,1500,1500
1677616066649913500,0,0,10000,10000,1500,1500
1677616066649932300,0,0,10000,10000,1500,1500
1677616066650034100,0,0,10000,10000,1500,1500
1677616066711749800,0,0,10000,10000,1500,1500
1677616066711754400,0,0,10000,10000,1500,1500
1677616066711757800,0,0,10000,10000,1500,1500
1677616066711761700,0,0,10000,10000,1500,1500
1677616066711771400,0,0,10000,10000,1500,1500
1677616066711775400,0,0,10000,10000,1500,1500
1677616066778033600,0,0,10000,10000,1500,1500
1677616066778044200,0,0,10000,10000,1500,1500
1677616066778048500,0,0,10000,10000,1500,1500
1677616066778052300,0,0,10000,10000,1500,1500
1677616066778087600,0,0,10000,10000,1500,1500
1677616066778113200,0,0,10000,10000,1500,1500
1677616066835594400,0,0,10000,10000,1500,1500
1677616066835600800,0,0,10000,10000,1500,1500
1677616066835607000,0,0,10000,10000,1500,1500
1677616066835613000,0,0,10000,10000,1500,1500
1677616066835622900,0,0,10000,10000,1500,1500
1677616066835628600,0,0,10000,10000,1500,1500
