%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque
1677616097665219200,0,0,10000,10000,1500,1500
1677616097665232400,0,0,10000,10000,1500,1500
1677616097665262800,0,0,10000,10000,1500,1500
1677616097665277400,0,0,10000,10000,1500,1500
1677616097665287500,0,0,10000,10000,1500,1500
1677616097665300300,0,0,10000,10000,1500,1500
1677616097665303900,0,0,10000,10000,1500,1500
1677616097665307400,0,0,10000,10000,1500,1500
1677616097665310700,0,0,10000,10000,1500,1500
1677616097665314100,0,0,10000,10000,1500,1500
1677616097665319800,0,0,10000,10000,1500,1500
1677616097665323400,0,0,10000,10000,1500,1500
1677616097665326800,0,0,10000,10000,1500,1500
1677616097665332400,0,0,10000,10000,1500,1500
1677616097665337600,0,0,10000,10000,1500,1500
1677616097665809000,0,0,10000,10000,1500,1500
1677616098047789300,0,0,10000,10000,1500,1500
1677616098047799800,0,0,10000,10000,1500,1500
1677616098047803300,0,0,10000,10000,1500,1500
1677616098047808700,0,0,10000,10000,1500,1500
1677616098047811800,0,0,10000,10000,1500,1500
1677616098047814900,0,0,10000,10000,1500,1500
1677616098047818900,0,0,10000,10000,1500,1500
1677616098047821700,0,0,10000,10000,1500,1500
1677616098047824600,0,0,10000,10000,1500,1500
1677616098047827700,0,0,10000,10000,1500,1500
1677616098047830500,0,0,10000,10000,1500,1500
1677616098047833400,0,0,10000,10000,1500,1500
1677616098047839200,0,0,10000,10000,1500,1500
1677616098047844600,0,0,10000,10000,1500,1500
1677616098047848500,0,0,10000,10000,1500,1500
1677616098047852000,0,0,10000,10000,1500,1500
1677616098047855400,0,0,10000,10000,1500,1500
1677616098047863900,0,0,10000,10000,1500,1500
1677616098047867500,0,0,10000,10000,1500,1500
1677616098047883800,0,0,10000,10000,1500,1500
1677616098047887400,0,0,10000,10000,1500,1500
1677616098047890500,0,0,10000,10000,1500,1500
1677616098047893600,0,0,10000,10000,1500,1500
1677616098047896900,0,0,10000,10000,1500,1500
1677616098189329100,0,0,10000,10000,1500,1500
1677616098189333600,0,0,10000,10000,1500,1500
1677616098189368300,0,0,10000,10000,1500,1500
1677616098189376600,0,0,10000,10000,1500,1500
1677616098189400300,0,0,10000,10000,1500,1500
1677616098189410500,0,0,10000,10000,1500,1500
1677616098189415700,0,0,10000,10000,1500,1500
1677616098189419400,0,0,10000,10000,1500,1500
1677616098189423600,0,0,10000,10000,1500,1500
1677616098189430700,0,0,10000,10000,1500,1500
1677616098189434900,0,0,10000,10000,1500,1500
1677616098189588900,0,0,10000,10000,1500,1500
1677616098189593100,0,0,10000,10000,1500,1500
1677616098189596100,0,0,10000,10000,1500,1500
1677616098189599200,0,0,10000,10000,1500,1500
1677616098189602400,0,0,10000,10000,1500,1500
1677616098189605500,0,0,10000,10000,1500,1500
1677616098189608300,0,0,10000,10000,1500,1500
1677616098189611200,0,0,10000,10000,1500,1500
1677616098189614300,0,0,10000,10000,1500,1500
1677616098189617200,0,0,10000,10000,1500,1500
1677616098189624300,0,0,10000,10000,1500,1500
1677616098189627300,0,0,10000,10000,1500,1500
1677616098189630200,0,0,10000,10000,1500,1500
1677616098189633200,0,0,10000,10000,1500,1500
1677616098189636100,0,0,10000,10000,1500,1500
1677616098189638900,0,0,10000,10000,1500,1500
1677616098189641800,0,0,10000,10000,1500,1500
1677616098326139000,0,0,10000,10000,1500,1500
1677616098326145100,0,0,10000,10000,1500,1500
1677616098326156300,0,0,10000,10000,1500,1500
1677616098326162900,0,0,10000,10000,1500,1500
1677616098326168800,0,0,10000,10000,1500,1500
1677616098326174100,0,0,10000,10000,1500,1500
1677616098326213500,0,0,10000,10000,1500,1500
1677616098326224900,0,0,10000,10000,1500,1500
1677616098326233800,0,0,10000,10000,1500,1500
1677616098326241300,0,0,10000,10000,1500,1500
1677616098326249900,0,0,10000,10000,1500,1500
1677616098326295100,0,0,10000,10000,1500,1500
1677616098326303700,0,0,10000,10000,1500,1500
1677616098326392600,0,0,10000,10000,1500,1500
1677616098470833300,0,0,10000,10000,1500,1500
1677616098470837700,0,0,10000,10000,1500,1500
1677616098470842400,0,0,10000,10000,1500,1500
1677616098470850000,0,0,10000,10000,1500,1500
1677616098470862400,0,0,10000,10000,1500,1500
1677616098470870100,0,0,10000,10000,1500,1500
1677616098470875600,0,0,10000,10000,1500,1500
1677616098470880200,0,0,10000,10000,1500,1500
1677616098470884800,0,0,10000,10000,1500,1500
1677616098470903400,0,0,10000,10000,1500,1500
1677616098470908400,0,0,10000,10000,1500,1500
1677616098470912900,0,0,10000,10000,1500,1500
1677616098470954600,0,0,10000,10000,1500,1500
1677616098470958900,0,0,10000,10000,1500,1500
1677616098576534000,0,0,10000,10000,1500,1500
1677616098576539100,0,0,10000,10000,1500,1500
1677616098576544000,0,0,10000,10000,1500,1500
1677616098576549200,0,0,10000,10000,1500,1500
1677616098576565300,0,0,10000,10000,1500,1500
1677616098576694000,0,0,10000,10000,1500,1500
1677616098576699700,0,0,10000,10000,1500,1500
1677616098576704700,0,0,10000,10000,1500,1500
1677616098576710200,0,0,10000,10000,1500,1500
1677616098638712400,0,0,10000,10000,1500,1500
1677616098638717100,0,0,10000,10000,1500,1500
1677616098638727200,0,0,10000,10000,1500,1500
1677616098638731900,0,0,10000,10000,1500,1500
1677616098638767200,0,0,10000,10000,1500,1500
1677616098638771400,0,0,10000,10000,1500,1500
1677616098638791300,0,0,10000,10000,1500,1500
1677616098638795200,0,0,10000,10000,1500,1500
1677616098638816300,0,0,10000,10000,1500,1500
1677616098701069600,0,0,10000,10000,1500,1500
1677616098701074500,0,0,10000,10000,1500,1500
1677616098701079900,0,0,10000,10000,1500,1500
1677616098701083900,0,0,10000,10000,1500,1500
1677616098701087900,0,0,10000,10000,1500,1500
1677616098701139500,0,0,10000,10000,1500,1500
