%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque
1677611550974133800,0,0,0,0,1500,1500
1677611550974140300,0,0,0,0,1500,1500
1677611550974145500,0,0,0,0,1500,1500
1677611550974179100,0,0,0,0,1500,1500
1677611551026408700,0,0,0,0,1500,1500
1677611551026418000,0,0,0,0,1500,1500
1677611551026422600,0,0,0,0,1500,1500
1677611551026458600,0,0,0,0,1500,1500
1677611551026521000,0,0,0,0,1500,1500
1677611551026528700,0,0,0,0,1500,1500
1677611551082859400,0,0,0,0,1500,1500
1677611551082866200,0,0,0,0,1500,1500
1677611551082873400,0,0,0,0,1500,1500
1677611551082890200,0,0,0,0,1500,1500
1677611551082914800,0,0,0,0,1500,1500
1677611551131148900,0,0,0,0,1500,1500
1677611551131163200,0,0,0,0,1500,1500
1677611551131174500,0,0,0,0,1500,1500
1677611551131181400,0,0,0,0,1500,1500
1677611551131208500,0,0,0,0,1500,1500
1677611551191651800,0,0,0,0,1500,1500
1677611551191669300,0,0,0,0,1500,1500
1677611551191674200,0,0,0,0,1500,1500
1677611551191678000,0,0,0,0,1500,1500
1677611551191706700,0,0,0,0,1500,1500
1677611551191730800,0,0,0,0,1500,1500
1677611551237376400,0,0,0,0,1500,1500
1677611551237386500,0,0,0,0,1500,1500
1677611551237393800,0,0,0,0,1500,1500
1677611551237484700,0,0,0,0,1500,1500
1677611551237492100,0,0,0,0,1500,1500
1677611551288550400,0,0,0,0,1500,1500
1677611551288587200,0,0,0,0,1500,1500
1677611551288641300,0,0,0,0,1500,1500
1677611551288646600,0,0,0,0,1500,1500
1677611551351921400,0,0,0,0,1500,1500
1677611551351948100,0,0,0,0,1500,1500
1677611551351973500,0,0,0,0,1500,1500
1677611551352007000,0,0,0,0,1500,1500
1677611551352017800,0,0,0,0,1500,1500
1677611551352080600,0,0,0,0,1500,1500
1677611551352096800,0,0,0,0,1500,1500
1677611551409436600,0,0,0,0,1500,1500
1677611551409513500,0,0,0,0,1500,1500
1677611551409531900,0,0,0,0,1500,1500
1677611551409539900,0,0,0,0,1500,1500
1677611551409545000,0,0,0,0,1500,1500
1677611551409587800,0,0,0,0,1500,1500
1677611551470798300,0,0,0,0,1500,1500
1677611551470890600,0,0,0,0,1500,1500
1677611551470898600,0,0,0,0,1500,1500
1677611551470952900,0,0,0,0,1500,1500
1677611551470991900,0,0,0,0,1500,1500
1677611551471050500,0,0,0,0,1500,1500
1677611551518952100,0,0,0,0,1500,1500
1677611551518959700,0,0,0,0,1500,1500
1677611551519016100,0,0,0,0,1500,1500
1677611551519069200,0,0,0,0,1500,1500
1677611551519120400,0,0,0,0,1500,1500
1677611551566902100,0,0,0,0,1500,1500
1677611551566946100,0,0,0,0,1500,1500
1677611551566957700,0,0,0,0,1500,1500
1677611551566963300,0,0,0,0,1500,1500
1677611551567018200,0,0,0,0,1500,1500
1677611551627137000,0,0,0,0,1500,1500
1677611551627175900,0,0,0,0,1500,1500
1677611551627195700,0,0,0,0,1500,1500
1677611551627256100,0,0,0,0,1500,1500
1677611551627264000,0,0,0,0,1500,1500
1677611551627281900,0,0,0,0,1500,1500
1677611551690183400,0,0,0,0,1500,1500
1677611551690188400,0,0,0,0,1500,1500
1677611551690240200,0,0,0,0,1500,1500
1677611551690247900,0,0,0,0,1500,1500
1677611551690252900,0,0,0,0,1500,1500
1677611551690319700,0,0,0,0,1500,1500
1677611551740693100,0,0,0,0,1500,1500
1677611551740712500,0,0,0,0,1500,1500
1677611551740735800,0,0,0,0,1500,1500
1677611551740746300,0,0,0,0,1500,1500
1677611551740806300,0,0,0,0,1500,1500
1677611551800215000,0,0,0,0,1500,1500
1677611551800230200,0,0,0,0,1500,1500
