%time,field.curr_pos1,field.curr_pos2
1677616066664814700,0,0
1677616066664871400,0,0
1677616066664888000,0,0
1677616066664903200,0,0
1677616066664908500,0,0
1677616066664914000,0,0
1677616066729941300,0,0
1677616066729995100,0,0
1677616066730009700,0,0
1677616066730029100,0,0
1677616066730037400,0,0
1677616066730045300,0,0
1677616066730055800,0,0
1677616066786265200,0,0
1677616066786280600,0,0
1677616066786284200,0,0
1677616066786291000,0,0
1677616066786294300,0,0
1677616066786297600,0,0
1677616066835635500,0,0
1677616066835645500,0,0
1677616066835655200,0,0
1677616066835662000,0,0
1677616066899798400,0,0
1677616066899810500,0,0
1677616066899821300,0,0
1677616066899829500,0,0
1677616066899950900,0,0
1677616066900007300,0,0
1677616066900016800,0,0
1677616066961544600,0,0
1677616066961554300,0,0
1677616066961564400,0,0
1677616066961575500,0,0
1677616066961586400,0,0
1677616066961597700,0,0
1677616067029217200,0,0
1677616067029232700,0,0
1677616067029240100,0,0
1677616067029286400,0,0
1677616067029313900,0,0
1677616067029320300,0,0
1677616067083921000,0,0
1677616067083926600,0,0
1677616067083964200,0,0
1677616067083998100,0,0
1677616067084003800,0,0
1677616067084009500,0,0
1677616067147645900,0,0
1677616067147663200,0,0
1677616067147676000,0,0
1677616067147690300,0,0
1677616067147711100,0,0
1677616067147719300,0,0
1677616067147875800,0,0
1677616067214009900,0,0
1677616067214057900,0,0
1677616067214070800,0,0
1677616067214135600,0,0
1677616067214209400,0,0
1677616067214218600,0,0
1677616067269561800,0,0
1677616067269607500,0,0
1677616067269617100,0,0
1677616067269641600,0,0
1677616067269694100,0,0
1677616067339632600,0,0
1677616067339664400,0,0
1677616067339740300,0,0
1677616067339755700,0,0
1677616067339765300,0,0
1677616067339772500,0,0
1677616067339840200,0,0
1677616067339877000,0,0
1677616067393719200,0,0
1677616067393787800,0,0
1677616067393806300,0,0
1677616067393817600,0,0
1677616067393835100,0,0
1677616067443588400,0,0
1677616067443591700,0,0
1677616067443594900,0,0
1677616067443598000,0,0
1677616067443601000,0,0
1677616067507186300,0,0
1677616067507189300,0,0
1677616067507192200,0,0
1677616067507195000,0,0
1677616067507197900,0,0
1677616067507201300,0,0
1677616067567232800,0,0
1677616067567236500,0,0
1677616067567240400,0,0
1677616067567244200,0,0
1677616067567247900,0,0
1677616067567251500,0,0
1677616067630144600,0,0
1677616067630147800,0,0
1677616067630151400,0,0
1677616067630154800,0,0
1677616067630157900,0,0
1677616067692155900,0,0
1677616067692166200,0,0
1677616067692174400,0,0
1677616067692179500,0,0
1677616067692186500,0,0
1677616067941685600,0,0
1677616067941705000,0,0
1677616067941710500,0,0
1677616067941718500,0,0
1677616067941728000,0,0
1677616067941733400,0,0
1677616067941748500,0,0
1677616067941758200,0,0
1677616067941763400,0,0
1677616068000854100,0,0
1677616068000880200,0,0
1677616068000890600,0,0
1677616068000906400,0,0
1677616068000911400,0,0
1677616068000916000,0,0
1677616068000921600,0,0
1677616068000926700,0,0
1677616068000931200,0,0
1677616068000935700,0,0
1677616068000940200,0,0
1677616068000948700,0,0
1677616068000974500,0,0
1677616068000986500,0,0
1677616068000992200,0,0
1677616068000997300,0,0
1677616068001001200,0,0
1677616068001013500,0,0
1677616068001023000,0,0
1677616068001027700,0,0
1677616068001033800,0,0
1677616068001039100,0,0
1677616068046474800,0,0
1677616068046494100,0,0
1677616068046514400,0,0
1677616068046549200,0,0
1677616068100149100,0,0
1677616068100228800,0,0
1677616068100238300,0,0
1677616068100246200,0,0
1677616068163580500,0,0
1677616068163583500,0,0
1677616068163589300,0,0
1677616068163592700,0,0
1677616068219266600,0,0
1677616068219409800,0,0
1677616068219959000,0,0
1677616068219984000,0,0
1677616068220011600,0,0
1677616068288783700,0,0
1677616068288824800,0,0
1677616068288890100,0,0
1677616068288921000,0,0
1677616068289037000,0,0
1677616068289063900,0,0
1677616068289244700,0,0
1677616068350909600,0,0
1677616068351073100,0,0
