%time,field.curr_pos1,field.curr_pos2
1677616098963358400,0,0
1677616098963407000,0,0
1677616098963429900,0,0
1677616098963439200,0,0
1677616098963445700,0,0
1677616099023721700,0,0
1677616099023759300,0,0
1677616099023806300,0,0
1677616099023819100,0,0
1677616099023838400,0,0
1677616099023885700,0,0
1677616099069754800,0,0
1677616099069778700,0,0
1677616099069793100,0,0
1677616099069799000,0,0
1677616099069857400,0,0
1677616099120295500,0,0
1677616099120302800,0,0
1677616099120451700,0,0
1677616099120512800,0,0
1677616099120536900,0,0
1677616099186904000,0,0
1677616099186932700,0,0
1677616099186966300,0,0
1677616099187036900,0,0
1677616099187046900,0,0
1677616099187056300,0,0
1677616099250843900,0,0
1677616099251089000,0,0
1677616099251107000,0,0
1677616099251151300,0,0
1677616099251196100,0,0
1677616099251489800,0,0
1677616099251556200,0,0
1677616099308533600,0,0
1677616099308610700,0,0
1677616099308622900,0,0
1677616099308629700,0,0
1677616099308634800,0,0
1677616099308664900,0,0
1677616099371224200,0,0
1677616099371277700,0,0
1677616099371297600,0,0
1677616099371306800,0,0
1677616099371317900,0,0
1677616099371324200,0,0
1677616099431100600,0,0
1677616099431142200,0,0
1677616099431153800,0,0
1677616099431170600,0,0
1677616099431179200,0,0
1677616099431231500,0,0
1677616099481709200,0,0
1677616099481715600,0,0
1677616099481720600,0,0
1677616099481725400,0,0
1677616099481730200,0,0
1677616099545015100,0,0
1677616099545033000,0,0
1677616099545042500,0,0
1677616099545047100,0,0
1677616099545054600,0,0
1677616099545061500,0,0
1677616099606005400,0,0
1677616099606027500,0,0
1677616099606215600,0,0
1677616099653786600,0,0
1677616099653873000,0,0
1677616099653881300,0,0
1677616099653914400,0,0
1677616099714748300,0,0
1677616099714875400,0,0
1677616099714888900,0,0
1677616099715017300,0,0
1677616099715024500,0,0
1677616099782358200,0,0
1677616099782361900,0,0
1677616099782365400,0,0
1677616099782368700,0,0
1677616099782372400,0,0
1677616099782375900,0,0
1677616099841777900,0,0
1677616099841780900,0,0
1677616099841783700,0,0
1677616099841786400,0,0
1677616099841789500,0,0
1677616099841793600,0,0
1677616099903791400,0,0
1677616099903794900,0,0
1677616099903905500,0,0
1677616099903914000,0,0
1677616099903919000,0,0
1677616099903923200,0,0
1677616099903928300,0,0
1677616099962082400,0,0
1677616099962092600,0,0
1677616099962098600,0,0
1677616099962109000,0,0
1677616099962180400,0,0
1677616099962206400,0,0
1677616100032802400,0,0
1677616100032805700,0,0
1677616100032810100,0,0
1677616100032813200,0,0
1677616100032816300,0,0
1677616100032819200,0,0
1677616100032822200,0,0
1677616100108024700,0,0
1677616100108037100,0,0
1677616100108041400,0,0
1677616100108045400,0,0
1677616100108061400,0,0
1677616100108065700,0,0
1677616100108070000,0,0
1677616100163761600,0,0
1677616100163864700,0,0
1677616100163871300,0,0
1677616100163877200,0,0
1677616100163883000,0,0
1677616100163902000,0,0
1677616100212019800,0,0
1677616100212031300,0,0
1677616100212051100,0,0
1677616100212063000,0,0
1677616100212076500,0,0
1677616100274958800,0,0
1677616100274965000,0,0
1677616100274990300,0,0
1677616100274996300,0,0
1677616100275010300,0,0
1677616100275116500,0,0
1677616100338055200,0,0
1677616100338062400,0,0
1677616100338076700,0,0
1677616100338082800,0,0
1677616100338088800,0,0
1677616100338110400,0,0
1677616100397942400,0,0
1677616100397945700,0,0
1677616100397949000,0,0
1677616100397952500,0,0
1677616100397955700,0,0
1677616100397960000,0,0
1677616100465766300,0,0
1677616100465772900,0,0
1677616100465778600,0,0
1677616100465874700,0,0
1677616100465885800,0,0
1677616100465912300,0,0
1677616100537052400,0,0
1677616100537057000,0,0
1677616100537060500,0,0
1677616100537064200,0,0
1677616100537081100,0,0
1677616100537085600,0,0
1677616100537103800,0,0
1677616100603048300,0,0
1677616100603080300,0,0
1677616100603094700,0,0
1677616100603100900,0,0
1677616100603129200,0,0
1677616100603144900,0,0
1677616100603158400,0,0
1677616100603161900,0,0
1677616100664865800,0,0
1677616100664871900,0,0
1677616100664877300,0,0
1677616100664883600,0,0
1677616100664888900,0,0
1677616100664894200,0,0
1677616100727541000,0,0
1677616100727546200,0,0
1677616100727551400,0,0
1677616100727555800,0,0
1677616100727560300,0,0
1677616100727573600,0,0
1677616100787702500,0,0
1677616100787724200,0,0
1677616100787756200,0,0
1677616100787792100,0,0
1677616100787816300,0,0
1677616100787878000,0,0
1677616100854990400,0,0
1677616100854994700,0,0
1677616100854998700,0,0
1677616100855004600,0,0
1677616100855008500,0,0
1677616100911212400,0,0
1677616100911219400,0,0
1677616100911225500,0,0
1677616100911229700,0,0
1677616100911241300,0,0
