%time,field.curr_pos1,field.curr_pos2,field.toff,field.t
1683145634017144300,1596,-1180,232,45633.51953125
1683145634017190000,1596,-1180,420,45633.53125
1683145634017201900,1596,-1180,-115,45633.5390625
1683145634017207800,1596,-1180,48,45633.55078125
1683145634017214200,1596,-1180,252,45633.55859375
1683145634017981900,1596,-1180,156,45633.5703125
1683145634063741700,1596,-1180,348,45633.578125
1683145634063786000,1596,-1180,84,45633.58984375
1683145634063820000,1596,-1180,280,45633.6015625
1683145634063833700,1596,-1180,-623,45633.609375
1683145634064052500,1596,-1180,-31,45633.62109375
1683145634188471400,1596,-1180,672,45633.62890625
1683145634188520100,1596,-1180,236,45633.640625
1683145634188532700,1596,-1180,-19,45633.6484375
1683145634188617200,1596,-1180,392,45633.66015625
1683145634188967200,1596,-1180,-159,45633.671875
1683145634189036100,1596,-1180,-151,45633.6796875
1683145634189089000,1596,-1180,-15,45633.69140625
1683145634189098900,1596,-1180,152,45633.69921875
1683145634189260600,1596,-1180,-123,45633.7109375
1683145634189365400,1596,-1180,-559,45633.71875
1683145634189370500,1596,-1180,-119,45633.73046875
1683145634189547900,1596,-1180,220,45633.73828125
1683145634236242300,1596,-1180,964,45633.75
1683145634236289600,1596,-1180,352,45633.76171875
1683145634236317200,1596,-1180,284,45633.76953125
1683145634236361700,1596,-1180,80,45633.78125
1683145634236372200,1596,-1180,-511,45633.7890625
1683145634315224200,1596,-1180,252,45633.80078125
1683145634315241500,1596,-1180,25,45633.80859375
1683145634315244700,1596,-1180,404,45633.8203125
1683145634315580200,1596,-1180,-131,45633.828125
1683145634315592400,1596,-1180,84,45633.83984375
1683145634315596800,1596,-1180,168,45633.8515625
1683145634315618300,1596,-1180,41,45633.859375
1683145634315658500,1596,-1180,29,45633.87109375
1683145634389100800,1596,-1180,556,45633.87890625
1683145634389140900,1596,-1180,-331,45633.890625
1683145634389172100,1596,-1180,-295,45633.8984375
1683145634389353100,1596,-1180,-211,45633.9140625
1683145634389504300,1596,-1180,180,45633.921875
1683145634389712300,1596,-1180,-231,45633.9296875
1683145634436187200,1596,-1180,232,45633.94140625
1683145634436214300,1596,-1180,360,45633.94921875
1683145634436240700,1596,-1180,-139,45633.9609375
1683145634436330100,1596,-1180,220,45633.96875
1683145634436336600,1596,-1180,-103,45633.98046875
1683145634436436300,1596,-1180,-31,45633.98828125
1683145634594256500,1596,-1180,80,45634.0
1683145634594298000,1596,-1180,68,45634.01171875
1683145634594308600,1596,-1180,-67,45634.01953125
1683145634594312700,1596,-1180,-211,45634.03125
1683145634594398900,1596,-1180,-43,45634.0390625
1683145634654050000,1596,-1180,-67,45634.05078125
1683145634654102500,1596,-1180,216,45634.05859375
1683145634654136200,1596,-1180,120,45634.0703125
1683145634654159100,1596,-1180,224,45634.078125
1683145634654180700,1596,-1180,-391,45634.08984375
1683145634654202100,1596,-1180,372,45634.1015625
1683145634654229900,1596,-1180,-163,45634.109375
1683145634654238400,1596,-1180,216,45634.12109375
1683145634654375700,1598,-1181,88,45634.12890625
1683145634654400900,1609,-1186,-115,45634.140625
1683145634654459600,1620,-1199,292,45634.1484375
1683145634654468000,1636,-1214,-35,45634.16015625
1683145634654493600,1650,-1231,180,45634.171875
1683145634654516300,1661,-1242,-95,45634.1796875
1683145634654528800,1662,-1244,368,45634.19140625
1683145634655306100,1663,-1244,300,45634.19921875
1683145634655980300,1664,-1246,-163,45634.2109375
1683145634814009700,1664,-1247,172,45634.22265625
1683145634814048400,1667,-1250,-195,45634.23046875
1683145634814075800,1670,-1253,188,45634.23828125
1683145634814091000,1669,-1252,9,45634.25
1683145634814107400,1670,-1252,168,45634.26171875
1683145634814111300,1670,-1252,-115,45634.26953125
1683145634814149900,1670,-1253,316,45634.28125
1683145634814539000,1672,-1256,-139,45634.29296875
1683145634814593700,1672,-1257,248,45634.30078125
1683145634814601400,1672,-1256,240,45634.30859375
1683145634815000700,1671,-1257,256,45634.3203125
1683145634815256500,1671,-1256,156,45634.328125
1683145634815265000,1670,-1256,128,45634.33984375
1683145634873553200,1670,-1256,364,45634.3515625
1683145634873617300,1670,-1256,76,45634.359375
1683145634873653900,1670,-1255,432,45634.37109375
1683145634873957100,1670,-1255,140,45634.3828125
1683145634873978300,1670,-1255,-115,45634.390625
1683145634874014700,1669,-1255,152,45634.3984375
1683145634874029100,1669,-1255,-275,45634.41015625
1683145634874708300,1669,-1255,-27,45634.421875
1683145634874776500,1669,-1254,-135,45634.4296875
