%time,field.curr_pos1,field.curr_pos2,field.toff,field.t
1683143889017398700,4329,-2756,-2434,43888.57421875
1683143889017448000,4329,-2756,-1438,43888.5859375
1683143889017491600,4329,-2756,-366,43888.59375
1683143889017509900,4329,-2756,-1066,43888.60546875
1683143889017536300,4329,-2756,2149,43888.61328125
1683143889017644200,4329,-2756,1569,43888.625
1683143889085909000,4329,-2756,381,43888.6328125
1683143889085970500,4329,-2756,-1770,43888.64453125
1683143889086115100,4329,-2756,-382,43888.65625
1683143889086414700,4329,-2756,1013,43888.6640625
1683143889086423700,4329,-2756,-1906,43888.67578125
1683143889086742900,4329,-2756,-2158,43888.6875
1683143889087023600,4329,-2756,2145,43888.6953125
1683143889133609700,4329,-2756,-1346,43888.703125
1683143889133633000,4329,-2756,2133,43888.71875
1683143889133636600,4329,-2756,-1694,43888.72265625
1683143889133646600,4329,-2756,-1842,43888.734375
1683143889197403100,4329,-2756,-2022,43888.74609375
1683143889197447600,4329,-2756,889,43888.75390625
1683143889197458700,4329,-2756,2457,43888.765625
1683143889197487400,4329,-2756,865,43888.77734375
1683143889197727700,4329,-2756,-446,43888.78515625
1683143889198130400,4329,-2756,1513,43888.79296875
1683143889266710400,4329,-2756,877,43888.80859375
1683143889266756900,4329,-2756,-722,43888.8125
1683143889266772900,4329,-2756,1609,43888.82421875
1683143889266796300,4329,-2756,-302,43888.8359375
1683143889266809500,4329,-2756,705,43888.84765625
1683143889266983000,4329,-2756,-374,43888.85546875
1683143889267218900,4329,-2756,-1430,43888.86328125
1683143889267656200,4329,-2756,2073,43888.875
1683143889325363700,4329,-2756,-1462,43888.8828125
1683143889325410600,4329,-2756,-2170,43888.89453125
1683143889325422700,4329,-2756,-802,43888.90625
1683143889325526100,4329,-2756,1141,43888.9140625
1683143889325548700,4329,-2756,2297,43888.92578125
1683143889325574100,4329,-2756,89,43888.93359375
1683143889379430400,4329,-2756,-2314,43888.9453125
1683143889379476000,4329,-2756,-1162,43888.953125
1683143889379487900,4329,-2756,-1918,43888.96875
1683143889379514200,4329,-2756,-1050,43888.97265625
1683143889379706700,4329,-2756,-2362,43888.984375
1683143889426945300,4329,-2756,-794,43889.0
1683143889426999300,4329,-2756,-1126,43889.00390625
1683143889427030800,4329,-2756,1765,43889.015625
1683143889427434800,4329,-2756,-218,43889.02734375
1683143889427812200,4329,-2756,749,43889.03515625
1683143889477171100,4329,-2756,2277,43889.04296875
1683143889477302200,4329,-2756,1837,43889.05859375
1683143889477358500,4329,-2756,313,43889.0625
1683143889477388700,4329,-2756,-590,43889.07421875
1683143889477404600,4329,-2756,-1278,43889.0859375
1683143889539948500,4329,-2756,-662,43889.09765625
1683143889539997100,4329,-2756,1321,43889.10546875
1683143889540014200,4329,-2756,2285,43889.11328125
1683143889540022600,4329,-2756,-1622,43889.125
1683143889540226700,4329,-2756,473,43889.1328125
1683143889540654500,4329,-2756,969,43889.14453125
1683143889602638700,4329,-2756,-766,43889.15625
1683143889602693900,4329,-2756,-1086,43889.1640625
1683143889602732100,4329,-2756,857,43889.17578125
1683143889602811400,4329,-2756,857,43889.1875
1683143889602816800,4329,-2756,-2146,43889.1953125
1683143889603378000,4329,-2756,1941,43889.203125
1683143889664725400,4329,-2756,-2486,43889.21875
1683143889664754100,4329,-2756,289,43889.22265625
1683143889664847300,4329,-2756,-482,43889.234375
1683143889664930900,4329,-2756,1081,43889.25
1683143889664935300,4329,-2756,-2250,43889.25390625
1683143889665022500,4329,-2756,-2206,43889.265625
1683143889726403100,4329,-2756,-34,43889.27734375
1683143889726424200,4329,-2756,773,43889.28515625
1683143889726458100,4330,-2756,-1082,43889.29296875
1683143889726524800,4345,-2758,1005,43889.30859375
1683143889726562000,4351,-2764,701,43889.3125
1683143889726639100,4360,-2777,1493,43889.32421875
1683143889726692200,4372,-2786,1937,43889.3359375
1683143889789176400,4386,-2804,-566,43889.34765625
1683143889789222400,4397,-2815,1133,43889.35546875
1683143889789252200,4402,-2819,1949,43889.36328125
1683143889789450800,4401,-2819,-2250,43889.375
1683143889789471700,4402,-2819,-1666,43889.3828125
1683143889789507100,4403,-2821,-2126,43889.39453125
1683143889853198100,4403,-2823,2149,43889.40625
1683143889853253900,4403,-2824,261,43889.4140625
1683143889853275400,4406,-2828,-662,43889.42578125
1683143889853285100,4406,-2829,-1518,43889.4375
1683143889853291200,4406,-2829,1645,43889.4453125
1683143889853369800,4406,-2830,1805,43889.453125
1683143889907540600,4406,-2830,233,43889.46875
1683143889907600100,4405,-2831,577,43889.4765625
1683143889907794900,4404,-2832,-338,43889.484375
1683143889908031300,4403,-2833,541,43889.5
1683143889908165200,4403,-2833,-158,43889.50390625
1683143889908339800,4403,-2833,2497,43889.515625
1683143889955267200,4402,-2833,545,43889.53125
1683143889955320800,4402,-2834,1805,43889.53515625
1683143889955334100,4402,-2834,-346,43889.54296875
1683143890018594000,4402,-2833,-226,43889.56640625
1683143890018653200,4402,-2833,-1314,43889.578125
1683143890018755300,4402,-2833,-378,43889.59375
1683143890018851500,4402,-2833,813,43889.59765625
1683143890018866800,4402,-2833,-2498,43889.60546875
1683143890019339700,4402,-2833,1473,43889.6171875
1683143890019607400,4402,-2833,-1110,43889.62890625
1683143890077612000,4402,-2833,969,43889.63671875
1683143890077662200,4401,-2832,1617,43889.6484375
1683143890077677200,4400,-2832,-298,43889.66015625
1683143890077795100,4399,-2832,1249,43889.66796875
1683143890078068500,4400,-2832,2009,43889.67578125
1683143890124447200,4399,-2832,1833,43889.6875
1683143890124490400,4399,-2832,-2054,43889.6953125
1683143890124500600,4400,-2832,517,43889.70703125
1683143890124513900,4400,-2832,2449,43889.72265625
1683143890124527900,4399,-2832,-1494,43889.7265625
1683143890172449300,4399,-2832,801,43889.73828125
1683143890172470700,4399,-2832,281,43889.75390625
1683143890172594300,4399,-2832,-506,43889.7578125
1683143890172624500,4399,-2832,-942,43889.765625
1683143890172767500,4399,-2832,-722,43889.78125
1683143890218430300,4400,-2832,-1426,43889.79296875
1683143890218485000,4399,-2832,-2386,43889.80078125
1683143890218518400,4400,-2832,-1282,43889.8125
1683143890218832300,4400,-2832,-818,43889.81640625
1683143890218847500,4400,-2832,1653,43889.828125
1683143890264973200,4400,-2832,-2230,43889.8359375
1683143890265026400,4400,-2832,29,43889.84765625
1683143890265041900,4400,-2832,705,43889.85546875
1683143890265164900,4400,-2831,1085,43889.8671875
1683143890329643800,4400,-2831,2197,43889.87890625
1683143890329742700,4400,-2831,-922,43889.88671875
1683143890329920200,4400,-2830,649,43889.8984375
1683143890330175900,4400,-2829,241,43889.91015625
1683143890330406600,4400,-2828,2405,43889.91796875
1683143890330507100,4400,-2828,1857,43889.92578125
1683143890387796600,4400,-2828,-1958,43889.9375
1683143890387844200,4400,-2828,565,43889.9453125
1683143890387863600,4400,-2828,-1438,43889.95703125
1683143890387877100,4400,-2828,785,43889.97265625
1683143890387881600,4400,-2828,2085,43889.9765625
1683143890387979300,4400,-2828,-2114,43889.98828125
1683143890388056600,4400,-2828,-2162,43889.99609375
1683143890434928400,4400,-2828,-1338,43890.0078125
1683143890434979400,4400,-2828,-114,43890.015625
1683143890435082200,4400,-2828,301,43890.02734375
1683143890435123800,4400,-2828,-338,43890.0390625
1683143890497809700,4400,-2828,-1946,43890.046875
1683143890497830800,4400,-2828,-778,43890.0625
1683143890497850800,4400,-2828,1829,43890.06640625
1683143890498042900,4400,-2828,-2018,43890.078125
1683143890498057300,4400,-2828,-2034,43890.0859375
1683143890498897100,4400,-2828,-198,43890.09765625
1683143890498910500,4400,-2828,-966,43890.10546875
1683143890564669400,4400,-2828,-1494,43890.1171875
1683143890564735200,4400,-2828,1461,43890.12890625
1683143890564764800,4400,-2828,-1318,43890.13671875
1683143890564885000,4400,-2828,-2374,43890.1484375
1683143890564965900,4400,-2828,-1482,43890.16015625
1683143890565297400,4400,-2828,-526,43890.16796875
1683143890621438800,4400,-2828,2417,43890.17578125
1683143890621486700,4400,-2828,2185,43890.19140625
1683143890621582900,4400,-2828,-414,43890.1953125
1683143890621785000,4400,-2828,1,43890.20703125
1683143890621986700,4400,-2828,1961,43890.22265625
1683143890622089600,4400,-2828,1465,43890.2265625
1683143890684747400,4400,-2828,-258,43890.23828125
1683143890684774000,4400,-2828,-2266,43890.24609375
1683143890684779900,4400,-2828,-1286,43890.2578125
1683143890684789800,4401,-2828,1329,43890.265625
1683143890685028000,4421,-2840,217,43890.28125
1683143890685056100,4426,-2846,-270,43890.28515625
1683143890759061800,4437,-2858,-1522,43890.296875
1683143890759117500,4460,-2883,-1998,43890.3125
1683143890759134200,4465,-2888,-902,43890.31640625
1683143890759240900,4468,-2890,-2374,43890.328125
1683143890759253500,4467,-2890,-490,43890.3359375
1683143890759260200,4468,-2890,1913,43890.3515625
1683143890759561300,4468,-2891,-2446,43890.35546875
1683143890759763100,4471,-2895,-2418,43890.3671875
1683143890849115500,4475,-2900,2421,43890.37890625
1683143890849187700,4476,-2902,1049,43890.38671875
1683143890849204800,4476,-2901,-166,43890.3984375
1683143890849291000,4476,-2903,-2162,43890.41015625
1683143890849296800,4476,-2903,-2,43890.41796875
1683143890849302800,4475,-2903,517,43890.42578125
1683143890849311800,4475,-2904,-2290,43890.4375
1683143890849444600,4475,-2904,-1946,43890.4453125
1683143890849769800,4475,-2904,1677,43890.45703125
1683143890899598000,4474,-2904,1765,43890.46875
1683143890899646900,4473,-2905,997,43890.4765625
1683143890899760000,4473,-2905,605,43890.48828125
1683143890899773300,4473,-2905,-922,43890.49609375
1683143890899800300,4473,-2905,-1434,43890.5078125
1683143890950181200,4473,-2904,-1482,43890.515625
1683143890950242500,4472,-2904,-954,43890.52734375
1683143890950347000,4472,-2904,-2258,43890.53515625
1683143890950364000,4472,-2904,1477,43890.546875
1683143890950376100,4472,-2903,725,43890.55859375
1683143891011086500,4472,-2903,633,43890.56640625
1683143891011248100,4472,-2903,2337,43890.578125
1683143891011376700,4472,-2903,537,43890.5859375
1683143891011401200,4472,-2903,-1946,43890.59765625
1683143891011427800,4472,-2903,177,43890.60546875
1683143891012067000,4472,-2903,1833,43890.6171875
1683143891075672100,4471,-2902,1285,43890.62890625
1683143891075735300,4471,-2902,-486,43890.63671875
1683143891075787600,4471,-2901,2266,43890.6484375
1683143891075827500,4471,-2901,1746,43890.65625
1683143891075982400,4471,-2902,-1957,43890.66796875
1683143891076167000,4471,-2901,1514,43890.67578125
1683143891141788300,4471,-2901,-2093,43890.6875
1683143891141826200,4471,-2901,2298,43890.6953125
1683143891141841800,4471,-2901,2018,43890.70703125
1683143891141853800,4471,-2901,2402,43890.71875
1683143891141861100,4471,-2901,-1009,43890.7265625
1683143891142091300,4471,-2901,950,43890.73828125
1683143891197372700,4471,-2901,-1917,43890.75
1683143891197427700,4471,-2901,1878,43890.7578125
