%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque,field.PF_cmd,field.EV_cmd,field.theta_cmd,field.alpha_cmd,field.PF_curr,field.EV_curr,field.CPU0,field.CPU1,field.CPU2,field.CPU3,field.t,field.valid
1685049524004019400,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,69.19999694824219,10.0,49524.05859375,1.0
1685049524004043500,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,69.19999694824219,10.0,49524.06640625,1.0
1685049524004056100,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,69.19999694824219,10.0,49524.078125,1.0
1685049524004061700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,69.19999694824219,10.0,49524.0859375,1.0
1685049524004134400,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,69.19999694824219,10.0,49524.09765625,1.0
1685049524051581500,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,69.19999694824219,10.0,49524.109375,1.0
1685049524051610200,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,69.19999694824219,10.0,49524.1171875,1.0
1685049524051632900,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,69.19999694824219,10.0,49524.12890625,1.0
1685049524051653900,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,69.19999694824219,10.0,49524.13671875,1.0
1685049524051725000,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,69.19999694824219,10.0,49524.1484375,1.0
1685049524104032700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,69.19999694824219,10.0,49524.15625,1.0
1685049524104052900,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.16796875,1.0
1685049524104063000,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.17578125,1.0
1685049524104071800,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.1875,1.0
1685049524104079300,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.19921875,1.0
1685049524149594500,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.20703125,1.0
1685049524149627200,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.21875,1.0
1685049524149634200,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.2265625,1.0
1685049524149643700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.23828125,1.0
1685049524199108400,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.24609375,1.0
1685049524199124100,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.2578125,1.0
1685049524199132900,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,9.100000381469727,49524.26953125,1.0
1685049524199238200,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,9.100000381469727,49524.27734375,1.0
1685049524199283600,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,9.100000381469727,49524.2890625,1.0
1685049524248839000,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,9.100000381469727,49524.296875,1.0
1685049524248865300,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,9.100000381469727,49524.30859375,1.0
1685049524248878800,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,9.100000381469727,49524.31640625,1.0
1685049524248889900,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,9.100000381469727,49524.328125,1.0
1685049524248987700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,9.100000381469727,49524.3359375,1.0
1685049524297619400,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,9.100000381469727,49524.34765625,1.0
1685049524297678800,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,9.100000381469727,49524.359375,1.0
1685049524297700400,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,0.0,49524.3671875,1.0
1685049524297711300,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,0.0,49524.37890625,1.0
1685049524297747400,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,0.0,49524.38671875,1.0
1685049524347215400,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,0.0,49524.3984375,1.0
1685049524347263000,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,0.0,49524.40625,1.0
1685049524347279800,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,0.0,49524.41796875,1.0
1685049524347285100,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,0.0,49524.42578125,1.0
1685049524347315600,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,0.0,49524.4375,1.0
1685049524393720400,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,0.0,49524.44921875,1.0
1685049524393761700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4000015258789,0.0,49524.45703125,1.0
1685049524393771700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.46875,1.0
1685049524393817000,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.4765625,1.0
1685049524393941200,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.48828125,1.0
1685049524441605900,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.49609375,1.0
1685049524441647700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.5078125,1.0
1685049524441663900,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.51953125,1.0
1685049524441673800,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.52734375,1.0
1685049524441785000,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.5390625,1.0
1685049524487509500,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.546875,1.0
1685049524487569100,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.69999694824219,0.0,49524.55859375,1.0
1685049524487630600,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,55.599998474121094,0.0,49524.56640625,1.0
1685049524487652100,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,55.599998474121094,0.0,49524.578125,1.0
1685049524572109800,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,55.599998474121094,0.0,49524.5859375,1.0
1685049524572126700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,55.599998474121094,0.0,49524.59765625,1.0
1685049524572135800,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,55.599998474121094,0.0,49524.609375,1.0
1685049524572140000,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,55.599998474121094,0.0,49524.6171875,1.0
1685049524572263200,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,55.599998474121094,0.0,49524.62890625,1.0
1685049524572350200,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,55.599998474121094,0.0,49524.63671875,1.0
1685049524572388700,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,55.599998474121094,0.0,49524.6484375,1.0
1685049524621995500,0,0,0,0,3000,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,55.599998474121094,0.0,49524.65625,1.0
