%time,field.curr_pos1,field.curr_pos2,field.toff,field.motor_fail,field.t
1685049525089847400,0,0,255400,0,49525.1484375
1685049525089869200,0,0,255040,0,49525.15625
1685049525089876400,0,0,257480,0,49525.16796875
1685049525089880800,0,0,257360,0,49525.1796875
1685049525139518200,0,0,254480,0,49525.1875
1685049525139544400,0,0,255760,0,49525.19921875
1685049525139555400,0,0,254680,0,49525.20703125
1685049525139564600,0,0,248160,0,49525.21875
1685049525139714900,0,0,256960,0,49525.2265625
1685049525195860400,0,0,250720,0,49525.23828125
1685049525195878700,0,0,257120,0,49525.24609375
1685049525195888900,0,0,256880,0,49525.2578125
1685049525195898900,0,0,252720,0,49525.26953125
1685049525195922200,0,0,254680,0,49525.27734375
1685049525242129700,0,0,254080,0,49525.2890625
1685049525242156300,0,0,253760,0,49525.296875
1685049525242161600,0,0,259760,0,49525.30859375
1685049525242164300,0,0,255440,0,49525.31640625
1685049525242306000,0,0,255840,0,49525.328125
1685049525242352800,0,0,255520,0,49525.33984375
1685049525289678700,0,0,247760,0,49525.34765625
1685049525289711600,0,0,256240,0,49525.359375
1685049525289720400,0,0,249120,0,49525.3671875
1685049525289911500,0,0,256880,0,49525.37890625
1685049525346375600,0,0,256280,0,49525.38671875
1685049525346384300,0,0,257200,0,49525.3984375
1685049525346388500,0,0,257360,0,49525.40625
1685049525346677000,0,0,255920,0,49525.41796875
1685049525346860100,0,0,250560,0,49525.42578125
1685049525396502000,0,0,249200,0,49525.44921875
1685049525396520100,0,0,247440,0,49525.4609375
1685049525396654500,0,0,250400,0,49525.47265625
1685049525396885200,0,0,251120,0,49525.48046875
1685049525447228900,0,0,248400,0,49525.4921875
1685049525447231900,0,0,250880,0,49525.5
1685049525447395200,0,0,250600,0,49525.51171875
1685049525447411900,0,0,250000,0,49525.51953125
1685049525447418200,0,0,250160,0,49525.53125
1685049525492945000,0,0,250880,0,49525.5390625
1685049525492960800,0,0,249840,0,49525.55078125
1685049525492963900,0,0,287120,0,49525.5625
1685049525492991800,0,0,248560,0,49525.5703125
1685049525493244500,0,0,249360,0,49525.58203125
1685049525539592800,0,0,250080,0,49525.58984375
1685049525539613300,0,0,250600,0,49525.6015625
1685049525539622600,0,0,249760,0,49525.609375
1685049525539728000,0,0,250120,0,49525.62109375
1685049525539769100,0,0,250880,0,49525.6328125
1685049525592049100,0,0,250080,0,49525.640625
1685049525592066800,0,0,250480,0,49525.65234375
1685049525592142800,0,0,250800,0,49525.66015625
1685049525592258400,0,0,249360,0,49525.671875
1685049525592265200,0,0,249760,0,49525.6796875
1685049525639274500,0,0,252960,0,49525.69140625
1685049525639324300,0,0,247360,0,49525.69921875
1685049525639337100,0,0,250400,0,49525.7109375
1685049525639344300,0,0,250560,0,49525.72265625
1685049525639529100,0,0,249320,0,49525.73046875
1685049525686502900,0,0,250160,0,49525.7421875
1685049525686506900,0,0,251200,0,49525.75
1685049525686574800,0,0,249760,0,49525.76171875
1685049525686608400,0,0,251080,0,49525.76953125
1685049525686616800,0,0,250560,0,49525.78125
1685049525732081800,0,0,275360,0,49525.7890625
1685049525732102000,0,0,250240,0,49525.80078125
1685049525732123900,0,0,250800,0,49525.8125
1685049525732127300,0,0,252080,0,49525.8203125
1685049525778713200,0,0,248000,0,49525.83203125
1685049525778715900,0,0,250600,0,49525.83984375
1685049525778775000,0,0,249520,0,49525.8515625
1685049525778780600,0,0,250240,0,49525.859375
1685049525778783500,0,0,250320,0,49525.87109375
1685049525837376800,0,0,249840,0,49525.8828125
1685049525837381000,0,0,249920,0,49525.890625
1685049525837383700,0,0,251200,0,49525.90234375
1685049525837387600,0,0,249800,0,49525.91015625
1685049525837423000,0,0,250000,0,49525.921875
1685049525889016500,0,0,251400,0,49525.9296875
1685049525889035500,0,0,250240,0,49525.94140625
1685049525889043600,0,0,252640,0,49525.94921875
1685049525889046100,0,0,248640,0,49525.9609375
1685049525889062100,0,0,252960,0,49525.97265625
1685049525889207800,0,0,250240,0,49525.98046875
1685049525934602600,0,0,250560,0,49525.9921875
1685049525934626200,0,0,253280,0,49526.01171875
1685049525934634500,0,0,260800,0,49526.0234375
1685049525987641500,0,0,246080,0,49526.03125
1685049525987650300,0,0,250160,0,49526.0390625
1685049525987705100,0,0,250560,0,49526.05078125
1685049525987984300,0,0,249160,0,49526.0625
1685049525987995300,0,0,253200,0,49526.0703125
1685049526035578000,0,0,253440,0,49526.08203125
1685049526035586400,0,0,249040,0,49526.08984375
1685049526035594000,0,0,249120,0,49526.1015625
1685049526035652300,0,0,250240,0,49526.109375
1685049526035656300,0,0,249920,0,49526.12109375
1685049526035833000,0,0,250800,0,49526.1328125
1685049526082086400,0,0,251200,0,49526.140625
1685049526082093100,0,0,250560,0,49526.15234375
1685049526082096200,0,0,250480,0,49526.16015625
1685049526082340200,0,0,250840,0,49526.171875
1685049526129862900,0,0,250960,0,49526.1796875
1685049526129870000,0,0,250320,0,49526.19140625
1685049526129880500,0,0,253120,0,49526.19921875
1685049526129885700,0,0,248080,0,49526.2109375
1685049526129904100,0,0,248560,0,49526.22265625
1685049526182498300,0,0,251120,0,49526.23046875
1685049526182811000,0,0,249680,0,49526.2421875
1685049526182831700,0,0,250080,0,49526.25
1685049526182849500,0,0,249360,0,49526.26171875
1685049526182871900,0,0,250720,0,49526.26953125
1685049526229193000,0,0,249440,0,49526.28125
1685049526229509500,0,0,250640,0,49526.2890625
1685049526229530000,0,0,249920,0,49526.30078125
1685049526229544600,0,0,250240,0,49526.3125
1685049526229646400,0,0,250880,0,49526.3203125
1685049526275934800,0,0,252560,0,49526.33203125
1685049526275972400,0,0,248240,0,49526.33984375
1685049526276291800,0,0,250520,0,49526.3515625
1685049526276325700,0,0,250480,0,49526.359375
1685049526276351500,0,0,250080,0,49526.37109375
1685049526323181900,0,0,250320,0,49526.3828125
1685049526323223600,0,0,250080,0,49526.390625
1685049526323241700,0,0,250480,0,49526.40234375
1685049526323266600,0,0,249920,0,49526.41015625
1685049526372162900,0,0,251280,0,49526.421875
1685049526372187600,0,0,249600,0,49526.4296875
1685049526372193900,0,0,250800,0,49526.44140625
1685049526372237300,0,0,250880,0,49526.44921875
1685049526372258700,0,0,253200,0,49526.4609375
1685049526419576900,0,0,249120,0,49526.47265625
1685049526419857100,0,0,248320,0,49526.48046875
1685049526419867400,0,0,232880,0,49526.4921875
1685049526419898000,0,0,250960,0,49526.5
1685049526419900900,0,0,247360,0,49526.51171875
1685049526484713800,0,0,250240,0,49526.51953125
1685049526484729700,0,0,250920,0,49526.53125
1685049526484758600,0,0,250320,0,49526.5390625
1685049526484764000,0,0,249280,0,49526.55078125
1685049526484974400,0,0,249840,0,49526.5625
1685049526485015200,0,0,249760,0,49526.5703125
1685049526534538900,0,0,249600,0,49526.58203125
1685049526534567500,0,0,252560,0,49526.58984375
1685049526534683200,0,0,252440,0,49526.6015625
1685049526534728000,0,0,252800,0,49526.609375
1685049526534765800,0,0,251320,0,49526.62109375
1685049526584147000,0,0,249440,0,49526.6328125
1685049526584167100,0,0,250120,0,49526.640625
1685049526584173000,0,0,251520,0,49526.65234375
1685049526584304900,0,0,249440,0,49526.66015625
1685049526584316800,0,0,250240,0,49526.671875
1685049526631675600,0,0,250960,0,49526.6796875
1685049526631679700,0,0,250880,0,49526.69140625
1685049526631890000,0,0,250240,0,49526.69921875
1685049526631936100,0,0,250040,0,49526.7109375
1685049526631946600,0,0,251920,0,49526.72265625
1685049526679233500,0,0,247760,0,49526.73046875
1685049526679259000,0,0,250760,0,49526.7421875
1685049526679274800,0,0,249920,0,49526.75
1685049526679282800,0,0,250000,0,49526.76171875
1685049526679385600,0,0,250240,0,49526.76953125
1685049526726103100,0,0,249760,0,49526.78125
1685049526726144200,0,0,250520,0,49526.7890625
1685049526726154500,0,0,250320,0,49526.80078125
1685049526726255000,0,0,250160,0,49526.8125
1685049526726278900,0,0,250200,0,49526.8203125
1685049526780149600,0,0,242400,0,49526.83203125
1685049526780185700,0,0,249760,0,49526.83984375
1685049526780205100,0,0,249680,0,49526.8515625
1685049526780214100,0,0,249680,0,49526.859375
1685049526830250800,0,0,250880,0,49526.87109375
1685049526830287800,0,0,250240,0,49526.8828125
1685049526830299600,0,0,251040,0,49526.890625
1685049526830305900,0,0,250000,0,49526.90234375
1685049526830315000,0,0,250480,0,49526.91015625
1685049526830362900,0,0,250400,0,49526.921875
1685049526883833000,0,0,243800,0,49526.9296875
1685049526883887600,0,0,243920,0,49526.953125
1685049526883896700,0,0,237720,0,49526.96484375
1685049526883921900,0,0,250240,0,49526.97265625
1685049526932605000,0,0,250480,0,49526.984375
1685049526932710400,0,0,249680,0,49526.9921875
1685049526932719100,0,0,250480,0,49527.00390625
1685049526932906200,0,0,250880,0,49527.015625
1685049526932956900,0,0,252960,0,49527.0234375
1685049526985233600,0,0,247840,0,49527.03515625
1685049526985278100,0,0,250480,0,49527.04296875
1685049526985359100,0,0,249840,0,49527.0546875
1685049526985390800,0,0,239280,0,49527.0625
1685049526985398600,0,0,250800,0,49527.07421875
1685049527034723300,0,0,250160,0,49527.0859375
1685049527034766800,0,0,250040,0,49527.09375
1685049527034812600,0,0,250600,0,49527.10546875
1685049527034831300,0,0,249440,0,49527.11328125
1685049527035083500,0,0,250000,0,49527.125
1685049527085816400,0,0,251360,0,49527.1328125
1685049527085820000,0,0,249641,0,49527.14453125
1685049527085890100,0,0,252080,0,49527.15234375
1685049527085907600,0,0,249680,0,49527.1640625
1685049527086042900,0,0,249920,0,49527.17578125
1685049527134383700,0,0,250000,0,49527.18359375
1685049527134651700,0,0,250960,0,49527.1953125
1685049527134675300,0,0,249600,0,49527.203125
1685049527134683200,0,0,250160,0,49527.21484375
1685049527134716200,0,0,250800,0,49527.22265625
