Time,X,Y,Z,W
0,0.015862,0.003698,-0.057584,-0.998208
0.01,,,,
0.02,,,,
0.03,,,,
0.04,,,,
0.05,0.015896,0.003583,-0.057606,-0.998206
0.06,0.01587,0.003592,-0.057638,-0.998205
0.07,0.01594,0.003559,-0.05764,-0.998204
0.08,0.015925,0.00353,-0.057644,-0.998204
0.09,0.015925,0.003574,-0.057636,-0.998204
0.1,0.015809,0.003576,-0.057649,-0.998205
0.11,0.01589,0.003519,-0.057646,-0.998204
0.12,,,,
0.13,0.015919,0.003576,-0.057665,-0.998203
0.14,0.015938,0.003599,-0.057646,-0.998203
0.15,0.01597,0.003577,-0.057647,-0.998203
0.16,0.016059,0.00358,-0.057752,-0.998195
0.17,0.015808,0.003619,-0.057678,-0.998204
0.18,0.015864,0.003598,-0.057679,-0.998203
0.19,0.015832,0.003623,-0.057668,-0.998204
0.2,0.015718,0.003645,-0.057668,-0.998205
0.21,0.015739,0.003626,-0.05764,-0.998207
0.22,0.01574,0.003614,-0.057651,-0.998206
0.23,0.01599,0.003608,-0.057761,-0.998196
0.24,0.015825,0.0036,-0.057645,-0.998205
0.25,0.01574,0.003652,-0.057643,-0.998206
0.26,0.015786,0.003581,-0.057628,-0.998207
0.27,0.015845,0.003663,-0.057617,-0.998206
0.28,0.015888,0.003634,-0.057648,-0.998204
0.29,0.015924,0.003626,-0.057664,-0.998203
0.3,0.015886,0.003568,-0.057658,-0.998204
0.31,0.015961,0.003565,-0.057666,-0.998202
0.32,,,,
0.33,0.015979,0.003589,-0.057667,-0.998202
0.34,0.016519,0.003311,-0.05801,-0.998174
0.35,0.016547,0.0032,-0.05801,-0.998174
0.36,0.01658,0.003205,-0.058019,-0.998173
0.37,0.016296,0.003883,-0.057809,-0.998187
0.38,0.015992,0.003586,-0.057688,-0.9982
0.39,0.015935,0.003581,-0.057672,-0.998202
0.4,0.015804,0.003534,-0.057685,-0.998204
0.41,0.015931,0.003589,-0.057689,-0.998201
0.42,0.015862,0.003648,-0.057654,-0.998204
0.43,0.015787,0.003605,-0.057646,-0.998206
0.44,0.015832,0.003629,-0.057647,-0.998205
0.45,0.015842,0.003639,-0.057628,-0.998206
0.46,0.015771,0.003649,-0.057637,-0.998206
0.47,0.015744,0.003598,-0.057638,-0.998207
0.48,0.015773,0.0036,-0.057647,-0.998206
0.49,0.015717,0.00362,-0.05765,-0.998207
0.5,0.015753,0.003616,-0.057682,-0.998204
0.51,0.015802,0.003604,-0.057669,-0.998204
0.52,0.015861,0.003642,-0.057664,-0.998203
0.53,0.015853,0.003641,-0.057656,-0.998204
0.54,0.015842,0.003573,-0.057657,-0.998204
0.55,0.016071,0.00355,-0.057771,-0.998194
0.56,0.01586,0.003528,-0.057681,-0.998203
0.57,0.015892,0.003517,-0.057676,-0.998203
0.58,0.01595,0.003529,-0.057706,-0.9982
0.59,0.015909,0.00355,-0.057691,-0.998201
0.6,0.016098,0.00355,-0.057795,-0.998192
0.61,0.015952,0.003564,-0.05768,-0.998201
0.62,0.016045,0.00352,-0.057634,-0.998203
0.63,0.016456,0.003169,-0.057983,-0.998177
0.64,0.015841,0.003583,-0.05766,-0.998204
0.65,0.015819,0.003582,-0.057651,-0.998205
0.66,0.015918,0.00351,-0.057587,-0.998207
0.67,0.016015,0.003552,-0.057771,-0.998195
0.68,0.015924,0.003545,-0.057612,-0.998206
0.69,0.015915,0.003544,-0.057572,-0.998208
0.7,0.015873,0.003682,-0.057659,-0.998203
0.71,0.015911,0.003596,-0.057643,-0.998204
0.72,0.015871,0.003564,-0.057674,-0.998203
0.73,0.016447,0.003208,-0.057987,-0.998177
0.74,0.015917,0.003606,-0.057655,-0.998203
0.75,0.016298,0.003847,-0.057873,-0.998184
0.76,0.015894,0.003589,-0.057643,-0.998204
0.77,0.015868,0.003502,-0.057637,-0.998205
0.78,0.015914,0.003541,-0.057668,-0.998203
0.79,0.015872,0.003607,-0.057674,-0.998203
0.8,0.015903,0.003576,-0.057635,-0.998205
0.81,0.015754,0.003561,-0.05769,-0.998204
0.82,0.015663,0.003576,-0.057701,-0.998205
0.83,0.015846,0.003504,-0.057706,-0.998202
0.84,0.015844,0.003534,-0.05764,-0.998205
0.85,0.015684,0.003621,-0.057657,-0.998207
0.86,0.015665,0.0036,-0.057633,-0.998208
