%time,field.curr_pos1,field.curr_pos2,field.toff,field.motor_fail,field.t
1684875388093456100,233,241,250880,0,75388.4375
1684875388093475000,233,241,250880,0,75388.453125
1684875388093517000,233,241,250600,0,75388.4609375
1684875388093519900,233,241,250960,0,75388.46875
1684875388093539500,233,241,250560,0,75388.4765625
1684875388146541600,233,241,250800,0,75388.4921875
1684875388146579400,233,241,249960,0,75388.5
1684875388146612600,233,241,250640,0,75388.5078125
1684875388146640100,233,241,250960,0,75388.5234375
1684875388146924500,233,241,253760,0,75388.53125
1684875388196414100,233,241,240720,0,75388.5390625
1684875388196452900,233,241,249480,0,75388.546875
1684875388196459300,233,241,249680,0,75388.5625
1684875388196487600,233,241,249360,0,75388.5703125
1684875388196507000,233,241,247440,0,75388.578125
1684875388246093200,233,241,249120,0,75388.59375
1684875388246112300,233,241,251281,0,75388.6015625
1684875388246125700,233,241,250560,0,75388.609375
1684875388246135300,233,241,250880,0,75388.6171875
1684875388246140300,233,241,249920,0,75388.6328125
1684875388246183800,233,241,249280,0,75388.640625
1684875388294467300,233,241,249840,0,75388.6484375
1684875388294491700,233,241,253680,0,75388.65625
1684875388294497700,233,241,247040,0,75388.671875
1684875388294503800,233,241,249360,0,75388.6796875
1684875388294588300,233,241,250520,0,75388.6875
1684875388343220200,233,241,249360,0,75388.703125
1684875388343235100,233,241,249880,0,75388.7109375
1684875388343274600,233,241,250000,0,75388.71875
1684875388343465900,233,241,249680,0,75388.7265625
1684875388343557000,233,241,250240,0,75388.7421875
1684875388394631600,233,241,250240,0,75388.75
1684875388394657100,233,241,249520,0,75388.7578125
1684875388394703200,233,241,249920,0,75388.7734375
1684875388394910100,233,241,250360,0,75388.78125
1684875388394941300,233,241,252600,0,75388.7890625
1684875388441446400,233,241,247520,0,75388.796875
1684875388441487400,233,241,249920,0,75388.8125
1684875388441499100,233,241,265520,0,75388.8203125
1684875388441505400,233,241,249680,0,75388.828125
1684875388488879400,233,241,251200,0,75388.84375
1684875388489492500,233,241,249040,0,75388.8515625
1684875388489641400,233,241,248880,0,75388.859375
1684875388489796700,233,241,250200,0,75388.8671875
1684875388489832200,233,241,249280,0,75388.8828125
1684875388536633500,233,241,250480,0,75388.890625
1684875388536692600,233,241,249040,0,75388.8984375
1684875388536708700,233,241,249920,0,75388.90625
1684875388537177100,233,241,249400,0,75388.921875
1684875388537241400,233,241,248320,0,75388.9296875
1684875388584681700,233,241,245760,0,75388.9375
1684875388584701300,233,241,251280,0,75388.953125
1684875388584723100,233,241,248880,0,75388.9609375
1684875388584771800,233,241,250000,0,75388.96875
1684875388584803900,233,241,250480,0,75388.9765625
1684875388631637500,233,241,250960,0,75388.9921875
1684875388631651400,233,241,249360,0,75389.0
1684875388631663500,233,241,249400,0,75389.0078125
1684875388631673500,233,241,247920,0,75389.0234375
1684875388679489300,233,241,249840,0,75389.03125
1684875388679515300,233,241,250480,0,75389.0390625
1684875388679522900,233,241,260880,0,75389.046875
1684875388679535000,233,241,200560,0,75389.0625
1684875388679593800,233,241,249720,0,75389.0703125
1684875388727058400,233,241,250000,0,75389.078125
1684875388727082900,233,241,249920,0,75389.09375
1684875388727092900,233,241,250400,0,75389.1015625
1684875388727105300,233,241,249200,0,75389.109375
1684875388727146500,233,241,253360,0,75389.1171875
1684875388777122900,233,241,248320,0,75389.1328125
1684875388777144500,233,241,250320,0,75389.140625
1684875388777172200,233,241,249800,0,75389.1484375
1684875388777316700,233,241,251960,0,75389.15625
1684875388777332800,233,241,249360,0,75389.171875
1684875388826031600,233,241,252960,0,75389.1796875
1684875388826065900,233,241,247520,0,75389.1875
1684875388826167800,233,241,249440,0,75389.203125
1684875388826190400,233,241,250000,0,75389.2109375
1684875388826339900,233,241,251320,0,75389.21875
1684875388873858100,233,241,240480,0,75389.2265625
1684875388873915500,233,241,249880,0,75389.2421875
1684875388873931200,233,241,249760,0,75389.25
1684875388874037500,233,241,252240,0,75389.2578125
1684875388874236500,233,241,249760,0,75389.2734375
1684875388922326700,233,241,250080,0,75389.28125
1684875388922449100,233,241,234000,0,75389.2890625
1684875388922503800,233,241,250320,0,75389.296875
1684875388922531400,233,241,252720,0,75389.3125
1684875388922627100,233,241,247040,0,75389.3203125
1684875388969959900,233,241,256000,0,75389.328125
1684875388969975300,233,241,249760,0,75389.34375
1684875388970066800,233,241,250240,0,75389.3515625
1684875388970082800,233,241,249360,0,75389.359375
1684875389018428700,233,241,248960,0,75389.3671875
1684875389018446700,233,241,249480,0,75389.3828125
1684875389018458800,233,241,249760,0,75389.390625
1684875389018462900,233,241,250320,0,75389.3984375
1684875389018534600,233,241,249280,0,75389.40625
1684875389066033400,233,241,250560,0,75389.421875
1684875389066051700,233,241,251120,0,75389.4296875
1684875389066078400,233,241,252560,0,75389.4375
1684875389066089900,233,241,247360,0,75389.453125
1684875389066128000,233,241,249040,0,75389.4609375
1684875389118662700,233,241,250360,0,75389.46875
1684875389118682500,233,241,249760,0,75389.4765625
1684875389118792000,233,241,249680,0,75389.4921875
1684875389118977700,233,241,250400,0,75389.5
1684875389119060100,233,241,249200,0,75389.5078125
1684875389171380900,233,241,239600,0,75389.5234375
1684875389171451600,233,241,249040,0,75389.53125
1684875389171467100,233,241,248560,0,75389.5390625
1684875389171624600,233,241,249760,0,75389.546875
1684875389171760300,233,241,247600,0,75389.5625
1684875389220148800,233,241,253600,0,75389.5703125
1684875389220194000,233,241,247280,0,75389.578125
1684875389220434800,233,241,249600,0,75389.59375
1684875389220463300,233,241,250240,0,75389.6015625
1684875389220829400,233,241,249960,0,75389.609375
1684875389269765600,233,241,250240,0,75389.6171875
1684875389269787700,233,241,250240,0,75389.6328125
1684875389269800300,233,241,249120,0,75389.640625
1684875389269810000,233,241,249440,0,75389.6484375
1684875389269896700,233,241,252880,0,75389.65625
1684875389318050400,233,241,250160,0,75389.671875
1684875389318061800,233,241,250480,0,75389.6796875
1684875389318150100,233,241,249360,0,75389.6875
1684875389318161500,233,241,252440,0,75389.703125
1684875389318248900,233,241,248160,0,75389.7109375
1684875389366409600,233,241,249520,0,75389.71875
1684875389366443700,233,241,249280,0,75389.7265625
1684875389366466500,233,241,250320,0,75389.7421875
1684875389366479000,233,241,249840,0,75389.75
1684875389366650500,233,241,246640,0,75389.7578125
1684875389414134100,233,241,250000,0,75389.7734375
1684875389414202400,233,241,249520,0,75389.78125
1684875389414218500,233,241,249720,0,75389.7890625
1684875389414588800,233,241,250240,0,75389.796875
1684875389414738800,233,241,249600,0,75389.8125
1684875389463302400,233,241,249840,0,75389.8203125
1684875389463326000,233,241,253280,0,75389.828125
1684875389463353000,233,241,248080,0,75389.84375
1684875389463364200,233,241,249440,0,75389.8515625
1684875389463518700,233,241,249440,0,75389.859375
1684875389512639100,233,241,249680,0,75389.8671875
1684875389512694800,233,241,250640,0,75389.8828125
1684875389512717900,233,241,249440,0,75389.890625
1684875389512809300,233,241,249880,0,75389.8984375
1684875389512882500,233,241,250720,0,75389.90625
1684875389560119700,233,241,249200,0,75389.921875
1684875389560146300,233,241,249960,0,75389.9296875
1684875389560151800,233,241,250320,0,75389.9375
1684875389560239600,233,241,249360,0,75389.953125
1684875389609121800,233,241,252880,0,75389.9609375
1684875389609203900,233,241,241680,0,75389.96875
1684875389609231400,233,241,250240,0,75389.9765625
1684875389609504000,233,241,247440,0,75389.9921875
1684875389609555600,233,241,250160,0,75390.0
1684875389657207800,233,241,249200,0,75390.0078125
1684875389657227900,233,241,249400,0,75390.0234375
1684875389657233200,233,241,249760,0,75390.03125
1684875389657245300,233,241,250320,0,75390.0390625
1684875389657292100,233,241,249360,0,75390.046875
1684875389705245800,233,241,249360,0,75390.0625
1684875389705273600,233,241,254520,0,75390.0703125
1684875389705291500,233,241,253840,0,75390.078125
1684875389705335600,233,241,253680,0,75390.09375
1684875389705403000,233,241,242800,0,75390.1015625
1684875389758517200,233,241,250000,0,75390.109375
1684875389758523700,233,241,249520,0,75390.1171875
1684875389758527800,233,241,250000,0,75390.1328125
1684875389758573700,233,241,251120,0,75390.140625
1684875389758580100,233,241,250240,0,75390.1484375
1684875389808721800,233,241,251000,0,75390.15625
1684875389808755500,233,241,249840,0,75390.171875
1684875389808763200,233,241,250400,0,75390.1796875
1684875389808770200,233,241,251360,0,75390.1875
1684875389808896500,233,241,250240,0,75390.203125
1684875389856258900,233,241,249520,0,75390.2109375
1684875389856325300,233,241,252081,0,75390.21875
1684875389856601300,233,241,247520,0,75390.2265625
1684875389856631900,233,241,250440,0,75390.2421875
1684875389856725700,233,241,249640,0,75390.25
1684875389905746500,233,241,251040,0,75390.2578125
1684875389905801700,233,241,250080,0,75390.2734375
1684875389906020800,233,241,250320,0,75390.28125
1684875389906048600,233,241,251120,0,75390.2890625
1684875389906587500,233,241,250240,0,75390.296875
1684875389954488900,233,241,250879,0,75390.3125
1684875389954513600,233,241,249800,0,75390.3203125
1684875389954533000,233,241,250320,0,75390.328125
1684875389954540900,233,241,250600,0,75390.34375
1684875389954545500,233,241,252640,0,75390.3515625
1684875390001850100,233,241,247600,0,75390.359375
1684875390001871600,233,241,250280,0,75390.3671875
1684875390001894800,233,241,248320,0,75390.3828125
1684875390001906400,233,241,249840,0,75390.390625
1684875390001945300,233,241,250560,0,75390.3984375
1684875390048723600,233,241,250800,0,75390.40625
1684875390048905800,233,241,251440,0,75390.421875
1684875390048915300,233,241,251520,0,75390.4296875
1684875390049041700,233,241,250000,0,75390.4375
1684875390094819700,233,241,251360,0,75390.453125
1684875390094842600,233,241,250640,0,75390.4609375
1684875390094846900,233,241,250080,0,75390.46875
1684875390094883300,233,241,253560,0,75390.4765625
1684875390094916300,233,241,248960,0,75390.4921875
1684875390145569400,233,241,250000,0,75390.5
1684875390145623100,233,241,250960,0,75390.5078125
1684875390145823800,233,241,249520,0,75390.5234375
1684875390145972300,233,241,250480,0,75390.53125
1684875390146068500,233,241,250880,0,75390.5390625
1684875390201505900,233,241,250560,0,75390.546875
1684875390201715900,233,241,250800,0,75390.5625
1684875390201833500,233,241,249320,0,75390.5703125
1684875390201877300,233,241,249840,0,75390.578125
1684875390201900600,233,241,250960,0,75390.59375
1684875390249845400,233,241,250480,0,75390.6015625
1684875390249888500,233,241,253280,0,75390.609375
1684875390249897100,233,241,247280,0,75390.6171875
1684875390249902700,233,241,249680,0,75390.6328125
1684875390250316100,233,241,250760,0,75390.640625
1684875390298979800,233,241,251600,0,75390.6484375
1684875390299000400,233,241,250640,0,75390.65625
1684875390299006100,233,241,250080,0,75390.671875
1684875390299044200,233,241,250720,0,75390.6796875
1684875390299095500,233,241,250800,0,75390.6875
1684875390349570300,233,241,250960,0,75390.703125
1684875390349594500,233,241,250760,0,75390.7109375
1684875390349599800,233,241,250000,0,75390.71875
1684875390349643900,233,241,250320,0,75390.7265625
1684875390349833800,233,241,254080,0,75390.7421875
1684875390399544900,233,241,248799,0,75390.75
1684875390399573200,233,241,250320,0,75390.7578125
1684875390399580400,233,241,249760,0,75390.7734375
1684875390399779000,233,241,250560,0,75390.78125
1684875390399808900,233,241,251040,0,75390.7890625
1684875390449232900,233,241,249320,0,75390.796875
1684875390449290000,233,241,250720,0,75390.8125
1684875390449356100,233,241,250960,0,75390.8203125
1684875390449444400,233,241,249840,0,75390.828125
1684875390449455900,233,241,250400,0,75390.84375
1684875390501083600,233,241,250720,0,75390.8515625
1684875390501141200,233,241,250080,0,75390.859375
1684875390501157400,233,241,252960,0,75390.8671875
1684875390501323000,233,241,248480,0,75390.8828125
1684875390501334000,233,241,249520,0,75390.890625
1684875390551370200,233,241,249760,0,75390.8984375
1684875390551436200,233,241,250240,0,75390.90625
1684875390551451100,233,241,250800,0,75390.921875
1684875390551954400,233,241,250160,0,75390.9296875
1684875390552023300,233,241,250400,0,75390.9375
1684875390603215000,233,241,250400,0,75390.953125
1684875390603287500,233,241,250640,0,75390.9609375
1684875390603309500,233,241,251200,0,75390.96875
1684875390603741400,233,241,249840,0,75390.9765625
1684875390603804700,233,241,251120,0,75390.9921875
1684875390653979400,233,241,253920,0,75391.0
1684875390654085900,233,241,248320,0,75391.0078125
1684875390654106700,233,241,249520,0,75391.0234375
1684875390654537000,233,241,250200,0,75391.03125
1684875390654594100,233,241,251040,0,75391.0390625
1684875390706381500,233,241,249280,0,75391.046875
1684875390706453500,233,241,250240,0,75391.0625
1684875390706471200,233,241,251280,0,75391.0703125
1684875390706486900,233,241,247760,0,75391.078125
1684875390706500800,233,241,250640,0,75391.09375
1684875390706793100,233,241,250800,0,75391.1015625
1684875390756177200,233,241,251280,0,75391.109375
1684875390756270300,233,241,249960,0,75391.1171875
1684875390756336500,233,241,253040,0,75391.1328125
1684875390756620800,233,241,249000,0,75391.140625
1684875390756979600,233,241,249360,0,75391.1484375
