Time,Z,X,Y
0,15.076311,6.205047,-0.587315
0.01,,,
0.02,,,
0.03,,,
0.04,15.077437,6.20351,-0.580477
0.05,15.074298,6.205038,-0.586852
0.06,15.07934,6.2071,-0.583743
0.07,15.084072,6.210728,-0.57997
0.08,15.087263,6.204488,-0.580118
0.09,15.083909,6.201643,-0.579758
0.1,15.078951,6.199279,-0.584524
0.11,15.079826,6.198727,-0.582442
0.12,15.081595,6.195393,-0.586952
0.13,15.087577,6.208395,-0.586861
0.14,15.090544,6.206376,-0.582407
0.15,15.086205,6.205386,-0.580507
0.16,,,
0.17,,,
0.18,15.085588,6.221712,-0.579208
0.19,15.08426,6.227634,-0.57374
0.2,15.084826,6.227499,-0.575836
0.21,15.082321,6.225661,-0.577644
0.22,,,
0.23,15.085161,6.226624,-0.578622
0.24,15.085001,6.215034,-0.580473
0.25,15.086548,6.218344,-0.583929
0.26,15.087617,6.222456,-0.580608
0.27,15.089292,6.214447,-0.581442
0.28,15.083558,6.209195,-0.580504
0.29,15.084226,6.206712,-0.581782
0.3,15.08503,6.209332,-0.57993
0.31,15.082643,6.218246,-0.58237
0.32,15.083404,6.212425,-0.580623
0.33,15.092238,6.22871,-0.597177
0.34,15.08386,6.2147,-0.583091
0.35,15.081165,6.217065,-0.586629
0.36,15.085017,6.233978,-0.586377
0.37,15.076383,6.211661,-0.580424
0.38,15.084081,6.209994,-0.583645
0.39,15.089821,6.229736,-0.59165
0.4,15.091812,6.217122,-0.587711
0.41,15.090948,6.225441,-0.582854
0.42,15.092867,6.227985,-0.585196
0.43,15.083563,6.214653,-0.570135
0.44,15.089533,6.222628,-0.586674
0.45,15.083366,6.202892,-0.573397
0.46,15.082206,6.210488,-0.574747
0.47,15.091741,6.221869,-0.581572
0.48,15.087772,6.217678,-0.58492
0.49,15.082878,6.210206,-0.573805
0.5,15.080848,6.197937,-0.5776
0.51,15.091953,6.215349,-0.594535
0.52,15.083254,6.213064,-0.569042
0.53,15.08474,6.205318,-0.583029
0.54,15.088352,6.212804,-0.582273
0.55,15.088788,6.220384,-0.58045
0.56,15.084349,6.215778,-0.582637
0.57,15.092002,6.224109,-0.600743
0.58,15.089133,6.213898,-0.588044
0.59,15.091469,6.217149,-0.582704
0.6,15.090577,6.221889,-0.587087
0.61,15.091843,6.213012,-0.595409
0.62,15.090665,6.215011,-0.592314
0.63,15.079784,6.200844,-0.609028
0.64,15.089652,6.210905,-0.594987
0.65,15.095407,6.205849,-0.590922
0.66,15.095939,6.232532,-0.601685
0.67,15.090383,6.217336,-0.592219
0.68,15.097763,6.233707,-0.598849
0.69,15.0917,6.21033,-0.588257
0.7,15.094072,6.227967,-0.599597
0.71,15.092287,6.219725,-0.598357
0.72,15.082938,6.212381,-0.585101
0.73,15.079593,6.191556,-0.604343
0.74,15.083355,6.203389,-0.588009
0.75,15.086291,6.204902,-0.586302
0.76,15.091351,6.216388,-0.589038
0.77,15.077426,6.207977,-0.570957
0.78,15.078126,6.2069,-0.574519
0.79,15.076118,6.197976,-0.569836
0.8,15.077802,6.20673,-0.573614
0.81,15.082718,6.205416,-0.573861
0.82,15.082088,6.206407,-0.576652
0.83,15.082111,6.197676,-0.578155
0.84,15.076884,6.199095,-0.578485
0.85,15.080066,6.201345,-0.579965
0.86,15.081372,6.198114,-0.582311
0.87,15.081409,6.201306,-0.579769
0.88,15.078223,6.204151,-0.576846
0.89,15.07939,6.204914,-0.579199
0.9,15.082627,6.205276,-0.586046
0.91,15.081937,6.205702,-0.584777
0.92,15.086228,6.204997,-0.579932
0.93,15.083098,6.207149,-0.578257
0.94,15.08399,6.220735,-0.57861
0.95,15.085972,6.214636,-0.581669
0.96,15.088998,6.221663,-0.577148
0.97,15.091561,6.216687,-0.581584
0.98,15.087708,6.214549,-0.580558
0.99,15.087691,6.217161,-0.582324
1,15.086433,6.218193,-0.590084
1.01,15.08711,6.213211,-0.583086
1.02,15.080727,6.199011,-0.587406
1.03,15.085116,6.204383,-0.579163
1.04,15.085516,6.20626,-0.581592
1.05,15.08485,6.198701,-0.581579
1.06,15.088706,6.208392,-0.582483
1.07,15.091179,6.209604,-0.579737
