Time,X,Y,Z,W
0,-0.054326,-0.002027,-0.130717,-0.989928
0.01,,,,
0.02,,,,
0.03,,,,
0.04,-0.054305,-0.002084,-0.130731,-0.989927
0.05,-0.054325,-0.00203,-0.1307,-0.98993
0.06,-0.054339,-0.002061,-0.130745,-0.989924
0.07,-0.054366,-0.0021,-0.130787,-0.989917
0.08,-0.054312,-0.002093,-0.130816,-0.989916
0.09,-0.054288,-0.002092,-0.130787,-0.989921
0.1,-0.054273,-0.002045,-0.130742,-0.989928
0.11,-0.054266,-0.002063,-0.130751,-0.989927
0.12,-0.054242,-0.002021,-0.130764,-0.989927
0.13,-0.054354,-0.00204,-0.130815,-0.989914
0.14,-0.054331,-0.002077,-0.130843,-0.989911
0.15,-0.054321,-0.00209,-0.130806,-0.989917
0.16,,,,
0.17,,,,
0.18,-0.05446,-0.00212,-0.1308,-0.98991
0.19,-0.054505,-0.002173,-0.13079,-0.989908
0.2,-0.054506,-0.002155,-0.130794,-0.989908
0.21,-0.054493,-0.002137,-0.130772,-0.989911
0.22,,,,
0.23,-0.054502,-0.002131,-0.130796,-0.989908
0.24,-0.054404,-0.002101,-0.130795,-0.989913
0.25,-0.054437,-0.002076,-0.130806,-0.98991
0.26,-0.054468,-0.00211,-0.130816,-0.989907
0.27,-0.0544,-0.002094,-0.130831,-0.989909
0.28,-0.054354,-0.002094,-0.130783,-0.989918
0.29,-0.054334,-0.00208,-0.130788,-0.989918
0.3,-0.054354,-0.002099,-0.130796,-0.989916
0.31,-0.054434,-0.002087,-0.130773,-0.989915
0.32,-0.054382,-0.002096,-0.130781,-0.989916
0.33,-0.054541,-0.001976,-0.130848,-0.989899
0.34,-0.054404,-0.002078,-0.130784,-0.989915
0.35,-0.054429,-0.002049,-0.130758,-0.989917
0.36,-0.054574,-0.002072,-0.13079,-0.989905
0.37,-0.054375,-0.002094,-0.130721,-0.989925
0.38,-0.054364,-0.002068,-0.130786,-0.989917
0.39,-0.054544,-0.002024,-0.130829,-0.989901
0.4,-0.05443,-0.002044,-0.13085,-0.989905
0.41,-0.054497,-0.002095,-0.130844,-0.989902
0.42,-0.054521,-0.002079,-0.130859,-0.989899
0.43,-0.054389,-0.002189,-0.130787,-0.989915
0.44,-0.054477,-0.002059,-0.13083,-0.989905
0.45,-0.054291,-0.002148,-0.130785,-0.989921
0.46,-0.054358,-0.002144,-0.130774,-0.989919
0.47,-0.054464,-0.002103,-0.130852,-0.989903
0.48,-0.054432,-0.002067,-0.130816,-0.989909
0.49,-0.054355,-0.002152,-0.13078,-0.989918
0.5,-0.054253,-0.002104,-0.130762,-0.989926
0.51,-0.054423,-0.001983,-0.130848,-0.989906
0.52,-0.054374,-0.002197,-0.130785,-0.989916
0.53,-0.054323,-0.002068,-0.130792,-0.989918
0.54,-0.054387,-0.002085,-0.130823,-0.989911
0.55,-0.05445,-0.002109,-0.130827,-0.989907
0.56,-0.054413,-0.002083,-0.130788,-0.989914
0.57,-0.054505,-0.00194,-0.130845,-0.989902
0.58,-0.054403,-0.002036,-0.130827,-0.989909
0.59,-0.054425,-0.002087,-0.130849,-0.989905
0.6,-0.054471,-0.002055,-0.130839,-0.989904
0.61,-0.054403,-0.001973,-0.130847,-0.989907
0.62,-0.054417,-0.002002,-0.130838,-0.989907
0.63,-0.054314,-0.001836,-0.130738,-0.989926
0.64,-0.054385,-0.001973,-0.130828,-0.98991
0.65,-0.054336,-0.002005,-0.130881,-0.989906
0.66,-0.054579,-0.001943,-0.130877,-0.989893
0.67,-0.054437,-0.002005,-0.130835,-0.989906
0.68,-0.054586,-0.00197,-0.130894,-0.989891
0.69,-0.054372,-0.002032,-0.130849,-0.989908
0.7,-0.054537,-0.001955,-0.130863,-0.989897
0.71,-0.054465,-0.001956,-0.130849,-0.989903
0.72,-0.054386,-0.002057,-0.130775,-0.989917
0.73,-0.054229,-0.001866,-0.130739,-0.989931
0.74,-0.054312,-0.002022,-0.130778,-0.989921
0.75,-0.054323,-0.00204,-0.130804,-0.989917
0.76,-0.054425,-0.002032,-0.130845,-0.989906
0.77,-0.054332,-0.002172,-0.130735,-0.989925
