%time,field.mx,field.my,field.fz,field.t
1683919192239622500,57.0,284.0,94.08,19192.66029047966
1683919192239635900,57.0,284.0,94.08,19192.660601854324
1683919192239697300,57.0,285.0,92.12,19192.66075015068
1683919192239796900,57.0,286.0,92.12,19192.66096329689
1683919192239809800,57.0,287.0,92.12,19192.66116285324
1683919192287664400,57.0,288.0,94.08,19192.711987495422
1683919192287678300,57.0,289.0,92.12,19192.71241760254
1683919192287729200,58.0,289.0,94.08,19192.712616682053
1683919192287822400,58.0,289.0,92.12,19192.712842464447
1683919192287843000,58.0,289.0,92.12,19192.71320748329
1683919192335896600,57.0,289.0,92.12,19192.75382590294
1683919192335909900,56.0,288.0,90.16,19192.754253149033
1683919192335995300,56.0,288.0,92.12,19192.754444360733
1683919192336010400,55.0,287.0,90.16,19192.754613161087
1683919192336063400,53.0,286.0,90.16,19192.754761219025
1683919192384006000,54.0,286.0,90.16,19192.80554485321
1683919192384038600,53.0,286.0,90.16,19192.80596280098
1683919192384048600,53.0,284.0,88.2,19192.80623102188
1683919192384109100,54.0,284.0,90.16,19192.806371212006
1683919192384158900,55.0,284.0,92.12,19192.806503772736
1683919192384193800,55.0,284.0,92.12,19192.80676794052
1683919192432887300,55.0,283.0,92.12,19192.85742163658
1683919192432904700,55.0,284.0,94.08,19192.857724666595
1683919192432960500,55.0,284.0,92.12,19192.85786795616
1683919192433054800,55.0,284.0,92.12,19192.85806941986
1683919192433069700,55.0,285.0,94.08,19192.858201265335
1683919192480103300,54.0,285.0,98.0,19192.89868760109
1683919192480117400,55.0,286.0,107.8,19192.899106264114
1683919192480195000,55.0,286.0,105.84,19192.899736881256
1683919192480200400,55.0,288.0,107.8,19192.89998316765
1683919192480260900,54.0,287.0,105.84,19192.900171756744
1683919192528049500,55.0,288.0,107.8,19192.950756788254
1683919192528056300,54.0,289.0,105.84,19192.951305389404
1683919192528132800,54.0,289.0,105.84,19192.951561927795
1683919192528153200,54.0,290.0,105.84,19192.951773643494
1683919192588650900,54.0,289.0,105.84,19193.002957582474
1683919192588657800,56.0,289.0,105.84,19193.003293275833
1683919192588734100,55.0,290.0,105.84,19193.00352716446
1683919192588748200,55.0,290.0,107.8,19193.00372815132
1683919192588827700,55.0,289.0,107.8,19193.00411081314
1683919192588840100,55.0,289.0,107.8,19193.00431585312
1683919192635729100,56.0,289.0,107.8,19193.04516506195
1683919192635739000,55.0,288.0,105.84,19193.045490026474
1683919192635810600,55.0,288.0,107.8,19193.0458278656
1683919192635815000,54.0,287.0,107.8,19193.04648399353
1683919192635871900,54.0,286.0,105.84,19193.046679735184
1683919192684044000,55.0,285.0,105.84,19193.097377061844
1683919192684057600,55.0,285.0,107.8,19193.097744226456
