%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque,field.PF_cmd,field.EV_cmd,field.PF_curr,field.EV_curr,field.CPU0,field.CPU1,field.CPU2,field.CPU3,field.t,field.valid
1683919192139819400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,12.5,71.4000015258789,11.100000381469727,0.0,19192.533203125,1.0
1683919192139835900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,12.5,71.4000015258789,11.100000381469727,0.0,19192.54296875,1.0
1683919192139859700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,12.5,71.4000015258789,11.100000381469727,0.0,19192.552734375,1.0
1683919192139927100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,12.5,71.4000015258789,11.100000381469727,0.0,19192.5625,1.0
1683919192139997700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,71.4000015258789,11.100000381469727,0.0,19192.572265625,1.0
1683919192187469200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,71.4000015258789,11.100000381469727,0.0,19192.58203125,1.0
1683919192187487100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,71.4000015258789,11.100000381469727,0.0,19192.591796875,1.0
1683919192187509000,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,71.4000015258789,11.100000381469727,0.0,19192.6015625,1.0
1683919192187580800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,71.4000015258789,11.100000381469727,0.0,19192.61328125,1.0
1683919192235684900,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,71.4000015258789,11.100000381469727,0.0,19192.623046875,1.0
1683919192235702300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,71.4000015258789,11.100000381469727,0.0,19192.6328125,1.0
1683919192235738100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,71.4000015258789,11.100000381469727,0.0,19192.642578125,1.0
1683919192235849800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,71.4000015258789,11.100000381469727,0.0,19192.65234375,1.0
1683919192235862400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,20.0,71.4000015258789,11.100000381469727,0.0,19192.662109375,1.0
1683919192287440200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,30.0,66.69999694824219,0.0,0.0,19192.671875,1.0
1683919192287461300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,30.0,66.69999694824219,0.0,0.0,19192.681640625,1.0
1683919192287528200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,30.0,66.69999694824219,0.0,0.0,19192.693359375,1.0
1683919192287532100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,30.0,66.69999694824219,0.0,0.0,19192.703125,1.0
1683919192287598100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,30.0,66.69999694824219,0.0,0.0,19192.712890625,1.0
