%time,field.mx,field.my,field.fz,field.t
1685054020446038700,-13.0,15.0,-15.68,54020.49633336067
1685054020446056200,-14.0,14.0,-15.68,54020.506789922714
1685054020446060200,-14.0,14.0,-15.68,54020.51722693443
1685054020446146800,-14.0,14.0,-15.68,54020.527809381485
1685054020446229900,-14.0,15.0,-15.68,54020.53915834427
1685054020494032400,-14.0,14.0,-15.68,54020.54959607124
1685054020494050500,-14.0,14.0,-15.68,54020.56000614166
1685054020494130100,-13.0,14.0,-15.68,54020.57046318054
1685054020494136400,-14.0,15.0,-13.719999999999999,54020.58108663559
1685054020494207500,-14.0,14.0,-15.68,54020.59174871445
1685054020544646000,-14.0,15.0,-15.68,54020.602234601974
1685054020544663800,-14.0,15.0,-15.68,54020.61273241043
1685054020544676100,-14.0,14.0,-15.68,54020.623116731644
1685054020544734800,-14.0,14.0,-13.719999999999999,54020.63360238075
1685054020544745700,-14.0,15.0,-15.68,54020.6442425251
1685054020591998700,-14.0,14.0,-13.719999999999999,54020.654690265656
1685054020592012200,-14.0,14.0,-15.68,54020.665100336075
1685054020592068400,-14.0,14.0,-15.68,54020.67708015442
1685054020592079500,-14.0,14.0,-15.68,54020.68747663498
1685054020642210100,-14.0,15.0,-13.719999999999999,54020.6979033947
1685054020642223300,-14.0,14.0,-13.719999999999999,54020.708307504654
1685054020642316100,-14.0,15.0,-15.68,54020.71878480911
1685054020642329300,-14.0,15.0,-15.68,54020.72920846939
1685054020642381700,-14.0,14.0,-15.68,54020.7395966053
1685054020696367900,-13.0,14.0,-15.68,54020.74998807907
1685054020696387800,-14.0,14.0,-15.68,54020.76047348976
1685054020696468100,-13.0,15.0,-15.68,54020.77100324631
1685054020696476100,-14.0,15.0,-13.719999999999999,54020.7815015316
1685054020696544400,-14.0,14.0,-15.68,54020.79199719429
1685054020758061800,-14.0,15.0,-15.68,54020.80248403549
1685054020758087500,-14.0,14.0,-15.68,54020.8129901886
1685054020758114100,-14.0,14.0,-15.68,54020.82348513603
1685054020758205200,-14.0,14.0,-13.719999999999999,54020.83397483826
1685054020758214600,-14.0,14.0,-15.68,54020.84454536438
1685054020812671600,-13.0,14.0,-15.68,54020.85521054268
1685054020812686400,-14.0,14.0,-15.68,54020.86575460434
1685054020812690000,-13.0,14.0,-15.68,54020.8762421608
1685054020812726900,-14.0,14.0,-15.68,54020.88681650162
1685054020812730800,-14.0,14.0,-15.68,54020.89735126495
1685054020812789800,-14.0,14.0,-15.68,54020.907962322235
1685054020874359200,-15.0,14.0,-15.68,54020.919310092926
1685054020874375200,-14.0,14.0,-15.68,54020.92998456955
1685054020874414200,-14.0,15.0,-15.68,54020.94050335884
1685054020874451400,-14.0,14.0,-15.68,54020.95104789734
1685054020874474100,-14.0,15.0,-15.68,54020.96168208122
1685054020921684600,-14.0,15.0,-15.68,54020.972237825394
1685054020921699600,-14.0,14.0,-15.68,54020.9831032753
1685054020921756800,-14.0,15.0,-13.719999999999999,54020.99377202988
1685054020921764300,-14.0,14.0,-15.68,54021.00449872017
1685054020921821600,-14.0,15.0,-15.68,54021.01507282257
1685054020976373800,-13.0,15.0,-15.68,54021.02885103226
1685054020976387900,-14.0,15.0,-15.68,54021.03967809677
1685054020976447200,-13.0,14.0,-15.68,54021.05022740364
1685054020976556600,-14.0,15.0,-15.68,54021.06076550484
1685054020976573400,-14.0,15.0,-15.68,54021.07125043869
1685054021024438900,-14.0,15.0,-11.76,54021.0818529129
1685054021024453500,-14.0,15.0,-1.96,54021.09247136116
1685054021024516900,-14.0,15.0,-1.96,54021.10303759575
1685054021024534100,-14.0,14.0,-1.96,54021.1162416935
1685054021075103900,-14.0,15.0,-1.96,54021.12693452835
1685054021075118700,-15.0,14.0,-1.96,54021.137449502945
1685054021075219300,-14.0,15.0,-1.96,54021.14797115326
1685054021075232000,-14.0,15.0,-1.96,54021.15848040581
1685054021075319100,-14.0,15.0,-1.96,54021.16898727417
1685054021126785900,-14.0,14.0,-1.96,54021.17948579788
1685054021126800300,-14.0,14.0,-1.96,54021.18998646736
1685054021126858800,-14.0,14.0,0.0,54021.20048356056
1685054021126863300,-14.0,15.0,-1.96,54021.21447777748
1685054021126900600,-14.0,14.0,-1.96,54021.22500991821
1685054021177296900,-14.0,14.0,-1.96,54021.23569178581
1685054021177309800,-14.0,14.0,-1.96,54021.24626636505
1685054021177328400,-14.0,14.0,-1.96,54021.25683879852
1685054021177390500,-14.0,14.0,-1.96,54021.26747894287
1685054021177492200,-14.0,14.0,-1.96,54021.27798008919
1685054021228958300,-15.0,13.0,-1.96,54021.28844285011
1685054021228975000,-14.0,14.0,-1.96,54021.29896450043
1685054021229000700,-13.0,14.0,-1.96,54021.3116941452
1685054021229026700,-14.0,14.0,0.0,54021.32221984863
1685054021277438200,-14.0,14.0,-1.96,54021.332746982574
1685054021277473600,-14.0,14.0,-1.96,54021.343338251114
1685054021277513800,-14.0,14.0,-1.96,54021.35398077965
1685054021277523100,-14.0,14.0,-1.96,54021.36468625069
1685054021277552300,-15.0,14.0,-1.96,54021.37545990944
1685054021323635100,-14.0,14.0,-1.96,54021.38600945473
1685054021323648500,-15.0,14.0,-1.96,54021.39650774002
1685054021323720500,-14.0,13.0,-1.96,54021.408732652664
1685054021323733500,-14.0,14.0,0.0,54021.41920876503
1685054021373358100,-15.0,14.0,-1.96,54021.429730415344
1685054021373373400,-14.0,14.0,-1.96,54021.44020986557
1685054021373439500,-14.0,14.0,-1.96,54021.45078468323
1685054021373442800,-14.0,14.0,0.0,54021.4613609314
1685054021373498300,-14.0,13.0,-1.96,54021.47210979462
1685054021420525200,-14.0,14.0,0.0,54021.48275184631
1685054021420545800,-13.0,14.0,-1.96,54021.49351167679
1685054021420595400,-13.0,14.0,-1.96,54021.50651240349
1685054021420604200,-14.0,14.0,-1.96,54021.51720905304
1685054021473153700,-14.0,14.0,-1.96,54021.52771615982
1685054021473171400,-14.0,14.0,-1.96,54021.538211107254
1685054021473235400,-14.0,14.0,-1.96,54021.54870057106
1685054021473242700,-14.0,14.0,-1.96,54021.559228897095
1685054021473292800,-13.0,14.0,-1.96,54021.5697619915
1685054021522486200,-14.0,14.0,0.0,54021.580256700516
1685054021522510100,-15.0,14.0,0.0,54021.59097099304
1685054021522517000,-14.0,14.0,-1.96,54021.6035695076
