%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31,field.data32,field.data33,field.data34,field.data35,field.data36,field.data37,field.data38,field.data39,field.data40,field.data41,field.data42,field.data43,field.data44,field.data45,field.data46,field.data47,field.data48,field.data49,field.data50
1685054020488873200,0,54020.48828125,259.0,4097.0,7.633586406707764,-9.113604545593262,151.36471557617188,4098.0,4353.0,19.297693252563477,-136.30088806152344,85.52916717529297,4354.0,4609.0,-8.934028625488281,-152.8781280517578,172.27513122558594,4610.0,4865.0,-2.829148542042283e-16,-1.2108927845272117e-15,-1.113731752730039e-15,260.0,5121.0,85.18607330322266,-111.505126953125,34.712623596191406,5122.0,5377.0,10.133179664611816,-174.8567657470703,-91.31842803955078,5378.0,5633.0,-3.9467785358428955,159.61680603027344,13.613704681396484,5634.0,5889.0,1.2977592955208108e-15,-1.441021471900838e-15,-4.2420418497098186e-16,1280.0,1792.0,2.2041023367748045e-15,3.4247956101391037e-15,-4.0225819128837745e-15,1280.0,3328.0,89.99995422363281,1.218003511428833,1.2179654836654663
1685054020500399600,0,54020.5,259.0,4097.0,7.636765956878662,-9.116252899169922,151.3609161376953,4098.0,4353.0,19.30646514892578,-136.3013153076172,85.52592468261719,4354.0,4609.0,-8.93239974975586,-152.8799285888672,172.27313232421875,4610.0,4865.0,-2.146530354382877e-15,-1.8570809850977166e-15,-1.8554343530482542e-15,260.0,5121.0,85.18660736083984,-111.47235870361328,34.747642517089844,5122.0,5377.0,10.130675315856934,-174.85491943359375,-91.31980895996094,5378.0,5633.0,-3.9458210468292236,159.6175994873047,13.613077163696289,5634.0,5889.0,-2.4774009053381936e-15,-9.21708536554542e-16,-2.250832297441877e-15,1280.0,1792.0,-2.112426478585814e-15,3.346833638882634e-15,5.384537200202278e-15,1280.0,3328.0,89.99994659423828,158.01345825195312,158.01345825195312
1685054020518836900,0,54020.51953125,259.0,4097.0,7.635127067565918,-9.118602752685547,151.35931396484375,4098.0,4353.0,19.314565658569336,-136.30477905273438,85.52742004394531,4354.0,4609.0,-8.930107116699219,-152.87881469726562,172.2694549560547,4610.0,4865.0,8.969151410345797e-16,8.79788981874045e-16,-1.7697370651592213e-15,260.0,5121.0,85.18637084960938,-111.45584869384766,34.76514434814453,5122.0,5377.0,10.129473686218262,-174.8519744873047,-91.32141876220703,5378.0,5633.0,-3.9458022117614746,159.61679077148438,13.61301040649414,5634.0,5889.0,-1.5956488716693275e-16,-1.3982600723498888e-15,3.862401947448237e-16,1280.0,1792.0,6.32909476814636e-16,1.6738276304207353e-15,3.56977376939115e-16,1280.0,3328.0,89.99996948242188,-75.49568176269531,-75.49566650390625
1685054020519168000,0,54020.51953125,259.0,4097.0,7.634515762329102,-9.119643211364746,151.35769653320312,4098.0,4353.0,19.320756912231445,-136.3072052001953,85.52737426757812,4354.0,4609.0,-8.93049430847168,-152.87879943847656,172.2695770263672,4610.0,4865.0,-2.701618361531169e-15,-6.292452122848139e-16,1.1533609303211604e-15,260.0,5121.0,85.18486022949219,-111.40589904785156,34.81151580810547,5122.0,5377.0,10.133817672729492,-174.84774780273438,-91.32424926757812,5378.0,5633.0,-3.944270372390747,159.61558532714844,13.612970352172852,5634.0,5889.0,7.189258314269878e-16,-1.4196312430047068e-15,-1.871633434648019e-15,1280.0,1792.0,-3.4592577808728554e-15,1.6483297152468943e-15,-4.1964866708010286e-15,1280.0,3328.0,89.99994659423828,108.67085266113281,108.67085266113281
1685054020530586100,0,54020.53125,259.0,4097.0,7.631309509277344,-9.119986534118652,151.3582763671875,4098.0,4353.0,19.324871063232422,-136.3129425048828,85.52903747558594,4354.0,4609.0,-8.927816390991211,-152.8787078857422,172.2711181640625,4610.0,4865.0,-2.7591075464525024e-15,-1.8974958916265347e-15,-1.8062645139766157e-15,260.0,5121.0,85.18164825439453,-111.43633270263672,34.782169342041016,5122.0,5377.0,10.136877059936523,-174.84915161132812,-91.32630920410156,5378.0,5633.0,-3.9418373107910156,159.61477661132812,13.613658905029297,5634.0,5889.0,5.050882346070219e-16,-9.920339763959223e-16,2.1719136024714834e-15,1280.0,1792.0,5.933146040578785e-16,-3.0348298997944596e-15,-4.48200707776035e-15,1280.0,3328.0,89.99995422363281,-20.792266845703125,-20.792133331298828
1685054020538878600,0,54020.5390625,259.0,4097.0,7.629666328430176,-9.121906280517578,151.35484313964844,4098.0,4353.0,19.3270320892334,-136.31781005859375,85.53028106689453,4354.0,4609.0,-8.925507545471191,-152.8832550048828,172.27163696289062,4610.0,4865.0,-1.8042125766618922e-15,-2.8777431928031765e-15,-1.1390761431821902e-15,260.0,5121.0,85.17899322509766,-111.46052551269531,34.75659942626953,5122.0,5377.0,10.136197090148926,-174.8544921875,-91.32937622070312,5378.0,5633.0,-3.942755937576294,159.61639404296875,13.614416122436523,5634.0,5889.0,6.121949684521769e-16,1.869137016794224e-15,-8.686674922161553e-16,1280.0,1792.0,-2.5279355262460956e-15,1.5139034689352687e-15,-3.120153010879043e-15,1280.0,3328.0,89.99996948242188,-129.8719482421875,-129.8719940185547
1685054020548820500,0,54020.546875,259.0,4097.0,7.630417346954346,-9.124926567077637,151.35328674316406,4098.0,4353.0,19.33232307434082,-136.31895446777344,85.5338363647461,4354.0,4609.0,-8.92645263671875,-152.88377380371094,172.2703094482422,4610.0,4865.0,1.315308018242907e-15,-1.068583626091964e-15,-1.2376766015941031e-15,260.0,5121.0,85.17639923095703,-111.46725463867188,34.748844146728516,5122.0,5377.0,10.135990142822266,-174.8570556640625,-91.33134460449219,5378.0,5633.0,-3.9439408779144287,159.6182098388672,13.614191055297852,5634.0,5889.0,3.780965341163012e-15,-1.8160513444074287e-15,2.194045938108528e-15,1280.0,1792.0,-1.3327528735498462e-15,-8.75284037144073e-16,-1.0217451393285245e-15,1280.0,3328.0,89.9999771118164,39.49135208129883,39.4913330078125
1685054020568787300,0,54020.56640625,259.0,4097.0,7.626357078552246,-9.127974510192871,151.3524932861328,4098.0,4353.0,19.33310890197754,-136.3220672607422,85.53553771972656,4354.0,4609.0,-8.925732612609863,-152.883544921875,172.27320861816406,4610.0,4865.0,2.521416337167553e-15,2.692309892957318e-15,-1.4114958091836845e-15,260.0,5121.0,85.1778564453125,-111.45870971679688,34.758182525634766,5122.0,5377.0,10.136795043945312,-174.8527374267578,-91.3309097290039,5378.0,5633.0,-3.9405977725982666,159.61561584472656,13.616050720214844,5634.0,5889.0,3.3424918009345675e-16,3.507642579221067e-16,1.3171391975957524e-15,1280.0,1792.0,-1.9749238086097607e-15,3.761803338313751e-15,7.501967658272895e-17,1280.0,3328.0,89.9999771118164,-79.12747955322266,-79.12747192382812
1685054020569116800,0,54020.56640625,259.0,4097.0,7.625018119812012,-9.129694938659668,151.3527069091797,4098.0,4353.0,19.331802368164062,-136.32391357421875,85.5389633178711,4354.0,4609.0,-8.92477798461914,-152.88385009765625,172.2750244140625,4610.0,4865.0,1.1832934864903512e-15,1.8960271364959957e-15,-1.9949791135810192e-16,260.0,5121.0,85.17908477783203,-111.44981384277344,34.7656364440918,5122.0,5377.0,10.138325691223145,-174.8471221923828,-91.3308334350586,5378.0,5633.0,-3.9384024143218994,159.61126708984375,13.618322372436523,5634.0,5889.0,-1.1853128130366055e-15,5.440851021030178e-16,-3.895394833655858e-15,1280.0,1792.0,-3.6138036007806124e-16,3.0970700925169424e-16,2.783645455659749e-15,1280.0,3328.0,89.99996948242188,-86.46063995361328,-86.46063995361328
1685054020579385700,0,54020.578125,259.0,4097.0,7.623569965362549,-9.129862785339355,151.3541259765625,4098.0,4353.0,19.328372955322266,-136.32518005371094,85.54151153564453,4354.0,4609.0,-8.926204681396484,-152.88356018066406,172.2764129638672,4610.0,4865.0,1.6525358691047223e-15,-1.7481881234645983e-15,-4.838902292503581e-16,260.0,5121.0,85.18077087402344,-111.44232940673828,34.77025604248047,5122.0,5377.0,10.142704010009766,-174.84193420410156,-91.3304214477539,5378.0,5633.0,-3.936288356781006,159.60769653320312,13.619174003601074,5634.0,5889.0,2.3424526749728225e-15,2.9981883132874226e-15,-1.6672901242547082e-15,1280.0,1792.0,-2.9356192600231684e-15,-3.7294598087393195e-15,1.1015345841686956e-15,1280.0,3328.0,89.99998474121094,-85.59803009033203,-85.59798431396484
