%time,field.mx,field.my,field.fz,field.t
1685054323249331600,40.0,256.0,156.8,54323.29771924019
1685054323249350700,41.0,256.0,154.84,54323.30816292763
1685054323249430200,41.0,256.0,156.8,54323.31856775284
1685054323249436900,42.0,256.0,154.84,54323.32897186279
1685054323249500500,42.0,256.0,154.84,54323.33944988251
1685054323249556000,43.0,257.0,154.84,54323.349902391434
1685054323369310000,43.0,257.0,154.84,54323.36031103134
1685054323369321700,43.0,257.0,156.8,54323.3707947731
1685054323369347400,44.0,258.0,156.8,54323.38130354881
1685054323369427100,44.0,258.0,158.76,54323.39170432091
1685054323369457400,44.0,258.0,158.76,54323.4021127224
1685054323369545600,45.0,259.0,158.76,54323.412522792816
1685054323369556800,44.0,258.0,160.72,54323.42290234566
1685054323369639300,44.0,258.0,158.76,54323.43321657181
1685054323369667300,44.0,258.0,158.76,54323.44357728958
1685054323369676400,45.0,258.0,158.76,54323.45397090912
1685054323570312000,45.0,258.0,158.76,54323.464374542236
1685054323570390800,45.0,258.0,158.76,54323.475127220154
1685054323570404900,45.0,257.0,158.76,54323.485951423645
1685054323570511200,45.0,258.0,158.76,54323.49648332596
1685054323570531300,45.0,257.0,160.72,54323.507187604904
1685054323570537600,46.0,256.0,158.76,54323.51771044731
1685054323570545400,46.0,257.0,158.76,54323.52829122543
1685054323570554800,47.0,257.0,160.72,54323.53892445564
1685054323570593900,48.0,257.0,160.72,54323.54950928688
1685054323570599100,48.0,258.0,160.72,54323.56016254425
1685054323570676600,48.0,258.0,160.72,54323.57071638107
1685054323570714400,48.0,258.0,162.68,54323.581327438354
1685054323570755100,50.0,259.0,162.68,54323.59196090698
1685054323570801800,49.0,258.0,164.64,54323.602457761765
1685054323626550100,48.0,258.0,162.68,54323.613676548004
1685054323626571200,49.0,258.0,162.68,54323.62439537048
1685054323626592400,47.0,258.0,164.64,54323.634898900986
1685054323626629500,48.0,258.0,162.68,54323.6454474926
1685054323626634500,48.0,258.0,162.68,54323.65598869324
1685054323626739600,48.0,259.0,164.64,54323.66657090187
1685054323626775100,48.0,258.0,164.64,54323.67737746239
1685054323626785400,47.0,258.0,164.64,54323.68796348572
1685054323626800500,48.0,258.0,164.64,54323.69848036766
1685054323626877300,48.0,257.0,162.68,54323.70907139778
1685054323626883400,49.0,257.0,162.68,54323.71970248222
1685054323762850200,48.0,256.0,162.68,54323.73022580147
1685054323762863400,48.0,256.0,162.68,54323.740877866745
1685054323762874900,48.0,256.0,164.64,54323.75143456459
1685054323762883900,47.0,256.0,162.68,54323.7619407177
1685054323762941300,48.0,256.0,162.68,54323.772446632385
1685054323762945900,46.0,255.0,162.68,54323.78294420242
1685054323763010800,46.0,256.0,162.68,54323.79347753525
1685054323763022700,46.0,255.0,162.68,54323.804054021835
1685054323763089700,45.0,255.0,160.72,54323.814807891846
1685054323763125600,44.0,256.0,160.72,54323.825563430786
1685054323763149600,44.0,256.0,162.68,54323.83623600006
1685054323763158300,44.0,254.0,160.72,54323.84704589844
1685054323889694300,44.0,254.0,160.72,54323.85775089264
1685054323889797800,44.0,254.0,160.72,54323.8685772419
1685054323889810900,44.0,254.0,158.76,54323.87923288345
1685054323889885000,44.0,254.0,158.76,54323.8904030323
1685054323889890500,44.0,253.0,158.76,54323.901054382324
1685054323889964700,43.0,253.0,158.76,54323.911687374115
1685054323889980700,43.0,253.0,158.76,54323.92222213745
1685054323890023300,42.0,253.0,156.8,54323.932816028595
1685054323890098000,42.0,252.0,156.8,54323.94342756271
1685054323890108000,42.0,252.0,156.8,54323.954567193985
1685054323890133500,42.0,252.0,158.76,54323.96528673172
1685054323890210600,42.0,252.0,156.8,54323.97600078583
1685054323890279600,43.0,252.0,156.8,54323.98668694496
1685054324022593800,43.0,252.0,156.8,54323.99744486809
1685054324022609800,42.0,252.0,156.8,54324.00815010071
1685054324022651600,41.0,252.0,156.8,54324.01878809929
1685054324022698000,41.0,252.0,156.8,54324.02965903282
1685054324022795500,41.0,252.0,156.8,54324.040472745895
1685054324022809100,41.0,252.0,156.8,54324.051182985306
1685054324022892700,41.0,252.0,156.8,54324.061777830124
1685054324022897500,42.0,252.0,154.84,54324.07241630554
1685054324022982600,42.0,252.0,156.8,54324.08295249939
1685054324022995000,42.0,252.0,154.84,54324.09352517128
1685054324023069600,42.0,252.0,156.8,54324.10412287712
1685054324023076400,41.0,252.0,154.84,54324.11468958855
1685054324162312100,42.0,253.0,154.84,54324.1252746582
1685054324162319100,41.0,252.0,154.84,54324.13595676422
1685054324162415000,42.0,253.0,154.84,54324.146701574326
1685054324162454800,41.0,253.0,154.84,54324.157464027405
1685054324162519200,42.0,253.0,156.8,54324.16816830635
1685054324162551700,41.0,252.0,154.84,54324.178817510605
1685054324162580300,41.0,252.0,154.84,54324.18955564499
1685054324162583300,41.0,253.0,154.84,54324.200243234634
1685054324162669200,41.0,253.0,154.84,54324.21095204353
1685054324162672700,41.0,253.0,154.84,54324.22165560722
1685054324162740600,41.0,253.0,154.84,54324.23231124878
1685054324162772500,41.0,253.0,154.84,54324.24296236038
1685054324162779500,41.0,254.0,154.84,54324.253688097
1685054324250786600,41.0,253.0,154.84,54324.26430726051
1685054324250843900,42.0,253.0,154.84,54324.2749607563
1685054324250849000,41.0,253.0,156.8,54324.285670757294
1685054324250911600,41.0,253.0,154.84,54324.296577215195
1685054324250915200,41.0,253.0,156.8,54324.30795454979
1685054324250987200,42.0,253.0,156.8,54324.31871724129
1685054324251000900,42.0,254.0,154.84,54324.32942247391
1685054324251007700,41.0,253.0,154.84,54324.34006357193
