%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31,field.data32,field.data33,field.data34,field.data35,field.data36,field.data37,field.data38,field.data39,field.data40,field.data41,field.data42,field.data43,field.data44,field.data45,field.data46,field.data47,field.data48,field.data49
1685054323312927500,0,54323.3125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-0.0021418635733425617,-0.0017013653414323926,0.0005632573738694191,0.005627387668937445,-0.0729856789112091,0.03385923057794571,17.0,0.0049263653345406055,-0.0014267186634242535,-0.00012461085862014443,-0.05372926592826843,-0.07114563137292862,0.008180334232747555,18.0,0.000106686660728883,-3.612620639614761e-05,0.00047529806033708155,0.006081737112253904,-0.015310689806938171,0.03433806076645851,20.0,0.005110947415232658,-0.00010583161929389462,1.27464709294145e-05,0.06420427560806274,-0.17829664051532745,0.0031449415255337954,21.0,0.005794733762741089,0.0014223125763237476,-2.8784357709810138e-05,-0.03242901712656021,-0.019220173358917236,0.009828432463109493,22.0,0.0016695080557838082,-0.00023429494467563927,-3.910521263605915e-05,-0.0358949676156044,0.01807619072496891,0.006311231758445501
1685054323313396100,0,54323.3125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-0.005790946073830128,0.0004808279627468437,0.0003825945605058223,0.04607813060283661,0.1494424194097519,-0.018496587872505188,17.0,0.0011485903523862362,-0.0017853803001344204,-0.00018077358254231513,-0.0479218028485775,-0.08761142194271088,0.004640483297407627,18.0,-0.002944729756563902,-0.0004954959149472415,0.000782993680331856,-0.04055384173989296,-0.05281204730272293,0.024303404614329338,20.0,0.004099145531654358,-0.0019186645513400435,-9.487052011536434e-05,-0.022370493039488792,-0.10234463959932327,0.00262626213952899,21.0,0.005156338680535555,-0.00012541684554889798,-0.00016000635514501482,0.04916292801499367,-0.04584162309765816,-0.023065203800797462,22.0,0.0021969801746308804,-0.00048206199426203966,-0.0005434664781205356,-0.018285436555743217,-0.03430396318435669,-0.017053743824362755
1685054323322863100,0,54323.3203125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-0.006370284128934145,0.001430362812243402,-0.00021760916570201516,-0.04787599667906761,0.09997310489416122,-0.07657421380281448,17.0,0.0020959668327122927,-0.002379052573814988,-0.0008584312163293362,0.0028037067968398333,-0.14978855848312378,-0.04141392931342125,18.0,-0.0030549850780516863,-8.576140680816025e-05,-8.109329064609483e-05,-0.0417032316327095,-0.04676640406250954,-0.08063597232103348,20.0,0.0017895475029945374,0.0036594995763152838,0.00013108876009937376,-0.2919149398803711,0.49663046002388,0.04398037865757942,21.0,0.004968426190316677,-0.0009383571450598538,-8.244162745540962e-05,0.04759739339351654,-0.03021649643778801,-0.03697563707828522,22.0,0.0030702820513397455,-0.0015519801527261734,-0.0011329252738505602,-0.026090247556567192,-0.04580220580101013,-0.07411452382802963
1685054323332954600,0,54323.33203125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-0.006301441229879856,-0.0033493274822831154,0.0009685879340395331,0.07826309651136398,-0.43653857707977295,0.10665707290172577,17.0,0.003359372727572918,-0.0010723514715209603,-5.2695068006869406e-05,0.23721832036972046,0.04145596921443939,0.0945991575717926,18.0,-0.0023968329187482595,0.0003726197755895555,0.00039466196903958917,0.13263309001922607,-0.04372997581958771,0.05615828186273575,20.0,0.00044634201913140714,-2.348199996049516e-05,0.0005315302405506372,-0.08917087316513062,-0.30108997225761414,0.07901599258184433,21.0,0.0035387533716857433,0.002506101503968239,0.0003363439464010298,0.10676956176757812,-0.016151193529367447,0.07929368317127228,22.0,0.003072216873988509,-0.0009209690615534782,-0.00019528859411366284,0.05725635588169098,0.03336041420698166,0.09267289936542511
1685054323352812800,0,54323.3515625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-0.005932214204221964,-0.0001097233034670353,0.00022093980805948377,-0.15979209542274475,0.25809237360954285,-0.07259056717157364,17.0,0.003872906556352973,-0.0033110606018453836,-0.0005728185060434043,-0.12849114835262299,-0.06306701898574829,-0.028414875268936157,18.0,-0.0011533021461218596,-0.00016068173863459378,0.00038958099321462214,-0.09157998114824295,-0.09266558289527893,0.016212860122323036,20.0,0.001771746901795268,-0.0005820612423121929,0.0005171042284928262,-0.05453993007540703,-0.09254330396652222,0.04404057189822197,21.0,0.0021909410133957863,0.002723851939663291,0.0004960780497640371,-0.17801633477210999,0.02491445094347,0.02453923225402832,22.0,0.003059252630919218,-0.00022146859555505216,-0.00032668994390405715,-0.12613394856452942,-0.03320405259728432,0.0033742354717105627
1685054323353266100,0,54323.3515625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-0.005532740615308285,0.00365035654976964,0.0001964305993169546,-0.09327917546033859,0.41550230979919434,-0.007086074911057949,17.0,0.0049871536903083324,-0.006211942993104458,-0.00037082756171002984,-0.028239358216524124,0.0652269795536995,0.032636504620313644,18.0,-0.0007791418465785682,-0.0013695735251531005,0.00039677764289081097,-0.0666639506816864,0.042114198207855225,0.007934018969535828,20.0,0.002926138462498784,-0.0022222474217414856,-0.00012195340968901291,0.03161502629518509,-0.14330492913722992,-0.02878132276237011,21.0,0.0015121992910280824,0.0033783065155148506,-1.9982358935521916e-05,0.10408204793930054,0.06808705627918243,-0.003538610879331827,22.0,0.0013319492572918534,0.00032217870466411114,-0.0007961088558658957,-0.07982395589351654,0.022520648315548897,-0.03951803594827652
1685054323362907400,0,54323.36328125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-0.002706828061491251,0.0006410359055735171,0.0008000279194675386,0.11739876121282578,-0.2899697422981262,0.059649258852005005,17.0,0.006577046122401953,-0.0056245955638587475,0.00019336232799105346,-0.14042170345783234,-0.032954905182123184,0.01389119029045105,18.0,-7.673280197195709e-05,-0.0024254994932562113,0.0005883626290597022,-0.06372472643852234,-0.07055426388978958,0.02675684541463852,20.0,0.0029576807282865047,0.0018119137967005372,-9.218565537594259e-05,-0.060506753623485565,0.3534930944442749,0.02321734093129635,21.0,0.0020874403417110443,0.0002517980174161494,-3.8949707231950015e-05,-0.22054441273212433,-0.18602323532104492,-0.04022867605090141,22.0,0.0005788618582300842,-0.0007168592419475317,-0.001072778832167387,-0.06117437034845352,-0.07380159199237823,-0.03236859291791916
1685054323372789200,0,54323.37109375,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,-0.0008187094354070723,0.0006066971691325307,0.0008493252680636942,0.09437257051467896,0.05937245860695839,0.009922807104885578,17.0,0.007745454553514719,-0.005350938998162746,0.0002985214814543724,-0.031204869970679283,0.1589684784412384,0.05156296119093895,18.0,0.0005760646890848875,-0.0026515121571719646,0.0013205927098169923,-0.022799566388130188,0.06063792109489441,0.08486230671405792,20.0,0.0018494755495339632,0.0018380706897005439,0.0004443106008693576,-0.11130179464817047,0.04446636512875557,0.06759240478277206,21.0,0.0016501534264534712,-0.0007619193056598306,0.0004524156975094229,-0.1282287985086441,-0.045958708971738815,0.10468515008687973,22.0,-6.241280971153174e-06,-0.0014367569237947464,-0.0004944149986840785,-0.045509252697229385,0.02642565779387951,0.04541019722819328
1685054323382736000,0,54323.3828125,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0007866928353905678,-0.004120149649679661,0.0009036468691192567,0.09621185064315796,-0.4295327067375183,0.010805358178913593,17.0,0.007756215985864401,-0.002925044158473611,0.00018885202007368207,-0.0758446678519249,0.1376061737537384,-0.02199750766158104,18.0,0.0010090614669024944,-0.0022397267166525126,0.0007686137105338275,-0.0418832004070282,0.035502128303050995,-0.042084068059921265,20.0,0.0013941091019660234,-0.00097563152667135,0.0003405096067581326,-0.042294491082429886,-0.23136277496814728,-0.004247083328664303,21.0,0.001977762905880809,-0.0010634114732965827,0.0003026912745554,-0.18073806166648865,0.022151228040456772,0.009396322071552277,22.0,0.00011761195491999388,-0.0017527927411720157,-0.00018931568774860352,-0.051392484456300735,0.024985462427139282,0.013308999128639698
1685054323392667900,0,54323.390625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.002073655603453517,-0.005350930616259575,0.0004783056501764804,-0.012784440070390701,-0.07700461149215698,-0.03795798495411873,17.0,0.005991003010421991,-0.0010676198871806264,-8.244183845818043e-05,-0.1437363624572754,0.15314480662345886,-0.007047310471534729,18.0,0.0006167496903799474,-0.0013759542489424348,0.0005668779485858977,-0.16971991956233978,0.10251550376415253,-0.012082720175385475,20.0,0.003485736669972539,-0.0030386680737137794,-0.0005047020385973155,0.11495275050401688,-0.12437272816896439,-0.08397931605577469,21.0,-7.475553138647228e-05,-0.0010745036415755749,-0.0002712134155444801,-0.17498372495174408,0.06412656605243683,-0.09462401270866394,22.0,-0.0002462853735778481,-0.0019681977573782206,-0.0002509766782168299,-0.16047866642475128,0.05972563102841377,-0.02271207608282566
