%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28,field.data29,field.data30,field.data31,field.data32,field.data33,field.data34,field.data35,field.data36,field.data37,field.data38,field.data39,field.data40,field.data41,field.data42,field.data43,field.data44,field.data45,field.data46,field.data47,field.data48,field.data49,field.data50
1685054321787745500,0,54321.78515625,259.0,4097.0,4.0386128425598145,12.282817840576172,4.52202033996582,4098.0,4353.0,1.5840446949005127,3.748940944671631,-2.425846576690674,4354.0,4609.0,-1.8751952648162842,-9.77745246887207,4.50227165222168,4610.0,4865.0,2.3442712547105775e-15,-4.222628119256546e-16,-4.88755904136742e-16,260.0,5121.0,-1.78257155418396,-28.446552276611328,6.406839370727539,5122.0,5377.0,-1.1463818550109863,1.2845290899276733,-2.5620808601379395,5378.0,5633.0,-0.4211593568325043,-2.573578357696533,1.681305170059204,5634.0,5889.0,-7.695800427991303e-16,3.179198618840956e-15,1.9986902825602955e-15,1280.0,1792.0,-3.0618366982847157e-15,-1.0984484725649337e-16,6.675527537804225e-17,1280.0,3328.0,89.99992370605469,-56.363887786865234,-56.36381530761719
1685054321802684600,0,54321.80078125,259.0,4097.0,4.036445140838623,12.280866622924805,4.5225510597229,4098.0,4353.0,1.5898091793060303,3.75104022026062,-2.4281601905822754,4354.0,4609.0,-1.8759907484054565,-9.77758502960205,4.50029993057251,4610.0,4865.0,3.013271217220943e-15,-2.1990065865641227e-16,4.631607919322036e-16,260.0,5121.0,-1.7842042446136475,-28.446514129638672,6.406977653503418,5122.0,5377.0,-1.1475359201431274,1.2811163663864136,-2.563891649246216,5378.0,5633.0,-0.418399453163147,-2.573563575744629,1.679058313369751,5634.0,5889.0,1.890432483879381e-15,2.3452036262272677e-15,3.643248848307336e-16,1280.0,1792.0,-2.357837757910276e-15,-5.077526826217287e-16,7.402004403258189e-16,1280.0,3328.0,89.99981689453125,-57.469627380371094,-57.46955108642578
1685054321813139000,0,54321.8125,259.0,4097.0,4.036383628845215,12.277856826782227,4.525395393371582,4098.0,4353.0,1.5956443548202515,3.7554678916931152,-2.4283525943756104,4354.0,4609.0,-1.8759214878082275,-9.779505729675293,4.498300552368164,4610.0,4865.0,-5.760173442419985e-16,-3.725318399962397e-16,-2.559148055077706e-16,260.0,5121.0,-1.7884143590927124,-28.445215225219727,6.406383514404297,5122.0,5377.0,-1.148746371269226,1.277471661567688,-2.5662760734558105,5378.0,5633.0,-0.41668379306793213,-2.5722532272338867,1.679720401763916,5634.0,5889.0,-7.918036462362414e-16,2.5627437099388006e-15,-1.3153583108241503e-15,1280.0,1792.0,2.512602747593135e-15,7.644704753634963e-16,-6.748718066589693e-16,1280.0,3328.0,89.99981689453125,-21.189228057861328,-21.189098358154297
1685054321822716400,0,54321.8203125,259.0,4097.0,4.039218425750732,12.275850296020508,4.5240325927734375,4098.0,4353.0,1.5989352464675903,3.7563250064849854,-2.4307682514190674,4354.0,4609.0,-1.8779038190841675,-9.778132438659668,4.500992298126221,4610.0,4865.0,-1.480272343401892e-15,4.706794269489472e-16,8.451171307811785e-17,260.0,5121.0,-1.7923088073730469,-28.444143295288086,6.406518459320068,5122.0,5377.0,-1.1515153646469116,1.2727519273757935,-2.5671486854553223,5378.0,5633.0,-0.412966251373291,-2.569483995437622,1.6809275150299072,5634.0,5889.0,-1.6115569445121513e-16,-2.6937502724841238e-15,-2.202139973194253e-15,1280.0,1792.0,2.574185219232075e-15,6.694657247522371e-16,7.871036457003845e-17,1280.0,3328.0,89.99978637695312,-16.713281631469727,-16.713186264038086
1685054321843629400,0,54321.84375,259.0,4097.0,4.049288749694824,12.311781883239746,4.518795013427734,4098.0,4353.0,1.5910954475402832,3.664194345474243,-2.43068265914917,4354.0,4609.0,-1.8784701824188232,-9.704806327819824,4.49952507019043,4610.0,4865.0,-2.8963931642358217e-15,4.517973155491952e-16,4.687611620212122e-16,260.0,5121.0,-1.8009204864501953,-28.422786712646484,6.397368431091309,5122.0,5377.0,-1.1491183042526245,1.2751606702804565,-2.5774717330932617,5378.0,5633.0,-0.40917471051216125,-2.5883452892303467,1.6773784160614014,5634.0,5889.0,1.0747730017166696e-15,1.7659069939299742e-16,-1.296707809995913e-15,1280.0,1792.0,-1.2013179240914491e-15,4.625431460949776e-16,4.773214358048418e-16,1280.0,3328.0,89.99922943115234,-81.31419372558594,-81.31444549560547
1685054321852626400,0,54321.8515625,259.0,4097.0,4.052896022796631,12.3117036819458,4.516877174377441,4098.0,4353.0,1.590774416923523,3.659928321838379,-2.4308340549468994,4354.0,4609.0,-1.8801298141479492,-9.702027320861816,4.502066135406494,4610.0,4865.0,-4.800809632678779e-16,2.821665005953291e-16,4.912951500939328e-16,260.0,5121.0,-1.8045555353164673,-28.418514251708984,6.395557403564453,5122.0,5377.0,-1.1494399309158325,1.2750911712646484,-2.581523895263672,5378.0,5633.0,-0.40751078724861145,-2.5942676067352295,1.674297571182251,5634.0,5889.0,2.570314913937833e-15,2.3347556865811227e-15,-7.763135312133284e-16,1280.0,1792.0,-3.1792494408177914e-15,9.482331615395735e-16,-4.854183825663233e-16,1280.0,3328.0,89.99986267089844,-38.45744323730469,-38.4575309753418
1685054321862936600,0,54321.86328125,259.0,4097.0,4.054503917694092,12.309845924377441,4.516321659088135,4098.0,4353.0,1.5892210006713867,3.65928316116333,-2.431361436843872,4354.0,4609.0,-1.880210041999817,-9.701233863830566,4.498865127563477,4610.0,4865.0,2.988028364843344e-15,-7.022620993160948e-16,9.144193812920552e-17,260.0,5121.0,-1.8078972101211548,-28.416278839111328,6.3946452140808105,5122.0,5377.0,-1.1480616331100464,1.2737147808074951,-2.5823845863342285,5378.0,5633.0,-0.40599673986434937,-2.5939834117889404,1.6745355129241943,5634.0,5889.0,-7.106190322528241e-16,-3.696766772195027e-16,-1.239904827640974e-15,1280.0,1792.0,-2.741903883777294e-15,5.546583496857972e-16,-6.75188689625471e-17,1280.0,3328.0,89.99992370605469,62.66486358642578,62.6647834777832
1685054321872772700,0,54321.87109375,259.0,4097.0,4.053956985473633,12.308927536010742,4.518154144287109,4098.0,4353.0,1.5877825021743774,3.6564290523529053,-2.4296932220458984,4354.0,4609.0,-1.8801535367965698,-9.701794624328613,4.498254299163818,4610.0,4865.0,1.6551319192089384e-15,8.922451175241217e-17,-6.720814683724768e-16,260.0,5121.0,-1.806579351425171,-28.4130916595459,6.395061492919922,5122.0,5377.0,-1.1474696397781372,1.2737632989883423,-2.581759214401245,5378.0,5633.0,-0.40476736426353455,-2.593393325805664,1.6742730140686035,5634.0,5889.0,-4.828478493296433e-16,-1.341475618840671e-15,-7.361993743203448e-16,1280.0,1792.0,6.249829424942303e-16,6.00721271906907e-16,1.2669172377245057e-16,1280.0,3328.0,89.99976348876953,114.1588134765625,114.15877532958984
1685054321901187500,0,54321.8984375,259.0,4097.0,4.051458835601807,12.311968803405762,4.518916130065918,4098.0,4353.0,1.5878896713256836,3.650301694869995,-2.4280271530151367,4354.0,4609.0,-1.880610704421997,-9.704069137573242,4.496859550476074,4610.0,4865.0,-1.6358545081206145e-15,1.2151702578974541e-17,1.5647831895947278e-17,260.0,5121.0,-1.8036372661590576,-28.408437728881836,6.396517276763916,5122.0,5377.0,-1.1474231481552124,1.2753996849060059,-2.5796656608581543,5378.0,5633.0,-0.40327218174934387,-2.5958144664764404,1.6751049757003784,5634.0,5889.0,-2.4245718839344165e-15,-1.61614849836098e-15,-2.3275557477107835e-16,1280.0,1792.0,2.7656964039909568e-15,6.804708003194386e-16,1.2387907146175386e-16,1280.0,3328.0,89.999755859375,124.13551330566406,124.13545989990234
1685054321901485100,0,54321.90234375,259.0,4097.0,4.042216777801514,12.319390296936035,4.517190933227539,4098.0,4353.0,1.5871849060058594,3.6395673751831055,-2.4251246452331543,4354.0,4609.0,-1.8795338869094849,-9.704282760620117,4.495907783508301,4610.0,4865.0,-3.2456378185807746e-16,-9.913737803879865e-17,-5.473626960924183e-16,260.0,5121.0,-1.7943146228790283,-28.404699325561523,6.3979573249816895,5122.0,5377.0,-1.1477371454238892,1.2713322639465332,-2.5752620697021484,5378.0,5633.0,-0.399481862783432,-2.59212327003479,1.6757866144180298,5634.0,5889.0,1.830366836490737e-15,9.261018846937132e-16,1.0064763116630817e-15,1280.0,1792.0,1.706995428931964e-15,-8.352000028602762e-16,-1.2221751575055206e-15,1280.0,3328.0,89.9997787475586,166.68045043945312,166.6803436279297
1685054321911167300,0,54321.91015625,259.0,4097.0,4.039709091186523,12.319904327392578,4.515524864196777,4098.0,4353.0,1.585772156715393,3.638120651245117,-2.42415714263916,4354.0,4609.0,-1.8791970014572144,-9.706527709960938,4.495403289794922,4610.0,4865.0,2.544429163553268e-15,-3.958476924188352e-16,8.876344789642002e-17,260.0,5121.0,-1.7905341386795044,-28.40694808959961,6.3984761238098145,5122.0,5377.0,-1.1475709676742554,1.2705910205841064,-2.572364330291748,5378.0,5633.0,-0.4013236165046692,-2.5903103351593018,1.6809709072113037,5634.0,5889.0,1.9111244399896195e-15,-9.111366124607426e-16,2.603627237445687e-15,1280.0,1792.0,1.0451866437948893e-16,-1.1244684247320794e-15,8.480716214058709e-17,1280.0,3328.0,89.99978637695312,174.3492431640625,174.34913635253906
1685054321941158000,0,54321.94140625,259.0,4097.0,4.0332183837890625,12.320321083068848,4.51464319229126,4098.0,4353.0,1.5884954929351807,3.63750958442688,-2.4267311096191406,4354.0,4609.0,-1.880258560180664,-9.70447826385498,4.492731094360352,4610.0,4865.0,-6.157273076004641e-16,-9.386573614266351e-17,3.715708546478001e-16,260.0,5121.0,-1.7873200178146362,-28.412214279174805,6.399999141693115,5122.0,5377.0,-1.1461420059204102,1.2759742736816406,-2.5732696056365967,5378.0,5633.0,-0.40420886874198914,-2.591808319091797,1.6785473823547363,5634.0,5889.0,5.5423923381302885e-17,-1.193929043934313e-15,-1.5372690845435154e-15,1280.0,1792.0,1.67317605032606e-15,7.148475795441952e-16,-3.5464822162262287e-16,1280.0,3328.0,89.99982452392578,-146.03231811523438,-146.0323028564453
1685054321941579900,0,54321.94140625,259.0,4097.0,4.0282883644104,12.321980476379395,4.516256332397461,4098.0,4353.0,1.5904043912887573,3.638317346572876,-2.4255340099334717,4354.0,4609.0,-1.8801548480987549,-9.706071853637695,4.49372673034668,4610.0,4865.0,1.5415572947181087e-15,-4.833184820109615e-16,-4.058289698506023e-16,260.0,5121.0,-1.7842286825180054,-28.417783737182617,6.401658058166504,5122.0,5377.0,-1.145390272140503,1.2816946506500244,-2.573017120361328,5378.0,5633.0,-0.4033029079437256,-2.593815565109253,1.679809331893921,5634.0,5889.0,2.0790705328811764e-15,-2.3975276042362444e-15,2.9455398687200883e-16,1280.0,1792.0,4.166567773038112e-16,-3.582583289833799e-16,-2.9571794249043425e-16,1280.0,3328.0,89.99982452392578,-139.4683380126953,-139.4683074951172
1685054321949118100,0,54321.94921875,259.0,4097.0,4.027230739593506,12.319896697998047,4.521350860595703,4098.0,4353.0,1.590720295906067,3.641634225845337,-2.42256760597229,4354.0,4609.0,-1.8814085721969604,-9.706621170043945,4.49504280090332,4610.0,4865.0,-2.897623056075235e-15,-6.164835492036846e-16,-1.4803465117243359e-16,260.0,5121.0,-1.7830296754837036,-28.42255210876465,6.403841018676758,5122.0,5377.0,-1.1452417373657227,1.2899856567382812,-2.5748445987701416,5378.0,5633.0,-0.40205538272857666,-2.5998287200927734,1.678663730621338,5634.0,5889.0,9.724710093252553e-16,-6.111974283381073e-16,1.2942320385702071e-15,1280.0,1792.0,-2.1813899953271277e-15,-7.888355898495031e-16,1.0580070433169548e-15,1280.0,3328.0,89.99990844726562,-119.4111328125,-119.41107940673828
1685054321949443300,0,54321.94921875,259.0,4097.0,4.028191089630127,12.314192771911621,4.525235652923584,4098.0,4353.0,1.587662696838379,3.648165702819824,-2.4231064319610596,4354.0,4609.0,-1.8804377317428589,-9.707324981689453,4.494711875915527,4610.0,4865.0,2.0940384256223275e-16,-6.136671646540641e-16,-1.297605903148019e-16,260.0,5121.0,-1.7794805765151978,-28.424100875854492,6.406216621398926,5122.0,5377.0,-1.146134614944458,1.2944990396499634,-2.574308156967163,5378.0,5633.0,-0.40297141671180725,-2.6043057441711426,1.678545594215393,5634.0,5889.0,-2.038192511088447e-15,-2.1464035111990257e-15,-1.2019401756703258e-15,1280.0,1792.0,-3.00439685303256e-15,7.348686326206491e-16,-1.2995324531167693e-15,1280.0,3328.0,89.99991607666016,-113.02317810058594,-113.02311706542969
1685054321964146200,0,54321.96484375,259.0,4097.0,4.030474662780762,12.311373710632324,4.5301079750061035,4098.0,4353.0,1.5877289772033691,3.650131940841675,-2.423814535140991,4354.0,4609.0,-1.8795915842056274,-9.706079483032227,4.4931511878967285,4610.0,4865.0,-1.0099451233403249e-15,1.3754507290861391e-17,1.376115666493346e-16,260.0,5121.0,-1.7820780277252197,-28.422121047973633,6.409650802612305,5122.0,5377.0,-1.144914984703064,1.2978664636611938,-2.5783889293670654,5378.0,5633.0,-0.4040069282054901,-2.60886812210083,1.6754521131515503,5634.0,5889.0,6.19952678518283e-16,-3.1697978236758543e-15,2.2796835101747794e-15,1280.0,1792.0,-3.183183167703959e-16,2.8954550752467376e-17,7.900415530081564e-16,1280.0,3328.0,89.9998779296875,4.659533500671387,4.65968656539917
