%time,field.mx,field.my,field.fz,field.t
1685056698595189200,-1.0,38.0,62.72,56698.67417407036
1685056698595197100,-1.0,38.0,62.72,56698.684891462326
1685056698595361600,-2.0,37.0,62.72,56698.69529914856
1685056698595381500,-2.0,38.0,64.67999999999999,56698.705701589584
1685056698595502200,-2.0,38.0,62.72,56698.71606516838
1685056698639948600,-2.0,38.0,62.72,56698.726449012756
1685056698639958000,-2.0,38.0,62.72,56698.73689007759
1685056698640037000,-2.0,38.0,60.76,56698.74765586853
1685056698640174400,-2.0,39.0,60.76,56698.758083343506
1685056698686202800,-3.0,39.0,60.76,56698.768644332886
1685056698686219300,-3.0,39.0,60.76,56698.779062986374
1685056698686229200,-3.0,38.0,58.8,56698.789556741714
1685056698686263800,-3.0,38.0,60.76,56698.799971818924
1685056698735436200,-4.0,38.0,58.8,56698.81041717529
1685056698735455800,-3.0,38.0,58.8,56698.82088661194
1685056698735501800,-3.0,38.0,58.8,56698.83130288124
1685056698735573300,-3.0,37.0,58.8,56698.84203028679
1685056698735650300,-3.0,37.0,56.839999999999996,56698.852467775345
1685056698782150700,-3.0,37.0,56.839999999999996,56698.86290836334
1685056698782166900,-3.0,37.0,54.879999999999995,56698.87338900566
1685056698782263600,-3.0,37.0,54.879999999999995,56698.883935928345
1685056698782279600,-4.0,37.0,54.879999999999995,56698.89437484741
1685056698782353200,-3.0,36.0,52.92,56698.90472650528
1685056698832512200,-4.0,37.0,52.92,56698.91516780853
1685056698832531300,-4.0,36.0,52.92,56698.925563812256
1685056698832555000,-4.0,37.0,52.92,56698.93595576286
1685056698832663900,-5.0,36.0,52.92,56698.94632792473
1685056698881149500,-5.0,37.0,50.96,56698.95670866966
1685056698881167300,-5.0,36.0,50.96,56698.967200279236
1685056698881172200,-5.0,36.0,50.96,56698.977576971054
1685056698881207400,-6.0,36.0,50.96,56698.98804926872
1685056698881244800,-7.0,36.0,50.96,56698.998584508896
1685056698965447300,-6.0,36.0,49.0,56699.00918650627
1685056698965471000,-7.0,36.0,49.0,56699.019718647
1685056698965478200,-6.0,36.0,49.0,56699.03020739555
1685056698965493500,-6.0,36.0,49.0,56699.04072642326
1685056698965508900,-6.0,35.0,49.0,56699.05132007599
1685056698965516400,-6.0,36.0,49.0,56699.061903476715
1685056698965537600,-6.0,35.0,49.0,56699.07244563103
1685056698965636300,-7.0,36.0,49.0,56699.08297538757
1685056699021446300,-6.0,36.0,49.0,56699.093643665314
1685056699021466900,-6.0,36.0,49.0,56699.10418200493
1685056699021551200,-7.0,37.0,49.0,56699.11470866203
1685056699021560700,-7.0,37.0,47.04,56699.12531208992
1685056699021636700,-7.0,37.0,47.04,56699.13616394997
1685056699067489700,-7.0,38.0,47.04,56699.1469643116
1685056699067499100,-8.0,38.0,49.0,56699.15746116638
1685056699067593400,-8.0,39.0,47.04,56699.16796755791
1685056699067612600,-8.0,39.0,47.04,56699.178659677505
1685056699067649700,-9.0,39.0,47.04,56699.189232587814
1685056699119454900,-10.0,39.0,47.04,56699.19982266426
1685056699119473400,-10.0,40.0,47.04,56699.213701963425
1685056699119478400,-10.0,40.0,47.04,56699.22449684143
1685056699119558500,-11.0,40.0,47.04,56699.23517918587
1685056699168319000,-9.0,39.0,47.04,56699.24570417404
1685056699168325900,-9.0,38.0,47.04,56699.25618314743
1685056699168444600,-9.0,38.0,49.0,56699.26665353775
1685056699168466100,-9.0,37.0,47.04,56699.277154922485
1685056699168556800,-8.0,37.0,47.04,56699.28763246536
1685056699218812400,-8.0,37.0,47.04,56699.29814743996
1685056699218832200,-7.0,38.0,47.04,56699.30871605873
1685056699218942700,-8.0,38.0,49.0,56699.319215774536
1685056699218957600,-7.0,38.0,47.04,56699.32982254028
1685056699265550600,-7.0,37.0,47.04,56699.340490818024
1685056699265602100,-7.0,37.0,47.04,56699.35097146034
1685056699265606200,-7.0,37.0,47.04,56699.36147451401
1685056699265617500,-7.0,36.0,47.04,56699.37195611
1685056699265629600,-8.0,37.0,47.04,56699.38248682022
1685056699311503500,-7.0,37.0,47.04,56699.393156051636
1685056699311511800,-7.0,37.0,47.04,56699.403688669205
1685056699311621500,-7.0,37.0,47.04,56699.414291620255
1685056699311641700,-8.0,38.0,47.04,56699.424829006195
1685056699359300700,-8.0,38.0,45.08,56699.435297966
1685056699359320900,-8.0,39.0,47.04,56699.44572901726
1685056699359406400,-7.0,38.0,45.08,56699.456211566925
1685056699359413600,-7.0,38.0,45.08,56699.46669816971
1685056699359518200,-7.0,38.0,47.04,56699.47847914696
1685056699411473000,-7.0,38.0,47.04,56699.48897647858
1685056699411490300,-6.0,38.0,47.04,56699.49947285652
1685056699411605400,-6.0,38.0,47.04,56699.50997161865
1685056699411626800,-6.0,38.0,47.04,56699.52047371864
1685056699411642700,-6.0,38.0,47.04,56699.53097176552
1685056699462021200,-6.0,38.0,47.04,56699.54158139229
1685056699462029300,-6.0,38.0,49.0,56699.55220293999
1685056699462142300,-6.0,38.0,49.0,56699.56275677681
1685056699462155900,-6.0,37.0,49.0,56699.573584795
1685056699510403700,-6.0,37.0,50.96,56699.584208488464
1685056699510420800,-6.0,37.0,50.96,56699.59470868111
1685056699510455900,-6.0,37.0,50.96,56699.60581278801
1685056699510617700,-5.0,38.0,50.96,56699.616290569305
1685056699510636800,-6.0,37.0,52.92,56699.62671995163
1685056699592060800,-6.0,37.0,52.92,56699.63731956482
1685056699592080000,-5.0,38.0,52.92,56699.64791679382
1685056699592161400,-5.0,38.0,52.92,56699.65852332115
1685056699592218200,-5.0,38.0,52.92,56699.66907811165
1685056699592335900,-5.0,38.0,52.92,56699.679590940475
1685056699592352700,-5.0,38.0,54.879999999999995,56699.69017839432
1685056699592469300,-4.0,38.0,54.879999999999995,56699.70073056221
1685056699669155200,-4.0,38.0,54.879999999999995,56699.71146392822
1685056699669174800,-3.0,38.0,54.879999999999995,56699.72245883942
1685056699669302400,-2.0,38.0,56.839999999999996,56699.73296833038
1685056699669319700,-1.0,37.0,54.879999999999995,56699.743552446365
1685056699669433100,-1.0,37.0,54.879999999999995,56699.754141807556
1685056699669451700,0.0,37.0,54.879999999999995,56699.76467990875
1685056699669500300,0.0,38.0,56.839999999999996,56699.77519965172
1685056699669615800,1.0,38.0,56.839999999999996,56699.78568792343
1685056699715714300,1.0,37.0,56.839999999999996,56699.796189785004
1685056699715728300,1.0,37.0,56.839999999999996,56699.80670070648
1685056699715827100,1.0,36.0,56.839999999999996,56699.817220687866
1685056699715845500,1.0,37.0,58.8,56699.827711582184
1685056699715919200,1.0,37.0,56.839999999999996,56699.83841967583
1685056699765259100,0.0,37.0,58.8,56699.848959207535
1685056699765284500,0.0,37.0,58.8,56699.85956645012
1685056699765298800,1.0,37.0,56.839999999999996,56699.870092868805
1685056699765306500,1.0,37.0,58.8,56699.88064646721
1685056699811960100,1.0,37.0,58.8,56699.8912050724
1685056699811978000,1.0,37.0,58.8,56699.901713848114
1685056699812090100,1.0,37.0,58.8,56699.91221690178
1685056699812113600,1.0,37.0,58.8,56699.922791957855
1685056699812169400,1.0,37.0,60.76,56699.93359255791
1685056699864712200,1.0,38.0,58.8,56699.94422626495
1685056699864722900,1.0,37.0,60.76,56699.9547162056
1685056699864851400,1.0,37.0,60.76,56699.96579885483
1685056699913114500,1.0,37.0,60.76,56699.986189603806
1685056699913140000,1.0,37.0,60.76,56699.996978759766
