%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque,field.PF_cmd,field.EV_cmd,field.theta_cmd,field.alpha_cmd,field.PF_curr,field.EV_curr,field.CPU0,field.CPU1,field.CPU2,field.CPU3,field.t,field.valid
1685056698300567400,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,30.0,25.0,11.100000381469727,10.0,56698.37109375,1.0
1685056698300590300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,30.0,25.0,11.100000381469727,10.0,56698.3828125,1.0
1685056698300698600,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,56698.39453125,1.0
1685056698300712000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,56698.40234375,1.0
1685056698300827500,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,56698.4140625,1.0
1685056698300847000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,56698.421875,1.0
1685056698349438200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,56698.43359375,1.0
1685056698349459100,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,56698.44140625,1.0
1685056698349462700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,56698.453125,1.0
1685056698349483800,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,56698.4609375,1.0
1685056698404470700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,56698.47265625,1.0
1685056698404515200,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.100000381469727,0.0,56698.484375,1.0
1685056698404526900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,56698.4921875,1.0
1685056698404558300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,56698.50390625,1.0
1685056698404639000,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,56698.51171875,1.0
1685056698404707400,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,56698.5234375,1.0
1685056698452744900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,56698.53125,1.0
1685056698452787900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,56698.54296875,1.0
1685056698452804900,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,56698.55078125,1.0
1685056698452860700,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,56698.5625,1.0
1685056698452938400,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,56698.57421875,1.0
1685056698502907500,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,56698.58203125,1.0
1685056698502927300,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,30.0,0.0,33.29999923706055,10.0,56698.59375,1.0
1685056698503063100,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,30.0,0.0,33.29999923706055,10.0,56698.6015625,1.0
1685056698503070400,0,0,8,-2,3000,3000,6.115465117914945e-16,0.0,0.0,0.0,0.0,0.0,30.0,0.0,33.29999923706055,10.0,56698.61328125,1.0
